Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,CO,ADAMS,"30,759","$189,509 ","$87,561 ", $- ,"$25,294 ", $- , $- ,"$1,502 ","$75,152 ","6,240"
14,CO,ALAMOSA,"1,095","$8,522 ","$4,907 ", $- ,$452 , $- , $- ,$79 ,"$3,084 ",433
14,CO,ARAPAHOE,"44,235","$266,783 ","$131,555 ", $- ,"$37,334 ", $- , $- ,"$3,889 ","$94,004 ","8,972"
14,CO,ARCHULETA,"1,031","$8,105 ","$4,580 ", $- ,$128 , $- , $- ,$146 ,"$3,250 ",447
14,CO,BACA,390,"$1,847 ",$829 , $- ,$6 , $- , $- ,$1 ,"$1,012 ",89
14,CO,BENT,549,"$6,770 ","$3,538 ",$360 ,$164 , $- , $- ,$86 ,"$2,621 ",217
14,CO,BOULDER,"16,729","$65,784 ","$33,262 ", $- ,"$12,959 ", $- , $- ,"$1,922 ","$17,641 ","2,150"
14,CO,BROOMFIELD,"3,580","$19,381 ","$10,742 ", $- ,"$3,030 ", $- , $- ,$275 ,"$5,334 ",571
14,CO,CHAFFEE,"1,932","$8,145 ","$4,628 ", $- ,$324 , $- , $- ,$178 ,"$3,015 ",462
14,CO,CHEYENNE,148,$464 ,$215 , $- , $- , $- , $- ,$1 ,$248 ,41
14,CO,CLEAR CREEK,859,"$3,277 ","$1,677 ", $- ,$123 , $- , $- ,$30 ,"$1,447 ",166
14,CO,CONEJOS,568,"$5,383 ","$3,332 ", $- ,$112 , $- , $- ,$9 ,"$1,930 ",239
14,CO,COSTILLA,309,"$3,469 ","$2,136 ", $- ,$59 , $- , $- ,$22 ,"$1,252 ",188
14,CO,CROWLEY,585,"$3,626 ","$1,968 ", $- ,$85 , $- , $- ,$2 ,"$1,571 ",133
14,CO,CUSTER,526,"$4,334 ","$2,534 ", $- ,$26 , $- , $- ,$20 ,"$1,755 ",187
14,CO,DELTA,"3,195","$25,468 ","$10,887 ", $- ,$400 , $- , $- ,$91 ,"$14,090 ","1,306"
14,CO,DENVER,"32,255","$516,694 ","$101,581 ","$220,542 ","$27,087 ", $- ,"$22,305 ","$3,668 ","$141,511 ","9,200"
14,CO,DOLORES,175,$882 ,$563 , $- , $- , $- , $- , $- ,$319 ,63
14,CO,DOUGLAS,"21,226","$88,559 ","$53,394 ", $- ,"$13,275 ", $- , $- ,"$1,545 ","$20,345 ","2,725"
14,CO,EAGLE,"2,301","$4,593 ","$2,647 ", $- ,$288 , $- , $- ,$111 ,"$1,548 ",288
14,CO,ELBERT,"2,297","$9,574 ","$4,476 ", $- ,"$1,046 ", $- , $- ,$259 ,"$3,792 ",387
14,CO,EL PASO,"83,069","$791,963 ","$476,915 ", $- ,"$168,228 ", $- , $- ,"$5,674 ","$141,146 ","19,457"
14,CO,FREMONT,"7,180","$38,408 ","$22,568 ", $- ,"$1,893 ", $- , $- ,$339 ,"$13,607 ","1,537"
14,CO,GARFIELD,"3,767","$16,420 ","$7,114 ", $- ,$816 , $- , $- ,$437 ,"$8,054 ",966
14,CO,GILPIN,415,"$2,800 ","$1,496 ", $- ,$119 , $- , $- ,$11 ,"$1,174 ",101
14,CO,GRAND,"1,035","$4,239 ","$2,307 ", $- ,$109 , $- , $- ,$38 ,"$1,785 ",216
14,CO,GUNNISON,959,"$3,850 ","$1,914 ", $- ,$519 , $- , $- ,$82 ,"$1,335 ",211
14,CO,HINSDALE,71,$528 ,$306 , $- ,$1 , $- , $- ,$151 ,$70 ,18
14,CO,HUERFANO,997,"$7,586 ","$4,955 ", $- ,$125 , $- , $- ,$26 ,"$2,480 ",339
14,CO,JACKSON,161,$759 ,$426 , $- , $- , $- , $- ,$0 ,$333 ,30
14,CO,JEFFERSON,"41,562","$262,602 ","$111,395 ",$742 ,"$33,262 ", $- ,"$38,174 ","$3,827 ","$75,202 ","7,331"
14,CO,KIOWA,111,$292 ,$116 , $- ,$21 , $- , $- ,$1 ,$154 ,25
14,CO,KIT CARSON,632,"$2,179 ",$805 , $- ,$83 , $- , $- ,$54 ,"$1,237 ",180
14,CO,LAKE,514,"$1,797 ","$1,120 ", $- ,$145 , $- , $- ,$20 ,$513 ,86
14,CO,LA PLATA,"4,217","$19,471 ","$10,740 ", $- ,"$1,017 ", $- , $- ,$302 ,"$7,413 ","1,076"
14,CO,LARIMER,"22,776","$133,928 ","$69,759 ", $- ,"$19,016 ", $- , $- ,"$1,963 ","$43,190 ","5,641"
14,CO,LAS ANIMAS,"1,452","$11,880 ","$7,254 ", $- ,$450 , $- , $- ,$40 ,"$4,136 ",520
14,CO,LINCOLN,609,"$1,754 ","$1,004 ", $- ,$33 , $- , $- ,$9 ,$708 ,84
14,CO,LOGAN,"1,843","$7,287 ","$3,172 ", $- ,$389 , $- , $- ,$124 ,"$3,602 ",362
14,CO,MESA,"14,416","$139,533 ","$46,197 ", $- ,"$6,349 ", $- ,$600 ,$925 ,"$85,461 ","6,317"
14,CO,MINERAL,81,$428 ,$229 , $- , $- , $- , $- ,$0 ,$199 ,32
14,CO,MOFFAT,"1,202","$5,924 ","$2,187 ", $- ,$240 , $- , $- ,$69 ,"$3,428 ",314
14,CO,MONTEZUMA,"2,507","$12,968 ","$7,322 ", $- ,$411 , $- , $- ,$585 ,"$4,650 ",708
14,CO,MONTROSE,"3,659","$24,119 ","$10,439 ", $- ,$603 , $- , $- ,$144 ,"$12,932 ","1,421"
14,CO,MORGAN,"1,790","$7,698 ","$3,558 ", $- ,$332 , $- , $- ,$137 ,"$3,671 ",427
14,CO,OTERO,"1,700","$18,156 ","$11,876 ", $- ,$443 , $- , $- ,$65 ,"$5,772 ",575
14,CO,OURAY,423,"$1,543 ",$488 , $- ,$73 , $- , $- ,$22 ,$960 ,117
14,CO,PARK,"1,808","$11,167 ","$6,513 ", $- ,$534 , $- , $- ,$100 ,"$4,020 ",423
14,CO,PHILLIPS,325,$846 ,$410 , $- ,$25 , $- , $- ,$68 ,$342 ,71
14,CO,PITKIN,921,"$1,742 ",$905 , $- ,$28 , $- , $- ,$174 ,$634 ,104
14,CO,PROWERS,816,"$5,748 ","$2,949 ", $- ,$210 , $- , $- ,$16 ,"$2,573 ",260
14,CO,PUEBLO,"16,836","$143,319 ","$80,981 ", $- ,"$8,694 ", $- , $- ,$793 ,"$52,851 ","5,240"
14,CO,RIO BLANCO,584,"$3,250 ","$1,231 ", $- ,$119 , $- , $- ,$40 ,"$1,860 ",163
14,CO,RIO GRANDE,"1,056","$7,803 ","$5,340 ", $- ,$142 , $- , $- ,$109 ,"$2,212 ",375
14,CO,ROUTT,"1,301","$4,693 ","$2,710 ", $- ,$287 , $- , $- ,$209 ,"$1,487 ",277
14,CO,SAGUACHE,483,"$2,060 ","$1,195 ", $- ,$17 , $- , $- ,$13 ,$834 ,166
14,CO,SAN JUAN,67,$316 ,$86 , $- ,$19 , $- , $- ,$0 ,$211 ,24
14,CO,SAN MIGUEL,380,"$1,327 ",$573 , $- ,$33 , $- , $- ,$21 ,$699 ,96
14,CO,SEDGWICK,259,"$1,900 ",$758 , $- ,$28 , $- , $- ,$6 ,"$1,107 ",94
14,CO,SUMMIT,"1,401","$3,690 ","$2,012 ", $- ,$257 , $- , $- ,$435 ,$985 ,156
14,CO,TELLER,"3,184","$22,833 ","$15,259 ", $- ,"$1,413 ", $- , $- ,$464 ,"$5,698 ",727
14,CO,WASHINGTON,432,"$1,321 ",$657 , $- ,$51 , $- , $- ,$0 ,$613 ,96
14,CO,WELD,"20,821","$99,541 ","$51,913 ", $- ,"$10,301 ", $- , $- ,$954 ,"$36,373 ","4,394"
14,CO,YUMA,707,"$2,204 ","$1,245 ", $- ,$21 , $- , $- ,$7 ,$931 ,121
14,CO,COLORADO (Totals),"413,271","$3,073,039 ","$1,447,416 ","$221,644 ","$379,047 ", $- ,"$61,079 ","$32,291 ","$931,562 ","95,382"
14,CO,CONG. DIST (01),"40,897","$545,427 ","$122,875 ","$206,450 ","$33,275 ", $- ,"$22,305 ","$4,308 ","$156,215 ","10,765"
14,CO,CONG. DIST (02),"48,048","$235,315 ","$122,430 ", $- ,"$33,941 ", $- , $- ,"$4,748 ","$74,196 ","9,145"
14,CO,CONG. DIST (03),"63,087","$459,360 ","$217,576 ", $- ,"$21,050 ", $- ,$600 ,"$4,573 ","$215,561 ","21,154"
14,CO,CONG. DIST (04),"57,767","$293,856 ","$157,193 ","$4,561 ","$30,883 ", $- , $- ,"$3,427 ","$97,792 ","11,398"
14,CO,CONG. DIST (05),"96,427","$867,229 ","$522,800 ", $- ,"$172,140 ", $- , $- ,"$6,703 ","$165,585 ","22,417"
