Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,KY,ADAIR,"1,177","$8,755 ","$4,795 ", $- ,$552 , $- , $- ,$25 ,"$3,383 ",395
14,KY,ALLEN,"1,432","$8,526 ","$5,018 ", $- ,$514 , $- , $- ,$207 ,"$2,788 ",360
14,KY,ANDERSON,"1,756","$12,058 ","$6,004 ", $- ,$601 , $- , $- ,$190 ,"$5,264 ",506
14,KY,BALLARD,750,"$4,783 ","$2,101 ", $- ,$184 , $- , $- ,$52 ,"$2,446 ",277
14,KY,BARREN,"2,896","$18,203 ","$11,054 ", $- ,$741 , $- , $- ,$151 ,"$6,257 ",710
14,KY,BATH,784,"$8,094 ","$4,028 ", $- ,$239 , $- , $- ,$140 ,"$3,688 ",345
14,KY,BELL,"1,872","$13,956 ","$9,986 ", $- ,$391 , $- , $- ,$72 ,"$3,507 ",503
14,KY,BOONE,"9,529","$47,753 ","$21,744 ", $- ,"$4,429 ", $- , $- ,$454 ,"$21,127 ","2,350"
14,KY,BOURBON,"1,679","$9,583 ","$4,415 ", $- ,$299 , $- , $- ,$27 ,"$4,842 ",516
14,KY,BOYD,"4,720","$36,528 ","$18,781 ", $- ,"$1,299 ", $- , $- ,$196 ,"$16,252 ","1,413"
14,KY,BOYLE,"2,535","$14,133 ","$7,918 ", $- ,$619 , $- , $- ,$151 ,"$5,445 ",644
14,KY,BRACKEN,715,"$3,992 ","$2,028 ", $- ,$123 , $- , $- ,$29 ,"$1,813 ",202
14,KY,BREATHITT,846,"$7,770 ","$4,630 ", $- ,$130 , $- , $- ,$24 ,"$2,986 ",292
14,KY,BRECKINRIDGE,"1,738","$13,184 ","$7,220 ", $- ,$402 , $- , $- ,$27 ,"$5,536 ",575
14,KY,BULLITT,"7,181","$29,406 ","$14,257 ", $- ,"$1,773 ", $- , $- ,$258 ,"$13,117 ","1,624"
14,KY,BUTLER,"1,024","$5,677 ","$3,506 ", $- ,$200 , $- , $- ,$3 ,"$1,967 ",269
14,KY,CALDWELL,"1,062","$7,540 ","$4,365 ", $- ,$281 , $- , $- ,$74 ,"$2,821 ",346
14,KY,CALLOWAY,"2,722","$18,185 ","$10,655 ", $- ,"$1,777 ", $- , $- ,$60 ,"$5,694 ",722
14,KY,CAMPBELL,"6,180","$42,428 ","$14,737 ", $- ,"$2,801 ", $- , $- ,$286 ,"$24,604 ","2,020"
14,KY,CARLISLE,402,"$2,538 ","$1,351 ", $- ,$59 , $- , $- ,$12 ,"$1,116 ",137
14,KY,CARROLL,"1,194","$5,500 ","$2,592 ", $- ,$168 , $- , $- ,$7 ,"$2,733 ",310
14,KY,CARTER,"1,522","$17,766 ","$9,250 ", $- ,$437 , $- , $- ,$82 ,"$7,997 ",707
14,KY,CASEY,984,"$7,882 ","$4,326 ", $- ,$188 , $- , $- ,$61 ,"$3,306 ",428
14,KY,CHRISTIAN,"7,919","$72,509 ","$42,817 ", $- ,"$12,551 ", $- , $- ,$343 ,"$16,798 ","2,198"
14,KY,CLARK,"3,125","$21,424 ","$10,627 ", $- ,$854 , $- , $- ,$159 ,"$9,785 ",983
14,KY,CLAY,"1,187","$8,471 ","$5,379 ", $- ,$154 , $- , $- ,$11 ,"$2,927 ",349
14,KY,CLINTON,655,"$5,223 ","$3,155 ", $- ,$218 , $- , $- ,$0 ,"$1,850 ",223
14,KY,CRITTENDEN,698,"$4,536 ","$2,733 ", $- ,$124 , $- , $- ,$26 ,"$1,653 ",221
14,KY,CUMBERLAND,508,"$3,555 ","$2,361 ", $- ,$86 , $- , $- ,$12 ,"$1,096 ",127
14,KY,DAVIESS,"8,013","$45,036 ","$26,768 ", $- ,"$2,070 ", $- , $- ,$385 ,"$15,813 ","2,253"
14,KY,EDMONSON,898,"$5,436 ","$2,691 ", $- ,$138 , $- , $- ,$13 ,"$2,594 ",296
14,KY,ELLIOTT,268,"$1,640 ",$888 , $- ,$7 , $- , $- ,$8 ,$737 ,94
14,KY,ESTILL,"1,088","$9,438 ","$4,819 ", $- ,$271 , $- , $- ,$13 ,"$4,336 ",352
14,KY,FAYETTE,"19,594","$153,780 ","$59,415 ",$65 ,"$12,600 ", $- ,"$2,665 ","$1,715 ","$77,320 ","6,303"
14,KY,FLEMING,953,"$8,621 ","$4,249 ", $- ,$230 , $- , $- ,$12 ,"$4,130 ",424
