Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,NE,ADAMS,"2,331","$21,416 ","$13,072 ", $- ,$686 , $- , $- ,$147 ,"$7,511 ",928
14,NE,ANTELOPE,603,"$5,160 ","$2,816 ", $- ,$96 , $- , $- ,$108 ,"$2,140 ",238
14,NE,ARTHUR,28,$70 ,$20 , $- , $- , $- , $- ,$0 ,$50 ,10
14,NE,BANNER,47,$89 ,$49 , $- , $- , $- , $- ,$2 ,$38 ,14
14,NE,BLAINE,26,$433 ,$126 , $- , $- , $- , $- , $- ,$307 ,21
14,NE,BOONE,527,"$4,264 ","$2,524 ", $- ,$42 , $- , $- ,$34 ,"$1,663 ",241
14,NE,BOX BUTTE,996,"$5,859 ","$2,456 ", $- ,$431 , $- , $- ,$38 ,"$2,934 ",399
14,NE,BOYD,185,"$1,620 ",$800 , $- ,$9 , $- , $- ,$0 ,$811 ,104
14,NE,BROWN,247,"$2,986 ","$1,750 ", $- ,$18 , $- , $- ,$41 ,"$1,178 ",144
14,NE,BUFFALO,"2,904","$22,257 ","$13,503 ", $- ,"$1,167 ", $- , $- ,$201 ,"$7,387 ","1,081"
14,NE,BURT,684,"$4,048 ","$1,829 ", $- ,$188 , $- , $- ,$80 ,"$1,952 ",187
14,NE,BUTLER,691,"$4,388 ","$2,590 ", $- ,$64 , $- , $- ,$43 ,"$1,691 ",241
14,NE,CASS,"3,067","$22,299 ","$13,444 ", $- ,"$1,323 ", $- , $- ,$422 ,"$7,110 ",827
14,NE,CEDAR,714,"$4,408 ","$2,377 ", $- ,$153 , $- , $- ,$153 ,"$1,725 ",244
14,NE,CHASE,278,"$1,536 ",$947 , $- ,$26 , $- , $- ,$3 ,$560 ,110
14,NE,CHERRY,467,"$3,139 ","$1,352 ", $- ,$102 , $- , $- ,$67 ,"$1,618 ",204
14,NE,CHEYENNE,773,"$5,588 ","$2,516 ", $- ,$76 , $- , $- ,$114 ,"$2,883 ",314
14,NE,CLAY,528,"$4,039 ","$2,676 ", $- ,$111 , $- , $- ,$35 ,"$1,216 ",216
14,NE,COLFAX,635,"$1,934 ","$1,036 ", $- ,$35 , $- , $- ,$45 ,$818 ,152
14,NE,CUMING,684,"$3,266 ","$2,002 ", $- ,$97 , $- , $- ,$44 ,"$1,124 ",217
14,NE,CUSTER,870,"$7,573 ","$4,773 ", $- ,$116 , $- , $- ,$130 ,"$2,555 ",368
14,NE,DAKOTA,"1,248","$7,143 ","$4,020 ", $- ,$343 , $- , $- ,$57 ,"$2,723 ",407
14,NE,DAWES,721,"$7,324 ","$2,825 ", $- ,$267 , $- , $- ,$18 ,"$4,214 ",357
14,NE,DAWSON,"1,552","$8,293 ","$4,517 ", $- ,$208 , $- , $- ,$21 ,"$3,546 ",506
14,NE,DEUEL,219,"$1,076 ",$447 , $- ,$2 , $- , $- ,$0 ,$627 ,72
14,NE,DIXON,509,"$2,282 ","$1,290 ", $- ,$88 , $- , $- ,$2 ,$902 ,150
14,NE,DODGE,"3,315","$21,345 ","$10,942 ", $- ,$787 , $- , $- ,$97 ,"$9,520 ",921
14,NE,DOUGLAS,"37,766","$268,866 ","$108,506 ",$378 ,"$19,049 ", $- ,"$2,318 ","$2,686 ","$135,930 ","9,724"
14,NE,DUNDY,167,$804 ,$445 , $- , $- , $- , $- ,$4 ,$354 ,48
14,NE,FILLMORE,508,"$5,357 ","$2,880 ", $- ,$30 , $- , $- ,$133 ,"$2,314 ",258
14,NE,FRANKLIN,297,"$3,225 ","$1,926 ", $- ,$18 , $- , $- ,$27 ,"$1,254 ",164
14,NE,FRONTIER,226,"$1,240 ",$734 , $- ,$69 , $- , $- ,$30 ,$406 ,65
14,NE,FURNAS,397,"$3,552 ","$2,317 ", $- ,$46 , $- , $- ,$55 ,"$1,134 ",189
14,NE,GAGE,"1,582","$17,025 ","$10,183 ", $- ,$438 , $- , $- ,$510 ,"$5,894 ",857
14,NE,GARDEN,209,"$1,423 ",$804 , $- ,$18 , $- , $- ,$0 ,$600 ,73
14,NE,GARFIELD,132,"$1,374 ",$870 , $- ,$17 , $- , $- ,$38 ,$450 ,69
14,NE,GOSPER,152,"$1,859 ","$1,123 ", $- ,$20 , $- , $- ,$3 ,$713 ,87
14,NE,GRANT,40,$363 ,$127 , $- ,$16 , $- , $- , $- ,$220 ,20
14,NE,GREELEY,202,"$2,297 ","$1,021 ", $- ,$40 , $- , $- ,$30 ,"$1,206 ",132
14,NE,HALL,"3,840","$51,861 ","$23,856 ", $- ,"$1,241 ", $- ,$321 ,$344 ,"$26,098 ","2,227"
14,NE,HAMILTON,666,"$5,405 ","$3,075 ", $- ,$95 , $- , $- ,$41 ,"$2,194 ",324
14,NE,HARLAN,272,"$2,953 ","$1,694 ", $- ,$29 , $- , $- ,$1 ,"$1,229 ",158
14,NE,HAYES,78,$215 ,$78 , $- , $- , $- , $- ,$5 ,$132 ,16
14,NE,HITCHCOCK,238,"$2,070 ","$1,305 ", $- ,$43 , $- , $- ,$80 ,$643 ,103
14,NE,HOLT,715,"$5,065 ","$2,805 ", $- ,$58 , $- , $- ,$99 ,"$2,104 ",387
14,NE,HOOKER,60,$364 ,$161 , $- ,$70 , $- , $- ,$0 ,$132 ,22
14,NE,HOWARD,462,"$6,626 ","$4,184 ", $- ,$83 , $- , $- ,$34 ,"$2,326 ",287
14,NE,JEFFERSON,725,"$4,550 ","$2,662 ", $- ,$67 , $- , $- ,$264 ,"$1,557 ",251
14,NE,JOHNSON,381,"$1,885 ","$1,008 ", $- ,$97 , $- , $- ,$60 ,$720 ,93
14,NE,KEARNEY,487,"$3,434 ","$1,577 ", $- ,$134 , $- , $- ,$116 ,"$1,607 ",198
14,NE,KEITH,645,"$4,711 ","$2,395 ", $- ,$155 , $- , $- ,$6 ,"$2,156 ",255
14,NE,KEYA PAHA,52,"$19,597 ",$382 ,"$3,672 ", $- , $- ,"$2,615 ",$7 ,"$12,922 ",19
14,NE,KIMBALL,444,"$2,263 ","$1,103 ", $- ,$29 , $- , $- ,$2 ,"$1,129 ",138
14,NE,KNOX,746,"$5,421 ","$3,481 ", $- ,$153 , $- , $- ,$63 ,"$1,725 ",325
14,NE,LANCASTER,"19,388","$167,435 ","$73,808 ",$14 ,"$10,662 ", $- ,"$28,950 ","$2,282 ","$51,719 ","6,698"
14,NE,LINCOLN,"3,221","$19,783 ","$10,563 ", $- ,$561 , $- ,$645 ,$493 ,"$7,520 ","1,053"
14,NE,LOGAN,60,$465 ,$254 , $- ,$12 , $- , $- ,$0 ,$199 ,19
14,NE,LOUP,44,$460 ,$237 , $- ,$17 , $- , $- ,$9 ,$197 ,38
14,NE,MCPHERSON,28,$127 ,$76 , $- , $- , $- , $- ,$1 ,$50 ,11
14,NE,MADISON,"2,656","$13,204 ","$7,074 ", $- ,$592 , $- , $- ,$266 ,"$5,272 ",848
14,NE,MERRICK,583,"$7,405 ","$3,685 ", $- ,$68 , $- , $- ,$97 ,"$3,555 ",373
14,NE,MORRILL,404,"$3,320 ","$1,618 ", $- ,$99 , $- , $- ,$8 ,"$1,594 ",191
14,NE,NANCE,293,"$2,699 ","$1,184 ", $- ,$29 , $- , $- ,$15 ,"$1,470 ",132
14,NE,NEMAHA,659,"$2,929 ","$1,350 ", $- ,$252 , $- , $- ,$124 ,"$1,202 ",132
14,NE,NUCKOLLS,413,"$2,572 ","$1,567 ", $- ,$62 , $- , $- ,$4 ,$939 ,176
14,NE,OTOE,"1,328","$7,783 ","$4,338 ", $- ,$366 , $- , $- ,$174 ,"$2,904 ",405
14,NE,PAWNEE,278,"$1,419 ",$854 , $- ,$101 , $- , $- ,$30 ,$434 ,90
14,NE,PERKINS,214,"$1,257 ",$859 , $- ,$12 , $- , $- ,$26 ,$361 ,72
14,NE,PHELPS,725,"$5,148 ","$3,246 ", $- ,$151 , $- , $- ,$29 ,"$1,723 ",366
14,NE,PIERCE,522,"$2,553 ","$1,417 ", $- ,$122 , $- , $- ,$105 ,$910 ,183
14,NE,PLATTE,"2,133","$12,626 ","$6,502 ", $- ,$403 , $- , $- ,$93 ,"$5,627 ",753
14,NE,POLK,432,"$2,600 ","$1,511 ", $- ,$70 , $- , $- ,$28 ,$992 ,183
14,NE,RED WILLOW,857,"$7,180 ","$4,873 ", $- ,$201 , $- , $- ,$93 ,"$2,014 ",388
14,NE,RICHARDSON,823,"$5,980 ","$3,425 ", $- ,$68 , $- , $- ,$21 ,"$2,466 ",264
14,NE,ROCK,108,$874 ,$575 , $- ,$16 , $- , $- ,$3 ,$280 ,52
14,NE,SALINE,"1,079","$7,222 ","$3,952 ", $- ,$333 , $- , $- ,$32 ,"$2,905 ",349
14,NE,SARPY,"19,009","$174,613 ","$100,831 ","$5,083 ","$24,340 ", $- ,"$1,976 ","$1,789 ","$40,593 ","4,598"
14,NE,SAUNDERS,"1,774","$12,803 ","$7,425 ", $- ,$597 , $- , $- ,$142 ,"$4,639 ",610
14,NE,SCOTTS BLUFF,"2,720","$22,093 ","$12,169 ", $- ,$563 , $- , $- ,$144 ,"$9,217 ","1,232"
