Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,TN,ANDERSON,"7,928","$34,057 ","$22,179 ", $- ,"$2,454 ", $- , $- ,$621 ,"$8,802 ","1,537"
14,TN,BEDFORD,"3,249","$24,576 ","$10,871 ", $- ,$979 , $- , $- ,$38 ,"$12,688 ","1,041"
14,TN,BENTON,"1,756","$12,572 ","$7,249 ", $- ,$375 , $- , $- ,$45 ,"$4,902 ",483
14,TN,BLEDSOE,898,"$5,337 ","$2,586 ", $- ,$182 , $- , $- ,$26 ,"$2,543 ",288
14,TN,BLOUNT,"11,883","$57,118 ","$40,632 ", $- ,"$3,632 ", $- , $- ,$441 ,"$12,413 ","2,383"
14,TN,BRADLEY,"8,271","$38,053 ","$24,580 ", $- ,"$2,680 ", $- , $- ,$397 ,"$10,397 ","1,654"
14,TN,CAMPBELL,"2,999","$30,001 ","$22,742 ", $- ,$570 , $- , $- ,$220 ,"$6,469 ","1,018"
14,TN,CANNON,"1,020","$8,374 ","$4,402 ", $- ,$244 , $- , $- ,$36 ,"$3,692 ",378
14,TN,CARROLL,"2,956","$15,157 ","$9,275 ", $- ,$774 , $- , $- ,$75 ,"$5,032 ",552
14,TN,CARTER,"5,566","$61,202 ","$25,520 ", $- ,"$1,109 ", $- , $- ,$411 ,"$34,162 ","2,856"
14,TN,CHEATHAM,"3,302","$22,788 ","$12,109 ", $- ,"$1,776 ", $- , $- ,$121 ,"$8,783 ",829
14,TN,CHESTER,"1,199","$6,088 ","$3,677 ", $- ,$449 , $- , $- ,$113 ,"$1,849 ",271
14,TN,CLAIBORNE,"2,273","$20,107 ","$14,129 ", $- ,$728 , $- , $- ,$60 ,"$5,190 ",669
14,TN,CLAY,682,"$4,163 ","$1,988 ", $- ,$89 , $- , $- ,$3 ,"$2,083 ",202
14,TN,COCKE,"3,007","$28,529 ","$16,490 ", $- ,$570 , $- , $- ,$117 ,"$11,352 ","1,189"
14,TN,COFFEE,"4,854","$35,745 ","$19,610 ", $- ,"$1,645 ", $- , $- ,$312 ,"$14,178 ","1,574"
14,TN,CROCKETT,"1,019","$5,863 ","$3,857 ", $- ,$264 , $- , $- ,$143 ,"$1,599 ",238
14,TN,CUMBERLAND,"6,724","$36,999 ","$20,571 ", $- ,$921 , $- , $- ,$327 ,"$15,180 ","2,018"
14,TN,DAVIDSON,"37,286","$363,841 ","$129,775 ","$1,792 ","$30,644 ", $- ,"$49,902 ","$3,441 ","$148,287 ","9,978"
14,TN,DECATUR,"1,040","$8,246 ","$4,424 ", $- ,$166 , $- , $- ,$56 ,"$3,600 ",290
14,TN,DE KALB,"1,307","$8,469 ","$3,834 ", $- ,$300 , $- , $- ,$61 ,"$4,275 ",341
14,TN,DICKSON,"4,497","$30,913 ","$16,586 ", $- ,"$1,988 ", $- , $- ,$213 ,"$12,126 ",996
14,TN,DYER,"2,817","$16,856 ","$10,598 ", $- ,$696 , $- , $- ,$393 ,"$5,169 ",755
14,TN,FAYETTE,"3,831","$14,005 ","$6,434 ", $- ,$571 , $- , $- ,$176 ,"$6,824 ",689
14,TN,FENTRESS,"1,173","$11,663 ","$7,515 ", $- ,$171 , $- , $- ,$11 ,"$3,966 ",519
14,TN,FRANKLIN,"3,782","$21,562 ","$12,603 ", $- ,$790 , $- , $- ,$164 ,"$8,005 ","1,109"
14,TN,GIBSON,"4,131","$24,715 ","$14,854 ", $- ,"$1,222 ", $- , $- ,$187 ,"$8,452 ",927
14,TN,GILES,"2,272","$16,325 ","$8,830 ", $- ,$764 , $- , $- ,$109 ,"$6,624 ",588
14,TN,GRAINGER,"1,788","$11,668 ","$7,509 ", $- ,$391 , $- , $- ,$16 ,"$3,751 ",526
14,TN,GREENE,"6,116","$48,528 ","$23,832 ", $- ,"$1,313 ", $- , $- ,$351 ,"$23,033 ","2,344"
14,TN,GRUNDY,954,"$7,337 ","$4,049 ", $- ,$156 , $- , $- ,$39 ,"$3,092 ",330
14,TN,HAMBLEN,"5,277","$36,761 ","$22,206 ", $- ,"$1,506 ", $- , $- ,$354 ,"$12,695 ","1,597"
14,TN,HAMILTON,"25,904","$132,584 ","$81,110 ",$91 ,"$9,906 ", $- ,"$2,267 ","$1,897 ","$37,314 ","5,825"
14,TN,HANCOCK,515,"$3,684 ","$1,892 ", $- ,$19 , $- , $- ,$1 ,"$1,772 ",128
14,TN,HARDEMAN,"2,206","$11,513 ","$6,295 ", $- ,$353 , $- , $- ,$13 ,"$4,852 ",450
14,TN,HARDIN,"2,353","$14,838 ","$8,369 ", $- ,$315 , $- , $- ,$16 ,"$6,138 ",682
14,TN,HAWKINS,"5,395","$42,738 ","$23,312 ", $- ,$878 , $- , $- ,$73 ,"$18,475 ","1,984"
14,TN,HAYWOOD,"1,092","$6,491 ","$3,735 ", $- ,$205 , $- , $- ,$10 ,"$2,542 ",283
14,TN,HENDERSON,"1,979","$11,643 ","$6,328 ", $- ,$357 , $- , $- ,$151 ,"$4,807 ",488
14,TN,HENRY,"3,303","$23,601 ","$15,164 ", $- ,"$1,333 ", $- , $- ,$60 ,"$7,044 ",851
14,TN,HICKMAN,"2,216","$13,113 ","$6,294 ", $- ,$484 , $- , $- ,$80 ,"$6,255 ",474
14,TN,HOUSTON,914,"$7,291 ","$4,285 ", $- ,$307 , $- , $- ,$50 ,"$2,650 ",218
14,TN,HUMPHREYS,"1,829","$11,545 ","$6,855 ", $- ,$501 , $- , $- ,$146 ,"$4,042 ",404
14,TN,JACKSON,929,"$5,727 ","$2,478 ", $- ,$196 , $- , $- ,$17 ,"$3,037 ",336
14,TN,JEFFERSON,"4,902","$31,525 ","$20,594 ", $- ,"$1,268 ", $- , $- ,$124 ,"$9,539 ","1,342"
14,TN,JOHNSON,"1,614","$17,851 ","$9,274 ", $- ,$193 , $- , $- ,$114 ,"$8,270 ",739
14,TN,KNOX,"34,023","$171,972 ","$108,097 ", $- ,"$17,435 ", $- ,$191 ,"$2,482 ","$43,769 ","7,031"
14,TN,LAKE,526,"$3,535 ","$1,583 ", $- ,$46 , $- , $- ,$13 ,"$1,893 ",121
14,TN,LAUDERDALE,"1,901","$11,664 ","$6,800 ", $- ,$335 , $- , $- ,$74 ,"$4,455 ",487
14,TN,LAWRENCE,"2,773","$25,254 ","$15,402 ", $- ,$905 , $- , $- ,$103 ,"$8,845 ",836
14,TN,LEWIS,865,"$7,051 ","$4,020 ", $- ,$162 , $- , $- ,$39 ,"$2,829 ",332
14,TN,LINCOLN,"2,921","$14,810 ","$9,123 ", $- ,$694 , $- , $- ,$175 ,"$4,818 ",584
14,TN,LOUDON,"5,306","$24,048 ","$17,357 ", $- ,"$1,447 ", $- , $- ,$158 ,"$5,086 ",949
14,TN,MCMINN,"4,346","$26,878 ","$17,669 ", $- ,"$1,292 ", $- , $- ,$193 ,"$7,724 ","1,131"
14,TN,MCNAIRY,"2,763","$15,449 ","$10,104 ", $- ,$488 , $- , $- ,$82 ,"$4,776 ",601
14,TN,MACON,"1,616","$8,469 ","$4,640 ", $- ,$129 , $- , $- ,$32 ,"$3,668 ",361
14,TN,MADISON,"6,722","$41,759 ","$26,394 ", $- ,"$2,301 ", $- , $- ,$344 ,"$12,720 ","1,684"
14,TN,MARION,"2,251","$10,540 ","$5,050 ", $- ,$321 , $- , $- ,$51 ,"$5,117 ",605
14,TN,MARSHALL,"2,283","$16,423 ","$8,349 ", $- ,$627 , $- , $- ,$267 ,"$7,180 ",693
14,TN,MAURY,"6,975","$42,170 ","$24,243 ", $- ,"$2,777 ", $- , $- ,$265 ,"$14,885 ","1,571"
14,TN,MEIGS,"1,159","$7,670 ","$5,499 ", $- ,$381 , $- , $- ,$5 ,"$1,786 ",290
14,TN,MONROE,"3,470","$21,379 ","$15,397 ", $- ,$826 , $- , $- ,$88 ,"$5,068 ",842
14,TN,MONTGOMERY,"26,893","$355,682 ","$224,655 ", $- ,"$61,125 ", $- , $- ,"$3,425 ","$66,477 ","9,083"
14,TN,MOORE,598,"$1,968 ",$885 , $- ,$134 , $- , $- ,$23 ,$927 ,145
14,TN,MORGAN,"1,732","$8,916 ","$6,032 ", $- ,$303 , $- , $- ,$50 ,"$2,530 ",455
14,TN,OBION,"2,625","$14,527 ","$8,555 ", $- ,$573 , $- , $- ,$55 ,"$5,344 ",727
14,TN,OVERTON,"1,718","$11,460 ","$6,927 ", $- ,$420 , $- , $- ,$77 ,"$4,036 ",568
14,TN,PERRY,667,"$6,423 ","$3,608 ", $- ,$125 , $- , $- ,$15 ,"$2,675 ",244
14,TN,PICKETT,526,"$3,736 ","$2,628 ", $- ,$26 , $- , $- ,$11 ,"$1,071 ",176
14,TN,POLK,"1,472","$8,930 ","$6,039 ", $- ,$175 , $- , $- ,$14 ,"$2,702 ",370
14,TN,PUTNAM,"5,415","$38,246 ","$23,056 ", $- ,"$2,698 ", $- , $- ,$404 ,"$12,088 ","1,819"
14,TN,RHEA,"2,727","$15,934 ","$11,397 ", $- ,$424 , $- , $- ,$174 ,"$3,940 ",655
14,TN,ROANE,"5,448","$28,922 ","$19,987 ", $- ,"$1,353 ", $- , $- ,$244 ,"$7,339 ","1,203"
14,TN,ROBERTSON,"5,570","$36,401 ","$21,945 ", $- ,"$3,370 ", $- , $- ,$134 ,"$10,953 ","1,163"
14,TN,RUTHERFORD,"21,041","$188,283 ","$69,200 ", $- ,"$17,297 ", $- ,"$1,392 ","$1,003 ","$99,392 ","6,113"
14,TN,SCOTT,"1,534","$11,125 ","$7,860 ", $- ,$326 , $- , $- ,$17 ,"$2,921 ",452
14,TN,SEQUATCHIE,"1,084","$11,567 ","$8,147 ", $- ,$330 , $- , $- ,$138 ,"$2,952 ",369
14,TN,SEVIER,"7,528","$52,062 ","$34,019 ", $- ,"$2,193 ", $- , $- ,$632 ,"$15,218 ","2,430"
14,TN,SHELBY,"56,541","$492,469 ","$210,156 ","$2,697 ","$40,244 ", $- ,"$3,245 ","$4,157 ","$231,970 ","17,853"
14,TN,SMITH,"1,450","$7,098 ","$3,874 ", $- ,$351 , $- , $- ,$12 ,"$2,861 ",318
14,TN,STEWART,"2,021","$18,526 ","$12,622 ", $- ,"$1,270 ", $- , $- ,$192 ,"$4,442 ",557
14,TN,SULLIVAN,"14,574","$122,988 ","$68,807 ", $- ,"$3,631 ", $- , $- ,$677 ,"$49,872 ","5,438"
14,TN,SUMNER,"13,461","$75,479 ","$40,898 ", $- ,"$5,452 ", $- , $- ,$629 ,"$28,501 ","2,767"
14,TN,TIPTON,"6,091","$40,019 ","$22,596 ", $- ,"$4,264 ", $- , $- ,$443 ,"$12,716 ","1,370"
14,TN,TROUSDALE,641,"$3,728 ","$1,876 ", $- ,$88 , $- , $- ,$49 ,"$1,715 ",184
14,TN,UNICOI,"1,956","$20,201 ","$9,222 ", $- ,$415 , $- , $- ,$89 ,"$10,475 ",878
14,TN,UNION,"1,267","$6,692 ","$4,131 ", $- ,$308 , $- , $- ,$66 ,"$2,186 ",349
14,TN,VAN BUREN,500,"$2,924 ","$1,335 ", $- ,$66 , $- , $- ,$4 ,"$1,519 ",186
14,TN,WARREN,"2,563","$22,932 ","$11,081 ", $- ,$539 , $- , $- ,$76 ,"$11,235 ","1,100"
14,TN,WASHINGTON,"11,547","$162,063 ","$64,856 ","$1,449 ","$5,366 ", $- ,"$6,220 ",$622 ,"$83,550 ","5,606"
14,TN,WAYNE,"1,364","$7,754 ","$4,208 ", $- ,$217 , $- , $- ,$77 ,"$3,252 ",332
14,TN,WEAKLEY,"2,588","$13,703 ","$7,481 ", $- ,$944 , $- , $- ,$164 ,"$5,114 ",594
14,TN,WHITE,"2,132","$16,478 ","$9,361 ", $- ,$627 , $- , $- ,$135 ,"$6,354 ",747
14,TN,WILLIAMSON,"10,636","$44,125 ","$27,215 ", $- ,"$3,892 ", $- , $- ,"$1,225 ","$11,793 ","1,540"
