Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,WI,ADAMS,"2,191","$15,646 ","$6,085 ", $- ,$109 , $- , $- ,$134 ,"$9,319 ",985
14,WI,ASHLAND,"1,312","$8,281 ","$4,714 ", $- ,$370 , $- , $- ,$103 ,"$3,094 ",436
14,WI,BARRON,"3,748","$23,499 ","$11,766 ", $- ,$917 , $- , $- ,$474 ,"$10,341 ","1,326"
14,WI,BAYFIELD,"1,718","$8,772 ","$4,429 ", $- ,$174 , $- , $- ,$159 ,"$4,011 ",530
14,WI,BROWN,"17,199","$96,274 ","$47,759 ", $- ,"$6,436 ", $- , $- ,"$1,342 ","$40,738 ","5,525"
14,WI,BUFFALO,"1,112","$6,834 ","$3,933 ", $- ,$183 , $- , $- ,$142 ,"$2,577 ",395
14,WI,BURNETT,"1,729","$11,914 ","$5,910 ", $- ,$185 , $- , $- ,$40 ,"$5,780 ",631
14,WI,CALUMET,"3,069","$11,600 ","$4,950 ", $- ,$246 , $- , $- ,$167 ,"$6,237 ","1,070"
14,WI,CHIPPEWA,"5,458","$32,806 ","$15,301 ", $- ,"$1,261 ", $- , $- ,$493 ,"$15,751 ","1,740"
14,WI,CLARK,"2,085","$15,924 ","$9,339 ", $- ,$353 , $- , $- ,$79 ,"$6,153 ",902
14,WI,COLUMBIA,"4,975","$28,003 ","$12,254 ", $- ,"$1,344 ", $- , $- ,$138 ,"$14,266 ","1,376"
14,WI,CRAWFORD,"1,346","$8,526 ","$4,294 ", $- ,$155 , $- , $- ,$29 ,"$4,047 ",440
14,WI,DANE,"28,697","$171,392 ","$62,452 ","$1,431 ","$13,156 ", $- ,"$2,074 ","$4,253 ","$88,026 ","7,012"
14,WI,DODGE,"7,084","$29,558 ","$13,210 ", $- ,"$1,577 ", $- , $- ,$391 ,"$14,380 ","1,720"
14,WI,DOOR,"2,562","$13,089 ","$5,955 ", $- ,$394 , $- , $- ,$138 ,"$6,601 ",839
14,WI,DOUGLAS,"4,311","$29,782 ","$16,872 ", $- ,"$1,946 ", $- , $- ,$214 ,"$10,751 ","1,384"
14,WI,DUNN,"3,313","$17,294 ","$9,624 ", $- ,"$1,533 ", $- , $- ,$168 ,"$5,968 ",764
