Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,FL,ALACHUA,"18,515","$248,350 ","$65,757 ","$6,676 ","$12,879 ", $- ,"$4,616 ","$1,359 ","$157,064 ","7,840"
15,FL,BAKER,"2,786","$15,094 ","$6,448 ", $- ,$568 , $- , $- ,$34 ,"$8,044 ",650
15,FL,BAY,"23,522","$153,718 ","$106,397 ", $- ,"$12,982 ", $- , $- ,"$1,292 ","$33,046 ","5,756"
15,FL,BRADFORD,"4,134","$24,647 ","$8,223 ", $- ,$797 , $- , $- ,$64 ,"$15,564 ",956
15,FL,BREVARD,"65,915","$550,525 ","$300,315 ","$8,973 ","$40,579 ", $- ,$609 ,"$6,620 ","$193,430 ","23,474"
15,FL,BROWARD,"83,301","$629,104 ","$288,205 ", $- ,"$75,216 ", $- , $- ,"$8,172 ","$257,512 ","24,626"
15,FL,CALHOUN,"1,268","$8,387 ","$4,189 ", $- ,$319 , $- , $- ,$219 ,"$3,661 ",383
15,FL,CHARLOTTE,"20,182","$126,446 ","$70,948 ", $- ,"$3,720 ", $- , $- ,"$1,991 ","$49,788 ","6,852"
15,FL,CITRUS,"28,095","$143,978 ","$67,082 ", $- ,"$3,575 ", $- , $- ,"$1,394 ","$71,927 ","8,298"
15,FL,CLAY,"30,788","$197,417 ","$110,141 ", $- ,"$30,401 ", $- , $- ,"$1,796 ","$55,079 ","6,944"
15,FL,COLLIER,"28,221","$99,704 ","$56,264 ", $- ,"$5,649 ", $- , $- ,"$3,292 ","$34,498 ","6,019"
15,FL,COLUMBIA,"8,196","$113,816 ","$33,767 ", $- ,"$1,968 ", $- , $- ,$244 ,"$77,837 ","3,679"
15,FL,DE SOTO,"2,411","$15,305 ","$7,824 ", $- ,$218 , $- , $- ,$39 ,"$7,224 ",743
15,FL,DIXIE,"1,647","$20,767 ","$6,184 ", $- ,$200 , $- , $- ,$84 ,"$14,299 ",923
15,FL,DUVAL,"98,830","$603,676 ","$293,592 ",$472 ,"$105,025 ", $- ,"$1,486 ","$5,544 ","$197,558 ","24,530"
15,FL,ESCAMBIA,"41,641","$283,768 ","$173,564 ",$204 ,"$27,144 ", $- ,"$2,602 ","$2,585 ","$77,669 ","11,078"
15,FL,FLAGLER,"12,610","$71,119 ","$38,387 ", $- ,"$5,123 ", $- , $- ,$955 ,"$26,654 ","3,586"
15,FL,FRANKLIN,"1,499","$6,860 ","$3,490 ", $- ,$76 , $- , $- ,$31 ,"$3,264 ",413
15,FL,GADSDEN,"3,874","$26,360 ","$11,543 ", $- ,"$1,264 ", $- , $- ,$87 ,"$13,466 ","1,367"
15,FL,GILCHRIST,"1,647","$16,323 ","$6,104 ", $- ,$402 , $- , $- ,$43 ,"$9,775 ",706
15,FL,GLADES,"1,043","$7,183 ","$1,907 ", $- ,$86 , $- , $- ,$15 ,"$5,176 ",418
15,FL,GULF,"1,790","$9,550 ","$6,034 ", $- ,$322 , $- , $- ,$116 ,"$3,079 ",474
15,FL,HAMILTON,"1,288","$12,060 ","$5,072 ", $- ,$266 , $- , $- ,$64 ,"$6,659 ",481
15,FL,HARDEE,"1,548","$8,945 ","$4,089 ", $- ,$255 , $- , $- ,$68 ,"$4,534 ",375
15,FL,HENDRY,"1,865","$14,240 ","$7,009 ", $- ,$507 , $- , $- ,$110 ,"$6,614 ",600
15,FL,HERNANDO,"22,515","$178,957 ","$90,323 ", $- ,"$7,644 ", $- , $- ,"$1,854 ","$79,136 ","8,055"
15,FL,HIGHLANDS,"10,313","$75,311 ","$37,987 ", $- ,"$1,943 ", $- , $- ,$790 ,"$34,592 ","3,936"
15,FL,HILLSBOROUGH,"93,172","$1,070,288 ","$425,837 ","$10,662 ","$115,601 ", $- ,"$6,477 ","$8,473 ","$503,238 ","33,840"
15,FL,HOLMES,"2,068","$16,699 ","$12,301 ", $- ,$447 , $- , $- ,$94 ,"$3,856 ",578
15,FL,INDIAN RIVER,"14,810","$87,121 ","$50,537 ", $- ,"$3,164 ", $- , $- ,"$1,841 ","$31,578 ","4,798"
15,FL,JACKSON,"5,022","$34,171 ","$18,700 ", $- ,"$1,404 ", $- , $- ,$169 ,"$13,898 ","1,626"
