Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,ID,ADA,"32,554","$284,288 ","$109,092 ","$12,262 ","$21,500 ", $- ,"$9,580 ","$2,381 ","$129,472 ","11,541"
15,ID,ADAMS,468,"$2,991 ","$1,539 ", $- ,$42 , $- , $- ,$41 ,"$1,369 ",172
15,ID,BANNOCK,"6,088","$40,302 ","$19,592 ", $- ,"$3,283 ", $- , $- ,$373 ,"$17,054 ","1,953"
15,ID,BEAR LAKE,517,"$1,756 ",$900 , $- ,$15 , $- , $- ,$14 ,$826 ,113
15,ID,BENEWAH,982,"$6,493 ","$3,582 ", $- ,$98 , $- , $- ,$54 ,"$2,760 ",309
15,ID,BINGHAM,"2,980","$15,249 ","$7,572 ", $- ,$703 , $- , $- ,$78 ,"$6,896 ",784
15,ID,BLAINE,"1,385","$4,149 ","$1,775 ", $- ,$100 , $- , $- ,$108 ,"$2,166 ",197
15,ID,BOISE,808,"$9,024 ","$2,827 ", $- ,$146 , $- , $- ,$44 ,"$6,007 ",459
15,ID,BONNER,"4,566","$28,484 ","$15,547 ", $- ,$722 , $- , $- ,$410 ,"$11,805 ","1,641"
15,ID,BONNEVILLE,"7,375","$33,641 ","$17,584 ", $- ,"$2,604 ", $- , $- ,$416 ,"$13,037 ","1,778"
15,ID,BOUNDARY,"1,145","$7,867 ","$4,624 ", $- ,$87 , $- , $- ,$110 ,"$3,045 ",420
15,ID,BUTTE,250,"$1,805 ",$541 , $- ,$30 , $- , $- ,$1 ,"$1,234 ",78
15,ID,CAMAS,112,$397 ,$216 , $- ,$0 , $- , $- , $- ,$181 ,23
15,ID,CANYON,"13,965","$107,663 ","$44,877 ", $- ,"$7,529 ", $- , $- ,$916 ,"$54,341 ","5,295"
15,ID,CARIBOU,601,"$2,140 ","$1,221 ", $- ,$54 , $- , $- ,$11 ,$854 ,125
15,ID,CASSIA,"1,324","$6,575 ","$3,276 ", $- ,$286 , $- , $- ,$101 ,"$2,912 ",361
15,ID,CLARK,39,$130 ,$91 , $- , $- , $- , $- , $- ,$39 ,13
15,ID,CLEARWATER,"1,160","$7,401 ","$3,919 ", $- ,$120 , $- , $- ,$43 ,"$3,318 ",449
15,ID,CUSTER,496,"$2,770 ","$1,303 ", $- ,$43 , $- , $- ,$10 ,"$1,414 ",173
15,ID,ELMORE,"8,285","$38,183 ","$21,753 ", $- ,"$3,890 ", $- , $- ,$315 ,"$12,225 ","1,448"
15,ID,FRANKLIN,727,"$3,092 ","$1,524 ", $- ,$115 , $- , $- ,$56 ,"$1,398 ",158
15,ID,FREMONT,"1,071","$4,421 ","$2,358 ", $- ,$307 , $- , $- ,$73 ,"$1,683 ",229
15,ID,GEM,"1,545","$15,250 ","$6,254 ", $- ,$463 , $- , $- ,$99 ,"$8,435 ",720
15,ID,GOODING,"1,209","$5,645 ","$2,733 ", $- ,$175 , $- , $- ,$116 ,"$2,621 ",283
15,ID,IDAHO,"1,681","$11,859 ","$5,180 ", $- ,$230 , $- , $- ,$155 ,"$6,293 ",776
15,ID,JEFFERSON,"1,283","$8,246 ","$4,354 ", $- ,$458 , $- , $- ,$22 ,"$3,413 ",371
15,ID,JEROME,"1,494","$5,628 ","$2,593 ", $- ,$264 , $- , $- ,$139 ,"$2,632 ",367
15,ID,KOOTENAI,"13,784","$96,945 ","$51,688 ", $- ,"$4,776 ", $- , $- ,$771 ,"$39,711 ","4,840"
15,ID,LATAH,"2,768","$12,939 ","$6,110 ", $- ,"$2,969 ", $- , $- ,$153 ,"$3,707 ",547
15,ID,LEMHI,875,"$7,388 ","$3,450 ", $- ,$131 , $- , $- ,$28 ,"$3,780 ",426
15,ID,LEWIS,460,"$4,345 ","$3,143 ", $- ,$76 , $- , $- ,$30 ,"$1,096 ",135
15,ID,LINCOLN,293,"$1,574 ",$476 , $- ,$53 , $- , $- ,$41 ,"$1,004 ",131
15,ID,MADISON,"1,000","$4,969 ","$2,296 ", $- ,"$1,015 ", $- , $- ,$24 ,"$1,634 ",214
15,ID,MINIDOKA,"1,215","$6,011 ","$2,846 ", $- ,$118 , $- , $- ,$39 ,"$3,009 ",378
15,ID,NEZ PERCE,"3,876","$25,398 ","$13,541 ", $- ,"$1,285 ", $- , $- ,$346 ,"$10,226 ","1,391"
15,ID,ONEIDA,304,"$2,165 ",$893 , $- ,$49 , $- , $- ,$24 ,"$1,199 ",110
15,ID,OWYHEE,854,"$5,522 ","$2,232 ", $- ,$91 , $- , $- ,$41 ,"$3,158 ",336
15,ID,PAYETTE,"2,281","$13,796 ","$5,341 ", $- ,$710 , $- , $- ,$70 ,"$7,675 ",719
15,ID,POWER,602,"$2,522 ","$1,046 ", $- ,$102 , $- , $- ,$73 ,"$1,301 ",150
15,ID,SHOSHONE,"1,716","$9,107 ","$4,792 ", $- ,$201 , $- , $- ,$115 ,"$3,999 ",480
15,ID,TETON,355,"$1,438 ",$766 , $- ,$114 , $- , $- ,$66 ,$492 ,85
15,ID,TWIN FALLS,"6,091","$29,824 ","$13,849 ", $- ,"$1,565 ", $- , $- ,$433 ,"$13,977 ","1,750"
15,ID,VALLEY,872,"$5,395 ","$2,754 ", $- ,$67 , $- , $- ,$78 ,"$2,496 ",307
15,ID,WASHINGTON,875,"$8,618 ","$3,792 ", $- ,$137 , $- , $- ,$353 ,"$4,336 ",357
15,ID,IDAHO (Totals),"132,334","$893,404 ","$405,841 ","$12,262 ","$56,724 ", $- ,"$9,580 ","$8,767 ","$400,229 ","42,592"
15,ID,CONG. DIST (01),"68,208","$499,113 ","$239,267 ",$1 ,"$31,225 ", $- , $- ,"$5,089 ","$223,531 ","24,733"
15,ID,CONG. DIST (02),"64,127","$394,291 ","$166,575 ","$12,261 ","$25,499 ", $- ,"$9,580 ","$3,679 ","$176,698 ","17,859"
15,ID,IDAHO (Totals),"132,334","$893,404 ","$405,841 ","$12,262 ","$56,724 ", $- ,"$9,580 ","$8,767 ","$400,229 ","42,592"
