Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,PA,ADAMS,"9,225","$31,639 ","$17,658 ", $- ,"$2,742 ", $- , $- ,$522 ,"$10,717 ","1,533"
15,PA,ALLEGHENY,"87,965","$627,764 ","$194,789 ","$5,094 ","$41,919 ", $- ,"$23,546 ","$9,921 ","$352,494 ","21,562"
15,PA,ARMSTRONG,"5,986","$38,758 ","$15,366 ", $- ,"$1,314 ", $- , $- ,$430 ,"$21,649 ","2,135"
15,PA,BEAVER,"16,646","$77,603 ","$34,923 ", $- ,"$5,369 ", $- , $- ,"$1,293 ","$36,018 ","5,325"
15,PA,BEDFORD,"4,046","$29,366 ","$12,463 ", $- ,$624 , $- , $- ,$260 ,"$16,019 ","1,592"
15,PA,BERKS,"27,404","$127,595 ","$61,235 ", $- ,"$8,786 ", $- , $- ,"$2,403 ","$55,171 ","6,872"
15,PA,BLAIR,"12,293","$118,211 ","$43,988 ","$7,163 ","$4,090 ", $- ,$781 ,$669 ,"$61,520 ","4,898"
15,PA,BRADFORD,"5,982","$27,229 ","$15,292 ", $- ,"$1,223 ", $- , $- ,$361 ,"$10,353 ","1,798"
15,PA,BUCKS,"40,076","$151,895 ","$88,757 ", $- ,"$15,577 ", $- , $- ,"$4,553 ","$43,008 ","6,631"
15,PA,BUTLER,"15,126","$110,601 ","$37,106 ",$1 ,"$4,612 ", $- ,"$1,104 ","$1,326 ","$66,453 ","5,509"
15,PA,CAMBRIA,"13,695","$79,169 ","$42,265 ", $- ,"$4,053 ", $- , $- ,$670 ,"$32,183 ","4,249"
15,PA,CAMERON,579,"$2,335 ","$1,206 ", $- ,$132 , $- , $- ,$39 ,$957 ,155
15,PA,CARBON,"6,277","$33,635 ","$20,002 ", $- ,"$1,204 ", $- , $- ,$493 ,"$11,936 ","1,361"
15,PA,CENTRE,"9,395","$46,195 ","$21,239 ", $- ,"$10,620 ", $- , $- ,$954 ,"$13,382 ","2,187"
15,PA,CHESTER,"29,033","$226,526 ","$79,731 ", $- ,"$10,971 ", $- ,"$1,374 ","$3,692 ","$130,759 ","7,549"
15,PA,CLARION,"3,502","$16,015 ","$6,783 ", $- ,"$1,005 ", $- , $- ,$153 ,"$8,073 ","1,182"
15,PA,CLEARFIELD,"7,273","$41,701 ","$19,286 ", $- ,"$1,842 ", $- , $- ,$361 ,"$20,212 ","2,529"
15,PA,CLINTON,"3,417","$20,294 ","$11,801 ", $- ,"$1,258 ", $- , $- ,$213 ,"$7,022 ","1,071"
15,PA,COLUMBIA,"5,507","$28,082 ","$15,962 ", $- ,"$1,565 ", $- , $- ,$216 ,"$10,339 ","1,313"
15,PA,CRAWFORD,"7,975","$49,015 ","$21,308 ", $- ,"$1,992 ", $- , $- ,$300 ,"$25,416 ","3,028"
15,PA,CUMBERLAND,"20,893","$107,103 ","$62,969 ", $- ,"$12,971 ", $- , $- ,"$2,097 ","$29,065 ","4,186"
15,PA,DAUPHIN,"21,867","$109,340 ","$54,893 ", $- ,"$10,357 ", $- , $- ,"$1,549 ","$42,542 ","4,897"
