Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,VA,ACCOMACK,"3,612","$15,480 ","$9,161 ", $- ,$833 , $- , $- ,$162 ,"$5,323 ",667
15,VA,ALBEMARLE,"7,153","$24,990 ","$13,753 ", $- ,"$3,379 ", $- , $- ,$543 ,"$7,314 ",1026
15,VA,ALLEGHANY,"1,719","$7,868 ","$2,228 ", $- ,$107 , $- , $- ,$61 ,"$5,472 ",525
15,VA,AMELIA,"1,162","$9,278 ","$3,808 ", $- ,$343 , $- , $- ,$77 ,"$5,050 ",359
15,VA,AMHERST,"2,759","$14,817 ","$7,247 ", $- ,$803 , $- , $- ,$71 ,"$6,696 ",734
15,VA,APPOMATTOX,"1,134","$7,476 ","$3,584 ", $- ,$397 , $- , $- ,$11 ,"$3,484 ",391
15,VA,ARLINGTON,"13,240","$71,622 ","$38,646 ", $- ,"$20,855 ", $- , $- ,"$1,502 ","$10,619 ",1343
15,VA,AUGUSTA,"7,251","$26,179 ","$10,756 ", $- ,$841 , $- , $- ,$261 ,"$14,321 ",1669
15,VA,BATH,349,"$2,513 ","$1,263 ", $- ,$139 , $- , $- ,$39 ,"$1,072 ",116
15,VA,BEDFORD,"7,300","$45,497 ","$17,973 ", $- ,"$1,939 ", $- , $- ,$365 ,"$25,220 ",1904
15,VA,BLAND,772,"$4,200 ","$2,513 ", $- ,$83 , $- , $- ,$20 ,"$1,585 ",212
15,VA,BOTETOURT,"3,270","$23,784 ","$8,225 ", $- ,$531 , $- , $- ,$417 ,"$14,611 ",950
15,VA,BRUNSWICK,"1,671","$11,823 ","$4,734 ", $- ,$343 , $- , $- ,$144 ,"$6,602 ",454
15,VA,BUCHANAN,"1,189","$11,402 ","$7,955 ", $- ,$283 , $- , $- ,$109 ,"$3,056 ",401
15,VA,BUCKINGHAM,"1,327","$7,748 ","$3,265 ", $- ,$200 , $- , $- ,$44 ,"$4,239 ",296
15,VA,CAMPBELL,"4,591","$21,431 ","$8,735 ", $- ,$744 , $- , $- ,$133 ,"$11,819 ",1363
15,VA,CAROLINE,"3,500","$21,894 ","$10,315 ", $- ,"$2,048 ", $- , $- ,$71 ,"$9,459 ",760
15,VA,CARROLL,"2,409","$17,188 ","$6,282 ", $- ,$451 , $- , $- ,$49 ,"$10,405 ",970
15,VA,CHARLES CITY,731,"$5,724 ","$1,799 ", $- ,$146 , $- , $- ,$175 ,"$3,604 ",219
15,VA,CHARLOTTE,984,"$7,837 ","$4,193 ", $- ,$239 , $- , $- ,$23 ,"$3,382 ",313
15,VA,CHESTERFIELD,"31,148","$220,951 ","$106,008 ", $- ,"$20,006 ", $- , $- ,"$2,668 ","$92,269 ",7380
15,VA,CLARKE,"1,429","$7,595 ","$3,186 ", $- ,$578 , $- , $- ,$82 ,"$3,748 ",273
15,VA,CRAIG,420,"$4,797 ","$1,831 ", $- ,$33 , $- , $- ,$5 ,"$2,928 ",177
15,VA,CULPEPER,"4,258","$20,082 ","$10,348 ",$159 ,"$1,678 ", $- ,"$1,351 ",$216 ,"$6,330 ",591
15,VA,CUMBERLAND,718,"$4,530 ","$1,400 ", $- ,$96 , $- , $- ,$3 ,"$3,032 ",227
15,VA,DICKENSON,856,"$10,489 ","$5,886 ", $- ,$134 , $- , $- ,$66 ,"$4,403 ",407
15,VA,DINWIDDIE,"2,962","$18,414 ","$6,150 ", $- ,$699 , $- , $- ,$29 ,"$11,536 ",855
15,VA,ESSEX,960,"$5,602 ","$3,182 ", $- ,$169 , $- , $- ,$99 ,"$2,152 ",242
15,VA,FAIRFAX,"75,041","$425,542 ","$257,493 ", $- ,"$110,882 ", $- , $- ,"$9,833 ","$47,334 ",6988
15,VA,FAUQUIER,"7,675","$23,037 ","$14,068 ", $- ,"$3,032 ", $- , $- ,$217 ,"$5,720 ",666
15,VA,FLOYD,990,"$7,757 ","$2,885 ", $- ,$171 , $- , $- ,$27 ,"$4,675 ",398
15,VA,FLUVANNA,"3,187","$10,507 ","$5,477 ", $- ,$878 , $- , $- ,$86 ,"$4,067 ",467
15,VA,FRANKLIN,"4,894","$36,340 ","$15,393 ", $- ,"$1,026 ", $- , $- ,$260 ,"$19,661 ",1620
15,VA,FREDERICK,"8,040","$42,664 ","$18,155 ", $- ,"$3,069 ", $- , $- ,$330 ,"$21,109 ",1792
15,VA,GILES,"1,260","$9,534 ","$4,891 ", $- ,$318 , $- , $- ,$153 ,"$4,172 ",391
