Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,AR,ARKANSAS,"1,290","$11,436 ","$5,386 ", $- ,$335 , $- , $- ,$112 ,"$5,604 ",432
16,AR,ASHLEY,"1,524","$13,524 ","$7,061 ", $- ,$394 , $- , $- ,$91 ,"$5,978 ",482
16,AR,BAXTER,"5,129","$37,486 ","$22,539 ", $- ,$916 , $- , $- ,$373 ,"$13,658 ","2,011"
16,AR,BENTON,"16,857","$120,619 ","$61,941 ", $- ,"$5,199 ", $- , $- ,"$1,249 ","$52,231 ","6,342"
16,AR,BOONE,"3,264","$26,502 ","$16,539 ", $- ,$739 , $- , $- ,$496 ,"$8,728 ","1,309"
16,AR,BRADLEY,784,"$6,324 ","$3,274 ", $- ,$92 , $- , $- ,$53 ,"$2,905 ",240
16,AR,CALHOUN,350,"$2,511 ","$1,102 ", $- ,$58 , $- , $- ,$20 ,"$1,331 ",147
16,AR,CARROLL,"2,342","$19,138 ","$8,857 ", $- ,$249 , $- , $- ,$99 ,"$9,932 ",975
16,AR,CHICOT,718,"$9,255 ","$4,675 ", $- ,$188 , $- , $- ,$58 ,"$4,335 ",282
16,AR,CLARK,"1,455","$13,634 ","$7,056 ", $- ,$537 , $- , $- ,$30 ,"$6,010 ",452
16,AR,CLAY,"1,153","$12,680 ","$7,241 ", $- ,$145 , $- , $- ,$43 ,"$5,251 ",514
16,AR,CLEBURNE,"2,760","$27,220 ","$13,682 ", $- ,$447 , $- , $- ,$290 ,"$12,801 ","1,039"
16,AR,CLEVELAND,641,"$6,667 ","$3,300 ", $- ,$166 , $- , $- ,$30 ,"$3,171 ",258
16,AR,COLUMBIA,"1,654","$12,412 ","$7,038 ", $- ,$565 , $- , $- ,$190 ,"$4,619 ",482
16,AR,CONWAY,"1,612","$19,609 ","$8,533 ", $- ,$455 , $- , $- ,$37 ,"$10,585 ",719
16,AR,CRAIGHEAD,"6,083","$43,613 ","$27,167 ", $- ,"$3,149 ", $- , $- ,$576 ,"$12,722 ","1,963"
16,AR,CRAWFORD,"4,839","$47,170 ","$28,536 ", $- ,"$1,649 ", $- , $- ,$288 ,"$16,698 ","2,311"
16,AR,CRITTENDEN,"3,114","$29,078 ","$12,763 ", $- ,"$1,439 ", $- , $- ,$184 ,"$14,691 ","1,077"
16,AR,CROSS,"1,156","$8,984 ","$5,494 ", $- ,$305 , $- , $- ,$114 ,"$3,071 ",367
16,AR,DALLAS,551,"$5,204 ","$2,313 ", $- ,$124 , $- , $- ,$10 ,"$2,757 ",196
16,AR,DESHA,766,"$9,284 ","$4,550 ", $- ,$220 , $- , $- ,$33 ,"$4,481 ",373
16,AR,DREW,"1,211","$10,249 ","$5,464 ", $- ,$314 , $- , $- ,$138 ,"$4,333 ",411
16,AR,FAULKNER,"8,939","$85,178 ","$40,218 ", $- ,"$5,864 ", $- , $- ,$491 ,"$38,605 ","2,975"
16,AR,FRANKLIN,"1,440","$13,856 ","$8,496 ", $- ,$467 , $- , $- ,$34 ,"$4,859 ",709
16,AR,FULTON,"1,183","$11,811 ","$6,623 ", $- ,$179 , $- , $- ,$47 ,"$4,961 ",491
16,AR,GARLAND,"10,242","$84,322 ","$44,171 ", $- ,"$2,231 ", $- , $- ,"$1,159 ","$36,761 ","3,556"
16,AR,GRANT,"1,355","$14,238 ","$7,447 ", $- ,$394 , $- , $- ,$115 ,"$6,282 ",480
16,AR,GREENE,"2,956","$29,432 ","$18,450 ", $- ,$875 , $- , $- ,$198 ,"$9,909 ","1,321"
16,AR,HEMPSTEAD,"1,362","$9,984 ","$5,247 ", $- ,$374 , $- , $- ,$2 ,"$4,360 ",396
16,AR,HOT SPRING,"2,748","$23,851 ","$11,408 ", $- ,$546 , $- , $- ,$97 ,"$11,800 ","1,028"
16,AR,HOWARD,886,"$6,348 ","$3,903 ", $- ,$141 , $- , $- ,$2 ,"$2,302 ",270
16,AR,INDEPENDENCE,"2,683","$21,970 ","$12,125 ", $- ,$613 , $- , $- ,$97 ,"$9,134 ",895
16,AR,IZARD,"1,438","$12,750 ","$6,919 ", $- ,$269 , $- , $- ,$153 ,"$5,408 ",623
16,AR,JACKSON,"1,146","$8,643 ","$4,480 ", $- ,$209 , $- , $- ,$38 ,"$3,917 ",354
16,AR,JEFFERSON,"5,315","$67,250 ","$35,162 ", $- ,"$2,314 ", $- , $- ,$334 ,"$29,439 ","2,348"
16,AR,JOHNSON,"1,834","$15,426 ","$8,115 ", $- ,$442 , $- , $- ,$58 ,"$6,811 ",710
16,AR,LAFAYETTE,408,"$3,571 ","$1,734 ", $- ,$62 , $- , $- ,$1 ,"$1,775 ",172
16,AR,LAWRENCE,"1,166","$11,220 ","$7,220 ", $- ,$352 , $- , $- ,$151 ,"$3,496 ",414
16,AR,LEE,348,"$4,165 ","$2,138 ", $- ,$132 , $- , $- ,$11 ,"$1,884 ",165
16,AR,LINCOLN,662,"$5,489 ","$3,329 ", $- ,$161 , $- , $- ,$7 ,"$1,992 ",235
16,AR,LITTLE RIVER,"1,005","$7,046 ","$4,422 ", $- ,$91 , $- , $- ,$7 ,"$2,526 ",338
16,AR,LOGAN,"1,765","$16,885 ","$10,437 ", $- ,$386 , $- , $- ,$55 ,"$6,007 ",759
16,AR,LONOKE,"8,309","$90,119 ","$54,355 ", $- ,"$7,722 ", $- , $- ,$218 ,"$27,824 ","2,524"
16,AR,MADISON,"1,155","$13,237 ","$5,380 ", $- ,$204 , $- , $- ,$77 ,"$7,576 ",642
16,AR,MARION,"2,109","$15,955 ","$9,328 ", $- ,$376 , $- , $- ,$128 ,"$6,122 ",842
16,AR,MILLER,"3,476","$22,754 ","$12,997 ", $- ,$738 , $- , $- ,$141 ,"$8,879 ",974
16,AR,MISSISSIPPI,"2,750","$25,208 ","$13,650 ", $- ,$708 , $- , $- ,$182 ,"$10,667 ",916
16,AR,MONROE,570,"$6,359 ","$2,709 ", $- ,$65 , $- , $- ,$7 ,"$3,579 ",245
16,AR,MONTGOMERY,905,"$8,667 ","$4,331 ", $- ,$145 , $- , $- ,$23 ,"$4,168 ",408
16,AR,NEVADA,712,"$6,019 ","$3,311 ", $- ,$153 , $- , $- ,$4 ,"$2,552 ",225
16,AR,NEWTON,707,"$6,210 ","$3,145 ", $- ,$87 , $- , $- ,$23 ,"$2,954 ",310
16,AR,OUACHITA,"1,903","$18,828 ","$9,823 ", $- ,$472 , $- , $- ,$105 ,"$8,428 ",783
16,AR,PERRY,885,"$9,597 ","$4,560 ", $- ,$214 , $- , $- ,$21 ,"$4,803 ",368
16,AR,PHILLIPS,"1,131","$11,033 ","$5,470 ", $- ,$399 , $- , $- ,$44 ,"$5,120 ",464
16,AR,PIKE,822,"$7,041 ","$3,047 ", $- ,$153 , $- , $- ,$74 ,"$3,767 ",318
16,AR,POINSETT,"1,426","$12,040 ","$6,535 ", $- ,$537 , $- , $- ,$57 ,"$4,911 ",563
16,AR,POLK,"1,957","$20,755 ","$11,026 ", $- ,$449 , $- , $- ,$42 ,"$9,239 ",904
16,AR,POPE,"4,719","$38,972 ","$19,465 ", $- ,"$2,219 ", $- , $- ,$366 ,"$16,922 ","1,582"
16,AR,PRAIRIE,634,"$7,620 ","$3,103 ", $- ,$59 , $- , $- ,$22 ,"$4,435 ",294
16,AR,PULASKI,"30,934","$459,598 ","$193,943 ","$12,014 ","$20,814 ", $- ,"$23,944 ","$2,493 ","$206,389 ","12,668"
16,AR,RANDOLPH,"1,322","$15,036 ","$9,438 ", $- ,$302 , $- , $- ,$12 ,"$5,283 ",685
16,AR,SAINT FRANCIS,"1,290","$13,935 ","$7,925 ", $- ,$427 , $- , $- ,$37 ,"$5,546 ",500
16,AR,SALINE,"10,062","$79,216 ","$40,285 ", $- ,"$4,145 ", $- , $- ,$428 ,"$34,358 ","3,170"
16,AR,SCOTT,827,"$9,100 ","$4,551 ", $- ,$190 , $- , $- ,$24 ,"$4,335 ",463
16,AR,SEARCY,691,"$7,956 ","$4,707 ", $- ,$73 , $- , $- ,$38 ,"$3,138 ",324
16,AR,SEBASTIAN,"9,377","$77,945 ","$44,354 ", $- ,"$3,730 ", $- ,"$1,314 ",$471 ,"$28,076 ","4,078"
16,AR,SEVIER,886,"$6,955 ","$3,926 ", $- ,$227 , $- , $- ,$43 ,"$2,759 ",314
16,AR,SHARP,"1,857","$19,194 ","$12,077 ", $- ,$454 , $- , $- ,$118 ,"$6,546 ",782
16,AR,STONE,"1,184","$11,438 ","$7,003 ", $- ,$183 , $- , $- ,$4 ,"$4,248 ",437
16,AR,UNION,"2,945","$20,919 ","$10,924 ", $- ,$760 , $- , $- ,$157 ,"$9,078 ","1,025"
