Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,IA,ADAIR,583,"$4,215 ","$1,486 ", $- ,$69 , $- , $- ,$62 ,"$2,597 ",193
16,IA,ADAMS,325,"$2,427 ",$886 , $- ,$50 , $- , $- ,$31 ,"$1,460 ",110
16,IA,ALLAMAKEE,"1,052","$7,691 ","$3,497 ", $- ,$109 , $- , $- ,$54 ,"$4,031 ",430
16,IA,APPANOOSE,"1,020","$7,546 ","$3,550 ", $- ,$175 , $- , $- ,$18 ,"$3,804 ",424
16,IA,AUDUBON,461,"$3,498 ","$1,549 ", $- ,$108 , $- , $- ,$27 ,"$1,814 ",172
16,IA,BENTON,"2,072","$13,210 ","$5,066 ", $- ,$496 , $- , $- ,$555 ,"$7,093 ",673
16,IA,BLACK HAWK,"8,685","$47,354 ","$22,825 ", $- ,"$3,219 ", $- , $- ,$927 ,"$20,383 ","2,415"
16,IA,BOONE,"2,106","$11,704 ","$5,464 ", $- ,$700 , $- , $- ,$248 ,"$5,292 ",625
16,IA,BREMER,"1,647","$7,914 ","$4,141 ", $- ,$434 , $- , $- ,$147 ,"$3,192 ",498
16,IA,BUCHANAN,"1,494","$7,232 ","$3,502 ", $- ,$390 , $- , $- ,$19 ,"$3,321 ",419
16,IA,BUENA VISTA,"1,045","$5,624 ","$2,993 ", $- ,$328 , $- , $- ,$108 ,"$2,195 ",441
16,IA,BUTLER,"1,010","$5,666 ","$3,218 ", $- ,$267 , $- , $- ,$10 ,"$2,171 ",338
16,IA,CALHOUN,842,"$4,320 ","$2,078 ", $- ,$143 , $- , $- ,$99 ,"$2,001 ",318
16,IA,CARROLL,"1,442","$6,962 ","$3,596 ", $- ,$213 , $- , $- ,$100 ,"$3,053 ",586
16,IA,CASS,"1,034","$7,513 ","$3,744 ", $- ,$378 , $- , $- ,$27 ,"$3,364 ",357
16,IA,CEDAR,"1,519","$7,451 ","$2,795 ", $- ,$368 , $- , $- ,$106 ,"$4,182 ",450
16,IA,CERRO GORDO,"3,511","$27,074 ","$14,633 ", $- ,$413 , $- , $- ,$185 ,"$11,843 ","1,626"
16,IA,CHEROKEE,965,"$6,569 ","$3,363 ", $- ,$146 , $- , $- ,$50 ,"$3,010 ",407
16,IA,CHICKASAW,945,"$5,364 ","$2,576 ", $- ,$171 , $- , $- ,$43 ,"$2,574 ",342
16,IA,CLARKE,697,"$6,639 ","$2,972 ", $- ,$195 , $- , $- ,$103 ,"$3,369 ",314
16,IA,CLAY,"1,215","$6,259 ","$2,875 ", $- ,$139 , $- , $- ,$192 ,"$3,053 ",481
16,IA,CLAYTON,"1,363","$8,922 ","$4,200 ", $- ,$187 , $- , $- ,$40 ,"$4,496 ",578
16,IA,CLINTON,"3,921","$22,917 ","$10,241 ", $- ,"$2,826 ", $- , $- ,$319 ,"$9,531 ","1,185"
16,IA,CRAWFORD,986,"$5,647 ","$3,023 ", $- ,$73 , $- , $- ,$16 ,"$2,535 ",418
16,IA,DALLAS,"4,147","$21,504 ","$8,664 ", $- ,"$1,380 ", $- , $- ,$278 ,"$11,182 ","1,249"
16,IA,DAVIS,591,"$3,384 ","$1,814 ", $- ,$66 , $- , $- ,$25 ,"$1,479 ",194
16,IA,DECATUR,478,"$3,605 ","$1,661 ", $- ,$201 , $- , $- ,$16 ,"$1,726 ",195
16,IA,DELAWARE,"1,062","$4,958 ","$2,414 ", $- ,$240 , $- , $- ,$93 ,"$2,210 ",386
16,IA,DES MOINES,"3,418","$18,199 ","$8,791 ", $- ,$836 , $- , $- ,$252 ,"$8,320 ",953
16,IA,DICKINSON,"1,319","$8,846 ","$4,094 ", $- ,$255 , $- , $- ,$258 ,"$4,239 ",636
16,IA,DUBUQUE,"7,028","$38,617 ","$21,111 ", $- ,"$2,301 ", $- , $- ,$283 ,"$14,922 ","2,289"
16,IA,EMMET,782,"$5,114 ","$2,407 ", $- ,$167 , $- , $- ,$31 ,"$2,509 ",323
16,IA,FAYETTE,"1,620","$10,575 ","$4,057 ", $- ,"$1,052 ", $- , $- ,$110 ,"$5,356 ",579
16,IA,FLOYD,"1,342","$9,206 ","$4,431 ", $- ,$325 , $- , $- ,$56 ,"$4,393 ",524
16,IA,FRANKLIN,706,"$5,012 ","$2,204 ", $- ,$37 , $- , $- ,$87 ,"$2,684 ",297
16,IA,FREMONT,623,"$4,751 ","$2,643 ", $- ,$205 , $- , $- ,$175 ,"$1,728 ",191
16,IA,GREENE,750,"$3,931 ","$1,681 ", $- ,$94 , $- , $- ,$97 ,"$2,060 ",227
16,IA,GRUNDY,850,"$4,522 ","$2,193 ", $- ,$291 , $- , $- ,$72 ,"$1,965 ",304
16,IA,GUTHRIE,839,"$5,550 ","$2,894 ", $- ,$190 , $- , $- ,$73 ,"$2,394 ",313
16,IA,HAMILTON,"1,212","$7,610 ","$3,697 ", $- ,$232 , $- , $- ,$40 ,"$3,642 ",462
16,IA,HANCOCK,852,"$5,277 ","$2,555 ", $- ,$118 , $- , $- ,$11 ,"$2,594 ",393
16,IA,HARDIN,"1,268","$7,474 ","$3,604 ", $- ,$277 , $- , $- ,$69 ,"$3,525 ",449
