Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,KS,ALLEN,"1,035","$5,503 ","$2,702 ", $- ,$193 , $- , $- ,$51 ,"$2,557 ",290
16,KS,ANDERSON,554,"$2,884 ","$1,547 ", $- ,$243 , $- , $- ,$3 ,"$1,091 ",171
16,KS,ATCHISON,"1,082","$8,426 ","$3,740 ", $- ,$390 , $- , $- ,$95 ,"$4,201 ",325
16,KS,BARBER,311,"$1,938 ",$843 , $- ,$73 , $- , $- ,$29 ,$993 ,119
16,KS,BARTON,"1,846","$8,644 ","$4,707 ", $- ,$318 , $- , $- ,$169 ,"$3,450 ",600
16,KS,BOURBON,978,"$6,334 ","$2,915 ",$516 ,$208 , $- , $- ,$138 ,"$2,557 ",371
16,KS,BROWN,816,"$4,779 ","$2,662 ", $- ,$183 , $- , $- ,$50 ,"$1,884 ",215
16,KS,BUTLER,"5,098","$31,988 ","$15,493 ", $- ,"$2,325 ", $- , $- ,$164 ,"$14,007 ","1,287"
16,KS,CHASE,241,"$1,357 ",$554 , $- ,$38 , $- , $- ,$11 ,$755 ,62
16,KS,CHAUTAUQUA,273,"$1,899 ",$808 , $- ,$29 , $- , $- ,$0 ,"$1,062 ",97
16,KS,CHEROKEE,"1,456","$8,388 ","$4,821 ", $- ,$463 , $- , $- ,$29 ,"$3,074 ",497
16,KS,CHEYENNE,233,$730 ,$420 , $- ,$33 , $- , $- ,$67 ,$209 ,58
16,KS,CLARK,152,"$1,102 ",$450 , $- ,$43 , $- , $- ,$2 ,$607 ,69
16,KS,CLAY,"1,007","$8,364 ","$5,602 ", $- ,$761 , $- , $- ,$30 ,"$1,971 ",326
16,KS,CLOUD,718,"$3,949 ","$2,265 ", $- ,$196 , $- , $- ,$42 ,"$1,445 ",216
16,KS,COFFEY,682,"$4,221 ","$2,043 ", $- ,$211 , $- , $- ,$34 ,"$1,932 ",199
16,KS,COMANCHE,133,$544 ,$215 , $- ,$15 , $- , $- , $- ,$313 ,39
16,KS,COWLEY,"2,411","$15,868 ","$6,999 ", $- ,$954 , $- , $- ,$139 ,"$7,775 ",766
16,KS,CRAWFORD,"2,273","$12,881 ","$7,661 ", $- ,"$1,419 ", $- , $- ,$147 ,"$3,653 ",556
16,KS,DECATUR,239,"$1,622 ",$498 , $- ,$79 , $- , $- ,$2 ,"$1,044 ",79
16,KS,DICKINSON,"2,131","$20,210 ","$12,208 ", $- ,"$2,254 ", $- , $- ,$71 ,"$5,676 ",733
16,KS,DONIPHAN,596,"$3,007 ","$1,497 ", $- ,$99 , $- , $- ,$2 ,"$1,409 ",201
16,KS,DOUGLAS,"5,300","$37,695 ","$17,111 ", $- ,"$5,407 ", $- , $- ,$482 ,"$14,696 ","1,529"
16,KS,EDWARDS,202,"$1,516 ",$586 , $- ,$345 , $- , $- ,$12 ,$573 ,93
16,KS,ELK,278,"$2,066 ","$1,155 ", $- ,$26 , $- , $- ,$5 ,$879 ,88
16,KS,ELLIS,"1,514","$7,610 ","$3,890 ", $- ,$693 , $- , $- ,$61 ,"$2,967 ",592
16,KS,ELLSWORTH,426,"$3,445 ","$1,351 ", $- ,$99 , $- , $- ,$48 ,"$1,948 ",177
16,KS,FINNEY,"1,105","$5,365 ","$2,595 ", $- ,$429 , $- , $- ,$77 ,"$2,264 ",287
16,KS,FORD,"1,151","$7,254 ","$3,526 ", $- ,$695 , $- , $- ,$115 ,"$2,918 ",466
16,KS,FRANKLIN,"1,697","$12,517 ","$6,021 ", $- ,$787 , $- , $- ,$85 ,"$5,625 ",572
16,KS,GEARY,"7,085","$71,251 ","$41,237 ", $- ,"$13,728 ", $- , $- ,$250 ,"$16,036 ","2,056"
16,KS,GOVE,164,$791 ,$568 , $- ,$36 , $- , $- ,$6 ,$181 ,61
16,KS,GRAHAM,182,$881 ,$418 , $- ,$30 , $- , $- ,$80 ,$353 ,70
16,KS,GRANT,233,$976 ,$464 , $- ,$212 , $- , $- ,$57 ,$243 ,53
16,KS,GRAY,191,$866 ,$386 , $- ,$4 , $- , $- ,$0 ,$475 ,108
16,KS,GREELEY,58,$216 ,$136 , $- ,$12 , $- , $- ,$12 ,$55 ,10
16,KS,GREENWOOD,544,"$3,471 ","$2,024 ", $- ,$87 , $- , $- ,$151 ,"$1,209 ",166
16,KS,HAMILTON,112,$465 ,$314 , $- , $- , $- , $- ,$2 ,$149 ,31
16,KS,HARPER,365,"$2,022 ",$815 , $- ,$41 , $- , $- ,$11 ,"$1,155 ",109
16,KS,HARVEY,"1,970","$11,898 ","$5,744 ", $- ,$846 , $- , $- ,$207 ,"$5,100 ",518
16,KS,HASKELL,128,$663 ,$461 , $- ,$47 , $- , $- ,$0 ,$155 ,24
16,KS,HODGEMAN,163,$562 ,$265 , $- ,$4 , $- , $- ,$83 ,$210 ,38
16,KS,JACKSON,"1,196","$7,847 ","$4,509 ", $- ,$249 , $- , $- ,$36 ,"$3,054 ",396
16,KS,JEFFERSON,"1,454","$14,089 ","$6,948 ", $- ,$444 , $- , $- ,$48 ,"$6,649 ",523
16,KS,JEWELL,306,"$1,532 ",$817 , $- ,$112 , $- , $- ,$1 ,$603 ,94
16,KS,JOHNSON,"30,752","$165,482 ","$88,742 ", $- ,"$16,391 ", $- , $- ,"$3,934 ","$56,415 ","6,804"
16,KS,KEARNY,182,$571 ,$379 , $- ,$42 , $- , $- ,$5 ,$145 ,28
16,KS,KINGMAN,566,"$3,390 ","$1,273 ", $- ,$133 , $- , $- ,$102 ,"$1,882 ",169
16,KS,KIOWA,165,$595 ,$263 , $- ,$7 , $- , $- ,$17 ,$309 ,39
16,KS,LABETTE,"1,381","$8,037 ","$3,976 ", $- ,$281 , $- , $- ,$29 ,"$3,750 ",464
16,KS,LANE,114,$513 ,$262 , $- ,$11 , $- , $- ,$1 ,$240 ,40
16,KS,LEAVENWORTH,"10,243","$145,719 ","$60,041 ","$1,244 ","$10,563 ", $- ,"$9,170 ",$478 ,"$64,223 ","3,782"
16,KS,LINCOLN,268,"$1,686 ",$789 , $- ,$65 , $- , $- ,$1 ,$831 ,104
16,KS,LINN,834,"$6,829 ","$3,701 ", $- ,$102 , $- , $- ,$6 ,"$3,020 ",312
16,KS,LOGAN,207,$734 ,$436 , $- ,$112 , $- , $- ,$29 ,$157 ,62
16,KS,LYON,"1,884","$12,355 ","$6,817 ", $- ,$780 , $- , $- ,$70 ,"$4,688 ",654
16,KS,MCPHERSON,"1,725","$9,156 ","$3,887 ", $- ,$515 , $- , $- ,$30 ,"$4,724 ",489
16,KS,MARION,680,"$4,287 ","$2,225 ", $- ,$214 , $- , $- ,$53 ,"$1,795 ",214
16,KS,MARSHALL,800,"$4,665 ","$2,604 ", $- ,$169 , $- , $- ,$11 ,"$1,881 ",263
16,KS,MEADE,243,"$1,079 ",$566 , $- ,$27 , $- , $- ,$11 ,$475 ,75
16,KS,MIAMI,"2,252","$12,829 ","$6,704 ", $- ,$712 , $- , $- ,$84 ,"$5,330 ",682
16,KS,MITCHELL,409,"$1,748 ",$976 , $- ,$87 , $- , $- ,$17 ,$668 ,148
16,KS,MONTGOMERY,"2,413","$14,290 ","$8,102 ", $- ,$433 , $- , $- ,$109 ,"$5,645 ",653
16,KS,MORRIS,625,"$5,433 ","$3,132 ", $- ,$183 , $- , $- ,$14 ,"$2,104 ",197
16,KS,MORTON,135,$441 ,$335 , $- ,$1 , $- , $- ,$10 ,$95 ,31
16,KS,NEMAHA,601,"$3,456 ","$1,804 ", $- ,$123 , $- , $- ,$27 ,"$1,503 ",201
16,KS,NEOSHO,"1,109","$6,551 ","$3,531 ", $- ,$329 , $- , $- ,$55 ,"$2,636 ",358
16,KS,NESS,225,$811 ,$453 , $- ,$39 , $- , $- ,$1 ,$317 ,88
16,KS,NORTON,411,"$1,589 ",$860 , $- ,$56 , $- , $- ,$11 ,$662 ,126
16,KS,OSAGE,"1,455","$12,340 ","$5,895 ", $- ,$434 , $- , $- ,$56 ,"$5,954 ",607
16,KS,OSBORNE,235,"$1,274 ",$825 , $- ,$62 , $- , $- ,$52 ,$336 ,78
16,KS,OTTAWA,457,"$3,212 ","$1,558 ", $- ,$163 , $- , $- ,$30 ,"$1,461 ",157
16,KS,PAWNEE,457,"$3,620 ","$1,556 ", $- ,$137 , $- , $- ,$42 ,"$1,885 ",187
16,KS,PHILLIPS,350,"$2,567 ","$1,294 ", $- ,$45 , $- , $- ,$11 ,"$1,216 ",179
16,KS,POTTAWATOMIE,"1,814","$12,145 ","$5,902 ", $- ,"$1,238 ", $- , $- ,$67 ,"$4,938 ",575
16,KS,PRATT,556,"$2,741 ","$1,227 ", $- ,$73 , $- , $- ,$16 ,"$1,425 ",142
16,KS,RAWLINS,198,$547 ,$302 , $- , $- , $- , $- ,$25 ,$220 ,48
16,KS,RENO,"4,274","$25,169 ","$12,312 ", $- ,"$1,243 ", $- , $- ,$191 ,"$11,424 ","1,475"
16,KS,REPUBLIC,457,"$1,781 ",$902 , $- ,$59 , $- , $- ,$22 ,$797 ,125
16,KS,RICE,642,"$3,696 ","$1,754 ", $- ,$60 , $- , $- ,$14 ,"$1,869 ",204
16,KS,RILEY,"6,854","$52,151 ","$27,827 ", $- ,"$14,235 ", $- , $- ,$372 ,"$9,717 ","1,372"
16,KS,ROOKS,334,"$2,471 ","$1,284 ", $- ,$117 , $- , $- ,$58 ,"$1,011 ",145
16,KS,RUSH,274,"$1,461 ",$616 , $- ,$75 , $- , $- ,$49 ,$722 ,130
16,KS,RUSSELL,534,"$3,187 ","$1,810 ", $- ,$127 , $- , $- ,$25 ,"$1,225 ",208
16,KS,SALINE,"3,992","$26,594 ","$13,113 ", $- ,"$2,975 ", $- , $- ,$455 ,"$10,052 ","1,461"
16,KS,SCOTT,322,"$1,007 ",$578 , $- ,$12 , $- , $- ,$57 ,$360 ,76
16,KS,SEDGWICK,"34,386","$259,572 ","$110,533 ", $- ,"$18,790 ", $- ,"$9,830 ","$2,731 ","$117,688 ","10,025"
16,KS,SEWARD,592,"$2,495 ","$1,363 ", $- ,$149 , $- , $- ,$8 ,$975 ,172
16,KS,SHAWNEE,"14,676","$162,007 ","$70,104 ", $- ,"$6,619 ", $- ,"$2,264 ","$1,045 ","$81,975 ","5,856"
16,KS,SHERIDAN,187,$327 ,$180 , $- ,$5 , $- , $- ,$7 ,$135 ,65
16,KS,SHERMAN,353,"$1,922 ",$983 , $- ,$84 , $- , $- ,$15 ,$841 ,122
16,KS,SMITH,332,"$1,829 ",$982 , $- ,$22 , $- , $- ,$1 ,$825 ,129
16,KS,STAFFORD,292,"$1,364 ",$840 , $- ,$54 , $- , $- ,$3 ,$467 ,96
16,KS,STANTON,64,$289 ,$87 , $- , $- , $- , $- ,$158 ,$44 ,13
16,KS,STEVENS,223,$762 ,$477 , $- ,$73 , $- , $- ,$1 ,$211 ,51
16,KS,SUMNER,"1,843","$10,821 ","$5,511 ", $- ,$329 , $- , $- ,$121 ,"$4,860 ",446
16,KS,THOMAS,489,"$1,330 ",$740 , $- ,$71 , $- , $- ,$118 ,$401 ,111
16,KS,TREGO,254,"$1,522 ",$677 , $- ,$8 , $- , $- ,$9 ,$829 ,94
16,KS,WABAUNSEE,618,"$5,184 ","$2,628 ", $- ,$274 , $- , $- ,$56 ,"$2,226 ",221
16,KS,WALLACE,95,$667 ,$369 , $- ,$17 , $- , $- ,$93 ,$188 ,32
16,KS,WASHINGTON,413,"$2,773 ","$1,482 ", $- ,$64 , $- , $- ,$11 ,"$1,216 ",126
16,KS,WICHITA,79,$366 ,$249 , $- ,$21 , $- , $- ,$41 ,$56 ,17
16,KS,WILSON,667,"$4,014 ","$2,125 ", $- ,$117 , $- , $- ,$256 ,"$1,515 ",188
16,KS,WOODSON,286,"$1,738 ","$1,145 ", $- ,$32 , $- , $- ,$26 ,$535 ,85
