Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,MN,AITKIN,"1,874","$16,258 ","$8,411 ", $- ,$259 , $- , $- ,$53 ,"$7,534 ",912
16,MN,ANOKA,"22,462","$154,458 ","$72,221 ", $- ,"$9,469 ", $- , $- ,"$1,948 ","$70,819 ","7,301"
16,MN,BECKER,"3,058","$21,976 ","$11,233 ", $- ,$424 , $- , $- ,$116 ,"$10,203 ","1,204"
16,MN,BELTRAMI,"3,111","$29,936 ","$16,757 ", $- ,"$1,178 ", $- , $- ,$242 ,"$11,760 ","1,367"
16,MN,BENTON,"3,012","$30,893 ","$11,098 ", $- ,$692 , $- , $- ,$160 ,"$18,944 ","1,534"
16,MN,BIG STONE,448,"$3,556 ","$2,279 ", $- ,$97 , $- , $- ,$130 ,"$1,050 ",227
16,MN,BLUE EARTH,"3,740","$29,313 ","$14,600 ", $- ,"$2,381 ", $- , $- ,$541 ,"$11,791 ","1,348"
16,MN,BROWN,"1,893","$15,630 ","$8,764 ", $- ,$566 , $- , $- ,$389 ,"$5,911 ",838
16,MN,CARLTON,"2,882","$24,671 ","$15,286 ", $- ,"$1,126 ", $- , $- ,$113 ,"$8,145 ","1,028"
16,MN,CARVER,"4,685","$24,736 ","$12,303 ", $- ,"$1,572 ", $- , $- ,$343 ,"$10,517 ","1,236"
16,MN,CASS,"3,023","$28,742 ","$15,270 ", $- ,$464 , $- , $- ,$155 ,"$12,854 ","1,566"
16,MN,CHIPPEWA,822,"$6,937 ","$2,983 ", $- ,$144 , $- , $- ,$17 ,"$3,793 ",466
16,MN,CHISAGO,"3,995","$33,356 ","$17,066 ", $- ,"$1,871 ", $- , $- ,$371 ,"$14,048 ","1,287"
16,MN,CLAY,"3,858","$37,348 ","$15,578 ", $- ,"$2,021 ", $- , $- ,$667 ,"$19,081 ","1,681"
16,MN,CLEARWATER,875,"$8,232 ","$3,717 ", $- ,$147 , $- , $- ,$24 ,"$4,345 ",414
16,MN,COOK,458,"$3,168 ","$1,886 ", $- ,$41 , $- , $- ,$12 ,"$1,229 ",123
16,MN,COTTONWOOD,817,"$5,334 ","$3,007 ", $- ,$38 , $- , $- ,$87 ,"$2,202 ",333
16,MN,CROW WING,"5,861","$57,135 ","$31,301 ", $- ,"$1,572 ", $- , $- ,$437 ,"$23,825 ","2,934"
16,MN,DAKOTA,"25,689","$190,506 ","$88,389 ", $- ,"$14,683 ", $- , $- ,"$2,917 ","$84,517 ","7,402"
16,MN,DODGE,"1,349","$6,872 ","$3,633 ", $- ,$437 , $- , $- ,$76 ,"$2,727 ",386
16,MN,DOUGLAS,"3,095","$27,505 ","$14,144 ", $- ,$637 , $- , $- ,$380 ,"$12,344 ","1,506"
16,MN,FARIBAULT,"1,183","$8,245 ","$4,159 ", $- ,$283 , $- , $- ,$40 ,"$3,764 ",412
16,MN,FILLMORE,"1,483","$8,951 ","$5,234 ", $- ,$392 , $- , $- ,$60 ,"$3,265 ",475
16,MN,FREEBORN,"2,541","$18,419 ","$8,269 ", $- ,$280 , $- , $- ,$117 ,"$9,754 ","1,132"
16,MN,GOODHUE,"3,738","$21,892 ","$11,106 ", $- ,"$1,438 ", $- , $- ,$252 ,"$9,096 ","1,039"
16,MN,GRANT,508,"$4,566 ","$2,650 ", $- ,$66 , $- , $- ,$22 ,"$1,828 ",210
16,MN,HENNEPIN,"56,055","$491,631 ","$159,137 ",$411 ,"$28,741 ", $- ,"$84,867 ","$8,261 ","$210,215 ","15,754"
16,MN,HOUSTON,"1,391","$9,310 ","$5,434 ", $- ,$424 , $- , $- ,$164 ,"$3,289 ",637
16,MN,HUBBARD,"2,062","$17,434 ","$9,446 ", $- ,$422 , $- , $- ,$133 ,"$7,433 ",885
16,MN,ISANTI,"2,871","$23,491 ","$11,012 ", $- ,$744 , $- , $- ,$90 ,"$11,646 ","1,228"
16,MN,ITASCA,"4,354","$35,691 ","$20,743 ", $- ,$788 , $- , $- ,$538 ,"$13,622 ","1,857"
16,MN,JACKSON,756,"$5,348 ","$2,214 ", $- ,$211 , $- , $- ,$91 ,"$2,831 ",330
16,MN,KANABEC,"1,411","$13,123 ","$5,634 ", $- ,$178 , $- , $- ,$49 ,"$7,262 ",712
16,MN,KANDIYOHI,"2,516","$22,873 ","$12,078 ", $- ,$435 , $- , $- ,$284 ,"$10,075 ","1,317"
16,MN,KITTSON,316,"$2,070 ","$1,093 ", $- ,$41 , $- , $- ,$29 ,$906 ,161
16,MN,KOOCHICHING,"1,186","$8,644 ","$5,494 ", $- ,$220 , $- , $- ,$92 ,"$2,839 ",423
16,MN,LAC QUI PARLE,607,"$4,681 ","$2,257 ", $- ,$36 , $- , $- ,$88 ,"$2,299 ",363
16,MN,LAKE,"1,100","$7,605 ","$4,957 ", $- ,$126 , $- , $- ,$97 ,"$2,425 ",418
16,MN,LAKE OF THE WOODS,377,"$2,677 ","$1,528 ", $- ,$88 , $- , $- ,$1 ,"$1,060 ",165
16,MN,LE SUEUR,"1,952","$11,299 ","$5,398 ", $- ,$444 , $- , $- ,$238 ,"$5,220 ",707
16,MN,LINCOLN,492,"$2,908 ","$1,297 ", $- ,$73 , $- , $- ,$31 ,"$1,508 ",184
16,MN,LYON,"1,482","$9,342 ","$4,839 ", $- ,$546 , $- , $- ,$58 ,"$3,899 ",528
16,MN,MCLEOD,"2,706","$16,875 ","$8,379 ", $- ,$680 , $- , $- ,$82 ,"$7,733 ","1,076"
