Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,MT,BEAVERHEAD,770,"$5,507 ","$3,007 ", $- ,$337 , $- , $- ,$35 ,"$2,128 ",284
16,MT,BIG HORN,624,"$5,632 ","$2,398 ", $- ,$204 , $- , $- ,$0 ,"$3,029 ",257
16,MT,BLAINE,453,"$5,576 ","$2,532 ", $- ,$166 , $- , $- ,$14 ,"$2,865 ",238
16,MT,BROADWATER,648,"$7,746 ","$3,002 ", $- ,$144 , $- , $- ,$15 ,"$4,586 ",425
16,MT,CARBON,"1,027","$6,905 ","$3,033 ", $- ,$196 , $- , $- ,$18 ,"$3,658 ",370
16,MT,CARTER,100,$728 ,$290 , $- ,$9 , $- , $- ,$2 ,$428 ,45
16,MT,CASCADE,"11,156","$87,659 ","$49,278 ", $- ,"$6,851 ", $- , $- ,$760 ,"$30,769 ","3,512"
16,MT,CHOUTEAU,408,"$3,692 ","$1,588 ", $- ,$97 , $- , $- ,$16 ,"$1,990 ",185
16,MT,CUSTER,"1,069","$14,410 ","$4,099 ", $- ,$153 , $- , $- ,$59 ,"$10,098 ",452
16,MT,DANIELS,156,"$1,073 ",$473 , $- ,$24 , $- , $- , $- ,$576 ,57
16,MT,DAWSON,710,"$4,637 ","$1,927 ", $- ,$151 , $- , $- ,$85 ,"$2,474 ",265
16,MT,DEER LODGE,923,"$8,869 ","$3,341 ", $- ,$204 , $- , $- ,$4 ,"$5,319 ",440
16,MT,FALLON,165,"$1,123 ",$380 , $- ,$2 , $- , $- ,$20 ,$720 ,47
16,MT,FERGUS,"1,012","$9,098 ","$4,080 ", $- ,$86 , $- , $- ,$83 ,"$4,849 ",481
16,MT,FLATHEAD,"8,755","$60,209 ","$31,826 ", $- ,"$2,892 ", $- , $- ,$319 ,"$25,171 ","3,623"
16,MT,GALLATIN,"6,003","$42,125 ","$19,193 ", $- ,"$6,417 ", $- , $- ,$552 ,"$15,964 ","2,000"
16,MT,GARFIELD,71,$330 ,$118 , $- ,$5 , $- , $- ,$0 ,$207 ,38
16,MT,GLACIER,702,"$7,567 ","$3,774 ", $- ,$135 , $- , $- ,$19 ,"$3,639 ",354
16,MT,GOLDEN VALLEY,80,"$1,142 ",$508 , $- ,$6 , $- , $- , $- ,$628 ,36
