Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,NC,ALAMANCE,"9,832","$78,836 ","$38,221 ", $- ,"$2,771 ", $- , $- ,$797 ,"$37,047 ","2,724"
16,NC,ALEXANDER,"2,284","$20,244 ","$10,506 ", $- ,$536 , $- , $- ,$79 ,"$9,123 ",937
16,NC,ALLEGHANY,863,"$6,197 ","$3,885 ", $- ,$112 , $- , $- ,$25 ,"$2,175 ",278
16,NC,ANSON,"1,532","$12,312 ","$6,680 ", $- ,$257 , $- , $- ,$78 ,"$5,297 ",543
16,NC,ASHE,"1,896","$14,470 ","$9,402 ", $- ,$363 , $- , $- ,$32 ,"$4,672 ",685
16,NC,AVERY,"1,178","$8,799 ","$5,615 ", $- ,$446 , $- , $- ,$35 ,"$2,702 ",375
16,NC,BEAUFORT,"3,571","$34,239 ","$20,788 ", $- ,"$1,102 ", $- , $- ,$322 ,"$12,027 ","1,232"
16,NC,BERTIE,"1,124","$9,454 ","$5,577 ", $- ,$229 , $- , $- ,$64 ,"$3,584 ",320
16,NC,BLADEN,"2,065","$23,873 ","$13,931 ", $- ,$658 , $- , $- ,$133 ,"$9,150 ",865
16,NC,BRUNSWICK,"13,741","$92,905 ","$63,838 ", $- ,"$3,097 ", $- , $- ,$941 ,"$25,029 ","3,688"
16,NC,BUNCOMBE,"18,739","$199,327 ","$77,546 ",$68 ,"$5,837 ", $- ,"$3,180 ","$2,581 ","$110,115 ","7,785"
16,NC,BURKE,"6,811","$57,177 ","$27,599 ", $- ,"$1,120 ", $- , $- ,$392 ,"$28,065 ","2,562"
16,NC,CABARRUS,"13,007","$104,463 ","$55,328 ", $- ,"$7,001 ", $- , $- ,$942 ,"$41,192 ","4,189"
16,NC,CALDWELL,"5,526","$45,253 ","$24,705 ", $- ,"$1,097 ", $- , $- ,$301 ,"$19,150 ","2,266"
16,NC,CAMDEN,"1,247","$11,204 ","$7,707 ", $- ,"$1,557 ", $- , $- ,$102 ,"$1,837 ",251
16,NC,CARTERET,"8,042","$72,642 ","$49,904 ", $- ,"$4,259 ", $- , $- ,$582 ,"$17,897 ","2,624"
16,NC,CASWELL,"1,570","$12,056 ","$5,296 ", $- ,$332 , $- , $- ,$55 ,"$6,373 ",544
16,NC,CATAWBA,"9,901","$83,623 ","$45,352 ", $- ,"$3,508 ", $- , $- ,$583 ,"$34,180 ","4,003"
16,NC,CHATHAM,"5,380","$22,994 ","$10,339 ", $- ,$882 , $- , $- ,$567 ,"$11,207 ","1,013"
16,NC,CHEROKEE,"2,695","$24,515 ","$14,222 ", $- ,$361 , $- , $- ,$217 ,"$9,714 ","1,176"
16,NC,CHOWAN,"1,273","$7,742 ","$4,988 ", $- ,$269 , $- , $- ,$109 ,"$2,376 ",258
16,NC,CLAY,"1,100","$8,771 ","$5,094 ", $- ,$115 , $- , $- ,$50 ,"$3,511 ",435
16,NC,CLEVELAND,"6,299","$57,904 ","$33,024 ", $- ,"$2,364 ", $- , $- ,$466 ,"$22,049 ","2,369"
16,NC,COLUMBUS,"3,854","$39,229 ","$25,169 ", $- ,"$1,027 ", $- , $- ,$119 ,"$12,913 ","1,408"
16,NC,CRAVEN,"15,848","$129,103 ","$92,499 ",$229 ,"$14,128 ", $- ,$19 ,$669 ,"$21,559 ","3,219"
16,NC,CUMBERLAND,"58,013","$823,281 ","$529,088 ","$2,151 ","$101,829 ", $- ,"$2,755 ","$3,985 ","$183,473 ","20,782"
16,NC,CURRITUCK,"3,216","$23,480 ","$15,467 ", $- ,"$3,470 ", $- , $- ,$180 ,"$4,362 ",559
16,NC,DARE,"3,186","$13,975 ","$9,336 ", $- ,$783 , $- , $- ,$268 ,"$3,589 ",453
16,NC,DAVIDSON,"10,705","$75,184 ","$32,796 ", $- ,"$2,169 ", $- , $- ,$418 ,"$39,801 ","3,668"
16,NC,DAVIE,"2,956","$21,965 ","$11,087 ", $- ,$508 , $- , $- ,$199 ,"$10,171 ","1,012"
