Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,OK,ADAIR,"1,349","$16,484 ","$11,088 ", $- ,$355 , $- , $- ,$47 ,"$4,994 ",545
16,OK,ALFALFA,471,"$1,874 ","$1,117 ", $- ,$89 , $- , $- ,$11 ,$657 ,82
16,OK,ATOKA,"1,039","$10,648 ","$6,723 ", $- ,$216 , $- , $- ,$36 ,"$3,673 ",402
16,OK,BEAVER,315,"$1,472 ",$870 , $- ,$11 , $- , $- , $- ,$591 ,73
16,OK,BECKHAM,"1,233","$7,997 ","$4,985 ", $- ,$362 , $- , $- ,$48 ,"$2,602 ",304
16,OK,BLAINE,661,"$5,899 ","$3,352 ", $- ,$205 , $- , $- ,$69 ,"$2,274 ",188
16,OK,BRYAN,"3,216","$35,232 ","$23,359 ", $- ,$869 , $- , $- ,$147 ,"$10,856 ","1,295"
16,OK,CADDO,"2,102","$21,954 ","$15,641 ", $- ,$761 , $- , $- ,$144 ,"$5,409 ",621
16,OK,CANADIAN,"10,571","$83,847 ","$54,464 ", $- ,"$5,922 ", $- , $- ,$712 ,"$22,749 ","2,665"
16,OK,CARTER,"3,597","$34,527 ","$23,786 ", $- ,$864 , $- , $- ,$177 ,"$9,700 ","1,159"
16,OK,CHEROKEE,"3,464","$44,314 ","$26,754 ", $- ,"$1,542 ", $- , $- ,$260 ,"$15,758 ","1,494"
16,OK,CHOCTAW,"1,149","$12,992 ","$8,956 ", $- ,$175 , $- , $- ,$91 ,"$3,770 ",423
16,OK,CIMARRON,132,$863 ,$414 , $- ,$0 , $- , $- ,$48 ,$402 ,45
16,OK,CLEVELAND,"22,316","$225,033 ","$149,831 ", $- ,"$21,007 ", $- , $- ,"$1,673 ","$52,521 ","6,042"
16,OK,COAL,372,"$4,232 ","$3,083 ", $- ,$107 , $- , $- ,$17 ,"$1,025 ",133
16,OK,COMANCHE,"19,010","$282,556 ","$216,040 ",$430 ,"$22,490 ", $- ,$787 ,"$1,952 ","$40,858 ","7,286"
16,OK,COTTON,561,"$6,528 ","$4,881 ", $- ,$370 , $- , $- ,$81 ,"$1,196 ",179
16,OK,CRAIG,"1,213","$14,635 ","$8,252 ", $- ,$336 , $- , $- ,$25 ,"$6,022 ",598
16,OK,CREEK,"6,186","$50,064 ","$32,868 ", $- ,"$1,832 ", $- , $- ,$263 ,"$15,101 ","1,766"
16,OK,CUSTER,"1,829","$16,303 ","$9,546 ", $- ,$800 , $- , $- ,$30 ,"$5,927 ",532
16,OK,DELAWARE,"3,961","$38,303 ","$22,270 ", $- ,$618 , $- , $- ,$113 ,"$15,302 ","1,755"
16,OK,DEWEY,333,"$2,375 ","$1,728 ", $- ,$32 , $- , $- ,$27 ,$588 ,74
16,OK,ELLIS,285,"$2,247 ","$1,341 ", $- ,$63 , $- , $- ,$39 ,$804 ,60
16,OK,GARFIELD,"5,321","$35,061 ","$24,185 ", $- ,"$1,967 ", $- , $- ,$345 ,"$8,564 ","1,153"
16,OK,GARVIN,"1,893","$26,668 ","$19,594 ", $- ,$430 , $- , $- ,$168 ,"$6,477 ",669
16,OK,GRADY,"4,191","$36,074 ","$23,796 ", $- ,"$1,094 ", $- , $- ,$433 ,"$10,750 ","1,164"
16,OK,GRANT,350,"$1,960 ","$1,258 ", $- ,$63 , $- , $- ,$5 ,$635 ,78
16,OK,GREER,432,"$5,254 ","$3,686 ", $- ,$94 , $- , $- ,$63 ,"$1,411 ",144
16,OK,HARMON,198,"$1,703 ","$1,292 ", $- ,$32 , $- , $- ,$13 ,$366 ,57
16,OK,HARPER,187,"$1,865 ","$1,155 ", $- ,$6 , $- , $- ,$51 ,$653 ,67
16,OK,HASKELL,934,"$15,264 ","$9,734 ", $- ,$127 , $- , $- ,$126 ,"$5,277 ",473
16,OK,HUGHES,"1,022","$13,150 ","$9,043 ", $- ,$259 , $- , $- ,$73 ,"$3,775 ",404
16,OK,JACKSON,"3,292","$31,090 ","$23,728 ", $- ,"$2,267 ", $- , $- ,$151 ,"$4,944 ",680
16,OK,JEFFERSON,426,"$4,739 ","$3,461 ", $- ,$28 , $- , $- ,$11 ,"$1,239 ",151
16,OK,JOHNSTON,813,"$10,031 ","$6,985 ", $- ,$384 , $- , $- ,$30 ,"$2,633 ",326
16,OK,KAY,"3,574","$28,826 ","$17,911 ", $- ,"$1,028 ", $- , $- ,$224 ,"$9,663 ","1,088"
16,OK,KINGFISHER,733,"$5,022 ","$3,942 ", $- ,$264 , $- , $- ,$13 ,$803 ,160
16,OK,KIOWA,771,"$7,283 ","$5,140 ", $- ,$214 , $- , $- ,$28 ,"$1,901 ",231
16,OK,LATIMER,879,"$19,431 ","$12,414 ", $- ,$350 , $- , $- ,$90 ,"$6,577 ",589
16,OK,LE FLORE,"3,983","$44,092 ","$28,701 ", $- ,$900 , $- , $- ,$159 ,"$14,333 ","1,783"
16,OK,LINCOLN,"3,159","$28,787 ","$17,983 ", $- ,$774 , $- , $- ,$141 ,"$9,889 ","1,003"
16,OK,LOGAN,"3,722","$25,024 ","$14,753 ", $- ,"$1,144 ", $- , $- ,$40 ,"$9,088 ","1,006"
16,OK,LOVE,658,"$5,748 ","$3,750 ", $- ,$124 , $- , $- ,$57 ,"$1,816 ",290
16,OK,MCCLAIN,"2,862","$40,431 ","$30,231 ", $- ,"$1,516 ", $- , $- ,$185 ,"$8,499 ",952
16,OK,MCCURTAIN,"2,332","$23,144 ","$15,520 ", $- ,$438 , $- , $- ,$52 ,"$7,135 ",802
16,OK,MCINTOSH,"2,062","$35,176 ","$21,837 ", $- ,$487 , $- , $- ,$91 ,"$12,761 ","1,030"
16,OK,MAJOR,579,"$2,867 ","$1,724 ", $- ,$107 , $- , $- ,$13 ,"$1,022 ",105
16,OK,MARSHALL,"1,205","$13,046 ","$9,085 ", $- ,$156 , $- , $- ,$59 ,"$3,745 ",479
16,OK,MAYES,"3,538","$39,709 ","$23,681 ", $- ,$750 , $- , $- ,$201 ,"$15,077 ","1,387"
16,OK,MURRAY,"1,168","$15,914 ","$9,764 ", $- ,$281 , $- , $- ,$17 ,"$5,851 ",474
16,OK,MUSKOGEE,"5,850","$237,160 ","$64,003 ",$51 ,"$2,353 ", $- ,"$123,226 ",$347 ,"$47,181 ","3,247"
16,OK,NOBLE,815,"$5,615 ","$3,434 ", $- ,$270 , $- , $- ,$55 ,"$1,857 ",209
16,OK,NOWATA,818,"$7,132 ","$4,842 ", $- ,$277 , $- , $- ,$16 ,"$1,998 ",244
16,OK,OKFUSKEE,894,"$9,157 ","$6,230 ", $- ,$237 , $- , $- ,$12 ,"$2,678 ",313
16,OK,OKLAHOMA,"57,611","$578,453 ","$354,553 ","$3,656 ","$40,515 ", $- ,"$2,393 ","$5,117 ","$172,220 ","15,827"
16,OK,OKMULGEE,"3,280","$39,478 ","$22,864 ", $- ,$949 , $- , $- ,$115 ,"$15,550 ","1,418"
16,OK,OSAGE,"3,684","$17,591 ","$8,624 ", $- ,$193 , $- , $- ,$54 ,"$8,720 ","1,142"
16,OK,OTTAWA,"2,610","$28,761 ","$19,530 ", $- ,$819 , $- , $- ,$180 ,"$8,232 ",961
16,OK,PAWNEE,"1,356","$11,744 ","$7,412 ", $- ,$322 , $- , $- ,$36 ,"$3,975 ",419
16,OK,PAYNE,"4,362","$35,564 ","$22,241 ", $- ,"$4,002 ", $- , $- ,$612 ,"$8,709 ","1,185"
16,OK,PITTSBURG,"4,006","$48,044 ","$29,333 ", $- ,"$1,211 ", $- , $- ,$211 ,"$17,289 ","1,759"
16,OK,PONTOTOC,"2,611","$28,046 ","$19,444 ", $- ,"$1,177 ", $- , $- ,$123 ,"$7,301 ",949
16,OK,POTTAWATOMIE,"6,194","$63,859 ","$43,788 ", $- ,"$2,877 ", $- , $- ,$245 ,"$16,950 ","1,784"
16,OK,PUSHMATAHA,"1,026","$13,460 ","$9,473 ", $- ,$219 , $- , $- ,$28 ,"$3,741 ",449
16,OK,ROGER MILLS,238,"$1,430 ",$976 , $- ,$20 , $- , $- ,$0 ,$433 ,52
16,OK,ROGERS,"8,505","$67,317 ","$41,738 ", $- ,"$2,719 ", $- , $- ,$433 ,"$22,428 ","2,570"
16,OK,SEMINOLE,"1,916","$19,479 ","$13,100 ", $- ,$451 , $- , $- ,$325 ,"$5,604 ",639
16,OK,SEQUOYAH,"3,218","$47,529 ","$30,948 ", $- ,$761 , $- , $- ,$183 ,"$15,637 ","1,626"
16,OK,STEPHENS,"3,873","$44,635 ","$31,891 ", $- ,"$1,428 ", $- , $- ,$154 ,"$11,161 ","1,290"
16,OK,TEXAS,633,"$3,639 ","$2,111 ", $- ,$109 , $- , $- ,$103 ,"$1,316 ",203
16,OK,TILLMAN,574,"$5,768 ","$4,182 ", $- ,$232 , $- , $- ,$26 ,"$1,328 ",192
16,OK,TULSA,"43,150","$345,887 ","$221,181 ", $- ,"$23,078 ", $- , $- ,"$3,738 ","$97,890 ","11,935"
16,OK,WAGONER,"6,423","$62,831 ","$38,723 ", $- ,"$2,233 ", $- , $- ,$366 ,"$21,509 ","2,208"
16,OK,WASHINGTON,"4,181","$33,936 ","$23,988 ", $- ,"$1,400 ", $- , $- ,$449 ,"$8,099 ","1,198"
16,OK,WASHITA,844,"$5,654 ","$4,300 ", $- ,$144 , $- , $- ,$13 ,"$1,197 ",175
16,OK,WOODS,554,"$2,676 ","$1,672 ", $- ,$189 , $- , $- ,$14 ,$801 ,122
16,OK,WOODWARD,"1,198","$7,019 ","$4,760 ", $- ,$206 , $- , $- ,$100 ,"$1,953 ",269
16,OK,OKLAHOMA (Totals),"306,074","$3,209,604 ","$2,011,045 ","$4,137 ","$162,696 ", $- ,"$126,405 ","$21,900 ","$883,420 ","96,851"
16,OK,CONG. DIST (01),"55,812","$455,355 ","$291,904 ", $- ,"$26,745 ", $- , $- ,"$4,546 ","$132,161 ","15,934"
16,OK,CONG. DIST (02),"61,254","$875,968 ","$468,057 ",$51 ,"$17,136 ", $- ,"$123,226 ","$3,071 ","$264,426 ","26,083"
16,OK,CONG. DIST (03),"57,679","$449,956 ","$292,627 ",$178 ,"$23,455 ", $- , $- ,"$3,496 ","$130,200 ","15,376"
16,OK,CONG. DIST (04),"73,377","$822,904 ","$578,264 ",$430 ,"$55,038 ", $- ,$787 ,"$5,614 ","$182,771 ","23,604"
16,OK,CONG. DIST (05),"57,951","$605,421 ","$380,193 ","$3,478 ","$40,322 ", $- ,"$2,393 ","$5,174 ","$173,862 ","15,854"
16,OK,OKLAHOMA (Totals),"306,074","$3,209,604 ","$2,011,045 ","$4,137 ","$162,696 ", $- ,"$126,405 ","$21,900 ","$883,420 ","96,851"
