Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,SD,AURORA,216,"$1,768 ",$984 , $- ,$17 , $- , $- ,$1 ,$767 ,104
16,SD,BEADLE,"1,160","$6,864 ","$3,262 ", $- ,$204 , $- , $- ,$90 ,"$3,309 ",424
16,SD,BENNETT,181,"$2,126 ","$1,005 ", $- ,$30 , $- , $- ,$3 ,"$1,088 ",111
16,SD,BON HOMME,503,"$4,173 ","$1,704 ", $- ,$139 , $- , $- ,$35 ,"$2,295 ",252
16,SD,BROOKINGS,"1,913","$11,139 ","$4,881 ", $- ,"$1,473 ", $- , $- ,$228 ,"$4,557 ",654
16,SD,BROWN,"2,562","$16,282 ","$7,932 ", $- ,$664 , $- , $- ,$271 ,"$7,414 ","1,246"
16,SD,BRULE,345,"$1,823 ",$964 , $- ,$104 , $- , $- ,$12 ,$743 ,101
16,SD,BUFFALO,112,"$1,141 ",$512 , $- ,$12 , $- , $- , $- ,$618 ,54
16,SD,BUTTE,994,"$12,971 ","$4,346 ", $- ,$215 , $- , $- ,$3 ,"$8,407 ",570
16,SD,CAMPBELL,101,$888 ,$350 , $- ,$27 , $- , $- , $- ,$511 ,81
16,SD,CHARLES MIX,628,"$5,344 ","$2,039 ", $- ,$150 , $- , $- ,$106 ,"$3,049 ",265
16,SD,CLARK,237,"$1,900 ",$851 , $- ,$29 , $- , $- ,$11 ,"$1,009 ",130
16,SD,CLAY,770,"$5,941 ","$2,351 ", $- ,"$1,136 ", $- , $- ,$62 ,"$2,391 ",277
16,SD,CODINGTON,"2,110","$12,568 ","$5,781 ", $- ,$624 , $- , $- ,$46 ,"$6,117 ",881
16,SD,CORSON,238,"$2,341 ","$1,043 ", $- ,($1), $- , $- ,$3 ,"$1,297 ",135
16,SD,CUSTER,"1,164","$16,659 ","$4,564 ", $- ,$222 , $- , $- ,$39 ,"$11,834 ",846
16,SD,DAVISON,"1,376","$8,606 ","$4,388 ", $- ,$601 , $- , $- ,$112 ,"$3,504 ",450
16,SD,DAY,565,"$4,275 ","$1,897 ", $- ,$65 , $- , $- ,$80 ,"$2,233 ",268
16,SD,DEUEL,347,"$2,714 ","$1,208 ", $- ,$139 , $- , $- ,$2 ,"$1,365 ",181
16,SD,DEWEY,379,"$4,100 ","$1,543 ", $- ,$55 , $- , $- ,$16 ,"$2,487 ",190
16,SD,DOUGLAS,270,"$1,097 ",$478 , $- ,$12 , $- , $- ,$1 ,$606 ,109
16,SD,EDMUNDS,281,"$1,664 ",$622 , $- ,$90 , $- , $- ,$85 ,$868 ,161
16,SD,FALL RIVER,931,"$26,555 ","$9,904 ", $- ,$159 , $- ,$390 ,$40 ,"$16,062 ",687
16,SD,FAULK,176,$767 ,$330 , $- ,$12 , $- , $- ,$11 ,$413 ,83
16,SD,GRANT,562,"$3,753 ","$1,915 ", $- ,$31 , $- , $- ,$4 ,"$1,803 ",269
16,SD,GREGORY,338,"$3,369 ","$1,391 ", $- ,$27 , $- , $- ,$1 ,"$1,950 ",181
16,SD,HAAKON,120,$763 ,$263 , $- ,$20 , $- , $- ,$28 ,$452 ,68
16,SD,HAMLIN,439,"$2,588 ","$1,340 ", $- ,$35 , $- , $- ,$43 ,"$1,170 ",145
16,SD,HAND,245,"$1,400 ",$660 , $- ,$48 , $- , $- ,$33 ,$658 ,126
16,SD,HANSON,216,"$2,794 ","$1,196 ", $- ,$125 , $- , $- ,$61 ,"$1,412 ",146
