Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,AL,AUTAUGA,"6,019","$49,826 ","$32,782 ", $- ,"$5,502 ", $- , $- ,$325 ,"$11,218 ","1,388"
14,AL,BALDWIN,"20,083","$98,756 ","$62,133 ", $- ,"$7,751 ", $- , $- ,"$1,886 ","$26,985 ","4,507"
14,AL,BARBOUR,"2,408","$16,680 ","$11,476 ", $- ,$499 , $- , $- ,$169 ,"$4,536 ",600
14,AL,BIBB,"1,321","$13,728 ","$8,048 ", $- ,$412 , $- , $- ,$34 ,"$5,234 ",505
14,AL,BLOUNT,"4,812","$23,123 ","$11,066 ", $- ,$652 , $- , $- ,$448 ,"$10,957 ","1,058"
14,AL,BULLOCK,907,"$7,335 ","$4,082 ", $- ,$256 , $- , $- ,$3 ,"$2,994 ",221
14,AL,BUTLER,"1,824","$12,620 ","$7,853 ", $- ,$704 , $- , $- ,$46 ,"$4,017 ",441
14,AL,CALHOUN,"11,922","$91,738 ","$62,041 ", $- ,"$5,056 ", $- , $- ,$856 ,"$23,784 ","3,284"
14,AL,CHAMBERS,"3,120","$23,250 ","$15,702 ", $- ,$920 , $- , $- ,$176 ,"$6,452 ",820
14,AL,CHEROKEE,"2,176","$12,350 ","$7,858 ", $- ,$217 , $- , $- ,$77 ,"$4,197 ",511
14,AL,CHILTON,"3,377","$27,428 ","$17,997 ", $- ,$946 , $- , $- ,$125 ,"$8,360 ",881
14,AL,CHOCTAW,934,"$10,332 ","$7,479 ", $- ,$181 , $- , $- ,$4 ,"$2,668 ",330
14,AL,CLARKE,"1,779","$14,486 ","$9,670 ", $- ,$495 , $- , $- ,$182 ,"$4,140 ",548
14,AL,CLAY,"1,243","$7,265 ","$4,888 ", $- ,$203 , $- , $- ,$30 ,"$2,145 ",320
14,AL,CLEBURNE,974,"$5,806 ","$3,711 ", $- ,$214 , $- , $- ,$26 ,"$1,856 ",255
14,AL,COFFEE,"7,341","$69,687 ","$51,061 ", $- ,"$7,197 ", $- , $- ,$319 ,"$11,111 ","1,762"
14,AL,COLBERT,"4,787","$35,997 ","$24,589 ", $- ,"$1,762 ", $- , $- ,$230 ,"$9,415 ","1,354"
14,AL,CONECUH,"1,241","$10,087 ","$6,440 ", $- ,$263 , $- , $- ,$97 ,"$3,287 ",385
14,AL,COOSA,"1,027","$8,415 ","$5,362 ", $- ,$202 , $- , $- ,$39 ,"$2,812 ",264
14,AL,COVINGTON,"3,503","$26,105 ","$18,288 ", $- ,$734 , $- , $- ,$81 ,"$7,002 ",834
14,AL,CRENSHAW,937,"$9,173 ","$6,081 ", $- ,$420 , $- , $- ,$140 ,"$2,532 ",301
14,AL,CULLMAN,"7,192","$42,224 ","$25,069 ", $- ,"$2,264 ", $- , $- ,$220 ,"$14,671 ","1,482"
14,AL,DALE,"7,266","$60,922 ","$43,611 ", $- ,"$5,056 ", $- , $- ,$567 ,"$11,688 ","1,952"
14,AL,DALLAS,"2,924","$27,150 ","$15,217 ", $- ,"$1,188 ", $- , $- ,$108 ,"$10,638 ","1,019"
14,AL,DE KALB,"4,490","$28,046 ","$17,309 ", $- ,"$1,017 ", $- , $- ,$142 ,"$9,578 ","1,045"
14,AL,ELMORE,"9,417","$74,820 ","$49,530 ", $- ,"$6,228 ", $- , $- ,$725 ,"$18,337 ","2,217"
14,AL,ESCAMBIA,"3,061","$20,658 ","$14,146 ", $- ,$781 , $- , $- ,$259 ,"$5,472 ",801
14,AL,ETOWAH,"8,998","$67,736 ","$44,264 ", $- ,"$2,573 ", $- , $- ,$486 ,"$20,413 ","2,477"
14,AL,FAYETTE,"1,375","$13,327 ","$6,393 ", $- ,$362 , $- , $- ,$569 ,"$6,002 ",545
14,AL,FRANKLIN,"1,838","$12,437 ","$8,239 ", $- ,$501 , $- , $- ,$39 ,"$3,658 ",395
14,AL,GENEVA,"2,669","$24,272 ","$18,049 ", $- ,"$1,018 ", $- , $- ,$227 ,"$4,979 ",877
14,AL,GREENE,484,"$7,179 ","$4,011 ", $- ,$165 , $- , $- ,$10 ,"$2,993 ",258
14,AL,HALE,909,"$12,929 ","$6,945 ", $- ,$343 , $- , $- ,$29 ,"$5,612 ",458
14,AL,HENRY,"1,719","$12,353 ","$9,919 ", $- ,$409 , $- , $- ,$40 ,"$1,985 ",438
14,AL,HOUSTON,"9,184","$70,754 ","$48,729 ", $- ,"$4,603 ", $- , $- ,$718 ,"$16,704 ","2,855"
14,AL,JACKSON,"4,111","$20,778 ","$13,061 ", $- ,$933 , $- , $- ,$287 ,"$6,496 ",830
14,AL,JEFFERSON,"48,464","$431,310 ","$199,783 ",$170 ,"$22,799 ", $- ,"$2,880 ","$4,517 ","$201,162 ","15,324"
14,AL,LAMAR,"1,241","$9,656 ","$6,171 ", $- ,$308 , $- , $- ,$15 ,"$3,162 ",448
14,AL,LAUDERDALE,"7,877","$47,272 ","$32,054 ", $- ,"$2,725 ", $- , $- ,$579 ,"$11,913 ","1,792"
14,AL,LAWRENCE,"2,251","$10,672 ","$6,736 ", $- ,$395 , $- , $- ,$84 ,"$3,456 ",497
14,AL,LEE,"11,286","$105,840 ","$67,007 ", $- ,"$12,931 ", $- , $- ,$399 ,"$25,503 ","2,925"
14,AL,LIMESTONE,"8,709","$45,024 ","$28,608 ", $- ,"$5,442 ", $- , $- ,$551 ,"$10,424 ","1,531"
14,AL,LOWNDES,753,"$7,060 ","$3,943 ", $- ,$310 , $- , $- ,$40 ,"$2,767 ",272
14,AL,MACON,"1,656","$33,571 ","$13,754 ", $- ,$925 , $- ,$727 ,$289 ,"$17,875 ",888
14,AL,MADISON,"38,878","$228,020 ","$151,666 ", $- ,"$29,931 ", $- , $- ,"$2,455 ","$43,969 ","7,384"
14,AL,MARENGO,"1,445","$16,641 ","$10,472 ", $- ,$497 , $- , $- ,$49 ,"$5,623 ",641
14,AL,MARION,"2,313","$14,834 ","$8,332 ", $- ,$500 , $- , $- ,$49 ,"$5,952 ",643
14,AL,MARSHALL,"7,370","$42,949 ","$27,553 ", $- ,"$2,304 ", $- , $- ,$247 ,"$12,845 ","1,774"
