Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,AR,ARKANSAS,"1,478","$10,755 ","$4,783 ", $- ,$272 , $- , $- ,$236 ,"$5,464 ",459
14,AR,ASHLEY,"1,682","$12,529 ","$6,463 ", $- ,$306 , $- , $- ,$41 ,"$5,719 ",481
14,AR,BAXTER,"5,599","$34,655 ","$19,392 ", $- ,"$1,196 ", $- , $- ,$237 ,"$13,830 ","1,973"
14,AR,BENTON,"19,437","$116,484 ","$55,908 ", $- ,"$5,099 ", $- , $- ,"$1,472 ","$54,005 ","6,264"
14,AR,BOONE,"3,561","$25,454 ","$15,002 ", $- ,$709 , $- , $- ,$198 ,"$9,545 ","1,357"
14,AR,BRADLEY,"1,033","$5,925 ","$3,152 ", $- ,$151 , $- , $- ,$10 ,"$2,612 ",242
14,AR,CALHOUN,502,"$2,133 ","$1,046 ", $- ,$109 , $- , $- ,$25 ,$953 ,118
14,AR,CARROLL,"2,723","$18,322 ","$9,346 ", $- ,$225 , $- , $- ,$110 ,"$8,640 ",968
14,AR,CHICOT,903,"$8,478 ","$4,245 ", $- ,$127 , $- , $- ,$27 ,"$4,080 ",314
14,AR,CLARK,"1,637","$13,578 ","$6,496 ", $- ,$689 , $- , $- ,$38 ,"$6,355 ",464
14,AR,CLAY,"1,418","$12,457 ","$6,674 ", $- ,$124 , $- , $- ,$15 ,"$5,644 ",564
14,AR,CLEBURNE,"3,078","$25,192 ","$13,061 ", $- ,$372 , $- , $- ,$146 ,"$11,614 ","1,047"
14,AR,CLEVELAND,721,"$6,819 ","$3,518 ", $- ,$415 , $- , $- ,$2 ,"$2,884 ",251
14,AR,COLUMBIA,"1,613","$11,912 ","$6,868 ", $- ,$511 , $- , $- ,$74 ,"$4,459 ",463
14,AR,CONWAY,"1,794","$16,748 ","$8,254 ", $- ,$435 , $- , $- ,$71 ,"$7,987 ",675
14,AR,CRAIGHEAD,"7,173","$41,514 ","$24,725 ", $- ,"$2,844 ", $- , $- ,$457 ,"$13,488 ","2,004"
14,AR,CRAWFORD,"5,771","$48,135 ","$28,270 ", $- ,"$1,833 ", $- , $- ,$317 ,"$17,714 ","2,353"
14,AR,CRITTENDEN,"3,716","$30,840 ","$11,995 ", $- ,"$4,057 ", $- , $- ,$426 ,"$14,363 ","1,140"
14,AR,CROSS,"1,111","$9,285 ","$5,155 ", $- ,$327 , $- , $- ,$22 ,"$3,781 ",373
14,AR,DALLAS,669,"$5,555 ","$2,471 ", $- ,$168 , $- , $- ,$238 ,"$2,678 ",206
14,AR,DESHA,996,"$8,925 ","$4,463 ", $- ,$227 , $- , $- ,$159 ,"$4,076 ",346
14,AR,DREW,"1,534","$10,339 ","$5,345 ", $- ,$441 , $- , $- ,$55 ,"$4,498 ",455
14,AR,FAULKNER,"10,120","$76,357 ","$36,347 ", $- ,"$5,528 ", $- , $- ,$602 ,"$33,880 ","2,834"
14,AR,FRANKLIN,"1,609","$15,333 ","$8,714 ", $- ,$661 , $- , $- ,$73 ,"$5,884 ",705
14,AR,FULTON,"1,175","$10,495 ","$6,242 ", $- ,$248 , $- , $- ,$118 ,"$3,887 ",490
14,AR,GARLAND,"10,297","$84,919 ","$44,033 ", $- ,"$2,468 ", $- , $- ,"$1,086 ","$37,331 ","3,620"
14,AR,GRANT,"1,461","$13,772 ","$6,800 ", $- ,$418 , $- , $- ,$16 ,"$6,538 ",483
14,AR,GREENE,"3,140","$29,248 ","$16,828 ", $- ,$994 , $- , $- ,$329 ,"$11,098 ","1,269"
14,AR,HEMPSTEAD,"1,446","$10,105 ","$5,138 ", $- ,$187 , $- , $- ,$3 ,"$4,776 ",400
14,AR,HOT SPRING,"3,159","$22,310 ","$10,500 ", $- ,$484 , $- , $- ,$75 ,"$11,251 ",985
14,AR,HOWARD,942,"$6,875 ","$3,755 ", $- ,$135 , $- , $- ,$3 ,"$2,983 ",290
14,AR,INDEPENDENCE,"3,094","$22,558 ","$11,843 ", $- ,$555 , $- , $- ,$111 ,"$10,049 ",864
14,AR,IZARD,"1,416","$11,680 ","$6,604 ", $- ,$212 , $- , $- ,$34 ,"$4,830 ",546
14,AR,JACKSON,"1,203","$8,674 ","$4,638 ", $- ,$237 , $- , $- ,$45 ,"$3,755 ",337
14,AR,JEFFERSON,"6,458","$65,412 ","$33,592 ", $- ,"$2,677 ", $- , $- ,$243 ,"$28,901 ","2,354"
14,AR,JOHNSON,"1,881","$15,340 ","$8,061 ", $- ,$449 , $- , $- ,$105 ,"$6,725 ",759
14,AR,LAFAYETTE,604,"$3,632 ","$1,875 ", $- ,$58 , $- , $- ,$2 ,"$1,698 ",187
14,AR,LAWRENCE,"1,344","$11,068 ","$6,792 ", $- ,$280 , $- , $- ,$36 ,"$3,961 ",458
14,AR,LEE,712,"$4,629 ","$1,888 ", $- ,$103 , $- , $- ,$25 ,"$2,613 ",168
14,AR,LINCOLN,"1,211","$6,180 ","$3,188 ", $- ,$202 , $- , $- ,$22 ,"$2,768 ",276
14,AR,LITTLE RIVER,"1,005","$6,942 ","$4,091 ", $- ,$185 , $- , $- ,$86 ,"$2,581 ",352
14,AR,LOGAN,"2,122","$17,152 ","$9,882 ", $- ,$508 , $- , $- ,$195 ,"$6,567 ",826
14,AR,LONOKE,"7,839","$83,061 ","$48,061 ", $- ,"$7,791 ", $- , $- ,$561 ,"$26,647 ","2,476"
14,AR,MADISON,"1,077","$11,861 ","$4,820 ", $- ,$159 , $- , $- ,$73 ,"$6,809 ",551
14,AR,MARION,"2,508","$14,639 ","$8,909 ", $- ,$216 , $- , $- ,$135 ,"$5,379 ",845
14,AR,MILLER,"3,592","$22,166 ","$12,040 ", $- ,$772 , $- , $- ,$80 ,"$9,274 ",975
14,AR,MISSISSIPPI,"3,263","$24,858 ","$13,641 ", $- ,$646 , $- , $- ,$188 ,"$10,384 ",929
14,AR,MONROE,685,"$6,153 ","$2,684 ", $- ,$140 , $- , $- ,$8 ,"$3,321 ",253
14,AR,MONTGOMERY,882,"$8,433 ","$4,414 ", $- ,$162 , $- , $- ,$49 ,"$3,808 ",406
14,AR,NEVADA,791,"$5,681 ","$2,926 ", $- ,$200 , $- , $- ,$22 ,"$2,532 ",232
