ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,CA,ALAMEDA,"59,133","$471,701 ","$169,063 ","$2,103 ","$47,205 ", $- ,"$38,086 ","$5,971 ","$209,273 ","13,095"
14,CA,ALPINE,127,$392 ,$227 , $- ,$39 , $- , $- ,$0 ,$126 ,21
14,CA,AMADOR,"4,413","$19,946 ","$10,260 ", $- ,"$1,064 ", $- , $- ,$396 ,"$8,226 ",909
14,CA,BUTTE,"18,055","$110,053 ","$61,676 ", $- ,"$7,760 ", $- , $- ,$995 ,"$39,623 ","5,064"
14,CA,CALAVERAS,"5,730","$34,321 ","$16,175 ", $- ,$922 , $- , $- ,$281 ,"$16,943 ","1,491"
14,CA,COLUSA,"1,226","$7,382 ","$3,915 ", $- ,$537 , $- , $- ,$60 ,"$2,870 ",264
14,CA,CONTRA COSTA,"55,196","$350,727 ","$150,542 ","$9,202 ","$36,091 ", $- ,"$5,419 ","$5,515 ","$143,959 ","11,501"
14,CA,DEL NORTE,"2,597","$18,966 ","$12,497 ", $- ,$384 , $- , $- ,$51 ,"$6,034 ",796
14,CA,EL DORADO,"15,822","$83,670 ","$46,851 ", $- ,"$4,888 ", $- , $- ,"$1,383 ","$30,548 ","3,309"
14,CA,FRESNO,"45,032","$380,526 ","$155,608 ","$5,394 ","$36,285 ", $- ,"$1,340 ","$2,575 ","$179,324 ","13,846"
14,CA,GLENN,"1,787","$9,692 ","$5,282 ", $- ,$539 , $- , $- ,$63 ,"$3,808 ",478
14,CA,HUMBOLDT,"10,461","$95,981 ","$43,047 ", $- ,"$3,698 ", $- , $- ,$840 ,"$48,395 ","4,300"
14,CA,IMPERIAL,"7,670","$53,221 ","$25,916 ", $- ,"$10,164 ", $- , $- ,$295 ,"$16,846 ","1,906"
14,CA,INYO,"1,572","$9,251 ","$4,690 ", $- ,$287 , $- , $- ,$107 ,"$4,168 ",345
14,CA,KERN,"47,962","$282,018 ","$157,682 ",$122 ,"$35,053 ", $- ,"$1,433 ","$1,955 ","$85,772 ","8,898"
14,CA,KINGS,"12,613","$73,948 ","$36,307 ", $- ,"$15,834 ", $- , $- ,$477 ,"$21,330 ","2,139"
14,CA,LAKE,"6,752","$64,937 ","$27,694 ", $- ,"$1,417 ", $- , $- ,$126 ,"$35,700 ","2,525"
14,CA,LASSEN,"3,647","$17,347 ","$9,184 ", $- ,$825 , $- , $- ,$45 ,"$7,293 ",860
14,CA,LOS ANGELES,"314,667","$2,538,479 ","$945,441 ","$29,599 ","$327,275 ", $- ,"$41,692 ","$28,945 ","$1,165,528 ","75,668"
14,CA,MADERA,"8,558","$61,774 ","$29,307 ", $- ,"$4,162 ", $- , $- ,$732 ,"$27,573 ","2,565"
14,CA,MARIN,"12,996","$68,468 ","$27,606 ", $- ,"$3,776 ", $- , $- ,"$2,156 ","$34,929 ","2,116"
14,CA,MARIPOSA,"2,179","$12,568 ","$6,372 ", $- ,$233 , $- , $- ,$136 ,"$5,828 ",623
14,CA,MENDOCINO,"6,583","$62,840 ","$29,241 ", $- ,"$1,074 ", $- , $- ,$377 ,"$32,148 ","2,387"
14,CA,MERCED,"11,322","$82,221 ","$41,198 ",$181 ,"$5,497 ", $- ,"$2,901 ",$737 ,"$31,707 ","3,063"
14,CA,MODOC,977,"$6,486 ","$3,517 ", $- ,$229 , $- , $- ,$75 ,"$2,664 ",320
14,CA,MONO,"1,265","$2,882 ","$1,326 ", $- ,$180 , $- , $- ,$41 ,"$1,335 ",157
14,CA,MONTEREY,"19,642","$183,037 ","$99,248 ", $- ,"$14,124 ", $- , $- ,"$2,522 ","$67,143 ","6,551"
14,CA,NAPA,"9,968","$53,334 ","$29,228 ", $- ,"$3,609 ", $- , $- ,$706 ,"$19,791 ","2,116"
14,CA,NEVADA,"9,395","$57,326 ","$34,241 ", $- ,"$2,247 ", $- , $- ,"$1,133 ","$19,706 ","2,495"
14,CA,ORANGE,"126,806","$711,610 ","$348,070 ", $- ,"$111,599 ", $- , $- ,"$15,483 ","$236,458 ","23,493"
14,CA,PLACER,"30,501","$153,314 ","$89,906 ", $- ,"$16,003 ", $- , $- ,"$2,173 ","$45,232 ","5,817"
14,CA,PLUMAS,"2,061","$14,344 ","$6,573 ", $- ,$206 , $- , $- ,$124 ,"$7,441 ",705
14,CA,RIVERSIDE,"136,466","$1,079,049 ","$551,488 ",$655 ,"$167,208 ", $- ,"$12,866 ","$9,190 ","$337,642 ","37,067"
14,CA,SACRAMENTO,"89,733","$638,606 ","$322,385 ", $- ,"$73,668 ", $- , $- ,"$8,522 ","$234,031 ","22,011"
14,CA,SAN BENITO,"2,713","$20,972 ","$11,057 ", $- ,"$1,428 ", $- , $- ,$113 ,"$8,375 ",824
14,CA,SAN BERNARDINO,"113,725","$848,271 ","$398,124 ","$17,415 ","$102,384 ", $- ,"$2,242 ","$4,931 ","$323,175 ","27,985"
14,CA,SAN DIEGO,"229,931","$2,337,487 ","$1,032,449 ","$13,753 ","$537,479 ", $- ,"$70,742 ","$19,857 ","$663,207 ","65,160"
14,CA,SAN FRANCISCO,"26,089","$339,571 ","$70,841 ","$16,440 ","$24,205 ", $- ,"$3,299 ","$3,165 ","$221,620 ","7,257"
14,CA,SAN JOAQUIN,"36,480","$251,240 ","$122,368 ", $- ,"$22,207 ", $- , $- ,"$2,888 ","$103,777 ","9,172"
