,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,,,,,
ADAMS," 30,759 "," $189,509 "," $87,561 ", $- ," $25,294 ", $- , $- ," $1,502 "," $75,152 ","6,240",,,,,,,,
ALAMOSA," 1,095 "," $8,522 "," $4,907 ", $- , $452 , $- , $- , $79 ," $3,084 ",433,,,,,,,,
ARAPAHOE," 44,235 "," $266,783 "," $131,555 ", $- ," $37,334 ", $- , $- ," $3,889 "," $94,004 ","8,972",,,,,,,,
ARCHULETA," 1,031 "," $8,105 "," $4,580 ", $- , $128 , $- , $- , $146 ," $3,250 ",447,,,,,,,,
BACA, 390 ," $1,847 ", $829 , $- , $6 , $- , $- , $1 ," $1,012 ",89,,,,,,,,
BENT, 549 ," $6,770 "," $3,538 ", $360 , $164 , $- , $- , $86 ," $2,621 ",217,,,,,,,,
BOULDER," 16,729 "," $65,784 "," $33,262 ", $- ," $12,959 ", $- , $- ," $1,922 "," $17,641 ","2,150",,,,,,,,
BROOMFIELD," 3,580 "," $19,381 "," $10,742 ", $- ," $3,030 ", $- , $- , $275 ," $5,334 ",571,,,,,,,,
CHAFFEE," 1,932 "," $8,145 "," $4,628 ", $- , $324 , $- , $- , $178 ," $3,015 ",462,,,,,,,,
CHEYENNE, 148 , $464 , $215 , $- , $- , $- , $- , $1 , $248 ,41,,,,,,,,
CLEAR CREEK, 859 ," $3,277 "," $1,677 ", $- , $123 , $- , $- , $30 ," $1,447 ",166,,,,,,,,
CONEJOS, 568 ," $5,383 "," $3,332 ", $- , $112 , $- , $- , $9 ," $1,930 ",239,,,,,,,,
COSTILLA, 309 ," $3,469 "," $2,136 ", $- , $59 , $- , $- , $22 ," $1,252 ",188,,,,,,,,
CROWLEY, 585 ," $3,626 "," $1,968 ", $- , $85 , $- , $- , $2 ," $1,571 ",133,,,,,,,,
CUSTER, 526 ," $4,334 "," $2,534 ", $- , $26 , $- , $- , $20 ," $1,755 ",187,,,,,,,,
DELTA," 3,195 "," $25,468 "," $10,887 ", $- , $400 , $- , $- , $91 ," $14,090 ","1,306",,,,,,,,
DENVER," 32,255 "," $516,694 "," $101,581 "," $220,542 "," $27,087 ", $- ," $22,305 "," $3,668 "," $141,511 ","9,200",,,,,,,,
DOLORES, 175 , $882 , $563 , $- , $- , $- , $- , $- , $319 ,63,,,,,,,,
DOUGLAS," 21,226 "," $88,559 "," $53,394 ", $- ," $13,275 ", $- , $- ," $1,545 "," $20,345 ","2,725",,,,,,,,
EAGLE," 2,301 "," $4,593 "," $2,647 ", $- , $288 , $- , $- , $111 ," $1,548 ",288,,,,,,,,
ELBERT," 2,297 "," $9,574 "," $4,476 ", $- ," $1,046 ", $- , $- , $259 ," $3,792 ",387,,,,,,,,
EL PASO," 83,069 "," $791,963 "," $476,915 ", $- ," $168,228 ", $- , $- ," $5,674 "," $141,146 ","19,457",,,,,,,,
FREMONT," 7,180 "," $38,408 "," $22,568 ", $- ," $1,893 ", $- , $- , $339 ," $13,607 ","1,537",,,,,,,,
GARFIELD," 3,767 "," $16,420 "," $7,114 ", $- , $816 , $- , $- , $437 ," $8,054 ",966,,,,,,,,
GILPIN, 415 ," $2,800 "," $1,496 ", $- , $119 , $- , $- , $11 ," $1,174 ",101,,,,,,,,
