Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,FL,ALACHUA,"18,537","$227,439 ","$66,753 ",$335 ,"$14,202 ", $- ,"$4,630 ","$1,465 ","$140,053 ","7,765"
14,FL,BAKER,"2,756","$14,958 ","$6,166 ", $- ,$589 , $- , $- ,$63 ,"$8,141 ",623
14,FL,BAY,"23,335","$152,469 ","$108,009 ", $- ,"$13,532 ", $- , $- ,"$1,762 ","$29,166 ","5,482"
14,FL,BRADFORD,"4,112","$24,575 ","$8,374 ", $- ,$721 , $- , $- ,$91 ,"$15,388 ",966
14,FL,BREVARD,"67,059","$502,915 ","$296,321 ","$2,482 ","$40,034 ", $- , $- ,"$7,845 ","$156,232 ","22,760"
14,FL,BROWARD,"86,935","$609,052 ","$288,950 ", $- ,"$74,674 ", $- , $- ,"$8,198 ","$237,230 ","24,659"
14,FL,CALHOUN,"1,265","$7,636 ","$4,162 ", $- ,$293 , $- , $- ,$43 ,"$3,138 ",378
14,FL,CHARLOTTE,"20,878","$125,209 ","$73,986 ", $- ,"$3,821 ", $- , $- ,"$1,674 ","$45,728 ","6,696"
14,FL,CITRUS,"27,757","$140,042 ","$68,667 ", $- ,"$3,709 ", $- , $- ,"$1,047 ","$66,619 ","8,178"
14,FL,CLAY,"30,076","$189,904 ","$107,188 ", $- ,"$31,256 ", $- , $- ,"$2,478 ","$48,982 ","6,497"
14,FL,COLLIER,"28,996","$98,537 ","$59,030 ", $- ,"$5,711 ", $- , $- ,"$3,628 ","$30,167 ","5,987"
14,FL,COLUMBIA,"8,157","$113,386 ","$34,409 ", $- ,"$1,967 ", $- , $- ,$622 ,"$76,387 ","3,708"
14,FL,DE SOTO,"2,492","$14,313 ","$7,774 ", $- ,$310 , $- , $- ,$56 ,"$6,174 ",759
14,FL,DIXIE,"1,655","$20,101 ","$6,539 ", $- ,$129 , $- , $- ,$40 ,"$13,393 ",860
14,FL,DUVAL,"98,861","$583,358 ","$293,264 ",$37 ,"$111,248 ", $- ,"$1,378 ","$6,418 ","$171,013 ","23,606"
14,FL,ESCAMBIA,"41,789","$282,154 ","$176,837 ",$6 ,"$29,330 ", $- ,"$2,422 ","$3,847 ","$69,712 ","10,654"
14,FL,FLAGLER,"12,537","$67,535 ","$37,290 ", $- ,"$5,580 ", $- , $- ,$966 ,"$23,698 ","3,484"
14,FL,FRANKLIN,"1,507","$6,605 ","$3,613 ", $- ,$115 , $- , $- ,$18 ,"$2,859 ",399
14,FL,GADSDEN,"3,898","$25,744 ","$12,312 ", $- ,"$1,577 ", $- , $- ,$219 ,"$11,635 ","1,359"
14,FL,GILCHRIST,"1,655","$16,292 ","$6,504 ", $- ,$458 , $- , $- ,$42 ,"$9,287 ",703
14,FL,GLADES,"1,069","$5,638 ","$1,841 ", $- ,$128 , $- , $- ,$43 ,"$3,627 ",386
14,FL,GULF,"1,791","$9,301 ","$6,049 ", $- ,$415 , $- , $- ,$52 ,"$2,785 ",443
14,FL,HAMILTON,"1,287","$11,618 ","$5,157 ", $- ,$348 , $- , $- ,$76 ,"$6,038 ",475
14,FL,HARDEE,"1,587","$9,463 ","$4,300 ", $- ,$314 , $- , $- ,$149 ,"$4,700 ",375
14,FL,HENDRY,"1,935","$13,293 ","$6,847 ", $- ,$656 , $- , $- ,$68 ,"$5,723 ",615
14,FL,HERNANDO,"22,672","$171,283 ","$91,193 ", $- ,"$7,685 ", $- , $- ,"$1,082 ","$71,323 ","7,915"
14,FL,HIGHLANDS,"10,615","$71,803 ","$38,320 ", $- ,"$2,033 ", $- , $- ,$841 ,"$30,609 ","3,821"
14,FL,HILLSBOROUGH,"94,474","$1,011,824 ","$413,160 ","$6,220 ","$116,344 ", $- ,"$7,443 ","$7,431 ","$461,226 ","32,655"
14,FL,HOLMES,"2,071","$17,498 ","$13,273 ", $- ,$440 , $- , $- ,$229 ,"$3,556 ",624
14,FL,INDIAN RIVER,"15,207","$82,748 ","$49,698 ", $- ,"$3,125 ", $- , $- ,"$2,159 ","$27,765 ","4,784"
14,FL,JACKSON,"5,037","$33,303 ","$20,151 ", $- ,"$1,415 ", $- , $- ,$147 ,"$11,590 ","1,588"
14,FL,JEFFERSON,"1,471","$8,357 ","$4,679 ", $- ,$319 , $- , $- ,$55 ,"$3,303 ",480
14,FL,LAFAYETTE,742,"$4,141 ","$1,403 ", $- ,$87 , $- , $- ,$4 ,"$2,647 ",229
14,FL,LAKE,"34,463","$215,858 ","$117,234 ", $- ,"$9,675 ", $- , $- ,"$2,932 ","$86,017 ","11,648"
14,FL,LEE,"57,501","$311,448 ","$164,470 ", $- ,"$18,186 ", $- , $- ,"$5,163 ","$123,629 ","18,709"
14,FL,LEON,"19,304","$106,432 ","$49,068 ", $- ,"$16,027 ", $- , $- ,"$2,191 ","$39,146 ","5,406"
14,FL,LEVY,"4,605","$49,861 ","$15,631 ", $- ,$987 , $- , $- ,$103 ,"$33,140 ","2,175"
14,FL,LIBERTY,655,"$2,828 ","$1,827 ", $- ,$127 , $- , $- ,$1 ,$873 ,149
14,FL,MADISON,"1,909","$13,013 ","$5,622 ", $- ,$467 , $- , $- ,$134 ,"$6,790 ",575
14,FL,MANATEE,"31,658","$184,549 ","$101,386 ", $- ,"$11,080 ", $- , $- ,"$2,785 ","$69,298 ","9,895"
14,FL,MARION,"46,606","$281,509 ","$126,456 ", $- ,"$8,934 ", $- , $- ,"$3,239 ","$142,881 ","15,928"
14,FL,MARTIN,"15,086","$86,669 ","$43,908 ", $- ,"$3,245 ", $- , $- ,"$1,777 ","$37,740 ","5,142"
14,FL,MIAMI-DADE,"63,341","$603,038 ","$228,784 ","$3,395 ","$81,136 ", $- ,"$3,466 ","$3,872 ","$282,385 ","18,185"
14,FL,MONROE,"8,080","$55,955 ","$25,924 ", $- ,"$4,952 ", $- , $- ,$455 ,"$24,624 ","2,592"
14,FL,NASSAU,"9,104","$43,510 ","$24,258 ", $- ,"$4,020 ", $- , $- ,$356 ,"$14,876 ","1,956"
14,FL,OKALOOSA,"32,731","$242,165 ","$173,797 ", $- ,"$31,628 ", $- , $- ,"$2,781 ","$33,958 ","6,470"
14,FL,OKEECHOBEE,"3,215","$28,979 ","$14,056 ", $- ,$697 , $- , $- ,$155 ,"$14,071 ","1,384"
14,FL,ORANGE,"68,928","$653,220 ","$279,953 ","$36,267 ","$92,693 ", $- ,"$6,862 ","$5,445 ","$232,000 ","22,855"
14,FL,OSCEOLA,"18,016","$166,343 ","$83,262 ", $- ,"$16,668 ", $- , $- ,"$1,041 ","$65,371 ","6,396"
14,FL,PALM BEACH,"81,782","$642,240 ","$269,661 ","$1,796 ","$41,811 ", $- ,"$5,666 ","$14,769 ","$308,538 ","32,540"
14,FL,PASCO,"53,020","$413,265 ","$188,783 ", $- ,"$27,684 ", $- , $- ,"$2,505 ","$194,294 ","18,682"
14,FL,PINELLAS,"89,331","$992,209 ","$361,253 ","$29,846 ","$52,633 ", $- ,"$108,837 ","$7,525 ","$432,114 ","33,070"
14,FL,POLK,"57,240","$348,734 ","$172,654 ", $- ,"$20,503 ", $- , $- ,"$2,989 ","$152,588 ","15,020"
14,FL,PUTNAM,"7,826","$67,500 ","$25,921 ", $- ,"$1,907 ", $- , $- ,$285 ,"$39,388 ","3,233"
14,FL,SAINT JOHNS,"21,569","$103,044 ","$58,186 ", $- ,"$11,185 ", $- ,$31 ,"$1,567 ","$32,075 ","4,879"
14,FL,SAINT LUCIE,"24,120","$186,967 ","$92,796 ", $- ,"$10,555 ", $- , $- ,"$1,624 ","$81,993 ","9,398"
14,FL,SANTA ROSA,"23,472","$165,662 ","$116,596 ", $- ,"$20,767 ", $- , $- ,"$2,117 ","$26,182 ","5,121"
14,FL,SARASOTA,"40,529","$203,841 ","$118,485 ", $- ,"$10,468 ", $- , $- ,"$5,070 ","$69,818 ","12,202"
14,FL,SEMINOLE,"31,413","$213,628 ","$107,352 ", $- ,"$23,744 ", $- , $- ,"$2,762 ","$79,770 ","8,967"
14,FL,SUMTER,"16,986","$100,909 ","$52,340 ",$448 ,"$1,219 ", $- ,"$9,206 ",$906 ,"$36,789 ","6,613"
14,FL,SUWANNEE,"4,757","$45,244 ","$16,017 ", $- ,$741 , $- , $- ,$225 ,"$28,262 ","1,857"
14,FL,TAYLOR,"2,148","$17,124 ","$6,959 ", $- ,$397 , $- , $- ,$66 ,"$9,701 ",773
14,FL,UNION,"1,777","$9,375 ","$3,992 ", $- ,$236 , $- , $- ,$22 ,"$5,125 ",387
14,FL,VOLUSIA,"55,632","$393,857 ","$207,073 ", $- ,"$43,247 ", $- , $- ,"$3,859 ","$139,677 ","18,658"
14,FL,WAKULLA,"3,509","$17,765 ","$9,472 ", $- ,$961 , $- , $- ,$94 ,"$7,238 ",937
14,FL,WALTON,"6,492","$33,229 ","$22,164 ", $- ,"$1,854 ", $- , $- ,$955 ,"$8,256 ","1,469"
14,FL,WASHINGTON,"2,678","$15,738 ","$11,166 ", $- ,$678 , $- , $- ,$102 ,"$3,791 ",706
14,FL,FLORIDA (Totals),"1,583,697","$11,688,201 ","$5,618,726 ","$80,833 ","$1,043,675 ", $- ,"$149,942 ","$132,732 ","$4,662,293 ","493,890"
14,FL,CONG. DIST (01),"105,671","$734,162 ","$497,727 ",$6 ,"$83,856 ", $- ,"$2,422 ","$9,811 ","$140,339 ","24,105"
14,FL,CONG. DIST (02),"67,885","$412,258 ","$243,459 ", $- ,"$36,107 ", $- , $- ,"$4,870 ","$127,822 ","18,452"
14,FL,CONG. DIST (03),"83,081","$691,222 ","$269,262 ", $- ,"$46,028 ", $- ,"$4,630 ","$5,394 ","$365,907 ","26,585"
