ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,HI,HAWAII,"16,670","$106,328 ","$56,798 ", $- ,"$4,100 ", $- , $- ,"$1,149 ","$44,280 ","4,031"
14,HI,HONOLULU,"87,891","$635,941 ","$279,377 ",$573 ,"$159,382 ", $- ,"$16,593 ","$12,119 ","$167,898 ","17,338"
14,HI,KALAWAO,0,$4 , $- , $- , $- , $- , $- , $- ,$4 ,*
14,HI,KAUAI,"5,330","$34,521 ","$16,108 ", $- ,"$1,131 ", $- , $- ,$666 ,"$16,615 ","1,457"
14,HI,MAUI,"11,115","$65,322 ","$36,249 ", $- ,"$2,834 ", $- , $- ,$888 ,"$25,351 ","2,214"
,,,,,,,,,,,,
14,HI,HAWAII (Totals),"121,007","$842,115 ","$388,532 ",$573 ,"$167,447 ", $- ,"$16,593 ","$14,822 ","$254,149 ","25,041"
,,,,,,,,,,,,
14,HI,CONG. DIST (01),"63,579","$463,651 ","$200,875 ",$387 ,"$114,597 ", $- ,"$16,593 ","$10,285 ","$120,914 ","12,529"
14,HI,CONG. DIST (02),"57,428","$378,465 ","$187,658 ",$185 ,"$52,850 ", $- , $- ,"$4,538 ","$133,234 ","12,512"
,,,,,,,,,,,,
14,HI,HAWAII (Totals),"121,007","$842,115 ","$388,532 ",$573 ,"$167,447 ", $- ,"$16,593 ","$14,822 ","$254,149 ","25,041"
