Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,IL,ADAMS,"6,338","$29,875 ","$17,780 ",$72 ,"$1,897 ", $- , $- ,$480 ,"$9,645 ","1,693"
14,IL,ALEXANDER,669,"$6,643 ","$3,139 ", $- ,$169 , $- , $- ,$13 ,"$3,321 ",293
14,IL,BOND,"1,370","$5,855 ","$3,247 ", $- ,$461 , $- , $- ,$53 ,"$2,095 ",270
14,IL,BOONE,"3,687","$12,912 ","$5,843 ", $- ,"$1,008 ", $- , $- ,$139 ,"$5,922 ",808
14,IL,BROWN,432,"$1,386 ",$759 , $- ,$88 , $- , $- ,$1 ,$539 ,98
14,IL,BUREAU,"2,717","$12,869 ","$5,718 ", $- ,$641 , $- , $- ,$140 ,"$6,370 ",868
14,IL,CALHOUN,478,"$1,999 ","$1,132 ", $- ,$57 , $- , $- ,$24 ,$786 ,98
14,IL,CARROLL,"1,448","$6,633 ","$2,787 ", $- ,$278 , $- , $- ,$116 ,"$3,451 ",484
14,IL,CASS,"1,060","$5,286 ","$3,378 ", $- ,$251 , $- , $- ,$61 ,"$1,595 ",229
14,IL,CHAMPAIGN,"10,666","$55,278 ","$25,902 ", $- ,"$5,681 ", $- , $- ,"$1,072 ","$22,623 ","2,222"
14,IL,CHRISTIAN,"3,003","$12,936 ","$7,944 ", $- ,$849 , $- , $- ,$120 ,"$4,023 ",660
14,IL,CLARK,"1,438","$7,980 ","$3,848 ", $- ,$225 , $- , $- ,$43 ,"$3,864 ",430
14,IL,CLAY,"1,045","$7,487 ","$3,326 ", $- ,$191 , $- , $- ,$123 ,"$3,846 ",422
14,IL,CLINTON,"3,408","$18,197 ","$10,148 ", $- ,"$1,635 ", $- , $- ,$199 ,"$6,215 ",604
14,IL,COLES,"3,788","$20,719 ","$10,068 ", $- ,"$1,232 ", $- , $- ,$190 ,"$9,230 ","1,108"
14,IL,COOK,"199,966","$1,465,159 ","$448,330 ","$10,697 ","$127,858 ", $- ,"$42,401 ","$21,114 ","$814,759 ","55,931"
14,IL,CRAWFORD,"1,626","$11,384 ","$5,564 ", $- ,$316 , $- , $- ,$86 ,"$5,419 ",471
14,IL,CUMBERLAND,858,"$3,710 ","$2,134 ", $- ,$96 , $- , $- ,$30 ,"$1,449 ",302
14,IL,DEKALB,"6,953","$25,884 ","$12,510 ", $- ,"$4,153 ", $- , $- ,$304 ,"$8,916 ","1,143"
14,IL,DEWITT,"1,569","$6,459 ","$3,319 ", $- ,$265 , $- , $- ,$124 ,"$2,751 ",361
14,IL,DOUGLAS,"1,405","$5,982 ","$3,102 ", $- ,$364 , $- , $- ,$94 ,"$2,422 ",372
14,IL,DU PAGE,"40,604","$195,136 ","$74,785 ", $- ,"$34,320 ", $- , $- ,"$5,883 ","$80,148 ","7,820"
14,IL,EDGAR,"1,467","$9,945 ","$4,380 ", $- ,$229 , $- , $- ,$68 ,"$5,269 ",422
14,IL,EDWARDS,557,"$2,824 ","$1,363 ", $- ,$71 , $- , $- ,$13 ,"$1,377 ",177
14,IL,EFFINGHAM,"2,512","$13,882 ","$6,344 ", $- ,$869 , $- , $- ,$103 ,"$6,566 ","1,025"
14,IL,FAYETTE,"1,855","$7,721 ","$3,463 ", $- ,$261 , $- , $- ,$67 ,"$3,930 ",474
14,IL,FORD,"1,134","$4,485 ","$2,644 ", $- ,$166 , $- , $- ,$27 ,"$1,648 ",234
14,IL,FRANKLIN,"3,530","$42,027 ","$17,447 ", $- ,$795 , $- , $- ,$163 ,"$23,621 ","1,702"
