,,,,,,,,,,,,
,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,
ADAIR," 1,177 "," $8,755 "," $4,795 ", $- , $552 , $- , $- , $25 ," $3,383 ",395,,
ALLEN," 1,432 "," $8,526 "," $5,018 ", $- , $514 , $- , $- , $207 ," $2,788 ",360,,
ANDERSON," 1,756 "," $12,058 "," $6,004 ", $- , $601 , $- , $- , $190 ," $5,264 ",506,,
BALLARD, 750 ," $4,783 "," $2,101 ", $- , $184 , $- , $- , $52 ," $2,446 ",277,,
BARREN," 2,896 "," $18,203 "," $11,054 ", $- , $741 , $- , $- , $151 ," $6,257 ",710,,
BATH, 784 ," $8,094 "," $4,028 ", $- , $239 , $- , $- , $140 ," $3,688 ",345,,
BELL," 1,872 "," $13,956 "," $9,986 ", $- , $391 , $- , $- , $72 ," $3,507 ",503,,
BOONE," 9,529 "," $47,753 "," $21,744 ", $- ," $4,429 ", $- , $- , $454 ," $21,127 ","2,350",,
BOURBON," 1,679 "," $9,583 "," $4,415 ", $- , $299 , $- , $- , $27 ," $4,842 ",516,,
BOYD," 4,720 "," $36,528 "," $18,781 ", $- ," $1,299 ", $- , $- , $196 ," $16,252 ","1,413",,
BOYLE," 2,535 "," $14,133 "," $7,918 ", $- , $619 , $- , $- , $151 ," $5,445 ",644,,
BRACKEN, 715 ," $3,992 "," $2,028 ", $- , $123 , $- , $- , $29 ," $1,813 ",202,,
BREATHITT, 846 ," $7,770 "," $4,630 ", $- , $130 , $- , $- , $24 ," $2,986 ",292,,
BRECKINRIDGE," 1,738 "," $13,184 "," $7,220 ", $- , $402 , $- , $- , $27 ," $5,536 ",575,,
BULLITT," 7,181 "," $29,406 "," $14,257 ", $- ," $1,773 ", $- , $- , $258 ," $13,117 ","1,624",,
BUTLER," 1,024 "," $5,677 "," $3,506 ", $- , $200 , $- , $- , $3 ," $1,967 ",269,,
CALDWELL," 1,062 "," $7,540 "," $4,365 ", $- , $281 , $- , $- , $74 ," $2,821 ",346,,
CALLOWAY," 2,722 "," $18,185 "," $10,655 ", $- ," $1,777 ", $- , $- , $60 ," $5,694 ",722,,
CAMPBELL," 6,180 "," $42,428 "," $14,737 ", $- ," $2,801 ", $- , $- , $286 ," $24,604 ","2,020",,
CARLISLE, 402 ," $2,538 "," $1,351 ", $- , $59 , $- , $- , $12 ," $1,116 ",137,,
CARROLL," 1,194 "," $5,500 "," $2,592 ", $- , $168 , $- , $- , $7 ," $2,733 ",310,,
CARTER," 1,522 "," $17,766 "," $9,250 ", $- , $437 , $- , $- , $82 ," $7,997 ",707,,
CASEY, 984 ," $7,882 "," $4,326 ", $- , $188 , $- , $- , $61 ," $3,306 ",428,,
CHRISTIAN," 7,919 "," $72,509 "," $42,817 ", $- ," $12,551 ", $- , $- , $343 ," $16,798 ","2,198",,
CLARK," 3,125 "," $21,424 "," $10,627 ", $- , $854 , $- , $- , $159 ," $9,785 ",983,,
CLAY," 1,187 "," $8,471 "," $5,379 ", $- , $154 , $- , $- , $11 ," $2,927 ",349,,
CLINTON, 655 ," $5,223 "," $3,155 ", $- , $218 , $- , $- , $0 ," $1,850 ",223,,
CRITTENDEN, 698 ," $4,536 "," $2,733 ", $- , $124 , $- , $- , $26 ," $1,653 ",221,,
CUMBERLAND, 508 ," $3,555 "," $2,361 ", $- , $86 , $- , $- , $12 ," $1,096 ",127,,
DAVIESS," 8,013 "," $45,036 "," $26,768 ", $- ," $2,070 ", $- , $- , $385 ," $15,813 ","2,253",,
EDMONSON, 898 ," $5,436 "," $2,691 ", $- , $138 , $- , $- , $13 ," $2,594 ",296,,
ELLIOTT, 268 ," $1,640 ", $888 , $- , $7 , $- , $- , $8 , $737 ,94,,
ESTILL," 1,088 "," $9,438 "," $4,819 ", $- , $271 , $- , $- , $13 ," $4,336 ",352,,
FAYETTE," 19,594 "," $153,780 "," $59,415 ", $65 ," $12,600 ", $- ," $2,665 "," $1,715 "," $77,320 ","6,303",,
FLEMING, 953 ," $8,621 "," $4,249 ", $- , $230 , $- , $- , $12 ," $4,130 ",424,,
FLOYD," 1,888 "," $20,260 "," $12,320 ", $- , $469 , $- , $- , $61 ," $7,410 ",883,,
FRANKLIN," 4,556 "," $26,117 "," $13,745 ", $- ," $1,314 ", $- , $- , $285 ," $10,773 ","1,071",,
FULTON, 508 ," $4,693 "," $2,654 ", $- , $81 , $- , $- , $30 ," $1,927 ",195,,
GALLATIN, 742 ," $3,187 "," $1,675 ", $- , $143 , $- , $- , $1 ," $1,368 ",185,,
GARRARD," 1,139 "," $10,076 "," $4,923 ", $- , $296 , $- , $- , $39 ," $4,818 ",491,,
GRANT," 2,158 "," $11,731 "," $6,147 ", $- , $639 , $- , $- , $76 ," $4,869 ",510,,
GRAVES," 2,658 "," $19,184 "," $10,310 ", $- , $867 , $- , $- , $85 ," $7,923 ","1,030",,
GRAYSON," 1,980 "," $14,280 "," $8,479 ", $- , $441 , $- , $- , $84 ," $5,275 ",636,,
GREEN, 989 ," $4,179 "," $2,563 ", $- , $153 , $- , $- , $2 ," $1,461 ",247,,
GREENUP," 3,255 "," $24,036 "," $12,642 ", $- , $561 , $- , $- , $194 ," $10,639 ","1,047",,
HANCOCK, 775 ," $3,671 "," $2,079 ", $- , $146 , $- , $- , $5 ," $1,441 ",186,,
HARDIN," 15,852 "," $181,971 "," $125,478 ", $- ," $24,042 ", $- , $- , $798 ," $31,653 ","4,959",,
HARLAN," 1,856 "," $21,019 "," $14,574 ", $- , $418 , $- , $- , $31 ," $5,995 ",712,,
HARRISON," 1,394 "," $9,864 "," $4,964 ", $- , $255 , $- , $- , $58 ," $4,587 ",450,,
HART," 1,298 "," $8,859 "," $4,698 ", $- , $244 , $- , $- , $40 ," $3,876 ",353,,
HENDERSON," 3,197 "," $17,493 "," $9,163 ", $- , $588 , $- , $- , $194 ," $7,549 ","1,071",,
HENRY," 1,374 "," $7,049 "," $3,370 ", $- , $421 , $- , $- , $70 ," $3,188 ",319,,
HICKMAN, 385 ," $2,017 "," $1,085 ", $- , $16 , $- , $- , $7 , $910 ,135,,
HOPKINS," 3,656 "," $24,302 "," $14,226 ", $- , $779 , $- , $- , $450 ," $8,846 ","1,156",,
JACKSON, 565 ," $6,480 "," $3,703 ", $- , $193 , $- , $- , $35 ," $2,549 ",257,,
JEFFERSON," 54,137 "," $404,106 "," $156,510 "," $9,128 "," $30,298 ", $- ," $35,836 "," $4,258 "," $168,075 ","16,474",,
JESSAMINE," 3,439 "," $36,150 "," $13,688 ", $451 ," $1,408 ", $- , $978 , $193 ," $19,431 ","1,337",,
JOHNSON," 1,642 "," $19,115 "," $11,028 ", $- , $402 , $- , $- , $171 ," $7,513 ",670,,
KENTON," 12,529 "," $66,192 "," $24,636 ", $- ," $4,409 ", $- , $- , $627 ," $36,520 ","3,277",,
KNOTT, 772 ," $7,013 "," $4,753 ", $- , $126 , $- , $- , $6 ," $2,127 ",325,,
KNOX," 2,097 "," $13,070 "," $7,797 ", $- , $559 , $- , $- , $119 ," $4,595 ",569,,
LARUE," 1,340 "," $7,705 "," $4,767 ", $- , $338 , $- , $- , $69 ," $2,532 ",355,,
LAUREL," 3,606 "," $34,432 "," $19,607 ", $- , $928 , $- , $- , $123 ," $13,774 ","1,517",,
LAWRENCE, 933 ," $11,585 "," $6,408 ", $- , $184 , $- , $- , $16 ," $4,978 ",448,,
LEE, 475 ," $4,461 "," $2,499 ", $- , $88 , $- , $- , $12 ," $1,862 ",206,,
LESLIE, 436 ," $4,170 "," $2,610 ", $- , $204 , $- , $- , $0 ," $1,356 ",192,,
LETCHER," 1,199 "," $12,730 "," $8,498 ", $- , $231 , $- , $- , $9 ," $3,992 ",481,,
LEWIS, 856 ," $7,930 "," $3,830 ", $- , $224 , $- , $- , $214 ," $3,661 ",316,,
LINCOLN," 1,677 "," $16,996 "," $8,358 ", $- , $391 , $- , $- , $32 ," $8,215 ",723,,
LIVINGSTON, 855 ," $5,568 "," $3,111 ", $- , $173 , $- , $- , $104 ," $2,179 ",290,,
LOGAN," 2,096 "," $13,316 "," $7,140 ", $- , $612 , $- , $- , $27 ," $5,537 ",512,,
LYON, 775 ," $5,533 "," $3,222 ", $- , $205 , $- , $- , $66 ," $2,040 ",255,,
MCCRACKEN," 5,989 "," $36,631 "," $19,142 ", $- ," $1,856 ", $- , $- , $274 ," $15,359 ","1,957",,
MCCREARY," 1,174 "," $13,714 "," $8,231 ", $- , $368 , $- , $- , $307 ," $4,809 ",562,,
MCLEAN, 815 ," $4,229 "," $2,589 ", $- , $137 , $- , $- , $25 ," $1,478 ",194,,
MADISON," 6,049 "," $51,579 "," $26,136 ", $- ," $5,913 ", $- , $- , $839 ," $18,691 ","2,203",,
MAGOFFIN, 409 ," $5,624 "," $3,303 ", $- , $86 , $- , $- , $5 ," $2,230 ",225,,
MARION," 1,302 "," $7,938 "," $4,062 ", $550 , $320 , $- , $392 , $114 ," $2,501 ",327,,
MARSHALL," 3,001 "," $18,493 "," $9,725 ", $- , $634 , $- , $- , $111 ," $8,022 ","1,039",,
MARTIN, 524 ," $6,009 "," $3,023 ", $- , $109 , $- , $- , $0 ," $2,877 ",211,,
MASON," 1,332 "," $7,706 "," $3,530 ", $- , $255 , $- , $- , $139 ," $3,782 ",388,,
MEADE," 3,667 "," $23,176 "," $13,881 ", $- ," $1,897 ", $- , $- , $84 ," $7,314 ","1,061",,
MENIFEE, 460 ," $4,302 "," $2,401 ", $- , $81 , $- , $- , $11 ," $1,809 ",176,,
MERCER," 1,703 "," $12,233 "," $5,956 ", $- , $504 , $- , $- , $45 ," $5,728 ",543,,
METCALFE, 661 ," $3,715 "," $2,417 ", $- , $104 , $- , $- , $13 ," $1,181 ",171,,
MONROE, 598 ," $4,038 "," $2,920 ", $- , $91 , $- , $- , $13 ," $1,014 ",141,,
MONTGOMERY," 1,999 "," $15,251 "," $7,459 ", $- , $616 , $- , $- , $58 ," $7,118 ",649,,
MORGAN, 980 ," $4,689 "," $2,967 ", $- , $120 , $- , $- , $19 ," $1,584 ",229,,
MUHLENBERG," 2,124 "," $12,666 "," $8,440 ", $- , $335 , $- , $- , $124 ," $3,768 ",513,,
NELSON," 3,482 "," $20,331 "," $10,609 ", $- ," $1,171 ", $- , $- , $109 ," $8,441 ",950,,
NICHOLAS, 574 ," $4,267 "," $1,843 ", $- , $78 , $- , $- , $31 ," $2,315 ",219,,
OHIO," 2,013 "," $11,792 "," $7,530 ", $- , $341 , $- , $- , $12 ," $3,909 ",526,,
OLDHAM," 5,070 "," $19,157 "," $9,759 ", $- ," $1,962 ", $- , $- , $335 ," $7,101 ",869,,
OWEN, 923 ," $3,824 "," $1,157 ", $- , $54 , $- , $- , $149 ," $2,464 ",215,,
OWSLEY, 252 ," $3,067 "," $2,262 ", $- , $12 , $- , $- , $0 , $792 ,96,,
PENDLETON," 1,237 "," $6,784 "," $2,759 ", $- , $262 , $- , $- , $5 ," $3,758 ",350,,
PERRY," 1,381 "," $19,912 "," $13,452 ", $- , $485 , $- , $- , $37 ," $5,936 ",710,,
PIKE," 3,441 "," $32,767 "," $20,947 ", $- , $702 , $- , $- , $152 ," $10,966 ","1,288",,
POWELL, 978 ," $10,204 "," $5,496 ", $- , $135 , $- , $- , $4 ," $4,570 ",382,,
PULASKI," 5,105 "," $46,825 "," $26,594 ", $50 ," $1,550 ", $- , $154 , $181 ," $18,297 ","2,227",,
ROBERTSON, 182 ," $1,436 ", $970 , $- , $35 , $- , $- , $0 , $431 ,53,,
ROCKCASTLE, 886 ," $8,340 "," $4,702 ", $- , $131 , $- , $- , $12 ," $3,494 ",409,,
ROWAN," 1,431 "," $11,636 "," $5,894 ", $- , $709 , $- , $- , $35 ," $4,997 ",564,,
RUSSELL," 1,320 "," $10,227 "," $6,335 ", $- , $288 , $- , $- , $5 ," $3,598 ",451,,
SCOTT," 3,508 "," $19,852 "," $10,085 ", $- ," $1,512 ", $- , $- , $68 ," $8,187 ",946,,
SHELBY," 3,445 "," $15,881 "," $7,993 ", $- ," $1,161 ", $- , $- , $308 ," $6,419 ",689,,
SIMPSON," 1,375 "," $8,746 "," $5,384 ", $- , $283 , $- , $- , $75 ," $3,004 ",359,,
SPENCER," 1,134 "," $7,782 "," $3,816 ", $- , $383 , $- , $- , $72 ," $3,511 ",361,,
TAYLOR," 1,467 "," $11,572 "," $6,775 ", $- , $893 , $- , $- , $26 ," $3,877 ",503,,
TODD, 901 ," $6,075 "," $3,980 ", $- , $377 , $- , $- , $4 ," $1,714 ",243,,
TRIGG," 1,366 "," $12,287 "," $8,532 ", $- , $917 , $- , $- , $48 ," $2,790 ",443,,
TRIMBLE, 709 ," $4,220 "," $2,268 ", $- , $74 , $- , $- , $18 ," $1,861 ",214,,
UNION," 1,008 "," $7,486 "," $4,037 ", $- , $196 , $- , $- , $258 ," $2,995 ",365,,
WARREN," 7,914 "," $46,455 "," $28,820 ", $- ," $4,826 ", $- , $- , $696 ," $12,112 ","1,793",,
WASHINGTON, 668 ," $4,308 "," $2,260 ", $- , $365 , $- , $- , $10 ," $1,673 ",202,,
WAYNE," 1,527 "," $11,010 "," $6,361 ", $- , $296 , $- , $- , $10 ," $4,343 ",508,,
WEBSTER, 929 ," $5,619 "," $3,167 ", $- , $250 , $- , $- , $18 ," $2,184 ",301,,
WHITLEY," 2,516 "," $30,175 "," $19,729 ", $- ," $1,276 ", $- , $- , $50 ," $9,120 ",964,,
WOLFE, 413 ," $5,085 "," $2,402 ", $- , $139 , $- , $- , $6 ," $2,537 ",176,,
WOODFORD," 1,964 "," $11,795 "," $5,723 ", $- , $810 , $- , $- , $62 ," $5,200 ",561,,
,,,,,,,,,,,,
KENTUCKY (Totals),"330,599 "," $2,425,358 "," $1,255,748 "," $10,245 "," $155,455 ", $- ," $40,024 "," $18,858 "," $945,028 ","101,840 ",,
,,,,,,,,,,,,
CONG. DIST (01)," 57,316 "," $397,599 "," $229,588 ", $550 ," $26,881 ", $- , $392 ," $2,953 "," $137,236 ","17,613",,
CONG. DIST (02)," 66,554 "," $484,845 "," $294,605 ", $- ," $41,046 ", $- , $- ," $3,074 "," $146,120 ","18,689",,
CONG. DIST (03)," 52,854 "," $400,418 "," $154,920 "," $9,126 "," $29,990 ", $- ," $35,836 "," $4,166 "," $166,380 ","16,206",,
CONG. DIST (04)," 58,145 "," $322,653 "," $143,655 ", $2 ," $19,506 ", $- , $- ," $3,211 "," $156,278 ","15,158",,
CONG. DIST (05)," 43,162 "," $421,525 "," $253,250 ", $50 ," $11,398 ", $- , $154 ," $1,693 "," $154,981 ","17,207",,
