ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,LA,ACADIA,"3,798","$21,804 ","$12,525 ", $- ,$803 , $- , $- ,$210 ,"$8,267 ","1,064"
14,LA,ALLEN,"1,880","$12,422 ","$6,286 ", $- ,$400 , $- , $- ,$127 ,"$5,609 ",546
14,LA,ASCENSION,"6,913","$33,097 ","$19,518 ", $- ,"$3,068 ", $- , $- ,$350 ,"$10,161 ","1,226"
14,LA,ASSUMPTION,"1,442","$6,487 ","$4,494 ", $- ,$139 , $- , $- ,$42 ,"$1,812 ",332
14,LA,AVOYELLES,"3,014","$27,383 ","$15,266 ", $- ,$556 , $- , $- ,$220 ,"$11,340 ","1,166"
14,LA,BEAUREGARD,"3,613","$37,021 ","$23,946 ", $- ,"$2,910 ", $- , $- ,$215 ,"$9,950 ","1,185"
14,LA,BIENVILLE,"1,101","$10,523 ","$5,087 ", $- ,$285 , $- , $- ,$58 ,"$5,093 ",401
14,LA,BOSSIER,"14,207","$115,828 ","$65,661 ", $- ,"$11,996 ", $- , $- ,"$1,204 ","$36,968 ","3,777"
14,LA,CADDO,"22,230","$182,928 ","$81,746 ","$1,055 ","$11,021 ", $- ,"$1,745 ","$1,684 ","$85,677 ","6,766"
14,LA,CALCASIEU,"15,973","$82,368 ","$47,155 ", $- ,"$5,324 ", $- , $- ,$356 ,"$29,534 ","3,537"
14,LA,CALDWELL,777,"$5,115 ","$3,421 ", $- ,$95 , $- , $- ,$9 ,"$1,590 ",212
14,LA,CAMERON,574,"$1,503 ",$545 , $- ,$25 , $- , $- ,$8 ,$925 ,87
14,LA,CATAHOULA,619,"$6,904 ","$3,576 ", $- ,$96 , $- , $- ,$5 ,"$3,227 ",272
14,LA,CLAIBORNE,"1,225","$6,921 ","$3,741 ", $- ,$294 , $- , $- ,$100 ,"$2,786 ",326
14,LA,CONCORDIA,"1,239","$10,582 ","$5,613 ", $- ,$340 , $- , $- ,$67 ,"$4,563 ",535
14,LA,DE SOTO,"2,022","$14,258 ","$7,281 ", $- ,$631 , $- , $- ,$51 ,"$6,295 ",599
14,LA,EAST BATON ROUGE,"29,376","$160,209 ","$86,953 ","$2,519 ","$15,810 ", $- ,"$1,481 ","$2,112 ","$51,334 ","5,903"
14,LA,EAST CARROLL,522,"$2,870 ","$1,313 ", $- ,$27 , $- , $- ,$20 ,"$1,510 ",113
14,LA,EAST FELICIANA,"1,910","$11,135 ","$7,474 ", $- ,$467 , $- , $- ,$58 ,"$3,136 ",430
14,LA,EVANGELINE,"1,942","$13,621 ","$7,796 ", $- ,$323 , $- , $- ,$96 ,"$5,407 ",599
14,LA,FRANKLIN,"1,333","$10,915 ","$6,522 ", $- ,$234 , $- , $- ,$80 ,"$4,080 ",487
14,LA,GRANT,"1,941","$21,177 ","$9,901 ", $- ,$544 , $- , $- ,$87 ,"$10,645 ",854
14,LA,IBERIA,"4,767","$24,608 ","$15,210 ", $- ,$976 , $- , $- ,$327 ,"$8,094 ","1,229"
