,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ALCONA," 1,578 "," $9,631 "," $5,251 ", $- , $187 , $- , $- , $72 ," $4,122 ",521,,,,
ALGER, 922 ," $8,020 "," $4,220 ", $- , $172 , $- , $- , $30 ," $3,598 ",372,,,,
ALLEGAN," 7,544 "," $31,743 "," $18,684 ", $- ," $1,930 ", $- , $- , $372 ," $10,757 ","1,560",,,,
ALPENA," 2,888 "," $15,597 "," $7,939 ", $- , $763 , $- , $- , $353 ," $6,543 ",974,,,,
ANTRIM," 2,308 "," $12,036 "," $7,717 ", $- , $487 , $- , $- , $138 ," $3,693 ",566,,,,
ARENAC," 1,546 "," $10,196 "," $6,486 ", $- , $263 , $- , $- , $68 ," $3,379 ",403,,,,
BARAGA, 729 ," $5,816 "," $2,961 ", $- , $92 , $- , $- , $29 ," $2,734 ",302,,,,
BARRY," 4,962 "," $20,806 "," $10,467 ", $- ," $1,061 ", $- , $- , $661 ," $8,617 ","1,069",,,,
BAY," 9,327 "," $52,638 "," $28,762 ", $- ," $2,161 ", $- , $- , $575 ," $21,139 ","2,201",,,,
BENZIE," 1,732 "," $8,270 "," $5,311 ", $- , $359 , $- , $- , $24 ," $2,577 ",469,,,,
BERRIEN," 12,211 "," $59,318 "," $34,428 ", $- ," $2,921 ", $- , $- , $721 ," $21,248 ","2,899",,,,
BRANCH," 3,419 "," $20,790 "," $11,507 ", $- , $606 , $- , $- , $578 ," $8,100 ",879,,,,
CALHOUN," 11,272 "," $130,830 "," $43,676 "," $16,438 "," $4,378 ", $- ," $2,961 ", $644 ," $62,733 ","3,450",,,,
CASS," 4,424 "," $17,227 "," $8,386 ", $- , $711 , $- , $- , $142 ," $7,988 ","1,259",,,,
CHARLEVOIX," 2,268 "," $10,288 "," $6,478 ", $- , $327 , $- , $- , $224 ," $3,259 ",547,,,,
CHEBOYGAN," 2,537 "," $17,724 "," $10,762 ", $- , $430 , $- , $- , $442 ," $6,089 ",816,,,,
