,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
ADAIR," 1,405 "," $10,163 "," $4,867 ", $- , $596 , $- , $- , $281 ," $4,419 ",597,,,
ANDREW," 1,404 "," $6,300 "," $3,111 ", $- , $253 , $- , $- , $69 ," $2,867 ",407,,,
ATCHISON, 538 ," $2,297 "," $1,299 ", $- , $104 , $- , $- , $31 , $862 ,125,,,
AUDRAIN," 1,938 "," $16,950 "," $7,305 ", $- , $400 , $- , $- , $257 ," $8,989 ",928,,,
BARRY," 2,984 "," $19,694 "," $10,885 ", $- , $442 , $- , $- , $165 ," $8,203 ","1,178",,,
BARTON," 1,057 "," $5,651 "," $3,265 ", $- , $220 , $- , $- , $39 ," $2,127 ",326,,,
BATES," 1,429 "," $10,015 "," $5,652 ", $- , $382 , $- , $- , $175 ," $3,806 ",408,,,
BENTON," 2,447 "," $24,954 "," $13,049 ", $- , $295 , $- , $- , $145 ," $11,465 ","1,096",,,
BOLLINGER," 1,121 "," $7,529 "," $4,099 ", $- , $104 , $- , $- , $24 ," $3,301 ",391,,,
BOONE," 10,875 "," $103,957 "," $38,758 "," $4,777 "," $9,756 ", $- ," $2,367 ", $700 ," $47,598 ","3,684",,,
BUCHANAN," 7,528 "," $42,785 "," $22,216 ", $- ," $2,221 ", $- , $- , $536 ," $17,811 ","2,117",,,
BUTLER," 4,043 "," $55,348 "," $22,913 ", $582 ," $1,438 ", $- ," $1,654 ", $75 ," $28,687 ","1,967",,,
CALDWELL, 849 ," $6,307 "," $3,142 ", $- , $125 , $- , $- , $10 ," $3,030 ",348,,,
CALLAWAY," 4,230 "," $30,012 "," $15,536 ", $- ," $1,210 ", $- , $- , $45 ," $13,221 ","1,428",,,
CAMDEN," 4,675 "," $31,378 "," $16,294 ", $- , $897 , $- , $- , $230 ," $13,957 ","1,680",,,
