¥éË,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,MS,ADAMS,"2,167","$19,095 ","$9,232 ", $- ,$553 , $- ,$566 ,$98 ,"$8,646 ","1,074"
14,MS,ALCORN,"2,239","$17,323 ","$10,931 ",$109 ,$508 , $- ,$257 ,$50 ,"$5,468 ",590
14,MS,AMITE,"1,098","$6,555 ","$2,924 ", $- ,$187 , $- , $- ,$61 ,"$3,383 ",392
14,MS,ATTALA,"1,377","$11,850 ","$6,387 ", $- ,$321 , $- , $- ,$32 ,"$5,109 ",503
14,MS,BENTON,484,"$2,804 ","$1,237 ", $- ,$49 , $- , $- ,$14 ,"$1,504 ",118
14,MS,BOLIVAR,"2,073","$12,986 ","$6,926 ", $- ,$677 , $- , $- ,$35 ,"$5,348 ",587
14,MS,CALHOUN,931,"$6,448 ","$4,122 ", $- ,$228 , $- , $- ,$15 ,"$2,082 ",296
14,MS,CARROLL,774,"$3,565 ","$1,936 ", $- ,$148 , $- , $- ,$70 ,"$1,411 ",200
14,MS,CHICKASAW,"1,009","$6,308 ","$4,154 ", $- ,$227 , $- , $- ,$6 ,"$1,921 ",302
14,MS,CHOCTAW,699,"$3,665 ","$1,791 ", $- ,$171 , $- , $- ,$7 ,"$1,696 ",227
14,MS,CLAIBORNE,498,"$3,863 ","$1,492 ", $- ,$137 , $- , $- ,$17 ,"$2,216 ",177
14,MS,CLARKE,"1,386","$8,354 ","$4,979 ", $- ,$405 , $- , $- ,$50 ,"$2,920 ",464
14,MS,CLAY,"1,377","$7,452 ","$3,901 ", $- ,$512 , $- , $- ,$130 ,"$2,909 ",428
14,MS,COAHOMA,"1,423","$8,882 ","$4,800 ", $- ,$429 , $- , $- ,$72 ,"$3,581 ",470
14,MS,COPIAH,"1,864","$18,681 ","$8,626 ", $- ,$685 , $- , $- ,$232 ,"$9,138 ",874
14,MS,COVINGTON,"1,287","$12,918 ","$7,360 ", $- ,$577 , $- , $- ,$34 ,"$4,947 ",538
14,MS,DE SOTO,"14,654","$69,506 ","$34,034 ", $- ,"$5,422 ", $- , $- ,$819 ,"$29,231 ","2,830"
14,MS,FORREST,"6,035","$56,526 ","$33,402 ", $- ,"$7,495 ", $- , $- ,$636 ,"$14,993 ","1,816"
14,MS,FRANKLIN,591,"$3,367 ","$1,812 ", $- ,$130 , $- , $- ,$18 ,"$1,409 ",214
14,MS,GEORGE,"1,799","$10,088 ","$5,506 ", $- ,$708 , $- , $- ,$35 ,"$3,840 ",459
14,MS,GREENE,"1,126","$4,355 ","$2,606 ", $- ,$94 , $- , $- ,$50 ,"$1,605 ",212
14,MS,GRENADA,"1,513","$10,618 ","$5,249 ", $- ,$454 , $- , $- ,$21 ,"$4,894 ",548
14,MS,HANCOCK,"4,443","$31,407 ","$11,901 ", $- ,"$1,497 ", $- , $- ,$473 ,"$17,536 ","1,270"
14,MS,HARRISON,"21,733","$263,387 ","$101,788 ","$35,226 ","$20,652 ", $- ,"$5,073 ","$1,832 ","$98,817 ","7,751"
14,MS,HINDS,"15,090","$193,136 ","$61,436 ","$1,143 ","$8,912 ", $- ,"$24,197 ","$1,064 ","$96,384 ","6,626"
14,MS,HOLMES,949,"$8,169 ","$3,801 ", $- ,$313 , $- , $- ,$24 ,"$4,031 ",400
14,MS,HUMPHREYS,430,"$3,792 ","$1,726 ", $- ,$103 , $- , $- ,$122 ,"$1,841 ",167
14,MS,ISSAQUENA,117,$186 ,$78 , $- , $- , $- , $- , $- ,$108 ,21
14,MS,ITAWAMBA,"1,641","$7,325 ","$5,081 ", $- ,$337 , $- , $- ,$19 ,"$1,887 ",419
14,MS,JACKSON,"14,971","$86,933 ","$42,586 ", $- ,"$7,545 ", $- , $- ,"$1,024 ","$35,778 ","3,680"
14,MS,JASPER,"1,130","$9,047 ","$4,681 ", $- ,$325 , $- , $- ,$16 ,"$4,025 ",412
14,MS,JEFFERSON,450,"$3,809 ","$1,580 ", $- ,$130 , $- , $- ,$114 ,"$1,985 ",168
14,MS,JEFFERSON DAVIS,863,"$6,023 ","$2,898 ", $- ,$281 , $- , $- ,$19 ,"$2,825 ",256
14,MS,JONES,"4,124","$29,997 ","$17,232 ", $- ,"$1,187 ", $- , $- ,$177 ,"$11,402 ","1,486"
14,MS,KEMPER,631,"$3,709 ","$2,017 ", $- ,$161 , $- , $- ,$18 ,"$1,514 ",190
14,MS,LAFAYETTE,"3,015","$13,194 ","$6,315 ", $- ,"$2,061 ", $- , $- ,$238 ,"$4,580 ",527
14,MS,LAMAR,"3,994","$20,231 ","$8,800 ", $- ,"$1,440 ", $- , $- ,$498 ,"$9,494 ","1,208"
14,MS,LAUDERDALE,"6,482","$39,407 ","$21,819 ", $- ,"$2,639 ", $- , $- ,$556 ,"$14,394 ","2,103"
14,MS,LAWRENCE,972,"$10,234 ","$5,214 ", $- ,$474 , $- , $- ,$51 ,"$4,495 ",409
14,MS,LEAKE,"1,072","$13,903 ","$6,753 ", $- ,$384 , $- , $- ,$53 ,"$6,712 ",515
14,MS,LEE,"5,505","$29,405 ","$18,019 ", $- ,"$1,787 ", $- , $- ,$270 ,"$9,329 ","1,461"
14,MS,LEFLORE,"1,499","$10,288 ","$5,114 ", $- ,$396 , $- , $- ,$99 ,"$4,680 ",529
14,MS,LINCOLN,"2,231","$16,322 ","$6,874 ", $- ,$391 , $- , $- ,$115 ,"$8,942 ",913
14,MS,LOWNDES,"4,974","$40,489 ","$23,066 ", $- ,"$2,692 ", $- , $- ,$508 ,"$14,224 ","1,846"
14,MS,MADISON,"5,972","$44,401 ","$20,331 ", $- ,"$2,942 ", $- , $- ,$848 ,"$20,279 ","1,966"
14,MS,MARION,"1,711","$12,142 ","$6,719 ", $- ,$380 , $- , $- ,$109 ,"$4,934 ",561
14,MS,MARSHALL,"2,326","$16,065 ","$7,318 ", $- ,$756 , $- , $- ,$37 ,"$7,954 ",674
14,MS,MONROE,"2,786","$14,848 ","$9,293 ", $- ,$562 , $- , $- ,$127 ,"$4,867 ",781
14,MS,MONTGOMERY,802,"$6,716 ","$3,095 ", $- ,$219 , $- , $- ,$39 ,"$3,363 ",351
14,MS,NESHOBA,"1,846","$13,081 ","$7,359 ", $- ,$638 , $- , $- ,$20 ,"$5,065 ",606
14,MS,NEWTON,"2,011","$10,831 ","$5,566 ", $- ,$597 , $- , $- ,$20 ,"$4,648 ",652
14,MS,NOXUBEE,505,"$2,876 ","$1,665 ", $- ,$68 , $- , $- ,$53 ,"$1,090 ",158
14,MS,OKTIBBEHA,"2,401","$14,365 ","$6,166 ", $- ,"$2,984 ", $- , $- ,$802 ,"$4,413 ",620
14,MS,PANOLA,"1,908","$13,637 ","$6,938 ", $- ,$843 , $- , $- ,$59 ,"$5,796 ",561
14,MS,PEARL RIVER,"5,244","$34,591 ","$17,950 ", $- ,"$1,666 ", $- , $- ,$563 ,"$14,412 ","1,475"
14,MS,PERRY,"1,070","$5,991 ","$4,000 ", $- ,$159 , $- , $- ,$30 ,"$1,802 ",256
14,MS,PIKE,"2,857","$21,540 ","$10,583 ", $- ,$772 , $- , $- ,$416 ,"$9,768 ","1,130"
14,MS,PONTOTOC,"1,812","$9,760 ","$5,714 ", $- ,$321 , $- , $- ,$58 ,"$3,667 ",545
14,MS,PRENTISS,"1,683","$7,547 ","$4,524 ", $- ,$194 , $- , $- ,$13 ,"$2,816 ",408
14,MS,QUITMAN,456,"$4,055 ","$2,132 ", $- ,$204 , $- , $- ,$58 ,"$1,661 ",143
14,MS,RANKIN,"11,665","$75,216 ","$32,617 ", $- ,"$5,069 ", $- , $- ,$355 ,"$37,176 ","3,550"
14,MS,SCOTT,"1,590","$14,386 ","$6,143 ", $- ,$538 , $- , $- ,$24 ,"$7,681 ",625
14,MS,SHARKEY,313,"$2,445 ",$895 , $- ,$51 , $- , $- ,$9 ,"$1,491 ",116
14,MS,SIMPSON,"2,022","$16,328 ","$7,960 ", $- ,$496 , $- , $- ,$38 ,"$7,835 ",745
14,MS,SMITH,993,"$6,039 ","$3,232 ", $- ,$231 , $- , $- ,$20 ,"$2,556 ",271
14,MS,STONE,"1,617","$13,949 ","$6,783 ", $- ,"$1,052 ", $- , $- ,$223 ,"$5,891 ",534
14,MS,SUNFLOWER,"1,674","$8,165 ","$3,798 ", $- ,$469 , $- , $- ,$57 ,"$3,841 ",424
14,MS,TALLAHATCHIE,804,"$3,660 ","$1,829 ", $- ,$248 , $- , $- ,$6 ,"$1,577 ",199
14,MS,TATE,"2,084","$12,619 ","$5,861 ", $- ,$568 , $- , $- ,$172 ,"$6,017 ",547
14,MS,TIPPAH,"1,388","$7,099 ","$4,885 ", $- ,$145 , $- , $- ,$11 ,"$2,057 ",308
14,MS,TISHOMINGO,"1,439","$8,211 ","$5,328 ", $- ,$205 , $- , $- ,$50 ,"$2,628 ",331
14,MS,TUNICA,479,"$5,505 ","$2,807 ", $- ,$301 , $- , $- ,$19 ,"$2,378 ",216
14,MS,UNION,"1,866","$8,779 ","$5,407 ", $- ,$346 , $- , $- ,$27 ,"$2,998 ",462
14,MS,WALTHALL,938,"$6,152 ","$3,095 ", $- ,$316 , $- , $- ,$11 ,"$2,729 ",340
14,MS,WARREN,"3,678","$20,942 ","$9,987 ", $- ,$987 , $- , $- ,$158 ,"$9,810 ","1,028"
14,MS,WASHINGTON,"2,992","$21,321 ","$10,360 ", $- ,$785 , $- , $- ,$109 ,"$10,067 ","1,270"
14,MS,WAYNE,"1,411","$7,645 ","$4,267 ", $- ,$227 , $- , $- ,$116 ,"$3,035 ",376
14,MS,WEBSTER,797,"$5,750 ","$3,178 ", $- ,$228 , $- , $- ,$2 ,"$2,342 ",276
14,MS,WILKINSON,441,"$3,092 ","$1,698 ", $- ,$69 , $- , $- ,$1 ,"$1,324 ",165
14,MS,WINSTON,"1,407","$9,346 ","$4,116 ", $- ,$265 , $- , $- ,$5 ,"$4,960 ",493
14,MS,YALOBUSHA,962,"$8,032 ","$5,192 ", $- ,$307 , $- , $- ,$58 ,"$2,475 ",283
14,MS,YAZOO,"1,717","$14,311 ","$5,701 ", $- ,$435 , $- , $- ,$33 ,"$8,142 ",632
,,,,,,,,,,,,
14,MS,MISSISSIPPI (Totals),"220,389","$1,657,042 ","$776,679 ","$36,478 ","$100,467 ", $- ,"$30,094 ","$14,544 ","$698,780 ","69,754"
,,,,,,,,,,,,
