Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,NC,ALAMANCE,"11,502","$71,432 ","$34,484 ", $- ,"$2,275 ", $- , $- ,$545 ,"$34,127 ","2,593"
14,NC,ALEXANDER,"2,805","$18,561 ","$9,597 ", $- ,$444 , $- , $- ,$41 ,"$8,479 ",943
14,NC,ALLEGHANY,910,"$5,421 ","$3,419 ", $- ,$113 , $- , $- ,$24 ,"$1,865 ",305
14,NC,ANSON,"1,667","$10,076 ","$6,173 ", $- ,$368 , $- , $- ,$91 ,"$3,444 ",522
14,NC,ASHE,"1,912","$13,956 ","$9,170 ", $- ,$325 , $- , $- ,$178 ,"$4,283 ",678
14,NC,AVERY,"1,148","$8,926 ","$5,055 ", $- ,$499 , $- , $- ,$137 ,"$3,235 ",458
14,NC,BEAUFORT,"3,890","$31,238 ","$19,605 ", $- ,"$1,511 ", $- , $- ,$368 ,"$9,753 ","1,172"
14,NC,BERTIE,"1,168","$8,725 ","$4,987 ", $- ,$297 , $- , $- ,$65 ,"$3,378 ",288
14,NC,BLADEN,"3,016","$20,227 ","$12,125 ", $- ,$583 , $- , $- ,$133 ,"$7,386 ",740
14,NC,BRUNSWICK,"13,450","$77,012 ","$53,127 ", $- ,"$3,532 ", $- , $- ,"$1,306 ","$19,047 ","3,280"
14,NC,BUNCOMBE,"19,908","$192,474 ","$73,927 ", $- ,"$7,169 ", $- ,"$4,695 ","$1,927 ","$104,755 ","7,477"
14,NC,BURKE,"7,041","$51,957 ","$25,551 ", $- ,"$1,475 ", $- , $- ,$359 ,"$24,571 ","2,503"
14,NC,CABARRUS,"13,288","$86,998 ","$46,731 ", $- ,"$6,518 ", $- , $- ,$578 ,"$33,171 ","4,119"
14,NC,CALDWELL,"6,213","$43,431 ","$23,529 ", $- ,"$1,437 ", $- , $- ,$133 ,"$18,333 ","2,225"
14,NC,CAMDEN,"1,064","$10,068 ","$6,307 ", $- ,"$1,661 ", $- , $- ,$498 ,"$1,602 ",217
14,NC,CARTERET,"8,472","$64,569 ","$44,209 ", $- ,"$3,644 ", $- , $- ,"$1,563 ","$15,153 ","2,385"
14,NC,CASWELL,"2,005","$12,146 ","$5,328 ", $- ,$282 , $- , $- ,$49 ,"$6,487 ",517
14,NC,CATAWBA,"11,853","$76,613 ","$41,240 ", $- ,"$3,909 ", $- , $- ,$489 ,"$30,974 ","4,035"
14,NC,CHATHAM,"6,210","$22,430 ","$9,443 ", $- ,$865 , $- , $- ,$503 ,"$11,619 ",939
