ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,ND,ADAMS,203,"$1,139 ",$590 , $- ,$27 , $- , $- ,$1 ,$520 ,81
14,ND,BARNES,945,"$6,644 ","$2,900 ", $- ,$164 , $- , $- ,$17 ,"$3,562 ",360
14,ND,BENSON,406,"$2,837 ","$1,289 ", $- ,$112 , $- , $- ,$1 ,"$1,435 ",127
14,ND,BILLINGS,104,$188 ,$113 , $- ,$6 , $- , $- ,$5 ,$64 ,24
14,ND,BOTTINEAU,653,"$3,025 ","$1,748 ", $- ,$210 , $- , $- ,$109 ,$957 ,178
14,ND,BOWMAN,239,"$1,039 ",$552 , $- ,$29 , $- , $- ,$0 ,$458 ,104
14,ND,BURKE,218,$868 ,$461 , $- ,$18 , $- , $- ,$17 ,$373 ,52
14,ND,BURLEIGH,"7,231","$32,394 ","$18,698 ", $- ,"$2,290 ", $- , $- ,$341 ,"$11,065 ","2,093"
14,ND,CASS,"10,511","$111,195 ","$36,582 ","$3,970 ","$5,725 ", $- ,"$6,508 ",$609 ,"$57,803 ","4,440"
14,ND,CAVALIER,352,"$1,168 ",$600 , $- ,$18 , $- , $- ,$23 ,$528 ,112
14,ND,DICKEY,497,"$1,630 ",$928 , $- ,$114 , $- , $- ,$51 ,$537 ,117
14,ND,DIVIDE,232,$646 ,$429 , $- ,$17 , $- , $- ,$6 ,$193 ,62
14,ND,DUNN,338,"$1,824 ",$791 , $- ,$23 , $- , $- ,$16 ,$994 ,122
14,ND,EDDY,185,"$1,167 ",$656 , $- ,$19 , $- , $- ,$0 ,$490 ,62
14,ND,EMMONS,321,"$1,926 ",$923 , $- ,$18 , $- , $- ,$1 ,$985 ,133
14,ND,FOSTER,241,"$1,007 ",$609 , $- ,$47 , $- , $- ,$15 ,$336 ,64
14,ND,GOLDEN VALLEY,163,$416 ,$154 , $- ,$21 , $- , $- ,$41 ,$199 ,42
14,ND,GRAND FORKS,"6,177","$36,091 ","$18,279 ", $- ,"$6,142 ", $- , $- ,$998 ,"$10,672 ","1,715"
14,ND,GRANT,236,"$1,097 ",$462 , $- ,$38 , $- , $- ,$8 ,$588 ,73
14,ND,GRIGGS,207,"$2,847 ",$808 , $- ,$44 , $- , $- ,$10 ,"$1,986 ",111
14,ND,HETTINGER,280,"$1,296 ",$738 , $- ,$32 , $- , $- ,$59 ,$468 ,70
14,ND,KIDDER,202,"$1,255 ",$585 , $- ,$19 , $- , $- ,$8 ,$644 ,67
14,ND,LA MOURE,344,"$1,771 ",$677 , $- ,$41 , $- , $- ,$2 ,"$1,051 ",117
14,ND,LOGAN,139,"$1,066 ",$571 , $- ,$4 , $- , $- ,$7 ,$483 ,74
14,ND,MCHENRY,583,"$2,632 ","$1,778 ", $- ,$89 , $- , $- ,$1 ,$764 ,167
14,ND,MCINTOSH,231,"$1,539 ",$696 , $- ,$16 , $- , $- ,$32 ,$795 ,91
14,ND,MCKENZIE,507,"$2,651 ","$1,344 ", $- ,$68 , $- , $- ,$67 ,"$1,172 ",209
14,ND,MCLEAN,877,"$4,917 ","$3,012 ", $- ,$178 , $- , $- ,$49 ,"$1,678 ",307
14,ND,MERCER,705,"$2,668 ","$1,480 ", $- ,$56 , $- , $- ,$4 ,"$1,128 ",220
14,ND,MORTON,"2,249","$13,882 ","$7,802 ", $- ,$668 , $- , $- ,$94 ,"$5,319 ",773
14,ND,MOUNTRAIL,571,"$3,292 ","$2,034 ", $- ,$84 , $- , $- ,$45 ,"$1,129 ",183
14,ND,NELSON,350,"$2,914 ","$1,483 ", $- ,$32 , $- , $- ,$120 ,"$1,278 ",141
14,ND,OLIVER,145,$643 ,$387 , $- ,$11 , $- , $- ,$0 ,$244 ,51
14,ND,PEMBINA,714,"$3,705 ","$1,913 ", $- ,$145 , $- , $- ,$109 ,"$1,538 ",224
14,ND,PIERCE,390,"$1,631 ",$912 , $- ,$112 , $- , $- ,$1 ,$606 ,113
14,ND,RAMSEY,897,"$5,234 ","$3,003 ", $- ,$319 , $- , $- ,$24 ,"$1,887 ",328
14,ND,RANSOM,519,"$4,318 ","$2,051 ", $- ,$23 , $- , $- ,$39 ,"$2,205 ",219
14,ND,RENVILLE,327,"$1,051 ",$753 , $- ,$34 , $- , $- ,$53 ,$211 ,71
14,ND,RICHLAND,"1,124","$8,107 ","$3,230 ", $- ,$291 , $- , $- ,$84 ,"$4,503 ",368
14,ND,ROLETTE,739,"$4,655 ","$2,848 ", $- ,$161 , $- , $- ,$30 ,"$1,617 ",243
14,ND,SARGENT,317,"$2,155 ",$996 , $- ,$60 , $- , $- ,$0 ,"$1,099 ",102
14,ND,SHERIDAN,137,$412 ,$257 , $- ,$5 , $- , $- ,$21 ,$130 ,47
14,ND,SIOUX,328,"$2,022 ","$1,008 ", $- ,$72 , $- , $- ,$0 ,$942 ,75
14,ND,SLOPE,29,$179 ,$69 , $- , $- , $- , $- ,$4 ,$107 ,21
14,ND,STARK,"2,103","$12,785 ","$5,861 ", $- ,$382 , $- , $- ,$165 ,"$6,377 ",807
