,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
BELKNAP," 6,192 "," $40,415 "," $21,340 ", $- ," $2,109 ", $- , $- , $442 ," $16,524 ","1,795",,,,
CARROLL," 5,548 "," $27,177 "," $14,246 ", $- , $994 , $- , $- , $442 ," $11,494 ","1,317",,,,
CHESHIRE," 7,196 "," $38,006 "," $18,692 ", $- ," $2,206 ", $- , $- , $631 ," $16,478 ","1,754",,,,
COOS," 3,385 "," $23,235 "," $10,841 ", $- , $988 , $- , $- , $240 ," $11,166 ","1,357",,,,
GRAFTON," 7,498 "," $52,423 "," $21,973 ", $- ," $3,561 ", $- , $- , $665 ," $26,224 ","2,524",,,,
HILLSBOROUGH," 30,775 "," $199,525 "," $83,503 "," $3,744 "," $17,012 ", $- ," $6,000 "," $2,128 "," $87,138 ","7,884",,,,
MERRIMACK," 13,378 "," $71,507 "," $32,137 ", $- ," $8,156 ", $- , $- ," $1,037 "," $30,176 ","3,064",,,,
ROCKINGHAM," 24,116 "," $128,791 "," $63,161 ", $- ," $16,118 ", $- , $- ," $2,420 "," $47,093 ","5,280",,,,
STRAFFORD," 11,290 "," $59,519 "," $32,186 ", $- ," $6,618 ", $- , $- , $844 ," $19,872 ","2,446",,,,
SULLIVAN," 4,283 "," $33,455 "," $12,944 ", $- , $630 , $- , $- , $131 ," $19,750 ","1,548",,,,
,,,,,,,,,,,,,,
NEW HAMPSHIRE (Totals),"113,660 "," $674,052 "," $311,022 "," $3,744 "," $58,392 ", $- ," $6,000 "," $8,979 "," $285,915 ","28,969 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 56,969 "," $355,806 "," $169,517 "," $3,744 "," $33,274 ", $- ," $6,000 "," $4,779 "," $138,492 ","14,218",,,,
CONG. DIST (02)," 56,692 "," $318,246 "," $141,506 ", $- ," $25,118 ", $- , $- ," $4,199 "," $147,423 ","14,751",,,,
,,,,,,,,,,,,,,
NEW HAMPSHIRE (Totals),"113,660 "," $674,052 "," $311,022 "," $3,744 "," $58,392 ", $- ," $6,000 "," $8,979 "," $285,915 ","28,969 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
