,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
ALBANY," 19,622 "," $134,252 "," $44,185 ", $233 ," $7,728 ", $- ," $5,332 "," $1,868 "," $74,906 ","4,672",,,
ALLEGANY," 4,153 "," $31,400 "," $15,048 ", $- ," $1,317 ", $- , $- , $132 ," $14,903 ","1,496",,,
BRONX," 34,687 "," $372,570 "," $97,077 ", $90 ," $47,245 ", $- ," $2,466 "," $1,293 "," $224,399 ","10,800",,,
BROOME," 14,790 "," $59,363 "," $33,996 ", $- ," $3,781 ", $- , $- , $771 ," $20,814 ","3,279",,,
CATTARAUGUS," 7,453 "," $53,196 "," $28,896 ", $- ," $1,989 ", $- , $- , $227 ," $22,084 ","2,348",,,
CAYUGA," 6,543 "," $35,860 "," $16,323 ", $- ," $1,515 ", $- , $- , $505 ," $17,517 ","1,932",,,
CHAUTAUQUA," 11,018 "," $80,613 "," $44,473 ", $- ," $3,095 ", $- , $- ," $1,096 "," $31,948 ","4,001",,,
CHEMUNG," 8,155 "," $53,861 "," $27,189 ", $- ," $2,076 ", $- , $- , $551 ," $24,045 ","2,386",,,
CHENANGO," 4,581 "," $23,823 "," $12,973 ", $- ," $1,092 ", $- , $- , $209 ," $9,548 ","1,022",,,
CLINTON," 6,840 "," $39,222 "," $26,503 ", $- ," $1,824 ", $- , $- , $567 ," $10,328 ","2,040",,,
COLUMBIA," 4,882 "," $24,145 "," $10,115 ", $- , $650 , $- , $- , $412 ," $12,968 ","1,123",,,
CORTLAND," 3,652 "," $20,255 "," $9,218 ", $- , $991 , $- , $- , $173 ," $9,873 ","1,072",,,
DELAWARE," 3,707 "," $16,959 "," $9,488 ", $- , $579 , $- , $- , $160 ," $6,732 ",863,,,
DUTCHESS," 18,235 "," $127,914 "," $41,262 ", $- ," $8,896 ", $- , $502 ," $2,167 "," $75,087 ","4,856",,,
ERIE," 62,999 "," $548,422 "," $234,190 "," $5,089 "," $28,233 ", $- ," $57,504 "," $6,199 "," $217,208 ","18,823",,,
ESSEX," 3,899 "," $17,172 "," $9,491 ", $- , $774 , $- , $- , $264 ," $6,643 ",924,,,
FRANKLIN," 4,022 "," $21,530 "," $12,957 ", $- ," $1,108 ", $- , $- , $645 ," $6,820 ","1,055",,,
FULTON," 4,592 "," $20,897 "," $10,978 ", $- ," $1,241 ", $- , $- , $89 ," $8,588 ",958,,,
GENESEE," 4,244 "," $55,614 "," $16,794 ", $969 ," $1,670 ", $- , $448 , $407 ," $35,326 ","1,881",,,
GREENE," 4,033 "," $24,394 "," $10,507 ", $- , $776 , $- , $- , $162 ," $12,950 ","1,105",,,
HAMILTON, 629 ," $1,594 ", $831 , $- , $30 , $- , $- , $84 , $648 ,90,,,
HERKIMER," 5,547 "," $26,272 "," $14,761 ", $- ," $1,418 ", $- , $- , $286 ," $9,807 ","1,256",,,
JEFFERSON," 13,818 "," $102,541 "," $56,168 ", $- ," $20,509 ", $- , $- , $347 ," $25,517 ","3,809",,,
KINGS," 50,999 "," $467,625 "," $141,363 ", $244 ," $69,189 ", $- , $- ," $4,329 "," $252,500 ","13,344",,,
LEWIS," 2,283 "," $13,897 "," $8,122 ", $- ," $1,251 ", $- , $- , $87 ," $4,437 ",701,,,
LIVINGSTON," 4,994 "," $24,468 "," $11,561 ", $- ," $1,539 ", $- , $- , $251 ," $11,116 ","1,271",,,
MADISON," 5,419 "," $30,215 "," $13,925 ", $- ," $1,862 ", $- , $- , $306 ," $14,122 ","1,419",,,
MONROE," 44,093 "," $216,403 "," $105,014 ", $- ," $19,914 ", $- , $- ," $3,973 "," $87,502 ","11,333",,,
MONTGOMERY," 3,840 "," $21,762 "," $11,887 ", $- ," $1,300 ", $- , $- , $94 ," $8,482 ",881,,,
NASSAU," 54,828 "," $254,422 "," $117,594 ", $- ," $29,743 ", $- , $- ," $11,597 "," $95,488 ","11,287",,,
NEW YORK," 37,065 "," $349,682 "," $81,011 "," $21,975 "," $49,546 ", $- ," $28,212 "," $8,940 "," $159,998 ","8,774",,,
NIAGARA," 18,306 "," $111,059 "," $56,642 ", $- ," $6,758 ", $- , $- ," $1,336 "," $46,323 ","4,486",,,
ONEIDA," 17,923 "," $108,318 "," $58,385 ", $- ," $6,326 ", $- , $- ," $1,390 "," $42,217 ","4,940",,,
ONONDAGA," 29,721 "," $250,843 "," $88,007 ", $- ," $14,589 ", $- ," $1,328 "," $2,636 "," $144,284 ","9,638",,,
ONTARIO," 8,347 "," $74,176 "," $23,803 ", $- ," $2,963 ", $- ," $1,083 ", $602 ," $45,723 ","3,082",,,
ORANGE," 22,790 "," $149,837 "," $63,676 ", $- ," $16,695 ", $- , $- ," $1,498 "," $67,968 ","5,182",,,
ORLEANS," 3,239 "," $20,361 "," $11,467 ", $- , $755 , $- , $- , $178 ," $7,961 ",949,,,
OSWEGO," 10,121 "," $71,680 "," $27,994 ", $- ," $4,100 ", $- , $- , $333 ," $39,253 ","3,455",,,
OTSEGO," 4,493 "," $24,238 "," $14,402 ", $- , $846 , $- , $- , $512 ," $8,479 ","1,013",,,
PUTNAM," 4,825 "," $27,618 "," $11,788 ", $- ," $2,196 ", $- , $- , $622 ," $13,012 ","1,231",,,
QUEENS," 55,899 "," $394,846 "," $124,964 ", $- ," $66,982 ", $- , $- ," $5,895 "," $197,005 ","11,168",,,
RENSSELAER," 12,063 "," $69,468 "," $28,958 ", $- ," $4,534 ", $- , $- , $938 ," $35,038 ","2,773",,,
RICHMOND," 20,148 "," $121,369 "," $53,767 ", $- ," $12,561 ", $- , $- ," $1,842 "," $53,199 ","4,007",,,
ROCKLAND," 10,501 "," $59,171 "," $27,989 ", $- ," $5,145 ", $- , $- ," $1,920 "," $24,117 ","3,017",,,
ST. LAWRENCE," 9,211 "," $54,049 "," $34,505 ", $- ," $3,153 ", $- , $- , $330 ," $16,061 ","2,388",,,
SARATOGA," 17,953 "," $75,289 "," $37,324 ", $- ," $6,739 ", $- , $- ," $1,789 "," $29,437 ","3,463",,,
SCHENECTADY," 11,409 "," $53,997 "," $25,071 ", $- ," $3,588 ", $- , $- ," $1,039 "," $24,299 ","2,319",,,
SCHOHARIE," 2,747 "," $15,260 "," $6,914 ", $- , $696 , $- , $- , $62 ," $7,588 ",647,,,
SCHUYLER," 1,697 "," $10,311 "," $5,289 ", $- , $412 , $- , $- , $46 ," $4,564 ",519,,,
SENECA," 2,726 "," $16,259 "," $7,689 ", $- , $859 , $- , $- , $117 ," $7,594 ",830,,,
STEUBEN," 8,912 "," $95,000 "," $33,680 ", $- ," $2,995 ", $- ," $1,609 ", $640 ," $56,075 ","3,605",,,
SUFFOLK," 76,263 "," $533,452 "," $173,592 ", $681 ," $36,912 ", $- ," $24,557 "," $9,878 "," $287,833 ","19,497",,,
SULLIVAN," 5,046 "," $31,598 "," $13,889 ", $- ," $1,453 ", $- , $- , $274 ," $15,982 ","1,424",,,
TIOGA," 4,701 "," $17,874 "," $10,531 ", $- , $938 , $- , $- , $214 ," $6,191 ","1,051",,,
TOMPKINS," 5,012 "," $22,342 "," $10,563 ", $- ," $2,504 ", $- , $- , $533 ," $8,742 ","1,078",,,
ULSTER," 13,063 "," $57,311 "," $24,610 ", $- ," $3,786 ", $- , $- ," $1,132 "," $27,784 ","2,926",,,
WARREN," 6,353 "," $27,120 "," $15,342 ", $- ," $1,427 ", $- , $- , $459 ," $9,892 ","1,458",,,
WASHINGTON," 5,810 "," $27,352 "," $14,484 ", $- ," $1,375 ", $- , $- , $362 ," $11,132 ","1,292",,,
WAYNE," 7,338 "," $39,698 "," $18,563 ", $- ," $2,427 ", $- , $- , $293 ," $18,416 ","2,117",,,
WESTCHESTER," 34,585 "," $260,074 "," $82,007 "," $1,224 "," $20,362 ", $- ," $1,403 "," $7,418 "," $147,661 ","8,106",,,
WYOMING," 3,350 "," $18,674 "," $9,851 ", $- , $807 , $- , $- , $172 ," $7,844 ",976,,,
YATES," 2,045 "," $14,826 "," $7,191 ", $- , $477 , $- , $- , $169 ," $6,990 ",721,,,
,,,,,,,,,,,,,
NEW YORK (Totals),"892,221 "," $6,123,810 "," $2,396,837 "," $30,504 "," $548,240 ", $- ," $124,442 "," $92,821 "," $2,930,966 ","230,159 ",,,
,,,,,,,,,,,,,
CONG. DIST (01)," 40,560 "," $207,779 "," $67,361 ", $182 ," $14,323 ", $- ," $9,980 "," $4,628 "," $111,304 ","9,558",,,
CONG. DIST (02)," 33,374 "," $226,356 "," $81,320 ", $397 ," $18,268 ", $- ," $8,917 "," $3,713 "," $113,740 ","8,545",,,
CONG. DIST (03)," 32,008 "," $219,771 "," $77,840 ", $102 ," $18,911 ", $- ," $5,659 "," $8,135 "," $109,124 ","7,202",,,
CONG. DIST (04)," 28,346 "," $133,421 "," $61,770 ", $- ," $15,624 ", $- , $- ," $5,879 "," $50,148 ","5,816",,,
CONG. DIST (05)," 21,043 "," $226,511 "," $74,786 ", $- ," $38,064 ", $- , $- ," $1,487 "," $112,174 ","5,143",,,
CONG. DIST (06)," 16,824 "," $77,926 "," $24,189 ", $- ," $12,966 ", $- , $- ," $2,510 "," $38,261 ","2,792",,,
CONG. DIST (07)," 11,124 "," $100,616 "," $30,256 ", $41 ," $15,536 ", $- , $- ," $1,152 "," $53,630 ","2,904",,,
CONG. DIST (08)," 17,792 "," $180,019 "," $54,814 ", $41 ," $27,048 ", $- , $- ," $1,248 "," $96,869 ","5,060",,,
CONG. DIST (09)," 13,975 "," $132,065 "," $39,953 ", $41 ," $19,555 ", $- , $- ," $1,162 "," $71,354 ","3,785",,,
CONG. DIST (10)," 14,916 "," $124,725 "," $28,417 ", $41 ," $16,183 ", $- ," $22,714 "," $3,991 "," $53,380 ","3,108",,,
CONG. DIST (11)," 28,369 "," $181,704 "," $71,882 ", $41 ," $21,427 ", $- , $- ," $2,762 "," $85,592 ","5,686",,,
CONG. DIST (12)," 18,481 "," $145,335 "," $31,919 "," $22,008 "," $18,718 ", $- ," $5,498 "," $4,405 "," $62,787 ","3,449",,,
CONG. DIST (13)," 14,453 "," $214,888 "," $56,564 ", $97 ," $31,989 ", $- ," $2,466 "," $1,172 "," $122,600 ","5,255",,,
CONG. DIST (14)," 17,064 "," $90,347 "," $25,994 ", $108 ," $13,247 ", $- , $- , $722 ," $50,277 ","3,253",,,
CONG. DIST (15)," 12,453 "," $172,530 "," $46,343 ", $- ," $22,554 ", $- , $- , $178 ," $103,455 ","5,174",,,
CONG. DIST (16)," 25,852 "," $150,727 "," $44,124 "," $1,103 "," $14,760 ", $- , $- ," $4,242 "," $86,498 ","5,851",,,
CONG. DIST (17)," 25,213 "," $219,926 "," $79,037 ", $13 ," $17,821 ", $- ," $1,905 "," $5,210 "," $115,941 ","6,859",,,
CONG. DIST (18)," 41,311 "," $276,528 "," $107,550 ", $- ," $25,898 ", $- , $- ," $3,802 "," $139,278 ","9,940",,,
CONG. DIST (19)," 52,300 "," $265,626 "," $117,248 ", $- ," $13,569 ", $- , $- ," $4,043 "," $130,766 ","12,564",,,
CONG. DIST (20)," 50,595 "," $285,594 "," $117,029 ", $5 ," $18,949 ", $- ," $1,621 "," $4,755 "," $143,234 ","10,964",,,
CONG. DIST (21)," 66,107 "," $360,732 "," $207,241 ", $- ," $35,698 ", $- , $- ," $3,944 "," $113,850 ","16,534",,,
CONG. DIST (22)," 55,763 "," $296,875 "," $154,104 ", $- ," $17,114 ", $- , $- ," $3,242 "," $122,415 ","14,397",,,
CONG. DIST (23)," 58,306 "," $413,305 "," $195,891 ", $- ," $17,382 ", $- , $936 ," $3,854 "," $195,242 ","19,035",,,
CONG. DIST (24)," 49,785 "," $365,177 "," $138,773 ", $- ," $20,856 ", $- , $- ," $3,633 "," $201,915 ","15,672",,,
CONG. DIST (25)," 42,187 "," $211,071 "," $101,971 ", $966 ," $19,337 ", $- , $- ," $3,843 "," $84,954 ","10,902",,,
CONG. DIST (26)," 48,827 "," $488,824 "," $202,486 "," $5,316 "," $24,379 ", $- ," $64,746 "," $4,723 "," $187,174 ","15,031",,,
CONG. DIST (27)," 55,195 "," $355,433 "," $157,975 ", $3 ," $18,066 ", $- , $- ," $4,386 "," $175,005 ","15,680",,,
,,,,,,,,,,,,,
NEW YORK (Totals),"892,221"," $6,123,810 "," $2,396,837 "," $30,504 "," $548,240 ", $- ," $124,442 "," $92,821 "," $2,930,966 ","230,159",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
