ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,PA,ADAMS,"9,339","$31,252 ","$17,059 ", $- ,"$2,951 ", $- , $- ,"$1,206 ","$10,036 ","1,454"
14,PA,ALLEGHENY,"91,146","$615,209 ","$205,942 ","$8,911 ","$43,661 ", $- ,"$24,351 ","$10,345 ","$321,999 ","21,458"
14,PA,ARMSTRONG,"6,130","$33,887 ","$15,164 ", $- ,"$1,053 ", $- , $- ,$724 ,"$16,945 ","2,046"
14,PA,BEAVER,"17,045","$77,703 ","$36,792 ", $- ,"$5,724 ", $- , $- ,"$1,626 ","$33,561 ","5,372"
14,PA,BEDFORD,"4,125","$26,001 ","$12,661 ", $- ,$617 , $- , $- ,$283 ,"$12,441 ","1,570"
14,PA,BERKS,"28,090","$121,114 ","$61,515 ", $- ,"$9,008 ", $- , $- ,"$2,012 ","$48,580 ","6,863"
14,PA,BLAIR,"12,515","$105,963 ","$45,073 ",$777 ,"$4,508 ", $- ,$781 ,$778 ,"$54,045 ","4,896"
14,PA,BRADFORD,"6,065","$26,324 ","$15,205 ", $- ,"$1,170 ", $- , $- ,$387 ,"$9,562 ","1,786"
14,PA,BUCKS,"41,481","$148,169 ","$88,825 ", $- ,"$16,547 ", $- , $- ,"$4,840 ","$37,957 ","6,651"
14,PA,BUTLER,"15,378","$105,728 ","$37,651 ","$1,204 ","$5,487 ", $- ,"$1,186 ","$1,076 ","$59,124 ","5,529"
14,PA,CAMBRIA,"13,995","$77,767 ","$43,785 ", $- ,"$4,674 ", $- , $- ,$803 ,"$28,505 ","4,235"
14,PA,CAMERON,584,"$2,225 ","$1,217 ", $- ,$95 , $- , $- ,$44 ,$869 ,147
14,PA,CARBON,"6,394","$32,254 ","$20,810 ", $- ,"$1,357 ", $- , $- ,$454 ,"$9,634 ","1,389"
14,PA,CENTRE,"9,511","$44,586 ","$21,173 ", $- ,"$11,226 ", $- , $- ,$694 ,"$11,492 ","2,080"
14,PA,CHESTER,"29,774","$216,759 ","$79,466 ", $- ,"$12,374 ", $- ,"$1,335 ","$3,708 ","$119,875 ","7,489"
14,PA,CLARION,"3,556","$15,931 ","$7,156 ", $- ,$886 , $- , $- ,$173 ,"$7,717 ","1,238"
14,PA,CLEARFIELD,"7,389","$41,995 ","$20,702 ", $- ,"$2,090 ", $- , $- ,$427 ,"$18,776 ","2,545"
14,PA,CLINTON,"3,483","$19,876 ","$11,881 ", $- ,"$1,474 ", $- , $- ,$150 ,"$6,371 ","1,100"
14,PA,COLUMBIA,"5,589","$25,810 ","$15,337 ", $- ,"$1,684 ", $- , $- ,$246 ,"$8,543 ","1,352"
14,PA,CRAWFORD,"8,116","$46,032 ","$22,202 ", $- ,"$2,165 ", $- , $- ,$528 ,"$21,137 ","3,028"
14,PA,CUMBERLAND,"21,146","$104,226 ","$63,816 ", $- ,"$13,021 ", $- , $- ,"$2,021 ","$25,368 ","3,989"
14,PA,DAUPHIN,"22,195","$107,823 ","$54,669 ", $- ,"$10,256 ", $- , $- ,"$1,496 ","$41,401 ","4,829"
14,PA,DELAWARE,"34,338","$169,670 ","$85,588 ", $- ,"$13,851 ", $- , $- ,"$4,124 ","$66,106 ","6,980"
14,PA,ELK,"3,007","$13,448 ","$7,958 ", $- ,$567 , $- , $- ,$83 ,"$4,841 ","1,061"
14,PA,ERIE,"21,492","$165,428 ","$66,512 ","$2,770 ","$9,329 ", $- ,$843 ,"$1,253 ","$84,722 ","8,353"
14,PA,FAYETTE,"11,701","$71,834 ","$40,990 ", $- ,"$3,161 ", $- , $- ,$718 ,"$26,965 ","3,357"
14,PA,FOREST,638,"$4,001 ","$2,229 ", $- ,$36 , $- , $- ,$16 ,"$1,721 ",256
14,PA,FRANKLIN,"13,453","$58,407 ","$32,676 ", $- ,"$4,585 ", $- , $- ,$967 ,"$20,179 ","2,687"
14,PA,FULTON,"1,356","$5,817 ","$2,763 ", $- ,$299 , $- , $- ,$67 ,"$2,688 ",278
14,PA,GREENE,"3,690","$18,591 ","$10,719 ", $- ,$848 , $- , $- ,$588 ,"$6,436 ",746
14,PA,HUNTINGDON,"4,260","$20,611 ","$10,132 ", $- ,"$1,146 ", $- , $- ,$137 ,"$9,195 ","1,117"
14,PA,INDIANA,"6,628","$36,729 ","$20,961 ", $- ,"$4,451 ", $- , $- ,$389 ,"$10,929 ","1,711"
14,PA,JEFFERSON,"3,902","$20,215 ","$11,144 ", $- ,"$1,198 ", $- , $- ,$293 ,"$7,580 ","1,304"
14,PA,JUNIATA,"1,763","$5,733 ","$3,136 ", $- ,$345 , $- , $- ,$93 ,"$2,159 ",387
14,PA,LACKAWANNA,"16,502","$92,864 ","$54,137 ", $- ,"$5,216 ", $- , $- ,"$1,999 ","$31,512 ","3,681"
14,PA,LANCASTER,"35,794","$154,784 ","$70,945 ", $- ,"$11,970 ", $- , $- ,"$2,999 ","$68,869 ","8,626"
14,PA,LAWRENCE,"7,222","$41,950 ","$20,823 ", $- ,"$2,345 ", $- , $- ,$620 ,"$18,162 ","2,565"
14,PA,LEBANON,"12,024","$117,426 ","$36,840 ","$5,822 ","$4,793 ", $- ,"$4,146 ",$753 ,"$65,073 ","4,743"
14,PA,LEHIGH,"23,787","$81,890 ","$50,076 ", $- ,"$7,581 ", $- , $- ,"$1,434 ","$22,799 ","4,179"
14,PA,LUZERNE,"26,397","$202,091 ","$92,740 ",$152 ,"$6,831 ", $- ,"$1,299 ","$2,795 ","$98,274 ","7,539"
14,PA,LYCOMING,"11,205","$45,277 ","$27,668 ", $- ,"$4,413 ", $- , $- ,$773 ,"$12,423 ","2,723"
14,PA,MCKEAN,"4,333","$22,362 ","$13,105 ", $- ,$972 , $- , $- ,$189 ,"$8,096 ","1,461"
14,PA,MERCER,"10,231","$49,729 ","$24,081 ", $- ,"$3,207 ", $- , $- ,$884 ,"$21,557 ","3,557"
14,PA,MIFFLIN,"4,299","$17,207 ","$9,908 ", $- ,"$1,144 ", $- , $- ,$97 ,"$6,058 ","1,166"
14,PA,MONROE,"12,757","$65,092 ","$35,153 ", $- ,"$4,889 ", $- , $- ,$567 ,"$24,483 ","2,468"
14,PA,MONTGOMERY,"46,756","$195,155 ","$106,091 ", $- ,"$20,308 ", $- , $- ,"$7,133 ","$61,623 ","9,057"
14,PA,MONTOUR,"1,389","$6,740 ","$4,389 ", $- ,$527 , $- , $- ,$106 ,"$1,719 ",294
14,PA,NORTHAMPTON,"22,806","$79,560 ","$49,500 ", $- ,"$7,389 ", $- , $- ,"$1,424 ","$21,248 ","3,664"
