ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,SC,ABBEVILLE,"2,178","$15,256 ","$8,945 ", $- ,$467 , $- , $- ,$198 ,"$5,646 ",724
14,SC,AIKEN,"15,503","$109,791 ","$50,621 ", $- ,"$5,775 ", $- , $- ,"$1,096 ","$52,300 ","4,932"
14,SC,ALLENDALE,721,"$5,572 ","$3,080 ", $- ,$210 , $- , $- ,$3 ,"$2,279 ",212
14,SC,ANDERSON,"16,377","$90,399 ","$58,046 ", $- ,"$4,147 ", $- , $- ,"$1,207 ","$26,998 ","4,473"
14,SC,BAMBERG,"1,564","$10,045 ","$5,374 ", $- ,$609 , $- , $- ,$32 ,"$4,030 ",401
14,SC,BARNWELL,"1,766","$13,072 ","$7,087 ", $- ,$612 , $- , $- ,$5 ,"$5,369 ",512
14,SC,BEAUFORT,"19,851","$111,604 ","$69,359 ",$178 ,"$12,736 ", $- ,$896 ,"$2,354 ","$26,082 ","4,428"
14,SC,BERKELEY,"24,140","$171,635 ","$92,109 ", $- ,"$19,373 ", $- , $- ,"$1,195 ","$58,958 ","6,687"
14,SC,CALHOUN,"1,456","$8,428 ","$4,059 ", $- ,$272 , $- , $- ,$278 ,"$3,819 ",440
14,SC,CHARLESTON,"29,027","$310,468 ","$129,122 ","$8,408 ","$25,534 ", $- ,"$2,402 ","$3,368 ","$141,634 ","10,937"
14,SC,CHEROKEE,"4,364","$25,895 ","$16,085 ", $- ,"$1,873 ", $- , $- ,$149 ,"$7,787 ","1,212"
14,SC,CHESTER,"2,341","$22,873 ","$12,884 ", $- ,$737 , $- , $- ,$119 ,"$9,134 ",909
14,SC,CHESTERFIELD,"3,184","$23,424 ","$14,053 ", $- ,$673 , $- , $- ,$98 ,"$8,598 ",997
14,SC,CLARENDON,"2,595","$28,264 ","$17,573 ", $- ,$937 , $- , $- ,$136 ,"$9,618 ","1,135"
14,SC,COLLETON,"3,772","$33,788 ","$16,492 ", $- ,"$1,168 ", $- , $- ,$487 ,"$15,641 ","1,441"
14,SC,DARLINGTON,"5,482","$35,002 ","$22,164 ", $- ,"$2,218 ", $- , $- ,$131 ,"$10,490 ","1,579"
14,SC,DILLON,"2,057","$15,201 ","$9,115 ", $- ,$792 , $- , $- ,$76 ,"$5,218 ",635
14,SC,DORCHESTER,"17,422","$153,852 ","$90,515 ", $- ,"$21,162 ", $- , $- ,$642 ,"$41,534 ","5,092"
14,SC,EDGEFIELD,"1,944","$20,292 ","$11,609 ", $- ,"$1,157 ", $- , $- ,$106 ,"$7,420 ",734
14,SC,FAIRFIELD,"2,058","$19,643 ","$10,096 ", $- ,$679 , $- , $- ,$84 ,"$8,784 ",627
14,SC,FLORENCE,"10,329","$78,091 ","$47,101 ","$1,666 ","$5,129 ", $- ,$995 ,$332 ,"$22,868 ","3,344"
14,SC,GEORGETOWN,"5,931","$36,064 ","$20,685 ", $- ,"$1,555 ", $- , $- ,$491 ,"$13,333 ","1,845"
14,SC,GREENVILLE,"33,970","$179,015 ","$115,000 ", $- ,"$16,392 ", $- , $- ,"$2,788 ","$44,835 ","7,864"
14,SC,GREENWOOD,"4,883","$42,533 ","$27,480 ", $- ,"$1,800 ", $- , $- ,$245 ,"$13,008 ","1,716"
14,SC,HAMPTON,"1,747","$12,242 ","$7,387 ", $- ,$816 , $- , $- ,$59 ,"$3,981 ",522
