Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,TX,ANDERSON,"5,025","$31,142 ","$19,045 ", $- ,$832 , $- , $- ,$134 ,"$11,130 ","1,312"
14,TX,ANDREWS,811,"$2,866 ","$1,615 ", $- ,$219 , $- , $- ,$3 ,"$1,029 ",153
14,TX,ANGELINA,"6,198","$48,096 ","$29,425 ", $- ,"$1,980 ", $- , $- ,$214 ,"$16,477 ","2,149"
14,TX,ARANSAS,"3,065","$16,370 ","$10,767 ", $- ,$454 , $- , $- ,$151 ,"$4,998 ",673
14,TX,ARCHER,816,"$3,225 ","$1,916 ", $- ,$73 , $- , $- ,$25 ,"$1,211 ",156
14,TX,ARMSTRONG,182,"$1,292 ",$492 , $- ,$20 , $- , $- ,$8 ,$773 ,72
14,TX,ATASCOSA,"3,431","$29,726 ","$18,460 ", $- ,"$1,363 ", $- , $- ,$156 ,"$9,746 ",937
14,TX,AUSTIN,"2,337","$11,264 ","$6,593 ", $- ,$780 , $- , $- ,$117 ,"$3,774 ",419
14,TX,BAILEY,303,"$1,418 ","$1,068 ", $- ,$52 , $- , $- ,$37 ,$261 ,79
14,TX,BANDERA,"2,674","$25,243 ","$14,359 ", $- ,$955 , $- , $- ,$143 ,"$9,786 ",922
14,TX,BASTROP,"7,898","$47,819 ","$26,694 ", $- ,"$2,794 ", $- , $- ,$325 ,"$18,006 ","1,796"
14,TX,BAYLOR,324,"$2,190 ","$1,607 ", $- ,$31 , $- , $- ,$29 ,$522 ,73
14,TX,BEE,"2,586","$13,225 ","$8,803 ", $- ,$654 , $- , $- ,$23 ,"$3,746 ",486
14,TX,BELL,"49,350","$777,258 ","$446,165 ","$1,659 ","$104,418 ", $- ,"$7,637 ","$2,828 ","$214,550 ","21,694"
14,TX,BEXAR,"155,622","$1,851,817 ","$1,095,243 ","$12,278 ","$228,263 ", $- ,"$9,140 ","$13,568 ","$493,326 ","48,305"
14,TX,BLANCO,"1,392","$6,980 ","$3,761 ", $- ,$357 , $- , $- ,$113 ,"$2,748 ",290
14,TX,BORDEN,49,$100 ,$6 , $- , $- , $- , $- ,$9 ,$85 ,15
14,TX,BOSQUE,"1,949","$15,745 ","$7,876 ", $- ,$386 , $- , $- ,$80 ,"$7,403 ",541
14,TX,BOWIE,"9,188","$63,994 ","$41,443 ", $- ,"$3,011 ", $- , $- ,$331 ,"$19,209 ","2,415"
14,TX,BRAZORIA,"25,668","$142,819 ","$78,084 ", $- ,"$13,554 ", $- , $- ,"$1,821 ","$49,360 ","4,956"
14,TX,BRAZOS,"9,097","$63,109 ","$33,059 ", $- ,"$12,421 ", $- , $- ,$587 ,"$17,041 ","2,228"
14,TX,BREWSTER,715,"$5,009 ","$2,540 ", $- ,$308 , $- , $- ,$107 ,"$2,053 ",180
14,TX,BRISCOE,105,"$1,286 ",$434 , $- ,$63 , $- , $- ,$1 ,$788 ,49
14,TX,BROOKS,417,"$3,114 ","$2,266 ", $- ,$90 , $- , $- ,$5 ,$753 ,122
14,TX,BROWN,"3,126","$28,601 ","$14,014 ", $- ,"$1,259 ", $- , $- ,$276 ,"$13,052 ","1,238"
14,TX,BURLESON,"1,336","$9,762 ","$5,730 ", $- ,$418 , $- , $- ,$76 ,"$3,538 ",459
14,TX,BURNET,"4,450","$27,886 ","$14,449 ", $- ,$890 , $- , $- ,$284 ,"$12,262 ","1,053"
14,TX,CALDWELL,"3,031","$21,477 ","$12,515 ", $- ,"$1,010 ", $- , $- ,$161 ,"$7,791 ",750
14,TX,CALHOUN,"1,674","$11,398 ","$7,511 ", $- ,$360 , $- , $- ,$98 ,"$3,428 ",422
14,TX,CALLAHAN,"1,335","$9,988 ","$6,430 ", $- ,$393 , $- , $- ,$46 ,"$3,119 ",423
14,TX,CAMERON,"17,606","$180,796 ","$97,696 ", $- ,"$10,993 ", $- ,"$2,223 ",$870 ,"$69,014 ","6,389"
14,TX,CAMP,"1,056","$6,956 ","$4,487 ", $- ,$217 , $- , $- ,$81 ,"$2,171 ",266
14,TX,CARSON,526,"$3,359 ","$1,674 ", $- ,$29 , $- , $- ,$30 ,"$1,626 ",153
14,TX,CASS,"2,872","$24,766 ","$14,236 ", $- ,$625 , $- , $- ,$149 ,"$9,755 ",933
14,TX,CASTRO,346,"$2,274 ",$792 , $- ,$55 , $- , $- ,$41 ,"$1,386 ",112
14,TX,CHAMBERS,"3,618","$11,810 ","$6,351 ", $- ,"$1,033 ", $- , $- ,$46 ,"$4,380 ",476
14,TX,CHEROKEE,"3,562","$19,240 ","$11,416 ", $- ,$564 , $- , $- ,$124 ,"$7,136 ",841
14,TX,CHILDRESS,504,"$2,747 ","$1,484 ", $- ,$159 , $- , $- ,$22 ,"$1,082 ",138
14,TX,CLAY,"1,145","$4,772 ","$3,185 ", $- ,$117 , $- , $- ,$125 ,"$1,346 ",250
14,TX,COCHRAN,183,$801 ,$572 , $- ,$32 , $- , $- ,$6 ,$191 ,40
14,TX,COKE,297,"$2,025 ","$1,076 ", $- ,$156 , $- , $- ,$3 ,$791 ,95
14,TX,COLEMAN,768,"$6,431 ","$3,350 ", $- ,$222 , $- , $- ,$56 ,"$2,803 ",297
14,TX,COLLIN,"54,155","$210,831 ","$121,600 ", $- ,"$28,693 ", $- , $- ,"$4,106 ","$56,432 ","7,130"
14,TX,COLLINGSWORTH,226,$989 ,$528 , $- ,$6 , $- , $- ,$6 ,$449 ,63
14,TX,COLORADO,"1,614","$7,814 ","$4,316 ", $- ,$298 , $- , $- ,$41 ,"$3,159 ",330
14,TX,COMAL,"15,982","$127,406 ","$87,132 ", $- ,"$11,050 ", $- , $- ,"$1,122 ","$28,101 ","3,369"
14,TX,COMANCHE,"1,078","$9,334 ","$5,318 ", $- ,$123 , $- , $- ,$50 ,"$3,842 ",399
14,TX,CONCHO,283,"$1,686 ","$1,066 ", $- ,$37 , $- , $- ,$13 ,$570 ,73
14,TX,COOKE,"3,082","$13,597 ","$7,710 ", $- ,$521 , $- , $- ,$115 ,"$5,250 ",685
14,TX,CORYELL,"12,224","$142,179 ","$93,379 ", $- ,"$16,707 ", $- , $- ,$614 ,"$31,479 ","3,916"
14,TX,COTTLE,112,$916 ,$493 , $- ,$46 , $- , $- ,$31 ,$346 ,44
14,TX,CRANE,287,"$1,006 ",$698 , $- ,$66 , $- , $- ,$1 ,$241 ,43
14,TX,CROCKETT,261,$826 ,$367 , $- ,$51 , $- , $- ,$8 ,$400 ,32
14,TX,CROSBY,361,"$1,739 ","$1,018 ", $- ,$74 , $- , $- ,$3 ,$645 ,99
14,TX,CULBERSON,159,"$1,335 ",$921 , $- ,$29 , $- , $- ,$5 ,$379 ,63
14,TX,DALLAM,401,"$2,706 ","$1,359 ", $- ,$131 , $- , $- ,$25 ,"$1,190 ",147
14,TX,DALLAS,"105,565","$888,230 ","$390,423 ","$7,703 ","$91,202 ", $- ,"$9,859 ","$7,338 ","$381,704 ","29,590"
14,TX,DAWSON,749,"$3,366 ","$2,088 ", $- ,$53 , $- , $- ,$16 ,"$1,209 ",180
14,TX,DEAF SMITH,689,"$4,808 ","$1,939 ", $- ,$217 , $- , $- ,$126 ,"$2,526 ",266
14,TX,DELTA,547,"$3,510 ","$1,762 ", $- ,$190 , $- , $- ,$262 ,"$1,296 ",174
14,TX,DENTON,"45,215","$214,423 ","$121,463 ", $- ,"$37,133 ", $- , $- ,"$2,956 ","$52,871 ","7,775"
14,TX,DE WITT,"1,630","$8,628 ","$4,994 ", $- ,$171 , $- , $- ,$186 ,"$3,278 ",371
14,TX,DICKENS,192,"$1,421 ","$1,000 ", $- ,$4 , $- , $- ,$23 ,$395 ,62
14,TX,DIMMIT,468,"$3,329 ","$2,062 ", $- ,$141 , $- , $- ,$21 ,"$1,105 ",144
14,TX,DONLEY,338,"$2,200 ","$1,162 ", $- ,$26 , $- , $- ,$29 ,$982 ,121
14,TX,DUVAL,717,"$4,417 ","$2,824 ", $- ,$122 , $- , $- ,$1 ,"$1,469 ",179
14,TX,EASTLAND,"1,467","$11,128 ","$6,855 ", $- ,$346 , $- , $- ,$111 ,"$3,815 ",475
14,TX,ECTOR,"7,438","$40,451 ","$21,923 ", $- ,"$2,220 ", $- , $- ,$457 ,"$15,851 ","1,958"
14,TX,EDWARDS,117,"$1,030 ",$551 , $- ,$23 , $- , $- ,$56 ,$400 ,43
14,TX,ELLIS,"12,677","$80,442 ","$41,783 ", $- ,"$6,594 ", $- , $- ,$654 ,"$31,411 ","2,776"
14,TX,EL PASO,"47,911","$618,755 ","$352,674 ",$37 ,"$97,036 ", $- ,"$2,816 ","$2,359 ","$163,833 ","21,538"
14,TX,ERATH,"2,209","$14,180 ","$8,056 ", $- ,"$1,844 ", $- , $- ,$63 ,"$4,217 ",514
14,TX,FALLS,"1,234","$15,581 ","$7,471 ", $- ,$248 , $- , $- ,$97 ,"$7,765 ",566
14,TX,FANNIN,"3,143","$51,685 ","$16,371 ",$589 ,$975 , $- ,$484 ,$330 ,"$32,936 ","1,576"
14,TX,FAYETTE,"1,822","$12,716 ","$7,624 ", $- ,$441 , $- , $- ,$234 ,"$4,418 ",604
14,TX,FISHER,347,"$1,944 ","$1,364 ", $- ,$48 , $- , $- ,$3 ,$528 ,93
14,TX,FLOYD,310,"$1,788 ","$1,060 ", $- ,$124 , $- , $- ,$1 ,$602 ,118
14,TX,FOARD,69,"$1,198 ",$504 , $- ,$20 , $- , $- ,$17 ,$656 ,39
14,TX,FORT BEND,"33,075","$183,139 ","$99,236 ", $- ,"$17,395 ", $- , $- ,"$2,072 ","$64,436 ","6,237"
14,TX,FRANKLIN,927,"$5,341 ","$2,609 ", $- ,$109 , $- , $- ,$137 ,"$2,486 ",224
14,TX,FREESTONE,"1,492","$10,916 ","$6,275 ", $- ,$369 , $- , $- ,$42 ,"$4,231 ",452
14,TX,FRIO,805,"$5,495 ","$3,372 ", $- ,$238 , $- , $- ,$30 ,"$1,855 ",198
14,TX,GAINES,534,"$2,936 ","$1,468 ", $- ,$86 , $- , $- ,$164 ,"$1,218 ",134
14,TX,GALVESTON,"23,452","$138,690 ","$77,440 ", $- ,"$13,619 ", $- , $- ,"$1,567 ","$46,064 ","5,410"
14,TX,GARZA,309,"$1,295 ",$670 , $- ,$73 , $- , $- ,$1 ,$552 ,76
14,TX,GILLESPIE,"2,783","$18,249 ","$9,950 ", $- ,$428 , $- , $- ,$283 ,"$7,589 ",724
14,TX,GLASSCOCK,74,$237 ,$55 , $- ,$2 , $- , $- ,$13 ,$168 ,27
14,TX,GOLIAD,651,"$3,682 ","$2,322 ", $- ,$51 , $- , $- ,$141 ,"$1,167 ",125
14,TX,GONZALES,"1,406","$8,177 ","$4,665 ", $- ,$392 , $- , $- ,$64 ,"$3,056 ",256
14,TX,GRAY,"1,811","$10,214 ","$4,464 ", $- ,$132 , $- , $- ,$16 ,"$5,602 ",561
14,TX,GRAYSON,"11,524","$83,958 ","$50,374 ", $- ,"$3,662 ", $- , $- ,$798 ,"$29,123 ","3,649"
14,TX,GREGG,"9,328","$59,862 ","$34,580 ", $- ,"$4,313 ", $- , $- ,$807 ,"$20,161 ","2,304"
14,TX,GRIMES,"2,651","$12,428 ","$7,106 ", $- ,$398 , $- , $- ,$90 ,"$4,834 ",541
14,TX,GUADALUPE,"20,105","$212,161 ","$144,813 ", $- ,"$29,453 ", $- , $- ,"$1,125 ","$36,770 ","4,638"
14,TX,HALE,"1,644","$11,040 ","$6,113 ", $- ,$733 , $- , $- ,$88 ,"$4,106 ",521
14,TX,HALL,268,"$1,743 ",$705 , $- ,$21 , $- , $- ,$1 ,"$1,016 ",79
14,TX,HAMILTON,715,"$5,515 ","$3,034 ", $- ,$118 , $- , $- ,$32 ,"$2,330 ",197
14,TX,HANSFORD,266,"$1,102 ",$361 , $- ,$82 , $- , $- ,$4 ,$654 ,77
14,TX,HARDEMAN,256,"$1,697 ","$1,175 ", $- ,$53 , $- , $- ,$4 ,$465 ,77
14,TX,HARDIN,"5,404","$23,532 ","$13,908 ", $- ,"$1,312 ", $- , $- ,$114 ,"$8,198 ","1,180"
14,TX,HARRIS,"187,235","$1,461,921 ","$622,471 ","$2,131 ","$162,300 ", $- ,"$78,756 ","$12,036 ","$584,228 ","44,957"
14,TX,HARRISON,"4,981","$32,519 ","$17,555 ", $- ,"$1,134 ", $- , $- ,$317 ,"$13,513 ","1,433"
14,TX,HARTLEY,451,$863 ,$207 , $- ,$29 , $- , $- ,$11 ,$615 ,66
14,TX,HASKELL,353,"$2,280 ","$1,447 ", $- ,$43 , $- , $- ,$35 ,$755 ,107
14,TX,HAYS,"13,178","$89,313 ","$50,961 ", $- ,"$14,554 ", $- , $- ,$856 ,"$22,942 ","2,759"
14,TX,HEMPHILL,217,$581 ,$247 , $- ,$3 , $- , $- ,$12 ,$319 ,52
14,TX,HENDERSON,"8,627","$47,206 ","$23,981 ", $- ,"$1,426 ", $- , $- ,$646 ,"$21,153 ","2,191"
14,TX,HIDALGO,"23,577","$223,249 ","$127,909 ", $- ,"$15,297 ", $- , $- ,"$1,434 ","$78,610 ","8,432"
14,TX,HILL,"3,195","$26,290 ","$14,646 ", $- ,$809 , $- , $- ,$164 ,"$10,670 ","1,031"
14,TX,HOCKLEY,"1,345","$7,421 ","$4,563 ", $- ,$632 , $- , $- ,$57 ,"$2,170 ",383
14,TX,HOOD,"5,971","$32,461 ","$20,689 ", $- ,"$1,398 ", $- , $- ,$182 ,"$10,191 ","1,477"
14,TX,HOPKINS,"2,671","$18,420 ","$10,022 ", $- ,$648 , $- , $- ,$117 ,"$7,633 ",770
14,TX,HOUSTON,"2,408","$15,876 ","$9,056 ", $- ,$403 , $- , $- ,$18 ,"$6,399 ",596
14,TX,HOWARD,"2,561","$33,657 ","$14,470 ",$412 ,$697 , $- ,$736 ,$102 ,"$17,239 ","1,408"
14,TX,HUDSPETH,127,"$1,409 ",$809 , $- ,$60 , $- , $- ,$8 ,$531 ,62
14,TX,HUNT,"8,159","$53,893 ","$24,918 ", $- ,"$4,096 ", $- , $- ,$256 ,"$24,622 ","2,223"
14,TX,HUTCHINSON,"1,808","$12,905 ","$5,410 ", $- ,$281 , $- , $- ,$128 ,"$7,086 ",636
14,TX,IRION,150,$831 ,$612 , $- ,$25 , $- , $- ,$14 ,$179 ,29
14,TX,JACK,629,"$2,430 ","$1,633 ", $- ,$109 , $- , $- ,$16 ,$672 ,116
14,TX,JACKSON,"1,169","$4,530 ","$2,968 ", $- ,$220 , $- , $- ,$2 ,"$1,340 ",223
14,TX,JASPER,"2,800","$17,311 ","$10,382 ", $- ,$513 , $- , $- ,$35 ,"$6,381 ",785
14,TX,JEFF DAVIS,210,"$1,231 ",$730 , $- ,$53 , $- , $- ,$7 ,$440 ,53
14,TX,JEFFERSON,"18,700","$101,303 ","$58,895 ", $- ,"$6,519 ", $- , $- ,"$1,113 ","$34,776 ","4,693"
14,TX,JIM HOGG,250,"$2,339 ","$1,745 ", $- ,$40 , $- , $- ,$81 ,$472 ,86
14,TX,JIM WELLS,"2,592","$17,968 ","$12,735 ", $- ,$584 , $- , $- ,$106 ,"$4,542 ",603
14,TX,JOHNSON,"14,018","$72,217 ","$43,917 ", $- ,"$6,093 ", $- , $- ,$660 ,"$21,547 ","2,666"
14,TX,JONES,"1,467","$8,056 ","$5,031 ", $- ,$347 , $- , $- ,$37 ,"$2,642 ",379
14,TX,KARNES,948,"$6,860 ","$4,183 ", $- ,$303 , $- , $- ,$69 ,"$2,305 ",218
14,TX,KAUFMAN,"7,547","$56,876 ","$31,160 ", $- ,"$4,410 ", $- , $- ,$180 ,"$21,126 ","2,043"
14,TX,KENDALL,"3,717","$34,092 ","$23,170 ", $- ,"$2,871 ", $- , $- ,$128 ,"$7,922 ",784
14,TX,KENEDY,11,$105 ,$79 , $- ,$22 , $- , $- , $- ,$4 ,*
14,TX,KENT,57,$295 ,$212 , $- , $- , $- , $- ,$1 ,$81 ,12
14,TX,KERR,"4,945","$68,426 ","$30,342 ", $- ,"$1,357 ", $- ,$38 ,$540 ,"$36,149 ","2,599"
14,TX,KIMBLE,447,"$2,283 ","$1,358 ", $- ,$44 , $- , $- ,$2 ,$878 ,102
14,TX,KING,3,$72 ,$39 , $- , $- , $- , $- ,$3 ,$30 ,*
14,TX,KINNEY,420,"$5,739 ","$2,654 ", $- ,$110 , $- , $- ,$28 ,"$2,948 ",141
14,TX,KLEBERG,"2,115","$15,528 ","$10,575 ", $- ,"$1,706 ", $- , $- ,$210 ,"$3,037 ",452
14,TX,KNOX,229,"$1,239 ",$636 , $- , $- , $- , $- ,$20 ,$583 ,73
14,TX,LAMAR,"4,421","$30,298 ","$17,131 ", $- ,"$1,225 ", $- , $- ,$513 ,"$11,429 ","1,360"
14,TX,LAMB,775,"$4,468 ","$2,388 ", $- ,$220 , $- , $- ,$32 ,"$1,828 ",243
14,TX,LAMPASAS,"3,740","$45,768 ","$32,485 ", $- ,"$3,184 ", $- , $- ,$215 ,"$9,885 ","1,308"
14,TX,LA SALLE,259,"$1,261 ",$894 , $- ,$88 , $- , $- ,$0 ,$278 ,58
14,TX,LAVACA,"1,426","$9,650 ","$6,490 ", $- ,$156 , $- , $- ,$62 ,"$2,941 ",323
14,TX,LEE,"1,092","$8,108 ","$4,342 ", $- ,$254 , $- , $- ,$111 ,"$3,402 ",323
14,TX,LEON,"1,637","$14,114 ","$7,800 ", $- ,$235 , $- , $- ,$55 ,"$6,025 ",535
14,TX,LIBERTY,"5,698","$39,810 ","$22,422 ", $- ,"$1,593 ", $- , $- ,$154 ,"$15,642 ","1,448"
14,TX,LIMESTONE,"1,613","$15,798 ","$7,084 ", $- ,$452 , $- , $- ,$28 ,"$8,234 ",600
14,TX,LIPSCOMB,178,$834 ,$325 , $- ,$26 , $- , $- ,$11 ,$472 ,78
14,TX,LIVE OAK,"1,164","$4,451 ","$2,183 ", $- ,$128 , $- , $- ,$15 ,"$2,125 ",209
14,TX,LLANO,"2,825","$18,503 ","$10,129 ", $- ,$238 , $- , $- ,$101 ,"$8,035 ",674
14,TX,LOVING,2,$30 ,$16 , $- , $- , $- , $- , $- ,$14 ,*
14,TX,LUBBOCK,"16,017","$124,834 ","$68,957 ", $- ,"$14,537 ", $- , $- ,"$1,749 ","$39,591 ","5,480"
14,TX,LYNN,299,"$1,568 ",$894 , $- ,$41 , $- , $- ,$8 ,$625 ,78
14,TX,MCCULLOCH,610,"$4,985 ","$2,326 ", $- ,$105 , $- , $- ,$18 ,"$2,536 ",225
