ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
14,VA,ACCOMACK,"3,655","$14,639 ","$8,959 ", $- ,"$1,036 ", $- , $- ,$204 ,"$4,441 ",646
14,VA,ALBEMARLE,"7,233","$24,568 ","$14,065 ", $- ,"$3,343 ", $- , $- ,$703 ,"$6,458 ","1,003"
14,VA,ALLEGHANY,"1,736","$7,800 ","$2,281 ", $- ,$162 , $- , $- ,$79 ,"$5,278 ",511
14,VA,AMELIA,"1,151","$9,541 ","$3,812 ", $- ,$286 , $- , $- ,$130 ,"$5,314 ",351
14,VA,AMHERST,"2,772","$14,391 ","$7,445 ", $- ,"$1,007 ", $- , $- ,$139 ,"$5,800 ",743
14,VA,APPOMATTOX,"1,138","$7,323 ","$3,410 ", $- ,$267 , $- , $- ,$37 ,"$3,609 ",385
14,VA,ARLINGTON,"13,373","$72,256 ","$36,743 ", $- ,"$23,529 ", $- , $- ,"$1,183 ","$10,801 ","1,235"
14,VA,AUGUSTA,"7,325","$25,178 ","$11,101 ", $- ,$993 , $- , $- ,$271 ,"$12,813 ","1,585"
14,VA,BATH,354,"$2,692 ","$1,326 ", $- ,$107 , $- , $- ,$1 ,"$1,259 ",121
14,VA,BEDFORD,"7,391","$40,676 ","$17,864 ", $- ,"$1,924 ", $- , $- ,$481 ,"$21,552 ","2,023"
14,VA,BLAND,768,"$4,527 ","$2,603 ", $- ,$130 , $- , $- ,$15 ,"$1,779 ",217
14,VA,BOTETOURT,"3,286","$22,598 ","$8,520 ", $- ,$650 , $- , $- ,$185 ,"$13,243 ",971
14,VA,BRUNSWICK,"1,667","$10,474 ","$5,374 ", $- ,$278 , $- , $- ,$10 ,"$4,811 ",429
14,VA,BUCHANAN,"1,209","$11,664 ","$8,509 ", $- ,$304 , $- , $- ,$45 ,"$2,806 ",376
14,VA,BUCKINGHAM,"1,340","$6,308 ","$3,269 ", $- ,$147 , $- , $- ,$36 ,"$2,856 ",270
14,VA,CAMPBELL,"4,637","$21,409 ","$9,312 ", $- ,$806 , $- , $- ,$205 ,"$11,085 ","1,361"
14,VA,CAROLINE,"3,442","$20,020 ","$10,536 ", $- ,"$1,975 ", $- , $- ,$171 ,"$7,339 ",738
14,VA,CARROLL,"2,458","$16,848 ","$6,686 ", $- ,$576 , $- , $- ,$91 ,"$9,495 ",980
14,VA,CHARLES CITY,727,"$4,961 ","$1,695 ", $- ,$150 , $- , $- ,$72 ,"$3,044 ",212
14,VA,CHARLOTTE,989,"$7,685 ","$4,349 ", $- ,$251 , $- , $- ,$4 ,"$3,082 ",335
14,VA,CHESTERFIELD,"30,912","$201,328 ","$101,522 ", $- ,"$19,944 ", $- , $- ,"$2,653 ","$77,208 ","6,934"
14,VA,CLARKE,"1,435","$7,336 ","$3,262 ", $- ,$719 , $- , $- ,$185 ,"$3,169 ",269
14,VA,CRAIG,424,"$4,489 ","$1,858 ", $- ,$79 , $- , $- ,$26 ,"$2,526 ",174
14,VA,CULPEPER,"4,247","$18,185 ","$9,915 ", $- ,"$2,011 ", $- ,$901 ,$230 ,"$5,126 ",541
14,VA,CUMBERLAND,721,"$4,353 ","$1,479 ", $- ,$115 , $- , $- ,$41 ,"$2,718 ",226
14,VA,DICKENSON,872,"$10,373 ","$6,103 ", $- ,$194 , $- , $- ,$100 ,"$3,978 ",396
14,VA,DINWIDDIE,"2,959","$17,271 ","$6,212 ", $- ,$716 , $- , $- ,$131 ,"$10,212 ",813
14,VA,ESSEX,957,"$5,213 ","$2,943 ", $- ,$354 , $- , $- ,$31 ,"$1,885 ",235
14,VA,FAIRFAX,"76,229","$419,591 ","$252,798 ", $- ,"$116,426 ", $- , $- ,"$10,251 ","$40,116 ","6,310"
14,VA,FAUQUIER,"7,644","$22,920 ","$13,052 ", $- ,"$3,653 ", $- , $- ,$478 ,"$5,736 ",636
14,VA,FLOYD,"1,011","$7,333 ","$3,336 ", $- ,$83 , $- , $- ,$11 ,"$3,902 ",404
14,VA,FLUVANNA,"3,215","$9,232 ","$5,108 ", $- ,"$1,055 ", $- , $- ,$124 ,"$2,946 ",448
