,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
ADAMS," 2,191 "," $15,646 "," $6,085 ", $- , $109 , $- , $- , $134 ," $9,319 ",985,,,
ASHLAND," 1,312 "," $8,281 "," $4,714 ", $- , $370 , $- , $- , $103 ," $3,094 ",436,,,
BARRON," 3,748 "," $23,499 "," $11,766 ", $- , $917 , $- , $- , $474 ," $10,341 ","1,326",,,
BAYFIELD," 1,718 "," $8,772 "," $4,429 ", $- , $174 , $- , $- , $159 ," $4,011 ",530,,,
BROWN," 17,199 "," $96,274 "," $47,759 ", $- ," $6,436 ", $- , $- ," $1,342 "," $40,738 ","5,525",,,
BUFFALO," 1,112 "," $6,834 "," $3,933 ", $- , $183 , $- , $- , $142 ," $2,577 ",395,,,
BURNETT," 1,729 "," $11,914 "," $5,910 ", $- , $185 , $- , $- , $40 ," $5,780 ",631,,,
CALUMET," 3,069 "," $11,600 "," $4,950 ", $- , $246 , $- , $- , $167 ," $6,237 ","1,070",,,
CHIPPEWA," 5,458 "," $32,806 "," $15,301 ", $- ," $1,261 ", $- , $- , $493 ," $15,751 ","1,740",,,
CLARK," 2,085 "," $15,924 "," $9,339 ", $- , $353 , $- , $- , $79 ," $6,153 ",902,,,
COLUMBIA," 4,975 "," $28,003 "," $12,254 ", $- ," $1,344 ", $- , $- , $138 ," $14,266 ","1,376",,,
CRAWFORD," 1,346 "," $8,526 "," $4,294 ", $- , $155 , $- , $- , $29 ," $4,047 ",440,,,
DANE," 28,697 "," $171,392 "," $62,452 "," $1,431 "," $13,156 ", $- ," $2,074 "," $4,253 "," $88,026 ","7,012",,,
DODGE," 7,084 "," $29,558 "," $13,210 ", $- ," $1,577 ", $- , $- , $391 ," $14,380 ","1,720",,,
DOOR," 2,562 "," $13,089 "," $5,955 ", $- , $394 , $- , $- , $138 ," $6,601 ",839,,,
DOUGLAS," 4,311 "," $29,782 "," $16,872 ", $- ," $1,946 ", $- , $- , $214 ," $10,751 ","1,384",,,
DUNN," 3,313 "," $17,294 "," $9,624 ", $- ," $1,533 ", $- , $- , $168 ," $5,968 ",764,,,
EAU CLAIRE," 7,643 "," $34,776 "," $17,142 ", $- ," $3,370 ", $- , $- , $603 ," $13,660 ","1,823",,,
FLORENCE, 521 ," $8,671 "," $2,656 ", $- , $64 , $- , $- , $67 ," $5,885 ",296,,,
FOND DU LAC," 8,096 "," $32,607 "," $16,286 ", $- ," $2,185 ", $- , $- , $312 ," $13,824 ","1,981",,,
FOREST, 926 ," $9,764 "," $5,267 ", $- , $77 , $- , $- , $32 ," $4,387 ",476,,,
GRANT," 3,332 "," $18,665 "," $8,125 ", $- , $925 , $- , $- , $306 ," $9,309 ","1,000",,,
GREEN," 2,735 "," $15,549 "," $6,555 ", $- , $401 , $- , $- , $274 ," $8,320 ",715,,,
GREEN LAKE," 1,480 "," $9,219 "," $4,572 ", $- , $303 , $- , $- , $72 ," $4,273 ",450,,,
IOWA," 1,421 "," $9,093 "," $3,771 ", $- , $224 , $- , $- , $50 ," $5,048 ",456,,,
IRON, 780 ," $5,474 "," $2,298 ", $- , $101 , $- , $- , $29 ," $3,046 ",314,,,
JACKSON," 1,911 "," $14,162 "," $7,169 ", $- , $336 , $- , $- , $77 ," $6,580 ",744,,,
JEFFERSON," 6,272 "," $32,641 "," $13,483 ", $- ," $1,908 ", $- , $- , $390 ," $16,860 ","1,661",,,
