,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
BARBOUR," 1,134 "," $13,141 "," $5,840 ", $- , $283 , $- , $- , $59 ," $6,960 ",595,,,
BERKELEY," 11,989 "," $450,684 "," $49,254 "," $2,787 "," $6,141 ", $- ," $295,451 ", $227 ," $96,824 ","4,357",,,
BOONE," 1,845 "," $13,958 "," $8,859 ", $- , $211 , $- , $- , $72 ," $4,816 ",562,,,
BRAXTON," 1,433 "," $15,006 "," $6,504 ", $- , $158 , $- , $- , $63 ," $8,282 ",618,,,
BROOKE," 2,360 "," $9,152 "," $4,756 ", $- , $432 , $- , $- , $47 ," $3,917 ",525,,,
CABELL," 8,489 "," $101,083 "," $36,100 ", $8 ," $3,496 ", $- ," $18,990 ", $251 ," $42,238 ","3,192",,,
CALHOUN, 682 ," $5,518 "," $3,452 ", $- , $59 , $- , $- , $33 ," $1,973 ",215,,,
CLAY, 751 ," $7,793 "," $4,370 ", $- , $77 , $- , $- , $6 ," $3,340 ",371,,,
DODDRIDGE, 663 ," $5,473 "," $2,486 ", $- , $115 , $- , $- , $7 ," $2,865 ",244,,,
FAYETTE," 4,492 "," $60,454 "," $28,930 ", $- ," $1,117 ", $- , $- , $160 ," $30,247 ","1,910",,,
GILMER, 545 ," $4,916 "," $2,343 ", $- , $197 , $- , $- , $1 ," $2,374 ",271,,,
GRANT," 1,032 "," $6,941 "," $3,497 ", $- , $159 , $- , $- , $61 ," $3,224 ",374,,,
GREENBRIER," 3,148 "," $31,783 "," $16,004 ", $- , $823 , $- , $- , $203 ," $14,753 ","1,387",,,
HAMPSHIRE," 2,259 "," $18,299 "," $8,250 ", $- , $299 , $- , $- , $78 ," $9,672 ",771,,,
HANCOCK," 3,395 "," $14,737 "," $7,627 ", $- , $928 , $- , $- , $84 ," $6,097 ",764,,,
HARDY," 1,219 "," $8,048 "," $4,391 ", $- , $120 , $- , $- , $37 ," $3,500 ",443,,,
HARRISON," 6,905 "," $80,251 "," $31,744 ", $882 ," $1,821 ", $- , $900 , $445 ," $44,459 ","3,251",,,
JACKSON," 2,572 "," $13,902 "," $8,773 ", $- , $565 , $- , $- , $91 ," $4,472 ",653,,,
JEFFERSON," 5,610 "," $50,246 "," $18,184 ", $- ," $5,798 ", $- , $- , $172 ," $26,092 ","1,652",,,
KANAWHA," 16,985 "," $103,221 "," $57,448 ", $- ," $4,374 ", $- , $- , $847 ," $40,551 ","5,001",,,
LEWIS," 1,456 "," $18,292 "," $8,483 ", $- , $248 , $- , $- , $105 ," $9,456 ",788,,,
LINCOLN," 1,343 "," $14,583 "," $7,750 ", $- , $269 , $- , $- , $55 ," $6,508 ",585,,,
LOGAN," 2,471 "," $27,334 "," $17,780 ", $- , $439 , $- , $- , $196 ," $8,919 ",870,,,
MCDOWELL," 1,258 "," $17,721 "," $10,090 ", $- , $125 , $- , $- , $75 ," $7,431 ",540,,,
MARION," 5,727 "," $49,902 "," $24,603 ", $- ," $1,613 ", $- , $- , $459 ," $23,227 ","2,130",,,
