,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
ALBANY," 2,233 "," $18,752 "," $7,561 ", $- ," $4,387 ", $- , $- , $287 ," $6,518 ",720,,,
BIG HORN, 988 ," $5,458 "," $2,209 ", $- , $207 , $- , $- , $80 ," $2,963 ",390,,,
CAMPBELL," 3,297 "," $16,255 "," $6,187 ", $- , $473 , $- , $- , $234 ," $9,361 ","1,101",,,
CARBON," 1,409 "," $7,895 "," $3,376 ", $- , $230 , $- , $- , $230 ," $4,059 ",427,,,
CONVERSE," 1,189 "," $4,325 "," $2,123 ", $- , $194 , $- , $- , $16 ," $1,992 ",328,,,
CROOK, 589 ," $4,432 "," $1,310 ", $- , $61 , $- , $- , $15 ," $3,046 ",275,,,
FREMONT," 3,195 "," $20,659 "," $9,730 ", $- , $496 , $- , $- , $127 ," $10,307 ","1,273",,,
GOSHEN," 1,095 "," $8,679 "," $4,036 ", $- , $285 , $- , $- , $45 ," $4,313 ",436,,,
HOT SPRINGS, 523 ," $3,045 "," $1,462 ", $- , $30 , $- , $- , $41 ," $1,513 ",241,,,
JOHNSON, 759 ," $9,082 "," $2,978 ", $- , $104 , $- , $- , $4 ," $5,997 ",464,,,
LARAMIE," 12,800 "," $119,298 "," $52,368 ", $308 ," $6,843 ", $- ," $1,135 ", $468 ," $58,174 ","4,703",,,
LINCOLN," 1,236 "," $5,255 "," $2,148 ", $- , $162 , $- , $- , $17 ," $2,927 ",392,,,
NATRONA," 5,985 "," $31,617 "," $15,521 ", $- ," $1,502 ", $- , $- , $371 ," $14,222 ","2,030",,,
NIOBRARA, 215 ," $1,776 ", $573 , $- , $29 , $- , $- , $13 ," $1,162 ",100,,,
PARK," 2,580 "," $16,074 "," $7,252 ", $- , $451 , $- , $- , $111 ," $8,259 ","1,055",,,
PLATTE, 946 ," $7,889 "," $3,274 ", $- , $264 , $- , $- , $54 ," $4,298 ",412,,,
SHERIDAN," 2,728 "," $62,366 "," $13,972 "," $3,835 ", $734 , $- , $488 , $159 ," $43,178 ","2,052",,,
SUBLETTE, 565 ," $3,645 "," $1,129 ", $- , $139 , $- , $- , $15 ," $2,362 ",186,,,
SWEETWATER," 3,493 "," $16,992 "," $7,123 ", $- , $511 , $- , $- , $97 ," $9,261 ","1,022",,,
TETON," 1,124 "," $2,431 "," $1,353 ", $- , $88 , $- , $- , $272 , $718 ,152,,,
UINTA," 1,337 "," $8,471 "," $3,549 ", $- , $244 , $- , $- , $26 ," $4,652 ",405,,,
WASHAKIE, 753 ," $3,570 "," $1,416 ", $- , $75 , $- , $- , $15 ," $2,064 ",260,,,
WESTON, 668 ," $5,925 "," $1,811 ", $- , $34 , $- , $- , $14 ," $4,066 ",306,,,
,,,,,,,,,,,,,
WYOMING (Totals),"49,708 "," $383,891 "," $152,461 "," $4,144 "," $17,544 ", $- ," $1,623 "," $2,710 "," $205,410 ","18,730 ",,,
,,,,,,,,,,,,,
CONG. DIST (01)," 49,708 "," $383,891 "," $152,461 "," $4,144 "," $17,544 ", $- ," $1,623 "," $2,710 "," $205,410 ","18,730",,,
,,,,,,,,,,,,,
WYOMING (Totals),"49,708 "," $383,891 "," $152,461 "," $4,144 "," $17,544 ", $- ," $1,623 "," $2,710 "," $205,410 ","18,730 ",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
