ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,AL,AUTAUGA,"6,063","$49,987 ","$32,003 ", $- ,"$4,960 ", $- , $- ,$243 ,"$12,781 ","1,460"
15,AL,BALDWIN,"20,173","$103,195 ","$64,012 ", $- ,"$8,337 ", $- , $- ,"$1,708 ","$29,138 ","4,657"
15,AL,BARBOUR,"2,398","$16,392 ","$10,849 ", $- ,$507 , $- , $- ,$82 ,"$4,954 ",624
15,AL,BIBB,"1,311","$11,744 ","$7,387 ", $- ,$295 , $- , $- ,$46 ,"$4,016 ",471
15,AL,BLOUNT,"4,833","$23,180 ","$10,467 ", $- ,$896 , $- , $- ,$95 ,"$11,722 ","1,040"
15,AL,BULLOCK,911,"$8,167 ","$4,619 ", $- ,$275 , $- , $- ,$32 ,"$3,241 ",221
15,AL,BUTLER,"1,819","$13,485 ","$8,668 ", $- ,$421 , $- , $- ,$89 ,"$4,307 ",451
15,AL,CALHOUN,"11,884","$89,542 ","$59,918 ", $- ,"$4,104 ", $- , $- ,$506 ,"$25,013 ","3,260"
15,AL,CHAMBERS,"3,100","$24,741 ","$15,107 ", $- ,$880 , $- , $- ,$106 ,"$8,648 ",821
15,AL,CHEROKEE,"2,162","$12,260 ","$7,771 ", $- ,$257 , $- , $- ,$146 ,"$4,086 ",497
15,AL,CHILTON,"3,339","$28,537 ","$17,279 ", $- ,"$1,024 ", $- , $- ,$150 ,"$10,084 ",857
15,AL,CHOCTAW,927,"$10,224 ","$7,036 ", $- ,$155 , $- , $- ,$95 ,"$2,939 ",333
15,AL,CLARKE,"1,753","$14,195 ","$9,088 ", $- ,$372 , $- , $- ,$59 ,"$4,675 ",577
15,AL,CLAY,"1,235","$7,725 ","$4,597 ", $- ,$184 , $- , $- ,$44 ,"$2,901 ",325
15,AL,CLEBURNE,966,"$5,935 ","$3,453 ", $- ,$168 , $- , $- ,$0 ,"$2,313 ",281
15,AL,COFFEE,"7,431","$72,757 ","$51,920 ", $- ,"$6,867 ", $- , $- ,$464 ,"$13,507 ","1,878"
15,AL,COLBERT,"4,740","$35,181 ","$23,523 ", $- ,"$1,389 ", $- , $- ,$348 ,"$9,920 ","1,337"
15,AL,CONECUH,"1,225","$10,328 ","$6,104 ", $- ,$323 , $- , $- ,$47 ,"$3,854 ",408
15,AL,COOSA,"1,017","$8,236 ","$5,102 ", $- ,$267 , $- , $- ,$22 ,"$2,845 ",272
15,AL,COVINGTON,"3,482","$26,494 ","$18,394 ", $- ,$719 , $- , $- ,$90 ,"$7,291 ",874
15,AL,CRENSHAW,926,"$9,910 ","$6,400 ", $- ,$407 , $- , $- ,$32 ,"$3,071 ",310
15,AL,CULLMAN,"7,152","$43,084 ","$24,922 ", $- ,"$2,260 ", $- , $- ,$295 ,"$15,606 ","1,488"
15,AL,DALE,"7,301","$63,093 ","$43,759 ", $- ,"$5,104 ", $- , $- ,$385 ,"$13,845 ","2,057"
15,AL,DALLAS,"2,892","$29,341 ","$15,674 ", $- ,"$1,015 ", $- , $- ,$246 ,"$12,407 ","1,032"
15,AL,DE KALB,"4,472","$28,599 ","$16,252 ", $- ,$794 , $- , $- ,$194 ,"$11,359 ","1,069"
15,AL,ELMORE,"9,495","$74,011 ","$49,889 ", $- ,"$5,704 ", $- , $- ,$803 ,"$17,615 ","2,189"
15,AL,ESCAMBIA,"3,049","$20,281 ","$13,661 ", $- ,$757 , $- , $- ,$175 ,"$5,688 ",789
15,AL,ETOWAH,"8,887","$68,214 ","$42,161 ", $- ,"$1,959 ", $- , $- ,$244 ,"$23,851 ","2,473"
15,AL,FAYETTE,"1,360","$12,778 ","$6,559 ", $- ,$414 , $- , $- ,$98 ,"$5,707 ",561
15,AL,FRANKLIN,"1,817","$12,083 ","$7,959 ", $- ,$523 , $- , $- ,$61 ,"$3,540 ",401
15,AL,GENEVA,"2,658","$24,803 ","$18,303 ", $- ,$903 , $- , $- ,$226 ,"$5,372 ",887
15,AL,GREENE,484,"$7,055 ","$3,890 ", $- ,$206 , $- , $- ,$5 ,"$2,954 ",257
15,AL,HALE,897,"$13,207 ","$6,964 ", $- ,$387 , $- , $- ,$58 ,"$5,798 ",423
15,AL,HENRY,"1,706","$11,839 ","$8,649 ", $- ,$403 , $- , $- ,$138 ,"$2,649 ",444
15,AL,HOUSTON,"9,157","$73,414 ","$48,231 ", $- ,"$4,399 ", $- , $- ,$576 ,"$20,208 ","2,947"
15,AL,JACKSON,"4,059","$19,886 ","$12,569 ", $- ,$720 , $- , $- ,$298 ,"$6,298 ",819
15,AL,JEFFERSON,"47,408","$447,521 ","$194,053 ",$326 ,"$21,593 ", $- ,"$2,837 ","$3,564 ","$225,147 ","15,224"
15,AL,LAMAR,"1,229","$9,511 ","$5,780 ", $- ,$339 , $- , $- ,$45 ,"$3,347 ",445
15,AL,LAUDERDALE,"7,818","$44,767 ","$30,872 ", $- ,"$2,517 ", $- , $- ,$396 ,"$10,981 ","1,821"
15,AL,LAWRENCE,"2,246","$11,407 ","$6,888 ", $- ,$394 , $- , $- ,$88 ,"$4,037 ",487
15,AL,LEE,"11,346","$109,462 ","$67,994 ", $- ,"$12,803 ", $- , $- ,$927 ,"$27,737 ","3,079"
15,AL,LIMESTONE,"8,791","$45,824 ","$29,600 ", $- ,"$5,466 ", $- , $- ,$237 ,"$10,522 ","1,527"
15,AL,LOWNDES,750,"$7,595 ","$4,002 ", $- ,$321 , $- , $- ,$5 ,"$3,267 ",270
15,AL,MACON,"1,635","$32,595 ","$13,630 ", $- ,$829 , $- ,$640 ,$137 ,"$17,358 ",890
15,AL,MADISON,"39,245","$231,025 ","$153,766 ", $- ,"$28,911 ", $- , $- ,"$2,211 ","$46,137 ","7,487"
15,AL,MARENGO,"1,424","$15,286 ","$9,609 ", $- ,$417 , $- , $- ,$175 ,"$5,084 ",649
15,AL,MARION,"2,285","$14,508 ","$8,424 ", $- ,$565 , $- , $- ,$17 ,"$5,502 ",611
15,AL,MARSHALL,"7,312","$43,647 ","$26,463 ", $- ,"$2,194 ", $- , $- ,$344 ,"$14,647 ","1,822"
15,AL,MOBILE,"32,583","$219,460 ","$122,410 ", $- ,"$18,579 ", $- ,$387 ,"$1,767 ","$76,316 ","9,106"
15,AL,MONROE,"1,548","$13,583 ","$7,439 ", $- ,$475 , $- , $- ,$84 ,"$5,586 ",522
15,AL,MONTGOMERY,"19,666","$274,151 ","$132,210 ","$7,818 ","$18,821 ", $- ,"$30,573 ","$2,098 ","$82,630 ","6,932"
15,AL,MORGAN,"9,639","$56,608 ","$38,010 ", $- ,"$3,688 ", $- , $- ,$438 ,"$14,472 ","1,838"
15,AL,PERRY,730,"$6,738 ","$3,758 ", $- ,$186 , $- , $- ,$18 ,"$2,776 ",262
15,AL,PICKENS,"1,547","$17,842 ","$10,124 ", $- ,$355 , $- , $- ,$101 ,"$7,262 ",695
15,AL,PIKE,"2,332","$21,750 ","$12,611 ", $- ,"$3,393 ", $- , $- ,$65 ,"$5,680 ",590
15,AL,RANDOLPH,"1,765","$11,702 ","$7,508 ", $- ,$371 , $- , $- ,$21 ,"$3,801 ",497
15,AL,RUSSELL,"5,374","$93,536 ","$60,935 ",$10 ,"$13,966 ", $- ,$752 ,$614 ,"$17,258 ","2,525"
15,AL,SAINT CLAIR,"7,911","$44,987 ","$22,241 ", $- ,"$2,080 ", $- , $- ,$354 ,"$20,312 ","1,773"
15,AL,SHELBY,"14,637","$82,478 ","$46,879 ", $- ,"$6,939 ", $- ,"$1,212 ",$734 ,"$26,714 ","2,867"
15,AL,SUMTER,713,"$7,834 ","$4,589 ", $- ,$175 , $- , $- ,$25 ,"$3,045 ",295
15,AL,TALLADEGA,"7,132","$43,811 ","$23,834 ", $- ,"$2,048 ", $- , $- ,$223 ,"$17,707 ","1,821"
15,AL,TALLAPOOSA,"3,523","$32,202 ","$19,298 ", $- ,$720 , $- , $- ,$388 ,"$11,796 ","1,073"
15,AL,TUSCALOOSA,"14,023","$150,785 ","$56,793 ","$1,703 ","$8,662 ", $- ,"$1,048 ",$926 ,"$81,652 ","5,295"
15,AL,WALKER,"5,967","$46,867 ","$27,699 ", $- ,"$1,134 ", $- , $- ,$64 ,"$17,970 ","1,642"
15,AL,WASHINGTON,"1,562","$7,794 ","$4,770 ", $- ,$295 , $- , $- ,$63 ,"$2,666 ",308
15,AL,WILCOX,623,"$6,305 ","$3,746 ", $- ,$234 , $- , $- ,$42 ,"$2,282 ",203
15,AL,WINSTON,"1,873","$12,644 ","$7,438 ", $- ,$453 , $- , $- ,$39 ,"$4,714 ",486
,,,,,,,,,,,,
15,AL,ALABAMA (Totals),"411,717","$3,248,127 ","$1,856,515 ","$9,857 ","$217,278 ", $- ,"$37,450 ","$24,418 ","$1,102,610 ","111,832"
,,,,,,,,,,,,
15,AL,CONG. DIST (01),"59,568","$369,096 ","$215,680 ", $- ,"$28,579 ", $- ,$387 ,"$3,818 ","$120,631 ","15,565"
15,AL,CONG. DIST (02),"70,789","$668,745 ","$407,820 ","$7,799 ","$46,747 ", $- ,"$31,214 ","$4,672 ","$170,492 ","19,691"
15,AL,CONG. DIST (03),"60,686","$536,095 ","$324,046 ",$26 ,"$41,000 ", $- ,$752 ,"$3,716 ","$166,555 ","17,735"
15,AL,CONG. DIST (04),"54,102","$372,681 ","$219,116 ",$718 ,"$14,700 ", $- , $- ,"$2,113 ","$136,033 ","14,217"
15,AL,CONG. DIST (05),"69,552","$397,379 ","$264,217 ", $- ,"$41,215 ", $- , $- ,"$3,560 ","$88,387 ","13,487"
15,AL,CONG. DIST (06),"51,621","$333,903 ","$187,756 ",$367 ,"$20,631 ", $- ,$87 ,"$2,905 ","$122,157 ","11,460"
15,AL,CONG. DIST (07),"45,399","$570,229 ","$237,880 ",$946 ,"$24,404 ", $- ,"$5,010 ","$3,635 ","$298,354 ","19,677"
,,,,,,,,,,,,
15,AL,ALABAMA (Totals),"411,717","$3,248,127 ","$1,856,515 ","$9,857 ","$217,278 ", $- ,"$37,450 ","$24,418 ","$1,102,610 ","111,832"
