ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,AR,ARKANSAS,"1,462","$10,493 ","$4,601 ", $- ,$201 , $- , $- ,$128 ,"$5,564 ",444
15,AR,ASHLEY,"1,649","$11,925 ","$6,293 ", $- ,$335 , $- , $- ,$101 ,"$5,196 ",461
15,AR,BAXTER,"5,541","$35,095 ","$19,120 ", $- ,"$1,021 ", $- , $- ,$297 ,"$14,657 ","1,976"
15,AR,BENTON,"19,406","$120,841 ","$57,329 ", $- ,"$4,988 ", $- , $- ,$959 ,"$57,565 ","6,308"
15,AR,BOONE,"3,551","$26,914 ","$15,194 ", $- ,$694 , $- , $- ,$150 ,"$10,876 ","1,343"
15,AR,BRADLEY,"1,031","$6,189 ","$3,235 ", $- ,$85 , $- , $- ,$33 ,"$2,837 ",250
15,AR,CALHOUN,503,"$1,771 ",$881 , $- ,$64 , $- , $- ,$0 ,$825 ,119
15,AR,CARROLL,"2,705","$18,149 ","$8,473 ", $- ,$229 , $- , $- ,$222 ,"$9,224 ",970
15,AR,CHICOT,894,"$9,142 ","$4,395 ", $- ,$159 , $- , $- ,$21 ,"$4,566 ",311
15,AR,CLARK,"1,616","$14,464 ","$7,076 ", $- ,$650 , $- , $- ,$83 ,"$6,655 ",475
15,AR,CLAY,"1,404","$14,073 ","$6,836 ", $- ,$105 , $- , $- ,$33 ,"$7,099 ",536
15,AR,CLEBURNE,"3,057","$28,584 ","$13,366 ", $- ,$440 , $- , $- ,$128 ,"$14,651 ","1,060"
15,AR,CLEVELAND,714,"$6,276 ","$3,185 ", $- ,$85 , $- , $- ,$28 ,"$2,978 ",252
15,AR,COLUMBIA,"1,591","$11,821 ","$6,360 ", $- ,$466 , $- , $- ,$58 ,"$4,938 ",468
15,AR,CONWAY,"1,787","$16,733 ","$8,070 ", $- ,$322 , $- , $- ,$73 ,"$8,268 ",665
15,AR,CRAIGHEAD,"7,109","$41,429 ","$24,915 ", $- ,"$2,934 ", $- , $- ,$452 ,"$13,128 ","2,001"
15,AR,CRAWFORD,"5,774","$46,735 ","$27,126 ", $- ,"$1,613 ", $- , $- ,$237 ,"$17,759 ","2,324"
15,AR,CRITTENDEN,"3,690","$27,614 ","$12,137 ", $- ,"$1,142 ", $- , $- ,$145 ,"$14,190 ","1,097"
15,AR,CROSS,"1,095","$10,342 ","$5,106 ", $- ,$351 , $- , $- ,$52 ,"$4,833 ",364
15,AR,DALLAS,673,"$4,671 ","$2,329 ", $- ,$92 , $- , $- ,$13 ,"$2,238 ",197
15,AR,DESHA,989,"$8,874 ","$4,048 ", $- ,$223 , $- , $- ,$82 ,"$4,522 ",342
15,AR,DREW,"1,528","$10,338 ","$4,993 ", $- ,$380 , $- , $- ,$51 ,"$4,914 ",455
15,AR,FAULKNER,"10,258","$77,469 ","$35,789 ", $- ,"$5,557 ", $- , $- ,$371 ,"$35,753 ","2,950"
15,AR,FRANKLIN,"1,602","$14,174 ","$8,130 ", $- ,$466 , $- , $- ,$94 ,"$5,485 ",710
15,AR,FULTON,"1,157","$11,190 ","$6,024 ", $- ,$218 , $- , $- ,$36 ,"$4,912 ",494
15,AR,GARLAND,"10,137","$82,130 ","$42,419 ", $- ,"$2,205 ", $- , $- ,"$1,399 ","$36,108 ","3,613"
15,AR,GRANT,"1,453","$12,774 ","$6,628 ", $- ,$362 , $- , $- ,$72 ,"$5,713 ",466
15,AR,GREENE,"3,117","$30,103 ","$16,836 ", $- ,$905 , $- , $- ,$401 ,"$11,962 ","1,304"
15,AR,HEMPSTEAD,"1,414","$10,359 ","$5,554 ", $- ,$291 , $- , $- ,$64 ,"$4,451 ",398
15,AR,HOT SPRING,"3,147","$22,385 ","$10,201 ", $- ,$487 , $- , $- ,$64 ,"$11,632 ",989
15,AR,HOWARD,930,"$6,720 ","$3,802 ", $- ,$112 , $- , $- ,$23 ,"$2,783 ",290
15,AR,INDEPENDENCE,"3,079","$20,673 ","$11,327 ", $- ,$677 , $- , $- ,$114 ,"$8,555 ",873
15,AR,IZARD,"1,405","$12,172 ","$6,442 ", $- ,$304 , $- , $- ,$85 ,"$5,342 ",526
15,AR,JACKSON,"1,197","$8,651 ","$4,405 ", $- ,$216 , $- , $- ,$30 ,"$4,001 ",382
