Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,CA,ALAMEDA,"56,608","$492,636 ","$169,896 ",$632 ,"$49,265 ", $- ,"$39,524 ","$6,257 ","$227,063 ","13,186"
15,CA,ALPINE,129,$295 ,$176 , $- ,$27 , $- , $- ,$5 ,$87 ,19
15,CA,AMADOR,"4,306","$24,409 ","$10,992 ", $- ,"$1,190 ", $- , $- ,$233 ,"$11,993 ",949
15,CA,BUTTE,"17,696","$112,275 ","$63,370 ", $- ,"$7,250 ", $- , $- ,"$1,496 ","$40,159 ","5,085"
15,CA,CALAVERAS,"5,630","$33,264 ","$16,296 ", $- ,$925 , $- , $- ,$382 ,"$15,662 ","1,523"
15,CA,COLUSA,"1,205","$6,589 ","$3,608 ", $- ,$411 , $- , $- ,$167 ,"$2,404 ",255
15,CA,CONTRA COSTA,"53,369","$386,501 ","$152,378 ","$17,132 ","$37,986 ", $- ,"$5,661 ","$6,802 ","$166,541 ","11,911"
15,CA,DEL NORTE,"2,563","$19,821 ","$12,186 ", $- ,$505 , $- , $- ,$202 ,"$6,929 ",801
15,CA,EL DORADO,"15,508","$91,199 ","$47,944 ", $- ,"$4,731 ", $- , $- ,"$1,774 ","$36,749 ","3,455"
15,CA,FRESNO,"44,041","$416,375 ","$163,450 ","$12,272 ","$36,106 ", $- ,"$1,305 ","$3,336 ","$199,906 ","14,136"
15,CA,GLENN,"1,749","$9,955 ","$5,682 ", $- ,$484 , $- , $- ,$114 ,"$3,675 ",493
15,CA,HUMBOLDT,"10,259","$96,473 ","$43,290 ", $- ,"$3,463 ", $- , $- ,$774 ,"$48,946 ","4,282"
15,CA,IMPERIAL,"7,641","$51,197 ","$26,765 ", $- ,"$8,108 ", $- , $- ,$396 ,"$15,929 ","1,909"
15,CA,INYO,"1,519","$10,221 ","$5,769 ", $- ,$239 , $- , $- ,$269 ,"$3,945 ",358
15,CA,KERN,"47,178","$285,202 ","$160,573 ",$49 ,"$37,314 ", $- ,"$1,457 ","$2,319 ","$83,490 ","9,002"
15,CA,KINGS,"12,795","$79,894 ","$37,515 ", $- ,"$16,195 ", $- , $- ,$419 ,"$25,765 ","2,150"
15,CA,LAKE,"6,602","$70,764 ","$27,634 ", $- ,"$1,310 ", $- , $- ,$399 ,"$41,421 ","2,569"
15,CA,LASSEN,"3,615","$19,910 ","$9,254 ", $- ,$782 , $- , $- ,$216 ,"$9,658 ",857
15,CA,LOS ANGELES,"301,821","$2,644,554 ","$994,740 ","$15,819 ","$303,963 ", $- ,"$43,243 ","$31,856 ","$1,254,932 ","75,905"
15,CA,MADERA,"8,433","$69,540 ","$31,134 ", $- ,"$3,997 ", $- , $- ,$457 ,"$33,952 ","2,675"
15,CA,MARIN,"12,379","$74,488 ","$27,433 ", $- ,"$3,669 ", $- , $- ,"$2,617 ","$40,769 ","2,134"
15,CA,MARIPOSA,"2,143","$13,943 ","$6,642 ", $- ,$331 , $- , $- ,$156 ,"$6,814 ",660
15,CA,MENDOCINO,"6,421","$66,969 ","$28,514 ", $- ,$764 , $- , $- ,$587 ,"$37,104 ","2,314"
15,CA,MERCED,"11,082","$83,600 ","$40,406 ",$108 ,"$5,468 ", $- ,"$2,219 ",$605 ,"$34,794 ","3,169"
15,CA,MODOC,960,"$6,342 ","$3,500 ", $- ,$145 , $- , $- ,$19 ,"$2,678 ",332
15,CA,MONO,"1,281","$3,191 ","$1,401 ", $- ,$222 , $- , $- ,$49 ,"$1,520 ",167
15,CA,MONTEREY,"18,992","$188,944 ","$97,800 ", $- ,"$14,521 ", $- , $- ,"$1,993 ","$74,629 ","6,594"
15,CA,NAPA,"9,709","$60,532 ","$30,041 ", $- ,"$3,687 ", $- , $- ,$831 ,"$25,972 ","2,122"
15,CA,NEVADA,"9,146","$57,153 ","$34,388 ", $- ,"$1,917 ", $- , $- ,"$1,025 ","$19,823 ","2,436"
15,CA,ORANGE,"121,737","$719,228 ","$347,556 ", $- ,"$105,943 ", $- , $- ,"$13,430 ","$252,300 ","23,843"
15,CA,PLACER,"30,146","$165,806 ","$93,558 ", $- ,"$15,082 ", $- , $- ,"$2,628 ","$54,537 ","6,083"
15,CA,PLUMAS,"2,003","$14,545 ","$6,634 ", $- ,$190 , $- , $- ,$70 ,"$7,651 ",713
15,CA,RIVERSIDE,"134,794","$1,147,333 ","$580,366 ",$208 ,"$170,145 ", $- ,"$9,038 ","$9,699 ","$377,877 ","37,557"
15,CA,SACRAMENTO,"87,006","$684,821 ","$330,417 ", $- ,"$67,018 ", $- , $- ,"$7,609 ","$279,777 ","22,676"
15,CA,SAN BENITO,"2,625","$23,781 ","$11,911 ", $- ,"$1,525 ", $- , $- ,$170 ,"$10,175 ",895
15,CA,SAN BERNARDINO,"112,208","$899,163 ","$416,030 ","$8,929 ","$98,924 ", $- ,"$2,138 ","$6,757 ","$366,384 ","28,918"
15,CA,SAN DIEGO,"227,463","$2,383,793 ","$1,055,348 ","$22,068 ","$508,150 ", $- ,"$73,522 ","$21,564 ","$703,141 ","66,912"
15,CA,SAN FRANCISCO,"24,957","$337,093 ","$70,971 ","$10,527 ","$25,993 ", $- ,"$3,619 ","$2,798 ","$223,185 ","7,151"
15,CA,SAN JOAQUIN,"35,495","$261,072 ","$122,851 ", $- ,"$22,290 ", $- , $- ,"$2,208 ","$113,722 ","9,168"
15,CA,SAN LUIS OBISPO,"20,983","$100,094 ","$60,830 ", $- ,"$6,365 ", $- , $- ,"$1,945 ","$30,954 ","4,657"
15,CA,SAN MATEO,"28,121","$287,865 ","$67,704 ",$786 ,"$18,105 ", $- ,"$8,478 ","$3,846 ","$188,945 ","6,815"
15,CA,SANTA BARBARA,"23,098","$142,818 ","$82,094 ", $- ,"$12,483 ", $- , $- ,"$3,125 ","$45,116 ","5,485"
