Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,HI,HAWAII,"16,529","$109,424 ","$57,188 ", $- ,"$4,110 ", $- , $- ,"$1,428 ","$46,699 ","4,308"
15,HI,HONOLULU,"87,658","$676,174 ","$285,474 ","$3,347 ","$175,051 ", $- ,"$16,891 ","$10,709 ","$184,702 ","18,320"
15,HI,KALAWAO,0,$4 , $- , $- , $- , $- , $- , $- ,$4 ,<10
15,HI,KAUAI,"5,289","$33,893 ","$15,770 ", $- ,"$1,117 ", $- , $- ,$581 ,"$16,424 ","1,464"
15,HI,MAUI,"11,007","$68,542 ","$35,579 ", $- ,"$2,979 ", $- , $- ,$893 ,"$29,092 ","2,357"
15,HI,HAWAII (Totals),"120,482","$888,037 ","$394,010 ","$3,347 ","$183,257 ", $- ,"$16,891 ","$13,611 ","$276,921 ","26,450"
15,HI,,,,,,,,,,,
15,HI,CONG. DIST (01),"63,396","$511,898 ","$215,694 ","$3,330 ","$132,262 ", $- ,"$16,891 ","$8,091 ","$135,630 ","13,394"
15,HI,CONG. DIST (02),"57,086","$376,139 ","$178,316 ",$17 ,"$50,995 ", $- , $- ,"$5,520 ","$141,291 ","13,056"
15,HI,HAWAII (Totals),"120,482","$888,037 ","$394,010 ","$3,347 ","$183,257 ", $- ,"$16,891 ","$13,611 ","$276,921 ","26,450"
