ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,IA,ADAIR,640,"$4,568 ","$1,189 ", $- ,$43 , $- , $- ,$19 ,"$3,318 ",200
15,IA,ADAMS,371,"$2,292 ",$725 , $- ,$60 , $- , $- ,$15 ,"$1,492 ",115
15,IA,ALLAMAKEE,"1,081","$8,664 ","$3,289 ", $- ,$149 , $- , $- ,$172 ,"$5,054 ",448
15,IA,APPANOOSE,898,"$7,932 ","$3,582 ", $- ,$139 , $- , $- ,$70 ,"$4,141 ",422
15,IA,AUDUBON,535,"$2,913 ","$1,509 ", $- ,$148 , $- , $- ,$32 ,"$1,225 ",171
15,IA,BENTON,"2,250","$10,756 ","$4,492 ", $- ,$491 , $- , $- ,$325 ,"$5,449 ",639
15,IA,BLACK HAWK,"9,861","$48,369 ","$22,194 ", $- ,"$3,330 ", $- , $- ,"$1,158 ","$21,687 ","2,467"
15,IA,BOONE,"2,202","$11,439 ","$4,681 ", $- ,$687 , $- , $- ,$79 ,"$5,992 ",608
15,IA,BREMER,"1,700","$7,622 ","$3,779 ", $- ,$499 , $- , $- ,$291 ,"$3,053 ",490
15,IA,BUCHANAN,"1,620","$7,467 ","$3,102 ", $- ,$333 , $- , $- ,$188 ,"$3,843 ",401
15,IA,BUENA VISTA,"1,215","$5,544 ","$3,019 ", $- ,$388 , $- , $- ,$84 ,"$2,054 ",451
15,IA,BUTLER,"1,053","$6,202 ","$2,820 ", $- ,$340 , $- , $- ,$70 ,"$2,971 ",386
15,IA,CALHOUN,916,"$4,482 ","$1,914 ", $- ,$150 , $- , $- ,$66 ,"$2,353 ",367
15,IA,CARROLL,"1,475","$7,737 ","$3,351 ", $- ,$155 , $- , $- ,$71 ,"$4,160 ",603
15,IA,CASS,"1,183","$7,825 ","$3,550 ", $- ,$413 , $- , $- ,$185 ,"$3,677 ",373
15,IA,CEDAR,"1,463","$8,914 ","$2,313 ", $- ,$385 , $- , $- ,$73 ,"$6,143 ",496
