,,,,,,,,,,,
,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,
ADA," 32,554 "," $284,288 "," $109,092 "," $12,262 "," $21,500 ", $- ," $9,580 "," $2,381 "," $129,472 ","11,541",
ADAMS, 468 ," $2,991 "," $1,539 ", $- , $42 , $- , $- , $41 ," $1,369 ",172,
BANNOCK," 6,088 "," $40,302 "," $19,592 ", $- ," $3,283 ", $- , $- , $373 ," $17,054 ","1,953",
BEAR LAKE, 517 ," $1,756 ", $900 , $- , $15 , $- , $- , $14 , $826 ,113,
BENEWAH, 982 ," $6,493 "," $3,582 ", $- , $98 , $- , $- , $54 ," $2,760 ",309,
BINGHAM," 2,980 "," $15,249 "," $7,572 ", $- , $703 , $- , $- , $78 ," $6,896 ",784,
BLAINE," 1,385 "," $4,149 "," $1,775 ", $- , $100 , $- , $- , $108 ," $2,166 ",197,
BOISE, 808 ," $9,024 "," $2,827 ", $- , $146 , $- , $- , $44 ," $6,007 ",459,
BONNER," 4,566 "," $28,484 "," $15,547 ", $- , $722 , $- , $- , $410 ," $11,805 ","1,641",
BONNEVILLE," 7,375 "," $33,641 "," $17,584 ", $- ," $2,604 ", $- , $- , $416 ," $13,037 ","1,778",
BOUNDARY," 1,145 "," $7,867 "," $4,624 ", $- , $87 , $- , $- , $110 ," $3,045 ",420,
BUTTE, 250 ," $1,805 ", $541 , $- , $30 , $- , $- , $1 ," $1,234 ",78,
CAMAS, 112 , $397 , $216 , $- , $0 , $- , $- , $- , $181 ,23,
CANYON," 13,965 "," $107,663 "," $44,877 ", $- ," $7,529 ", $- , $- , $916 ," $54,341 ","5,295",
CARIBOU, 601 ," $2,140 "," $1,221 ", $- , $54 , $- , $- , $11 , $854 ,125,
CASSIA," 1,324 "," $6,575 "," $3,276 ", $- , $286 , $- , $- , $101 ," $2,912 ",361,
CLARK, 39 , $130 , $91 , $- , $- , $- , $- , $- , $39 ,13,
CLEARWATER," 1,160 "," $7,401 "," $3,919 ", $- , $120 , $- , $- , $43 ," $3,318 ",449,
