,,,,,,,,,,,
,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,
ACADIA," 3,750 "," $24,792 "," $13,261 ", $- , $741 , $- , $- , $283 ," $10,508 ","1,061",
ALLEN," 1,859 "," $12,421 "," $6,361 ", $- , $335 , $- , $- , $39 ," $5,685 ",548,
ASCENSION," 6,925 "," $36,014 "," $20,307 ", $- ," $3,034 ", $- , $- , $494 ," $12,178 ","1,289",
ASSUMPTION," 1,425 "," $7,211 "," $4,135 ", $- , $144 , $- , $- , $78 ," $2,854 ",327,
AVOYELLES," 2,989 "," $27,085 "," $14,898 ", $- , $526 , $- , $- , $149 ," $11,512 ","1,166",
BEAUREGARD," 3,576 "," $39,677 "," $25,020 ", $- ," $3,176 ", $- , $- , $225 ," $11,256 ","1,257",
BIENVILLE," 1,087 "," $11,069 "," $4,870 ", $- , $191 , $- , $- , $46 ," $5,961 ",419,
BOSSIER," 14,348 "," $118,935 "," $66,371 ", $- ," $12,181 ", $- , $- , $908 ," $39,474 ","3,892",
CADDO," 22,001 "," $182,144 "," $79,194 ", $640 ," $10,271 ", $- ," $1,545 "," $1,932 "," $88,562 ","6,688",
CALCASIEU," 15,691 "," $85,794 "," $46,643 ", $- ," $5,050 ", $- , $- ," $1,093 "," $33,007 ","3,627",
CALDWELL, 766 ," $5,298 "," $3,011 ", $- , $121 , $- , $- , $17 ," $2,149 ",226,
CAMERON, 563 ," $1,231 ", $575 , $- , $10 , $- , $- , $15 , $631 ,86,
CATAHOULA, 610 ," $6,889 "," $3,517 ", $- , $219 , $- , $- , $78 ," $3,075 ",270,
CLAIBORNE," 1,214 "," $7,329 "," $3,725 ", $- , $247 , $- , $- , $52 ," $3,305 ",339,
CONCORDIA," 1,219 "," $10,038 "," $5,312 ", $- , $220 , $- , $- , $44 ," $4,463 ",503,
DE SOTO," 2,011 "," $14,590 "," $7,303 ", $- , $503 , $- , $- , $69 ," $6,715 ",599,
EAST BATON ROUGE," 28,823 "," $173,000 "," $87,492 ", $708 ," $17,767 ", $- ," $2,913 "," $2,560 "," $61,560 ","6,022",
EAST CARROLL, 525 ," $2,433 "," $1,310 ", $- , $11 , $- , $- , $34 ," $1,077 ",114,
EAST FELICIANA," 1,885 "," $10,955 "," $7,339 ", $- , $375 , $- , $- , $82 ," $3,159 ",435,
EVANGELINE," 1,896 "," $14,613 "," $8,240 ", $- , $220 , $- , $- , $111 ," $6,041 ",628,
FRANKLIN," 1,298 "," $10,473 "," $6,280 ", $- , $155 , $- , $- , $54 ," $3,984 ",493,
GRANT," 1,927 "," $21,366 "," $9,454 ", $- , $451 , $- , $- , $58 ," $11,403 ",835,
IBERIA," 4,712 "," $25,590 "," $15,952 ", $- , $974 , $- , $- , $130 ," $8,534 ","1,241",
IBERVILLE," 2,390 "," $13,677 "," $7,005 ", $- , $493 , $- , $- , $124 ," $6,054 ",480,
JACKSON," 1,192 "," $9,394 "," $5,139 ", $- , $240 , $- , $- , $68 ," $3,947 ",383,
JEFFERSON," 26,846 "," $178,589 "," $87,722 ", $- ," $11,948 ", $- , $- ," $2,314 "," $76,605 ","5,924",
JEFFERSON DAVIS," 2,003 "," $17,265 "," $9,468 ", $- , $376 , $- , $- , $150 ," $7,271 ",824,
LAFAYETTE," 14,851 "," $86,978 "," $50,047 ", $- ," $8,257 ", $- , $- , $794 ," $27,880 ","3,866",
LAFOURCHE," 4,896 "," $26,458 "," $14,280 ", $- ," $1,597 ", $- , $- , $195 ," $10,386 ","1,365",
LA SALLE, 961 ," $8,779 "," $4,258 ", $- , $151 , $- , $- , $44 ," $4,327 ",332,
LINCOLN," 2,387 "," $21,898 "," $13,247 ", $- ," $1,796 ", $- , $- , $179 ," $6,676 ",647,
LIVINGSTON," 9,245 "," $46,470 "," $25,158 ", $- ," $4,009 ", $- , $- , $309 ," $16,993 ","1,777",
MADISON, 716 ," $6,261 "," $2,738 ", $- , $96 , $- , $- , $59 ," $3,367 ",276,
MOREHOUSE," 2,030 "," $13,922 "," $7,743 ", $- , $420 , $- , $- , $89 ," $5,670 ",663,
NATCHITOCHES," 2,599 "," $26,617 "," $12,744 ", $- ," $1,132 ", $- , $- , $145 ," $12,596 ","1,040",
ORLEANS," 18,597 "," $505,999 "," $75,449 "," $287,410 "," $13,485 ", $- ," $22,565 "," $1,843 "," $105,246 ","6,875",
