ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,ME,ANDROSCOGGIN,"9,964","$74,776 ","$40,824 ", $- ,"$3,284 ", $- , $- ,$674 ,"$29,995 ","3,404"
15,ME,AROOSTOOK,"7,381","$61,481 ","$38,306 ", $- ,"$1,350 ", $- , $- ,$233 ,"$21,591 ","3,134"
15,ME,CUMBERLAND,"21,767","$127,989 ","$72,612 ", $- ,"$9,364 ", $- , $- ,"$2,414 ","$43,599 ","5,635"
15,ME,FRANKLIN,"2,895","$23,508 ","$11,875 ", $- ,$779 , $- , $- ,$215 ,"$10,638 ","1,080"
15,ME,HANCOCK,"5,708","$32,429 ","$18,837 ", $- ,$998 , $- , $- ,$575 ,"$12,019 ","1,455"
15,ME,KENNEBEC,"12,039","$172,223 ","$69,192 ",$101 ,"$4,581 ", $- ,"$19,660 ","$1,055 ","$77,633 ","5,037"
15,ME,KNOX,"3,909","$27,823 ","$13,313 ", $- ,$724 , $- , $- ,$400 ,"$13,386 ","1,191"
15,ME,LINCOLN,"3,553","$29,777 ","$14,999 ", $- ,$533 , $- , $- ,$316 ,"$13,929 ","1,313"
15,ME,OXFORD,"6,003","$41,022 ","$20,894 ", $- ,"$1,201 ", $- , $- ,$509 ,"$18,417 ","1,899"
15,ME,PENOBSCOT,"14,560","$114,287 ","$65,536 ", $- ,"$7,332 ", $- , $- ,"$1,199 ","$40,221 ","4,789"
15,ME,PISCATAQUIS,"2,062","$18,866 ","$10,053 ", $- ,$439 , $- , $- ,$109 ,"$8,265 ",858
15,ME,SAGADAHOC,"4,259","$30,363 ","$17,963 ", $- ,"$1,407 ", $- , $- ,$334 ,"$10,660 ","1,129"
15,ME,SOMERSET,"4,863","$50,850 ","$25,488 ", $- ,$926 , $- , $- ,$317 ,"$24,120 ","1,949"
15,ME,WALDO,"3,661","$32,775 ","$16,151 ", $- ,$932 , $- , $- ,$280 ,"$15,412 ","1,271"
15,ME,WASHINGTON,"3,486","$34,615 ","$20,599 ", $- ,$710 , $- , $- ,$173 ,"$13,133 ","1,440"
15,ME,YORK,"18,968","$109,808 ","$62,940 ", $- ,"$8,284 ", $- , $- ,"$1,477 ","$37,107 ","4,590"
,,,,,,,,,,,,
15,ME,MAINE (Totals),"125,078","$982,591 ","$519,583 ",$101 ,"$42,841 ", $- ,"$19,660 ","$10,281 ","$390,125 ","40,174"
,,,,,,,,,,,,
15,ME,CONG. DIST (01),"59,791","$450,095 ","$228,438 ",$101 ,"$23,389 ", $- ,"$19,660 ","$5,651 ","$172,855 ","17,040"
15,ME,CONG. DIST (02),"65,286","$532,497 ","$291,144 ", $- ,"$19,453 ", $- , $- ,"$4,629 ","$217,270 ","23,134"
,,,,,,,,,,,,
15,ME,MAINE (Totals),"125,078","$982,591 ","$519,583 ",$101 ,"$42,841 ", $- ,"$19,660 ","$10,281 ","$390,125 ","40,174"
