ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,MI,ALCONA,"1,547","$9,869 ","$4,895 ", $- ,$100 , $- , $- ,$34 ,"$4,839 ",519
15,MI,ALGER,902,"$7,807 ","$4,020 ", $- ,$153 , $- , $- ,$61 ,"$3,573 ",367
15,MI,ALLEGAN,"7,422","$34,520 ","$18,590 ", $- ,"$1,974 ", $- , $- ,$409 ,"$13,548 ","1,569"
15,MI,ALPENA,"2,826","$16,072 ","$7,858 ", $- ,$653 , $- , $- ,$127 ,"$7,434 ",967
15,MI,ANTRIM,"2,266","$12,469 ","$7,904 ", $- ,$372 , $- , $- ,$143 ,"$4,050 ",562
15,MI,ARENAC,"1,520","$10,737 ","$6,157 ", $- ,$182 , $- , $- ,$38 ,"$4,361 ",414
15,MI,BARAGA,717,"$6,331 ","$3,189 ", $- ,$102 , $- , $- ,$13 ,"$3,027 ",333
15,MI,BARRY,"4,877","$22,405 ","$10,981 ", $- ,"$1,078 ", $- , $- ,$262 ,"$10,084 ","1,122"
15,MI,BAY,"9,171","$54,395 ","$29,023 ", $- ,"$1,926 ", $- , $- ,$404 ,"$23,041 ","2,250"
15,MI,BENZIE,"1,694","$8,958 ","$5,466 ", $- ,$225 , $- , $- ,$73 ,"$3,194 ",486
15,MI,BERRIEN,"11,919","$59,019 ","$33,626 ", $- ,"$2,819 ", $- , $- ,$523 ,"$22,051 ","2,836"
15,MI,BRANCH,"3,347","$20,971 ","$11,546 ", $- ,$492 , $- , $- ,$665 ,"$8,268 ",851
15,MI,CALHOUN,"11,013","$115,883 ","$44,238 ","$5,603 ","$3,419 ", $- ,"$2,572 ",$828 ,"$59,224 ","3,440"
15,MI,CASS,"4,320","$19,077 ","$8,719 ", $- ,$618 , $- , $- ,$75 ,"$9,665 ","1,237"
15,MI,CHARLEVOIX,"2,225","$10,627 ","$6,671 ", $- ,$332 , $- , $- ,$151 ,"$3,474 ",553
15,MI,CHEBOYGAN,"2,479","$18,176 ","$10,947 ", $- ,$342 , $- , $- ,$175 ,"$6,712 ",841
15,MI,CHIPPEWA,"3,705","$21,422 ","$13,241 ", $- ,"$1,072 ", $- , $- ,$135 ,"$6,974 ","1,027"
15,MI,CLARE,"3,105","$24,960 ","$12,392 ", $- ,$553 , $- ,$715 ,$204 ,"$11,096 ","1,015"
15,MI,CLINTON,"4,900","$20,844 ","$13,624 ", $- ,"$1,618 ", $- , $- ,$238 ,"$5,364 ",718
15,MI,CRAWFORD,"1,641","$10,117 ","$5,193 ", $- ,$239 , $- , $- ,$36 ,"$4,648 ",475
15,MI,DELTA,"3,752","$39,233 ","$19,275 ", $- ,$831 , $- , $- ,$231 ,"$18,896 ","1,686"
15,MI,DICKINSON,"2,480","$38,353 ","$12,735 ", $- ,$458 , $- ,"$1,245 ",$213 ,"$23,701 ","1,435"
15,MI,EATON,"8,357","$43,747 ","$27,176 ", $- ,"$2,812 ", $- , $- ,$754 ,"$13,005 ","1,418"
15,MI,EMMET,"2,743","$14,890 ","$8,921 ", $- ,$750 , $- , $- ,$146 ,"$5,074 ",650
15,MI,GENESEE,"29,206","$151,145 ","$90,056 ", $- ,"$9,163 ", $- , $- ,"$1,279 ","$50,647 ","5,182"
15,MI,GLADWIN,"2,635","$20,622 ","$10,032 ", $- ,$350 , $- , $- ,$44 ,"$10,196 ",800
15,MI,GOGEBIC,"1,610","$12,652 ","$5,989 ", $- ,$284 , $- , $- ,$103 ,"$6,276 ",768
