ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,MN,AITKIN,"1,700","$18,211 ","$7,921 ", $- ,$204 , $- , $- ,$335 ,"$9,751 ",983
15,MN,ANOKA,"22,975","$150,558 ","$65,859 ", $- ,"$10,308 ", $- , $- ,"$1,285 ","$73,106 ","7,280"
15,MN,BECKER,"2,919","$23,148 ","$10,223 ", $- ,$496 , $- , $- ,$175 ,"$12,254 ","1,179"
15,MN,BELTRAMI,"3,183","$30,677 ","$15,249 ", $- ,"$1,159 ", $- , $- ,$381 ,"$13,887 ","1,344"
15,MN,BENTON,"3,345","$30,014 ","$10,259 ", $- ,$627 , $- , $- ,$107 ,"$19,020 ","1,506"
15,MN,BIG STONE,458,"$3,785 ","$2,003 ", $- ,$87 , $- , $- ,$14 ,"$1,682 ",258
15,MN,BLUE EARTH,"4,556","$27,062 ","$12,903 ", $- ,"$2,564 ", $- , $- ,$412 ,"$11,183 ","1,295"
15,MN,BROWN,"1,798","$14,140 ","$7,988 ", $- ,$474 , $- , $- ,$172 ,"$5,506 ",840
15,MN,CARLTON,"3,326","$23,162 ","$14,309 ", $- ,"$1,161 ", $- , $- ,$137 ,"$7,556 ","1,007"
15,MN,CARVER,"4,910","$21,950 ","$10,251 ", $- ,"$1,783 ", $- , $- ,$458 ,"$9,457 ","1,134"
15,MN,CASS,"3,311","$29,986 ","$13,912 ", $- ,$304 , $- , $- ,$232 ,"$15,538 ","1,598"
15,MN,CHIPPEWA,825,"$7,219 ","$2,927 ", $- ,$91 , $- , $- ,$46 ,"$4,156 ",489
15,MN,CHISAGO,"4,285","$29,515 ","$15,041 ", $- ,"$1,975 ", $- , $- ,$538 ,"$11,960 ","1,138"
15,MN,CLAY,"4,266","$34,413 ","$13,806 ", $- ,"$1,740 ", $- , $- ,$512 ,"$18,356 ","1,674"
15,MN,CLEARWATER,784,"$8,144 ","$3,552 ", $- ,$131 , $- , $- ,$14 ,"$4,448 ",417
15,MN,COOK,501,"$3,226 ","$1,798 ", $- ,$26 , $- , $- ,$138 ,"$1,265 ",120
15,MN,COTTONWOOD,796,"$5,840 ","$2,782 ", $- ,$90 , $- , $- ,$99 ,"$2,869 ",349
15,MN,CROW WING,"5,739","$54,738 ","$28,601 ", $- ,"$1,487 ", $- , $- ,$484 ,"$24,166 ","2,893"
15,MN,DAKOTA,"27,048","$183,497 ","$80,617 ", $- ,"$13,655 ", $- , $- ,"$2,279 ","$86,945 ","7,286"
15,MN,DODGE,"1,209","$6,572 ","$3,334 ", $- ,$330 , $- , $- ,$24 ,"$2,884 ",376
15,MN,DOUGLAS,"3,196","$25,818 ","$13,323 ", $- ,$708 , $- , $- ,$301 ,"$11,484 ","1,523"
15,MN,FARIBAULT,"1,256","$7,566 ","$3,735 ", $- ,$319 , $- , $- ,$69 ,"$3,444 ",400
15,MN,FILLMORE,"1,516","$8,325 ","$4,981 ", $- ,$393 , $- , $- ,$76 ,"$2,875 ",468
15,MN,FREEBORN,"2,536","$17,708 ","$7,738 ", $- ,$278 , $- , $- ,$243 ,"$9,449 ","1,084"
15,MN,GOODHUE,"3,916","$21,223 ","$9,869 ", $- ,"$1,241 ", $- , $- ,$378 ,"$9,735 ","1,015"
15,MN,GRANT,470,"$4,655 ","$2,249 ", $- ,$46 , $- , $- ,$26 ,"$2,333 ",229
15,MN,HENNEPIN,"59,728","$498,498 ","$149,388 ",$198 ,"$36,517 ", $- ,"$85,117 ","$9,962 ","$217,317 ","15,722"
15,MN,HOUSTON,"1,543","$8,733 ","$4,919 ", $- ,$387 , $- , $- ,$221 ,"$3,206 ",632
15,MN,HUBBARD,"2,274","$17,882 ","$8,668 ", $- ,$315 , $- , $- ,$241 ,"$8,659 ",920
15,MN,ISANTI,"3,175","$22,737 ","$9,860 ", $- ,$887 , $- , $- ,$219 ,"$11,771 ","1,199"
15,MN,ITASCA,"4,594","$33,684 ","$19,102 ", $- ,$764 , $- , $- ,$463 ,"$13,355 ","1,791"
15,MN,JACKSON,802,"$4,525 ","$2,067 ", $- ,$87 , $- , $- ,$17 ,"$2,355 ",295
15,MN,KANABEC,"1,459","$14,299 ","$5,169 ", $- ,$166 , $- , $- ,$83 ,"$8,881 ",675
15,MN,KANDIYOHI,"2,696","$21,900 ","$11,259 ", $- ,$468 , $- , $- ,$299 ,"$9,875 ","1,313"
15,MN,KITTSON,396,"$2,031 ",$965 , $- ,$26 , $- , $- ,$62 ,$979 ,160
15,MN,KOOCHICHING,"1,244","$7,877 ","$4,600 ", $- ,$132 , $- , $- ,$66 ,"$3,079 ",405
15,MN,LAC QUI PARLE,560,"$5,153 ","$2,230 ", $- ,$26 , $- , $- ,$2 ,"$2,895 ",346
15,MN,LAKE,"1,177","$7,966 ","$4,899 ", $- ,$154 , $- , $- ,$337 ,"$2,576 ",393
15,MN,LAKE OF THE WOODS,474,"$3,168 ","$1,471 ", $- ,$55 , $- , $- ,$9 ,"$1,633 ",165
15,MN,LE SUEUR,"1,982","$11,809 ","$5,066 ", $- ,$396 , $- , $- ,$157 ,"$6,190 ",684
15,MN,LINCOLN,461,"$3,171 ","$1,180 ", $- ,$39 , $- , $- ,$35 ,"$1,917 ",189
15,MN,LYON,"1,713","$9,638 ","$4,328 ", $- ,$557 , $- , $- ,$120 ,"$4,632 ",558
15,MN,MCLEOD,"2,846","$16,864 ","$7,910 ", $- ,$601 , $- , $- ,$154 ,"$8,199 ","1,075"
15,MN,MAHNOMEN,405,"$3,733 ","$1,696 ", $- ,$46 , $- , $- ,$22 ,"$1,970 ",204
15,MN,MARSHALL,698,"$4,870 ","$2,275 ", $- ,$95 , $- , $- ,$8 ,"$2,493 ",361
15,MN,MARTIN,"1,696","$13,718 ","$7,048 ", $- ,$297 , $- , $- ,$167 ,"$6,207 ",751
15,MN,MEEKER,"1,897","$14,353 ","$6,660 ", $- ,$236 , $- , $- ,$197 ,"$7,259 ",831
15,MN,MILLE LACS,"2,414","$27,581 ","$13,032 ", $- ,$575 , $- , $- ,$120 ,"$13,854 ","1,155"
15,MN,MORRISON,"2,811","$34,722 ","$17,132 ", $- ,$785 , $- , $- ,$110 ,"$16,695 ","1,673"
15,MN,MOWER,"2,739","$16,684 ","$9,500 ", $- ,$475 , $- , $- ,$216 ,"$6,494 ",836
15,MN,MURRAY,672,"$4,557 ","$1,742 ", $- ,$99 , $- , $- ,$143 ,"$2,572 ",309
15,MN,NICOLLET,"2,100","$13,358 ","$6,841 ", $- ,$847 , $- , $- ,$72 ,"$5,597 ",806
15,MN,NOBLES,"1,474","$7,406 ","$2,665 ", $- ,$199 , $- , $- ,$156 ,"$4,386 ",512
