ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,MS,ADAMS,"2,118","$20,169 ","$8,851 ", $- ,$522 , $- ,$643 ,$278 ,"$9,875 ","1,066"
15,MS,ALCORN,"2,224","$16,617 ","$10,374 ",$410 ,$506 , $- ,$263 ,$238 ,"$4,826 ",568
15,MS,AMITE,"1,089","$6,656 ","$3,181 ", $- ,$213 , $- , $- ,$27 ,"$3,235 ",378
15,MS,ATTALA,"1,348","$13,237 ","$6,114 ", $- ,$191 , $- , $- ,$68 ,"$6,864 ",517
15,MS,BENTON,475,"$2,835 ","$1,212 ", $- ,$85 , $- , $- ,$3 ,"$1,534 ",116
15,MS,BOLIVAR,"2,051","$12,033 ","$6,582 ", $- ,$636 , $- , $- ,$125 ,"$4,690 ",587
15,MS,CALHOUN,924,"$7,726 ","$4,795 ", $- ,$274 , $- , $- ,$23 ,"$2,635 ",287
15,MS,CARROLL,767,"$3,819 ","$1,917 ", $- ,$154 , $- , $- ,$20 ,"$1,727 ",217
15,MS,CHICKASAW,"1,002","$7,184 ","$4,665 ", $- ,$183 , $- , $- ,$104 ,"$2,233 ",312
15,MS,CHOCTAW,695,"$4,274 ","$1,744 ", $- ,$128 , $- , $- ,$1 ,"$2,402 ",225
15,MS,CLAIBORNE,493,"$3,856 ","$1,666 ", $- ,$110 , $- , $- ,$41 ,"$2,040 ",171
15,MS,CLARKE,"1,366","$8,166 ","$4,884 ", $- ,$332 , $- , $- ,$162 ,"$2,787 ",435
15,MS,CLAY,"1,360","$7,718 ","$4,199 ", $- ,$418 , $- , $- ,$56 ,"$3,045 ",419
15,MS,COAHOMA,"1,400","$10,008 ","$5,100 ", $- ,$441 , $- , $- ,$41 ,"$4,426 ",463
15,MS,COPIAH,"1,849","$18,712 ","$8,121 ", $- ,$693 , $- , $- ,$64 ,"$9,834 ",828
