ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,MT,BEAVERHEAD,961,"$5,831 ","$2,780 ", $- ,$300 , $- , $- ,$75 ,"$2,676 ",264
15,MT,BIG HORN,879,"$5,839 ","$2,352 ", $- ,$93 , $- , $- ,$26 ,"$3,369 ",252
15,MT,BLAINE,579,"$5,504 ","$2,350 ", $- ,$145 , $- , $- ,$25 ,"$2,984 ",176
15,MT,BROADWATER,529,"$10,431 ","$2,670 ", $- ,$144 , $- , $- ,$34 ,"$7,582 ",529
15,MT,CARBON,853,"$6,772 ","$2,767 ", $- ,$131 , $- , $- ,$53 ,"$3,821 ",357
15,MT,CARTER,73,$754 ,$278 , $- ,$7 , $- , $- ,$0 ,$469 ,41
15,MT,CASCADE,"11,166","$84,751 ","$45,240 ", $- ,"$6,611 ", $- , $- ,$913 ,"$31,987 ","3,519"
15,MT,CHOUTEAU,529,"$3,478 ","$1,595 ", $- ,$47 , $- , $- ,$81 ,"$1,755 ",191
15,MT,CUSTER,"1,241","$15,937 ","$3,822 ", $- ,$129 , $- , $- ,$19 ,"$11,967 ",477
15,MT,DANIELS,189,$863 ,$425 , $- ,$14 , $- , $- ,$19 ,$404 ,53
15,MT,DAWSON,879,"$4,563 ","$1,977 ", $- ,$79 , $- , $- ,$60 ,"$2,446 ",255
15,MT,DEER LODGE,"1,169","$9,576 ","$3,166 ", $- ,$146 , $- , $- ,$90 ,"$6,175 ",448
15,MT,FALLON,196,$867 ,$317 , $- ,$23 , $- , $- , $- ,$528 ,47
15,MT,FERGUS,"1,112","$10,337 ","$3,946 ", $- ,$166 , $- , $- ,$193 ,"$6,033 ",479
15,MT,FLATHEAD,"9,180","$59,911 ","$29,211 ", $- ,"$2,375 ", $- , $- ,$745 ,"$27,580 ","3,616"
15,MT,GALLATIN,"6,517","$41,634 ","$17,414 ", $- ,"$7,588 ", $- , $- ,$414 ,"$16,218 ","2,036"
15,MT,GARFIELD,107,$480 ,$127 , $- ,$40 , $- , $- ,$11 ,$303 ,36
15,MT,GLACIER,857,"$7,236 ","$3,313 ", $- ,$175 , $- , $- ,$39 ,"$3,710 ",330
15,MT,GOLDEN VALLEY,91,$938 ,$449 , $- ,$5 , $- , $- ,$10 ,$474 ,40
15,MT,GRANITE,392,"$2,781 ",$824 , $- ,$4 , $- , $- ,$1 ,"$1,951 ",163
15,MT,HILL,"1,328","$8,953 ","$4,305 ", $- ,$594 , $- , $- ,$68 ,"$3,986 ",448
15,MT,JEFFERSON,"1,208","$15,338 ","$5,480 ", $- ,$260 , $- , $- ,$55 ,"$9,544 ",584
15,MT,JUDITH BASIN,217,"$1,640 ",$712 , $- ,$2 , $- , $- ,$12 ,$914 ,76
15,MT,LAKE,"3,115","$18,504 ","$7,904 ", $- ,$423 , $- , $- ,$241 ,"$9,936 ","1,118"
15,MT,LEWIS AND CLARK,"7,153","$110,463 ","$32,571 ","$5,972 ","$3,183 ", $- ,"$8,801 ",$843 ,"$59,093 ","3,534"
15,MT,LIBERTY,128,$868 ,$461 , $- ,$24 , $- , $- ,$21 ,$362 ,39
15,MT,LINCOLN,"2,664","$18,808 ","$10,593 ", $- ,$411 , $- , $- ,$89 ,"$7,715 ","1,081"
15,MT,MCCONE,153,"$1,186 ",$250 , $- ,$9 , $- , $- ,$21 ,$906 ,101
15,MT,MADISON,865,"$5,782 ","$2,281 ", $- ,$55 , $- , $- ,$21 ,"$3,426 ",364
15,MT,MEAGHER,230,"$2,294 ",$742 , $- ,$9 , $- , $- ,$8 ,"$1,535 ",99
15,MT,MINERAL,553,"$5,137 ","$2,362 ", $- ,$77 , $- , $- ,$21 ,"$2,677 ",221
15,MT,MISSOULA,"9,836","$66,809 ","$27,341 ", $- ,"$8,027 ", $- , $- ,$592 ,"$30,848 ","3,215"
15,MT,MUSSELSHELL,520,"$4,452 ","$2,173 ", $- ,$67 , $- , $- ,$1 ,"$2,210 ",223
15,MT,PARK,"1,544","$9,266 ","$4,129 ", $- ,$532 , $- , $- ,$96 ,"$4,510 ",492
15,MT,PETROLEUM,36,$414 ,$159 , $- ,$10 , $- , $- ,$0 ,$245 ,19
15,MT,PHILLIPS,327,"$2,415 ","$1,070 ", $- ,$38 , $- , $- ,$55 ,"$1,252 ",140
15,MT,PONDERA,557,"$3,803 ","$2,042 ", $- ,$106 , $- , $- ,$14 ,"$1,640 ",168
15,MT,POWDER RIVER,122,$835 ,$331 , $- ,$25 , $- , $- ,$2 ,$477 ,51
15,MT,POWELL,"1,058","$6,854 ","$2,295 ", $- ,$112 , $- , $- ,$60 ,"$4,387 ",349
15,MT,PRAIRIE,127,"$1,192 ",$565 , $- ,$29 , $- , $- ,$21 ,$576 ,59
15,MT,RAVALLI,"5,004","$41,986 ","$19,921 ", $- ,$998 , $- , $- ,$238 ,"$20,828 ","1,789"
15,MT,RICHLAND,653,"$3,736 ","$1,686 ", $- ,$125 , $- , $- ,$17 ,"$1,909 ",235
15,MT,ROOSEVELT,864,"$3,364 ","$1,593 ", $- ,$146 , $- , $- ,$13 ,"$1,611 ",176
15,MT,ROSEBUD,768,"$5,448 ","$2,044 ", $- ,$134 , $- , $- ,$9 ,"$3,260 ",256
15,MT,SANDERS,"1,555","$13,263 ","$7,158 ", $- ,$121 , $- , $- ,$62 ,"$5,923 ",639
15,MT,SHERIDAN,305,$939 ,$451 , $- ,$68 , $- , $- ,$12 ,$408 ,64
15,MT,SILVER BOW,"3,438","$28,481 ","$9,673 ", $- ,"$1,652 ", $- , $- ,$146 ,"$17,010 ","1,355"
15,MT,STILLWATER,790,"$6,923 ","$2,567 ", $- ,$106 , $- , $- ,$38 ,"$4,212 ",361
15,MT,SWEET GRASS,350,"$2,590 ","$1,040 ", $- ,$99 , $- , $- ,$20 ,"$1,432 ",143
15,MT,TETON,645,"$4,133 ","$1,976 ", $- ,$172 , $- , $- ,$23 ,"$1,962 ",213
15,MT,TOOLE,522,"$2,878 ","$1,308 ", $- ,$19 , $- , $- ,$44 ,"$1,506 ",156
15,MT,TREASURE,80,$275 ,$61 , $- ,$30 , $- , $- ,$14 ,$170 ,27
15,MT,VALLEY,714,"$4,476 ","$1,954 ", $- ,$97 , $- , $- ,$36 ,"$2,389 ",279
15,MT,WHEATLAND,182,"$1,980 ",$791 , $- ,$16 , $- , $- ,$4 ,"$1,169 ",106
15,MT,WIBAUX,73,$364 ,$148 , $- , $- , $- , $- ,$0 ,$216 ,26
