ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,NC,ALAMANCE,"11,378","$78,643 ","$34,618 ", $- ,"$2,459 ", $- , $- ,"$1,007 ","$40,559 ","2,655"
15,NC,ALEXANDER,"2,779","$18,875 ","$9,857 ", $- ,$468 , $- , $- ,$108 ,"$8,442 ",938
15,NC,ALLEGHANY,897,"$6,190 ","$3,474 ", $- ,$104 , $- , $- ,$55 ,"$2,556 ",289
15,NC,ANSON,"1,652","$11,224 ","$6,279 ", $- ,$257 , $- , $- ,$52 ,"$4,635 ",546
15,NC,ASHE,"1,882","$13,140 ","$8,346 ", $- ,$341 , $- , $- ,$212 ,"$4,241 ",655
15,NC,AVERY,"1,128","$9,141 ","$5,227 ", $- ,$317 , $- , $- ,$55 ,"$3,542 ",432
15,NC,BEAUFORT,"3,827","$32,230 ","$19,346 ", $- ,"$1,034 ", $- , $- ,$382 ,"$11,468 ","1,212"
15,NC,BERTIE,"1,146","$8,891 ","$4,951 ", $- ,$201 , $- , $- ,$84 ,"$3,655 ",303
15,NC,BLADEN,"3,031","$21,182 ","$12,347 ", $- ,$523 , $- , $- ,$60 ,"$8,253 ",827
15,NC,BRUNSWICK,"13,612","$83,048 ","$55,565 ", $- ,"$3,106 ", $- , $- ,"$1,163 ","$23,214 ","3,497"
15,NC,BUNCOMBE,"19,638","$197,940 ","$72,081 ",$644 ,"$6,431 ", $- ,"$3,719 ","$1,816 ","$113,249 ","7,610"
15,NC,BURKE,"6,985","$54,562 ","$25,065 ", $- ,"$1,239 ", $- , $- ,$453 ,"$27,804 ","2,519"
15,NC,CABARRUS,"13,285","$97,414 ","$48,739 ", $- ,"$6,857 ", $- , $- ,$836 ,"$40,981 ","4,224"
15,NC,CALDWELL,"6,140","$46,597 ","$24,032 ", $- ,"$1,176 ", $- , $- ,$300 ,"$21,089 ","2,242"
15,NC,CAMDEN,"1,083","$10,772 ","$6,885 ", $- ,"$1,725 ", $- , $- ,$138 ,"$2,024 ",252
15,NC,CARTERET,"8,439","$67,169 ","$45,500 ", $- ,"$3,503 ", $- , $- ,$775 ,"$17,391 ","2,473"
15,NC,CASWELL,"1,979","$11,122 ","$4,708 ", $- ,$216 , $- , $- ,$96 ,"$6,102 ",531
15,NC,CATAWBA,"11,725","$81,705 ","$42,908 ", $- ,"$3,618 ", $- , $- ,$955 ,"$34,224 ","4,020"
15,NC,CHATHAM,"6,204","$22,093 ","$9,561 ", $- ,$907 , $- , $- ,$336 ,"$11,289 ",983
15,NC,CHEROKEE,"2,678","$23,808 ","$13,232 ", $- ,$306 , $- , $- ,$150 ,"$10,120 ","1,110"
15,NC,CHOWAN,"1,628","$7,296 ","$4,705 ", $- ,$325 , $- , $- ,$52 ,"$2,214 ",250
15,NC,CLAY,"1,040","$9,469 ","$4,805 ", $- ,$76 , $- , $- ,$24 ,"$4,564 ",423
15,NC,CLEVELAND,"7,374","$59,597 ","$31,668 ", $- ,"$2,150 ", $- , $- ,$368 ,"$25,411 ","2,437"
15,NC,COLUMBUS,"3,785","$36,378 ","$22,767 ", $- ,$970 , $- , $- ,$197 ,"$12,444 ","1,336"
15,NC,CRAVEN,"14,748","$120,339 ","$80,553 ",$890 ,"$12,723 ", $- ,$310 ,$795 ,"$25,068 ","2,934"
15,NC,CUMBERLAND,"50,010","$747,930 ","$462,789 ","$1,163 ","$97,854 ", $- ,"$4,118 ","$3,936 ","$178,070 ","19,586"
15,NC,CURRITUCK,"3,163","$20,915 ","$13,637 ", $- ,"$3,182 ", $- , $- ,$57 ,"$4,039 ",507
15,NC,DARE,"3,209","$12,599 ","$8,447 ", $- ,$436 , $- , $- ,$147 ,"$3,568 ",446
15,NC,DAVIDSON,"13,794","$71,114 ","$28,904 ", $- ,"$2,010 ", $- , $- ,$489 ,"$39,712 ","3,628"
15,NC,DAVIE,"3,193","$20,773 ","$10,046 ", $- ,$347 , $- , $- ,$168 ,"$10,212 ","1,006"
15,NC,DUPLIN,"3,489","$32,662 ","$21,018 ", $- ,"$1,661 ", $- , $- ,$244 ,"$9,738 ","1,107"
15,NC,DURHAM,"15,558","$218,068 ","$65,701 ","$1,052 ","$10,681 ", $- ,"$6,380 ","$1,459 ","$132,796 ","5,200"
15,NC,EDGECOMBE,"3,317","$34,150 ","$19,192 ", $- ,$927 , $- , $- ,$180 ,"$13,851 ","1,104"
15,NC,FORSYTH,"25,448","$241,559 ","$90,536 ",$367 ,"$12,018 ", $- ,"$72,407 ","$1,906 ","$64,325 ","7,120"
15,NC,FRANKLIN,"4,983","$31,164 ","$14,940 ", $- ,"$1,211 ", $- , $- ,$203 ,"$14,809 ","1,159"
15,NC,GASTON,"16,305","$105,644 ","$54,900 ", $- ,"$5,109 ", $- , $- ,$842 ,"$44,792 ","4,711"
15,NC,GATES,"1,136","$7,262 ","$4,526 ", $- ,$567 , $- , $- ,$76 ,"$2,094 ",234
15,NC,GRAHAM,658,"$6,675 ","$3,013 ", $- ,$39 , $- , $- ,$136 ,"$3,487 ",246
15,NC,GRANVILLE,"4,977","$33,135 ","$13,698 ", $- ,"$1,177 ", $- , $- ,$289 ,"$17,970 ","1,133"
15,NC,GREENE,"1,243","$10,636 ","$5,983 ", $- ,$416 , $- , $- ,$411 ,"$3,827 ",369
15,NC,GUILFORD,"32,533","$211,077 ","$114,903 ", $- ,"$13,162 ", $- , $- ,"$3,769 ","$79,243 ","7,908"
15,NC,HALIFAX,"3,585","$37,234 ","$20,326 ", $- ,$857 , $- , $- ,$567 ,"$15,484 ","1,068"
15,NC,HARNETT,"14,279","$107,592 ","$59,643 ", $- ,"$13,645 ", $- , $- ,$723 ,"$33,581 ","4,069"
15,NC,HAYWOOD,"6,346","$52,989 ","$25,487 ", $- ,"$1,228 ", $- , $- ,$288 ,"$25,986 ","2,197"
15,NC,HENDERSON,"11,309","$67,366 ","$32,810 ", $- ,"$2,279 ", $- , $- ,"$1,072 ","$31,206 ","3,003"
15,NC,HERTFORD,"1,848","$14,126 ","$8,783 ", $- ,$531 , $- , $- ,$131 ,"$4,681 ",403
15,NC,HOKE,"6,928","$80,210 ","$50,414 ", $- ,"$12,076 ", $- , $- ,$483 ,"$17,236 ","2,400"
15,NC,HYDE,386,"$2,578 ","$1,649 ", $- ,$65 , $- , $- ,$1 ,$864 ,102
15,NC,IREDELL,"11,935","$76,554 ","$37,895 ", $- ,"$5,511 ", $- , $- ,$786 ,"$32,361 ","3,634"
15,NC,JACKSON,"3,059","$25,160 ","$11,934 ", $- ,$810 , $- , $- ,$230 ,"$12,187 ","1,008"
15,NC,JOHNSTON,"14,234","$83,929 ","$43,502 ", $- ,"$5,573 ", $- , $- ,$479 ,"$34,376 ","3,474"
15,NC,JONES,"1,129","$17,644 ","$12,097 ", $- ,"$1,269 ", $- , $- ,$94 ,"$4,184 ",338
