ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,NE,ADAMS,"2,281","$22,229 ","$12,581 ", $- ,$757 , $- , $- ,$249 ,"$8,642 ",926
15,NE,ANTELOPE,588,"$5,187 ","$2,735 ", $- ,$54 , $- , $- ,$82 ,"$2,316 ",239
15,NE,ARTHUR,27,$61 ,$25 , $- , $- , $- , $- ,$0 ,$36 ,10
15,NE,BANNER,46,$106 ,$71 , $- , $- , $- , $- ,$1 ,$33 ,13
15,NE,BLAINE,25,$362 ,$156 , $- , $- , $- , $- , $- ,$206 ,17
15,NE,BOONE,514,"$4,211 ","$2,131 ", $- ,$64 , $- , $- ,$82 ,"$1,935 ",228
15,NE,BOX BUTTE,974,"$7,741 ","$2,593 ", $- ,$287 , $- , $- ,$39 ,"$4,822 ",399
15,NE,BOYD,181,"$1,723 ",$834 , $- ,$5 , $- , $- ,$12 ,$872 ,105
15,NE,BROWN,239,"$2,839 ","$1,613 ", $- ,$17 , $- , $- ,$6 ,"$1,203 ",134
15,NE,BUFFALO,"2,852","$23,422 ","$12,774 ", $- ,"$1,145 ", $- , $- ,$286 ,"$9,217 ","1,083"
15,NE,BURT,675,"$4,161 ","$1,802 ", $- ,$141 , $- , $- ,$55 ,"$2,163 ",178
15,NE,BUTLER,678,"$4,512 ","$2,440 ", $- ,$92 , $- , $- ,$84 ,"$1,896 ",235
15,NE,CASS,"3,036","$22,993 ","$13,548 ", $- ,"$1,401 ", $- , $- ,$293 ,"$7,750 ",854
15,NE,CEDAR,692,"$4,101 ","$2,308 ", $- ,$100 , $- , $- ,$68 ,"$1,626 ",250
15,NE,CHASE,268,"$1,453 ",$805 , $- ,$23 , $- , $- ,$53 ,$572 ,100
15,NE,CHERRY,459,"$4,026 ","$1,167 ", $- ,$71 , $- , $- ,$29 ,"$2,759 ",199
15,NE,CHEYENNE,766,"$5,750 ","$2,452 ", $- ,$184 , $- , $- ,$47 ,"$3,068 ",328
15,NE,CLAY,518,"$4,661 ","$2,734 ", $- ,$113 , $- , $- ,$43 ,"$1,772 ",208
15,NE,COLFAX,624,"$2,203 ","$1,197 ", $- ,$67 , $- , $- ,$18 ,$921 ,171
15,NE,CUMING,667,"$3,925 ","$2,011 ", $- ,$84 , $- , $- ,$35 ,"$1,796 ",199
15,NE,CUSTER,851,"$7,558 ","$4,255 ", $- ,$78 , $- , $- ,$4 ,"$3,220 ",397
15,NE,DAKOTA,"1,243","$7,462 ","$4,064 ", $- ,$328 , $- , $- ,$120 ,"$2,950 ",384
15,NE,DAWES,707,"$7,587 ","$2,625 ", $- ,$290 , $- , $- ,$31 ,"$4,640 ",343
15,NE,DAWSON,"1,519","$9,549 ","$4,300 ", $- ,$205 , $- , $- ,$78 ,"$4,965 ",499
15,NE,DEUEL,214,"$1,189 ",$461 , $- ,$10 , $- , $- ,$10 ,$708 ,75
15,NE,DIXON,500,"$2,097 ","$1,147 ", $- ,$98 , $- , $- ,$17 ,$836 ,139
15,NE,DODGE,"3,255","$22,321 ","$10,776 ", $- ,$841 , $- , $- ,$225 ,"$10,479 ",914
15,NE,DOUGLAS,"36,955","$276,357 ","$106,133 ",$383 ,"$17,287 ", $- ,"$2,111 ","$3,128 ","$147,316 ","9,955"
15,NE,DUNDY,164,$741 ,$418 , $- , $- , $- , $- ,$10 ,$313 ,49
15,NE,FILLMORE,491,"$5,262 ","$2,782 ", $- ,$44 , $- , $- ,$51 ,"$2,385 ",256
15,NE,FRANKLIN,283,"$3,077 ","$1,802 ", $- ,$8 , $- , $- ,$12 ,"$1,254 ",153
15,NE,FRONTIER,224,"$1,342 ",$741 , $- ,$95 , $- , $- , $- ,$506 ,64
15,NE,FURNAS,385,"$3,737 ","$2,089 ", $- ,$29 , $- , $- ,$2 ,"$1,618 ",178
15,NE,GAGE,"1,539","$16,980 ","$9,709 ", $- ,$386 , $- , $- ,$130 ,"$6,756 ",848
15,NE,GARDEN,203,"$1,464 ",$639 , $- ,$2 , $- , $- ,$40 ,$783 ,70
15,NE,GARFIELD,127,"$1,689 ",$891 , $- ,$14 , $- , $- ,$1 ,$783 ,74
15,NE,GOSPER,150,"$2,059 ","$1,113 ", $- ,$13 , $- , $- ,$3 ,$930 ,95
15,NE,GRANT,38,$439 ,$172 , $- ,$32 , $- , $- , $- ,$234 ,21
15,NE,GREELEY,192,"$2,156 ",$916 , $- ,$50 , $- , $- ,$32 ,"$1,158 ",129
15,NE,HALL,"3,739","$49,893 ","$22,740 ", $- ,"$1,117 ", $- ,$339 ,$276 ,"$25,421 ","2,162"
15,NE,HAMILTON,649,"$6,371 ","$3,046 ", $- ,$77 , $- , $- ,$110 ,"$3,139 ",332
15,NE,HARLAN,262,"$2,971 ","$1,628 ", $- ,$53 , $- , $- ,$31 ,"$1,259 ",163
15,NE,HAYES,78,$340 ,$106 , $- , $- , $- , $- , $- ,$235 ,32
15,NE,HITCHCOCK,235,"$2,079 ","$1,342 ", $- ,$87 , $- , $- ,$1 ,$649 ,89
