ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,NV,CHURCHILL,"4,198","$31,816 ","$15,826 ", $- ,"$1,550 ", $- , $- ,$171 ,"$14,270 ","1,265"
15,NV,CLARK,"151,169","$1,249,043 ","$572,932 ","$21,386 ","$85,510 ", $- ,"$1,631 ","$8,126 ","$559,457 ","45,465"
15,NV,DOUGLAS,"4,746","$30,951 ","$14,548 ", $- ,"$1,131 ", $- , $- ,$418 ,"$14,855 ","1,814"
15,NV,ELKO,"4,202","$19,623 ","$7,924 ", $- ,$836 , $- , $- ,$82 ,"$10,781 ",866
15,NV,ESMERALDA,163,$792 ,$257 , $- ,$13 , $- , $- ,$0 ,$522 ,43
15,NV,EUREKA,200,$524 ,$242 , $- ,$14 , $- , $- , $- ,$269 ,36
15,NV,HUMBOLDT,"1,560","$7,893 ","$3,471 ", $- ,$167 , $- , $- ,$48 ,"$4,207 ",340
15,NV,LANDER,602,"$1,712 ",$763 , $- ,$26 , $- , $- ,$0 ,$922 ,91
15,NV,LINCOLN,643,"$2,654 ","$1,328 ", $- ,$6 , $- , $- ,$0 ,"$1,319 ",105
15,NV,LYON,"7,111","$61,102 ","$25,120 ", $- ,"$1,788 ", $- , $- ,$244 ,"$33,951 ","2,606"
15,NV,MINERAL,916,"$4,671 ","$2,469 ", $- ,$111 , $- , $- ,$1 ,"$2,090 ",216
15,NV,NYE,"6,487","$68,973 ","$29,803 ", $- ,$737 , $- , $- ,$472 ,"$37,961 ","2,685"
15,NV,PERSHING,804,"$3,384 ","$1,336 ", $- ,$36 , $- , $- ,$5 ,"$2,007 ",194
15,NV,STOREY,640,"$4,001 ",$348 , $- ,$0 , $- , $- ,$12 ,"$3,642 ",216
15,NV,WASHOE,"34,619","$349,569 ","$121,924 ","$6,496 ","$13,667 ", $- ,"$12,930 ","$2,499 ","$192,054 ","13,705"
15,NV,WHITE PINE,"1,286","$5,521 ","$2,108 ", $- ,$139 , $- , $- ,$122 ,"$3,152 ",304
15,NV,CARSON CITY,"5,729","$42,921 ","$18,445 ", $- ,"$1,323 ", $- , $- ,$346 ,"$22,807 ","1,943"
,,,,,,,,,,,,
15,NV,NEVADA (Totals),"225,073","$1,885,151 ","$818,844 ","$27,882 ","$107,053 ", $- ,"$14,561 ","$12,547 ","$904,265 ","71,894"
,,,,,,,,,,,,
15,NV,CONG. DIST (01),"46,620","$406,330 ","$172,505 ",$216 ,"$25,746 ", $- , $- ,"$2,447 ","$205,416 ","14,695"
15,NV,CONG. DIST (02),"62,832","$545,096 ","$206,016 ","$6,496 ","$20,254 ", $- ,"$12,930 ","$3,785 ","$295,615 ","22,661"
15,NV,CONG. DIST (03),"54,839","$425,298 ","$228,418 ","$2,101 ","$34,091 ", $- , $- ,"$3,240 ","$157,448 ","14,847"
15,NV,CONG. DIST (04),"60,781","$508,427 ","$211,905 ","$19,070 ","$26,961 ", $- ,"$1,631 ","$3,075 ","$245,786 ","19,691"
,,,,,,,,,,,,
15,NV,NEVADA (Totals),"225,073","$1,885,151 ","$818,844 ","$27,882 ","$107,053 ", $- ,"$14,561 ","$12,547 ","$904,265 ","71,894"
