Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,OH,ADAMS,"1,967","$17,785 ","$8,383 ", $- ,$342 , $- , $- ,$77 ,"$8,983 ",760
15,OH,ALLEN,"8,128","$41,426 ","$22,527 ", $- ,"$2,821 ", $- , $- ,$526 ,"$15,552 ","1,879"
15,OH,ASHLAND,"3,908","$27,061 ","$11,731 ", $- ,"$1,569 ", $- , $- ,$430 ,"$13,331 ","1,298"
15,OH,ASHTABULA,"8,800","$58,228 ","$25,669 ", $- ,"$1,809 ", $- , $- ,$472 ,"$30,278 ","3,049"
15,OH,ATHENS,"3,999","$34,088 ","$16,197 ", $- ,"$2,896 ", $- , $- ,$209 ,"$14,785 ","1,264"
15,OH,AUGLAIZE,"4,122","$13,850 ","$7,696 ", $- ,$895 , $- , $- ,$124 ,"$5,135 ",813
15,OH,BELMONT,"6,189","$30,212 ","$14,923 ", $- ,$811 , $- , $- ,$464 ,"$14,014 ","1,744"
15,OH,BROWN,"3,682","$25,946 ","$10,238 ", $- ,$832 , $- , $- ,$218 ,"$14,659 ","1,293"
15,OH,BUTLER,"25,860","$137,628 ","$59,489 ", $- ,"$9,829 ", $- , $- ,"$1,626 ","$66,684 ","5,934"
15,OH,CARROLL,"2,388","$10,853 ","$4,227 ", $- ,$396 , $- , $- ,$128 ,"$6,101 ",751
15,OH,CHAMPAIGN,"3,095","$14,312 ","$7,055 ", $- ,$732 , $- , $- ,$334 ,"$6,191 ",675
15,OH,CLARK,"13,242","$73,989 ","$36,975 ", $- ,"$3,238 ", $- , $- ,$803 ,"$32,973 ","3,057"
15,OH,CLERMONT,"15,967","$86,830 ","$36,588 ", $- ,"$5,362 ", $- , $- ,"$1,290 ","$43,590 ","4,308"
15,OH,CLINTON,"3,392","$23,702 ","$11,606 ", $- ,"$1,058 ", $- , $- ,$261 ,"$10,777 ",926
15,OH,COLUMBIANA,"9,037","$53,896 ","$26,556 ", $- ,"$2,477 ", $- , $- ,$475 ,"$24,387 ","3,101"
15,OH,COSHOCTON,"2,998","$13,803 ","$7,052 ", $- ,$591 , $- , $- ,$221 ,"$5,939 ",949
15,OH,CRAWFORD,"4,035","$18,908 ","$9,657 ", $- ,$561 , $- , $- ,$397 ,"$8,293 ","1,079"
