Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,OK,ADAIR,"1,349","$16,915 ","$10,436 ", $- ,$363 , $- , $- ,$61 ,"$6,054 ",546
15,OK,ALFALFA,821,"$1,706 ","$1,052 ", $- ,$61 , $- , $- ,$1 ,$592 ,83
15,OK,ATOKA,"1,371","$9,390 ","$5,864 ", $- ,$112 , $- , $- ,$40 ,"$3,374 ",378
15,OK,BEAVER,362,"$1,388 ",$808 , $- ,$2 , $- , $- , $- ,$579 ,90
15,OK,BECKHAM,"1,674","$7,535 ","$4,692 ", $- ,$291 , $- , $- ,$10 ,"$2,543 ",303
15,OK,BLAINE,926,"$4,906 ","$3,107 ", $- ,$156 , $- , $- ,$25 ,"$1,618 ",192
15,OK,BRYAN,"3,821","$32,294 ","$20,320 ", $- ,$829 , $- , $- ,$223 ,"$10,921 ","1,247"
15,OK,CADDO,"2,345","$20,170 ","$14,150 ", $- ,$727 , $- , $- ,$87 ,"$5,207 ",637
15,OK,CANADIAN,"11,624","$76,489 ","$47,868 ", $- ,"$5,575 ", $- , $- ,$399 ,"$22,648 ","2,406"
15,OK,CARTER,"4,217","$32,932 ","$21,597 ", $- ,$800 , $- , $- ,$154 ,"$10,381 ","1,188"
15,OK,CHEROKEE,"4,078","$43,263 ","$23,837 ", $- ,"$1,379 ", $- , $- ,$319 ,"$17,728 ","1,579"
15,OK,CHOCTAW,"1,385","$12,348 ","$7,696 ", $- ,$161 , $- , $- ,$37 ,"$4,454 ",446
15,OK,CIMARRON,174,$946 ,$322 , $- ,$3 , $- , $- ,$0 ,$620 ,68
15,OK,CLEVELAND,"27,294","$201,181 ","$131,727 ", $- ,"$18,880 ", $- , $- ,"$1,554 ","$49,020 ","5,650"
15,OK,COAL,466,"$4,209 ","$2,946 ", $- ,$113 , $- , $- ,$11 ,"$1,139 ",136
15,OK,COMANCHE,"19,308","$258,203 ","$193,793 ",$81 ,"$20,243 ", $- ,$702 ,"$1,053 ","$42,330 ","6,797"
15,OK,COTTON,621,"$5,885 ","$4,491 ", $- ,$291 , $- , $- ,$16 ,"$1,086 ",160
15,OK,CRAIG,"1,237","$13,209 ","$7,541 ", $- ,$272 , $- , $- ,$63 ,"$5,333 ",518
15,OK,CREEK,"7,328","$48,434 ","$31,221 ", $- ,"$2,058 ", $- , $- ,$219 ,"$14,936 ","1,798"
15,OK,CUSTER,"2,420","$15,538 ","$8,741 ", $- ,$740 , $- , $- ,$242 ,"$5,816 ",523
15,OK,DELAWARE,"4,056","$36,600 ","$19,586 ", $- ,$626 , $- , $- ,$92 ,"$16,296 ","1,799"
15,OK,DEWEY,330,"$2,609 ","$1,707 ", $- ,$21 , $- , $- ,$34 ,$847 ,78
15,OK,ELLIS,389,"$1,825 ","$1,240 ", $- ,$67 , $- , $- ,$20 ,$497 ,63
15,OK,GARFIELD,"5,619","$31,821 ","$21,399 ", $- ,"$1,823 ", $- , $- ,$206 ,"$8,393 ","1,122"
15,OK,GARVIN,"1,991","$25,494 ","$18,091 ", $- ,$446 , $- , $- ,$104 ,"$6,853 ",671
15,OK,GRADY,"4,692","$33,956 ","$21,321 ", $- ,$972 , $- , $- ,$278 ,"$11,385 ","1,134"
15,OK,GRANT,424,"$1,762 ","$1,248 ", $- ,$44 , $- , $- ,$20 ,$449 ,78
15,OK,GREER,637,"$4,796 ","$3,403 ", $- ,$64 , $- , $- ,$61 ,"$1,268 ",156
15,OK,HARMON,261,"$1,743 ","$1,068 ", $- ,$35 , $- , $- ,$20 ,$620 ,56
15,OK,HARPER,300,"$1,222 ",$914 , $- ,$1 , $- , $- ,$0 ,$306 ,39
15,OK,HASKELL,946,"$14,257 ","$8,911 ", $- ,$125 , $- , $- ,$161 ,"$5,060 ",459
15,OK,HUGHES,"1,262","$13,170 ","$8,800 ", $- ,$307 , $- , $- ,$162 ,"$3,901 ",415
15,OK,JACKSON,"3,061","$28,640 ","$21,672 ", $- ,"$1,932 ", $- , $- ,$93 ,"$4,944 ",660
15,OK,JEFFERSON,669,"$4,628 ","$3,103 ", $- ,$83 , $- , $- ,$31 ,"$1,411 ",156
15,OK,JOHNSTON,912,"$11,140 ","$6,819 ", $- ,$336 , $- , $- ,$22 ,"$3,964 ",320
