,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
BAKER,"1,939"," $17,152 "," $8,969 ", $- , $332 , $- , $- , $71 ," $7,780 ",858,,,,
BENTON,"5,960"," $31,899 "," $16,619 ", $- ," $4,805 ", $- , $- , $766 ," $9,709 ","1,260",,,,
CLACKAMAS,"35,165"," $198,847 "," $97,041 ", $- ," $13,523 ", $- , $- ," $2,906 "," $85,377 ","7,552",,,,
CLATSOP,"4,278"," $30,010 "," $14,668 ", $- ," $1,041 ", $- , $- , $455 ," $13,846 ","1,185",,,,
COLUMBIA,"6,004"," $43,544 "," $21,342 ", $- ," $1,769 ", $- , $- , $203 ," $20,229 ","1,691",,,,
COOS,"8,313"," $79,091 "," $45,099 ", $- ," $1,681 ", $- , $- ," $1,011 "," $31,301 ","2,844",,,,
CROOK,"2,580"," $19,310 "," $9,752 ", $- , $440 , $- , $- , $84 ," $9,033 ","1,097",,,,
CURRY,"2,939"," $31,660 "," $18,794 ", $- , $249 , $- , $- , $132 ," $12,486 ","1,303",,,,
DESCHUTES,"15,258"," $99,902 "," $54,446 ", $- ," $10,545 ", $- , $- ," $1,021 "," $33,890 ","5,341",,,,
DOUGLAS,"13,332"," $224,117 "," $101,574 "," $10,214 "," $2,928 ", $- , $837 , $825 ," $107,740 ","6,975",,,,
GILLIAM,237," $1,844 "," $1,011 ", $- , $33 , $- , $- , $23 , $776 ,80,,,,
GRANT,751," $6,032 "," $3,037 ", $- , $110 , $- , $- , $71 ," $2,814 ",333,,,,
HARNEY,901," $6,198 "," $3,211 ", $- , $- , $- , $- , $73 ," $2,914 ",338,,,,
HOOD RIVER,"1,668"," $9,586 "," $5,545 ", $- , $378 , $- , $- , $193 ," $3,469 ",419,,,,
JACKSON,"20,708"," $231,429 "," $103,363 "," $2,011 "," $6,400 ", $- ," $2,634 "," $1,812 "," $115,209 ","8,579",,,,
JEFFERSON,"2,210"," $16,720 "," $9,924 ", $- , $692 , $- , $- , $35 ," $6,069 ",784,,,,
JOSEPHINE,"9,579"," $91,633 "," $52,859 ", $- ," $2,601 ", $- , $- , $602 ," $35,572 ","3,781",,,,
KLAMATH,"6,868"," $73,156 "," $43,193 ", $- ," $4,013 ", $- , $- , $519 ," $25,431 ","3,035",,,,
LAKE,895," $8,607 "," $5,668 ", $- , $237 , $- , $- , $27 ," $2,676 ",391,,,,
LANE,"29,986"," $247,842 "," $139,201 ", $- ," $16,283 ", $- , $- ," $2,452 "," $89,907 ","10,379",,,,
LINCOLN,"5,248"," $43,101 "," $23,340 ", $- , $881 , $- , $- , $330 ," $18,550 ","1,816",,,,
LINN,"12,166"," $91,600 "," $51,877 ", $- ," $4,947 ", $- , $- , $847 ," $33,929 ","3,443",,,,
MALHEUR,"2,444"," $14,505 "," $6,662 ", $- , $572 , $- , $- , $204 ," $7,067 ",668,,,,
MARION,"24,612"," $161,195 "," $88,318 ", $- ," $9,105 ", $- , $- ," $1,889 "," $61,882 ","6,316",,,,
MORROW,"1,070"," $6,613 "," $3,215 ", $- , $70 , $- , $- , $106 ," $3,222 ",325,,,,
MULTNOMAH,"43,128"," $394,885 "," $132,140 ", $989 ," $30,063 ", $- ," $33,287 "," $3,738 "," $194,667 ","12,552",,,,
POLK,"7,452"," $43,449 "," $23,594 ", $- ," $2,812 ", $- , $- , $337 ," $16,706 ","1,708",,,,
SHERMAN,282," $1,685 ", $810 , $- , $68 , $- , $- , $0 , $807 ,89,,,,
TILLAMOOK,"2,444"," $24,140 "," $13,131 ", $- , $416 , $- , $- , $160 ," $10,432 ",903,,,,
UMATILLA,"6,008"," $45,445 "," $23,289 ", $- ," $1,375 ", $- , $- , $547 ," $20,233 ","2,110",,,,
UNION,"2,488"," $20,909 "," $10,095 ", $- , $819 , $- , $- , $191 ," $9,803 ","1,017",,,,
WALLOWA,859," $7,030 "," $3,820 ", $- , $71 , $- , $- , $47 ," $3,092 ",371,,,,
WASCO,"3,031"," $18,385 "," $8,849 ", $- , $485 , $- , $- , $131 ," $8,920 ",883,,,,
WASHINGTON,"35,570"," $230,344 "," $107,634 ", $- ," $22,796 ", $- , $- ," $3,976 "," $95,938 ","8,409",,,,
WHEELER,220," $1,162 ", $779 , $- , $- , $- , $- , $3 , $379 ,72,,,,
YAMHILL,"9,746"," $54,950 "," $28,184 ", $- ," $3,382 ", $- , $- , $549 ," $22,835 ","2,054",,,,
,,,,,,,,,,,,,,
OREGON (Totals),"326,338 "," $2,627,979 "," $1,281,055 "," $13,213 "," $145,921 ", $- ," $36,758 "," $26,339 "," $1,124,692 ","100,961 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 58,416 "," $384,230 "," $185,053 ", $2 ," $31,854 ", $- , $- ," $5,546 "," $161,775 ","14,040",,,,
CONG. DIST (02)," 76,317 "," $662,407 "," $340,350 "," $2,012 "," $27,763 ", $- ," $2,634 "," $5,523 "," $284,126 ","29,068",,,,
CONG. DIST (03)," 49,233 "," $416,364 "," $142,929 ", $986 ," $30,310 ", $- ," $33,287 "," $4,085 "," $204,767 ","13,720",,,,
CONG. DIST (04)," 75,560 "," $736,206 "," $388,529 "," $10,215 "," $31,978 ", $- , $837 ," $6,208 "," $298,439 ","27,496",,,,
CONG. DIST (05)," 66,812 "," $428,771 "," $224,194 ", $- ," $24,016 ", $- , $- ," $4,977 "," $175,584 ","16,637",,,,
,,,,,,,,,,,,,,
OREGON (Totals),"326,338 "," $2,627,979 "," $1,281,055 "," $13,213 "," $145,921 ", $- ," $36,758 "," $26,339 "," $1,124,692 ","100,961 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
