,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
BRISTOL," 3,584 "," $28,376 "," $11,103 ", $- ," $1,501 ", $- , $- , $469 ," $15,302 ","1,041",,,,
KENT," 13,968 "," $100,467 "," $47,112 ", $- ," $9,290 ", $- , $- ," $1,323 "," $42,742 ","3,934",,,,
NEWPORT," 7,670 "," $46,421 "," $25,308 ", $- ," $5,806 ", $- , $- , $749 ," $14,558 ","1,611",,,,
PROVIDENCE," 34,323 "," $316,670 "," $112,823 "," $2,427 "," $16,890 ", $- ," $25,055 "," $2,913 "," $156,561 ","10,941",,,,
WASHINGTON," 10,317 "," $53,605 "," $27,025 ", $- ," $6,066 ", $- , $- , $802 ," $19,711 ","2,180",,,,
,,,,,,,,,,,,,,
RHODE ISLAND (Totals),"69,862 "," $545,538 "," $223,371 "," $2,427 "," $39,555 ", $- ," $25,055 "," $6,257 "," $248,873 ","19,707 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 33,029 "," $275,982 "," $110,517 ", $- ," $18,402 ", $- ," $23,839 "," $3,132 "," $120,091 ","9,455",,,,
CONG. DIST (02)," 36,833 "," $269,556 "," $112,854 "," $2,427 "," $21,153 ", $- ," $1,215 "," $3,125 "," $128,782 ","10,252",,,,
,,,,,,,,,,,,,,
RHODE ISLAND (Totals),"69,862 "," $545,538 "," $223,371 "," $2,427 "," $39,555 ", $- ," $25,055 "," $6,257 "," $248,873 ","19,707 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
