Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,SC,ABBEVILLE,"2,176","$15,940 ","$9,801 ", $- ,$369 , $- , $- ,$58 ,"$5,713 ",764
15,SC,AIKEN,"15,442","$113,750 ","$52,063 ", $- ,"$5,743 ", $- , $- ,$825 ,"$55,120 ","5,040"
15,SC,ALLENDALE,721,"$5,693 ","$2,693 ", $- ,$180 , $- , $- ,$56 ,"$2,764 ",218
15,SC,ANDERSON,"16,255","$91,693 ","$56,686 ", $- ,"$3,964 ", $- , $- ,$893 ,"$30,150 ","4,454"
15,SC,BAMBERG,"1,559","$9,978 ","$5,592 ", $- ,$433 , $- , $- ,$54 ,"$3,899 ",399
15,SC,BARNWELL,"1,756","$13,442 ","$7,403 ", $- ,$537 , $- , $- ,$57 ,"$5,445 ",525
15,SC,BEAUFORT,"20,092","$119,871 ","$70,888 ","$2,241 ","$13,496 ", $- ,$888 ,"$1,478 ","$30,880 ","4,562"
15,SC,BERKELEY,"24,645","$188,288 ","$97,773 ", $- ,"$21,692 ", $- , $- ,"$1,191 ","$67,632 ","6,964"
15,SC,CALHOUN,"1,454","$9,850 ","$4,047 ", $- ,$260 , $- , $- ,$86 ,"$5,456 ",469
15,SC,CHARLESTON,"28,649","$319,131 ","$131,066 ","$3,367 ","$25,094 ", $- ,"$2,229 ","$2,600 ","$154,775 ","11,040"
15,SC,CHEROKEE,"4,334","$26,044 ","$15,359 ", $- ,"$1,715 ", $- , $- ,$214 ,"$8,756 ","1,297"
15,SC,CHESTER,"2,323","$21,837 ","$12,572 ", $- ,$792 , $- , $- ,$140 ,"$8,332 ",921
15,SC,CHESTERFIELD,"3,161","$23,775 ","$13,349 ", $- ,$779 , $- , $- ,$212 ,"$9,435 ","1,041"
15,SC,CLARENDON,"2,589","$29,338 ","$17,322 ", $- ,$887 , $- , $- ,$160 ,"$10,969 ","1,208"
