ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,SD,AURORA,257,"$1,798 ",$859 , $- ,$32 , $- , $- ,$1 ,$906 ,92
15,SD,BEADLE,"1,588","$6,906 ","$3,202 ", $- ,$171 , $- , $- ,$43 ,"$3,491 ",422
15,SD,BENNETT,169,"$2,758 ",$792 , $- ,$39 , $- , $- ,$21 ,"$1,907 ",110
15,SD,BON HOMME,733,"$4,471 ","$1,567 ", $- ,$62 , $- , $- ,$114 ,"$2,728 ",256
15,SD,BROOKINGS,"2,020","$11,951 ","$4,336 ", $- ,"$1,532 ", $- , $- ,$250 ,"$5,834 ",660
15,SD,BROWN,"2,649","$17,477 ","$7,371 ", $- ,$785 , $- , $- ,$299 ,"$9,022 ","1,302"
15,SD,BRULE,441,"$1,734 ",$771 , $- ,$75 , $- , $- ,$91 ,$798 ,125
15,SD,BUFFALO,142,$992 ,$501 , $- ,$34 , $- , $- ,$9 ,$448 ,36
15,SD,BUTTE,948,"$12,695 ","$3,877 ", $- ,$243 , $- , $- ,$28 ,"$8,547 ",516
15,SD,CAMPBELL,110,$564 ,$281 , $- ,$3 , $- , $- ,$8 ,$273 ,55
15,SD,CHARLES MIX,792,"$4,536 ","$1,867 ", $- ,$60 , $- , $- ,$9 ,"$2,601 ",273
15,SD,CLARK,267,"$1,948 ",$798 , $- ,$36 , $- , $- ,$3 ,"$1,111 ",109
15,SD,CLAY,993,"$6,379 ","$2,289 ", $- ,"$1,045 ", $- , $- ,$65 ,"$2,980 ",279
15,SD,CODINGTON,"2,123","$12,632 ","$5,556 ", $- ,$551 , $- , $- ,$55 ,"$6,470 ",889
15,SD,CORSON,289,"$2,509 ","$1,043 ", $- ,$49 , $- , $- ,$14 ,"$1,404 ",122
15,SD,CUSTER,944,"$13,933 ","$4,057 ", $- ,$200 , $- , $- ,$81 ,"$9,595 ",655
15,SD,DAVISON,"1,508","$9,046 ","$3,774 ", $- ,$746 , $- , $- ,$102 ,"$4,424 ",472
15,SD,DAY,574,"$4,232 ","$1,945 ", $- ,$68 , $- , $- ,$78 ,"$2,141 ",274
15,SD,DEUEL,472,"$2,616 ","$1,067 ", $- ,$116 , $- , $- ,$78 ,"$1,355 ",164
15,SD,DEWEY,443,"$4,497 ","$1,417 ", $- ,$58 , $- , $- ,$1 ,"$3,021 ",197
15,SD,DOUGLAS,323,$969 ,$525 , $- ,$12 , $- , $- ,$1 ,$431 ,83
15,SD,EDMUNDS,291,"$2,138 ",$620 , $- ,$84 , $- , $- ,$20 ,"$1,415 ",145
15,SD,FALL RIVER,"1,017","$35,495 ","$8,912 ", $- ,$214 , $- ,$537 ,$28 ,"$25,804 ",898
15,SD,FAULK,204,"$1,045 ",$310 , $- ,$8 , $- , $- ,$58 ,$669 ,88
