ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,TX,ANDERSON,"4,994","$30,974 ","$18,800 ", $- ,$943 , $- , $- ,$366 ,"$10,865 ","1,291"
15,TX,ANDREWS,810,"$3,293 ","$1,684 ", $- ,$272 , $- , $- ,$12 ,"$1,325 ",151
15,TX,ANGELINA,"6,124","$48,327 ","$27,733 ", $- ,"$1,902 ", $- , $- ,$544 ,"$18,148 ","2,171"
15,TX,ARANSAS,"3,041","$17,352 ","$10,587 ", $- ,$435 , $- , $- ,$67 ,"$6,264 ",677
15,TX,ARCHER,810,"$3,240 ","$1,797 ", $- ,$91 , $- , $- ,$22 ,"$1,329 ",177
15,TX,ARMSTRONG,178,"$1,460 ",$485 , $- ,$15 , $- , $- ,$6 ,$953 ,73
15,TX,ATASCOSA,"3,424","$29,151 ","$17,798 ", $- ,"$1,626 ", $- , $- ,$113 ,"$9,613 ","1,013"
15,TX,AUSTIN,"2,301","$11,327 ","$6,722 ", $- ,$636 , $- , $- ,$168 ,"$3,800 ",428
15,TX,BAILEY,292,"$1,387 ",$966 , $- ,$23 , $- , $- ,$30 ,$369 ,89
15,TX,BANDERA,"2,669","$27,957 ","$14,578 ", $- ,"$1,015 ", $- , $- ,$540 ,"$11,824 ",950
15,TX,BASTROP,"8,015","$48,796 ","$27,027 ", $- ,"$2,817 ", $- , $- ,$379 ,"$18,573 ","1,836"
15,TX,BAYLOR,316,"$1,745 ","$1,195 ", $- ,$60 , $- , $- ,$0 ,$490 ,79
15,TX,BEE,"2,572","$14,211 ","$7,987 ", $- ,$665 , $- , $- ,$103 ,"$5,455 ",506
15,TX,BELL,"50,559","$830,609 ","$478,904 ","$6,006 ","$114,465 ", $- ,"$3,255 ","$4,167 ","$223,812 ","23,275"
15,TX,BEXAR,"156,510","$1,920,711 ","$1,124,022 ","$6,639 ","$233,895 ", $- ,"$10,630 ","$13,199 ","$532,327 ","51,646"
15,TX,BLANCO,"1,402","$6,959 ","$3,819 ", $- ,$340 , $- , $- ,$144 ,"$2,656 ",295
15,TX,BORDEN,49,$135 ,$23 , $- ,$4 , $- , $- , $- ,$108 ,16
15,TX,BOSQUE,"1,938","$15,869 ","$7,761 ", $- ,$485 , $- , $- ,$66 ,"$7,557 ",533
15,TX,BOWIE,"9,142","$66,693 ","$41,342 ", $- ,"$2,520 ", $- , $- ,$663 ,"$22,168 ","2,474"
15,TX,BRAZORIA,"25,494","$154,874 ","$80,641 ", $- ,"$14,268 ", $- , $- ,"$1,172 ","$58,793 ","5,390"
15,TX,BRAZOS,"9,083","$64,725 ","$34,205 ", $- ,"$12,324 ", $- , $- ,$797 ,"$17,399 ","2,244"
15,TX,BREWSTER,714,"$5,184 ","$2,501 ", $- ,$245 , $- , $- ,$5 ,"$2,432 ",199
15,TX,BRISCOE,102,$836 ,$388 , $- ,$25 , $- , $- ,$0 ,$423 ,48
15,TX,BROOKS,408,"$3,250 ","$2,217 ", $- ,$104 , $- , $- ,$1 ,$927 ,120
15,TX,BROWN,"3,093","$29,379 ","$13,339 ", $- ,"$1,363 ", $- , $- ,$161 ,"$14,515 ","1,253"
15,TX,BURLESON,"1,320","$11,193 ","$5,787 ", $- ,$300 , $- , $- ,$12 ,"$5,094 ",448
15,TX,BURNET,"4,454","$29,261 ","$14,212 ", $- ,$998 , $- , $- ,$473 ,"$13,578 ","1,122"
15,TX,CALDWELL,"3,044","$21,072 ","$12,535 ", $- ,$942 , $- , $- ,$75 ,"$7,520 ",824
15,TX,CALHOUN,"1,641","$11,194 ","$7,117 ", $- ,$360 , $- , $- ,$104 ,"$3,613 ",437
15,TX,CALLAHAN,"1,331","$10,904 ","$6,596 ", $- ,$288 , $- , $- ,$24 ,"$3,996 ",437
15,TX,CAMERON,"17,418","$190,775 ","$101,338 ", $- ,"$11,198 ", $- ,"$1,444 ","$1,077 ","$75,718 ","6,721"
15,TX,CAMP,"1,046","$6,809 ","$4,476 ", $- ,$238 , $- , $- ,$30 ,"$2,065 ",272
15,TX,CARSON,517,"$2,783 ","$1,636 ", $- ,$44 , $- , $- ,$16 ,"$1,087 ",127
15,TX,CASS,"2,834","$23,424 ","$14,000 ", $- ,$600 , $- , $- ,$87 ,"$8,737 ",929
15,TX,CASTRO,345,"$1,954 ",$882 , $- ,$63 , $- , $- ,$25 ,$984 ,114
15,TX,CHAMBERS,"3,644","$14,857 ","$6,720 ", $- ,$914 , $- , $- ,$122 ,"$7,101 ",497
15,TX,CHEROKEE,"3,507","$19,634 ","$10,893 ", $- ,$467 , $- , $- ,$485 ,"$7,788 ",886
15,TX,CHILDRESS,505,"$2,336 ","$1,241 ", $- ,$140 , $- , $- ,$1 ,$953 ,140
15,TX,CLAY,"1,146","$4,580 ","$2,866 ", $- ,$137 , $- , $- ,$97 ,"$1,480 ",270
15,TX,COCHRAN,180,$753 ,$519 , $- ,$18 , $- , $- , $- ,$216 ,42
15,TX,COKE,295,"$2,003 ","$1,117 ", $- ,$51 , $- , $- ,$2 ,$834 ,100
15,TX,COLEMAN,751,"$5,447 ","$3,220 ", $- ,$136 , $- , $- ,$1 ,"$2,090 ",283
15,TX,COLLIN,"55,015","$219,355 ","$128,870 ", $- ,"$29,055 ", $- , $- ,"$3,494 ","$57,936 ","7,378"
15,TX,COLLINGSWORTH,220,"$1,275 ",$548 , $- ,$2 , $- , $- ,$11 ,$714 ,65
15,TX,COLORADO,"1,571","$7,913 ","$4,068 ", $- ,$247 , $- , $- ,$29 ,"$3,569 ",342
15,TX,COMAL,"16,489","$137,007 ","$93,687 ", $- ,"$11,846 ", $- , $- ,"$1,492 ","$29,983 ","3,658"
15,TX,COMANCHE,"1,060","$8,886 ","$4,633 ", $- ,$65 , $- , $- ,$167 ,"$4,021 ",384
15,TX,CONCHO,280,"$1,736 ",$958 , $- ,$62 , $- , $- ,$0 ,$716 ,75
15,TX,COOKE,"3,049","$13,961 ","$7,633 ", $- ,$486 , $- , $- ,$219 ,"$5,624 ",700
15,TX,CORYELL,"12,614","$147,885 ","$98,302 ", $- ,"$16,608 ", $- , $- ,$511 ,"$32,464 ","4,177"
15,TX,COTTLE,107,$625 ,$448 , $- ,$32 , $- , $- ,$1 ,$145 ,19
15,TX,CRANE,287,"$1,402 ",$734 , $- ,$43 , $- , $- ,$11 ,$615 ,42
15,TX,CROCKETT,265,$770 ,$328 , $- ,$27 , $- , $- ,$0 ,$415 ,36
15,TX,CROSBY,354,"$1,671 ",$983 , $- ,$108 , $- , $- ,$0 ,$579 ,103
15,TX,CULBERSON,165,"$1,657 ",$899 , $- ,$7 , $- , $- , $- ,$751 ,62
15,TX,DALLAM,398,"$2,529 ","$1,319 ", $- ,$123 , $- , $- ,$28 ,"$1,059 ",143
15,TX,DALLAS,"102,947","$932,187 ","$397,651 ","$17,225 ","$87,392 ", $- ,"$10,331 ","$9,345 ","$410,243 ","29,724"
15,TX,DAWSON,736,"$3,619 ","$1,994 ", $- ,$129 , $- , $- ,$15 ,"$1,481 ",169
15,TX,DEAF SMITH,674,"$4,518 ","$1,889 ", $- ,$171 , $- , $- ,$58 ,"$2,400 ",245
15,TX,DELTA,544,"$3,564 ","$1,928 ", $- ,$166 , $- , $- ,$11 ,"$1,459 ",185
15,TX,DENTON,"45,736","$226,624 ","$128,387 ", $- ,"$37,925 ", $- , $- ,"$2,800 ","$57,512 ","8,050"
15,TX,DE WITT,"1,610","$8,881 ","$5,241 ", $- ,$223 , $- , $- ,$14 ,"$3,403 ",396
15,TX,DICKENS,190,"$1,439 ",$950 , $- ,$19 , $- , $- ,$15 ,$454 ,57
15,TX,DIMMIT,463,"$3,591 ","$2,202 ", $- ,$124 , $- , $- ,$34 ,"$1,230 ",145
15,TX,DONLEY,337,"$2,328 ","$1,157 ", $- ,$38 , $- , $- ,$10 ,"$1,122 ",112
15,TX,DUVAL,707,"$4,593 ","$2,780 ", $- ,$189 , $- , $- ,$11 ,"$1,613 ",198
15,TX,EASTLAND,"1,441","$11,808 ","$7,340 ", $- ,$411 , $- , $- ,$110 ,"$3,946 ",461
15,TX,ECTOR,"7,361","$44,642 ","$21,777 ", $- ,"$2,765 ", $- , $- ,$283 ,"$19,818 ","1,961"
15,TX,EDWARDS,117,"$1,036 ",$640 , $- ,$18 , $- , $- ,$1 ,$378 ,43
15,TX,ELLIS,"12,876","$82,660 ","$43,855 ", $- ,"$6,747 ", $- , $- ,$449 ,"$31,608 ","2,905"
15,TX,EL PASO,"47,844","$668,736 ","$366,200 ",$281 ,"$91,608 ", $- ,"$2,629 ","$3,589 ","$204,430 ","22,482"
15,TX,ERATH,"2,194","$14,523 ","$8,198 ", $- ,"$1,846 ", $- , $- ,$107 ,"$4,372 ",524
15,TX,FALLS,"1,218","$15,658 ","$6,518 ", $- ,$176 , $- , $- ,$31 ,"$8,934 ",586
