ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,UT,BEAVER,454,"$1,546 ",$993 , $- ,$33 , $- , $- ,$12 ,$508 ,80
15,UT,BOX ELDER,"2,888","$15,643 ","$6,947 ", $- ,"$1,020 ", $- , $- ,$140 ,"$7,536 ",655
15,UT,CACHE,"4,610","$24,063 ","$11,628 ", $- ,"$3,984 ", $- , $- ,$480 ,"$7,970 ",770
15,UT,CARBON,"1,742","$10,539 ","$4,993 ", $- ,$155 , $- , $- ,$38 ,"$5,352 ",392
15,UT,DAGGETT,110,"$1,217 ",$297 , $- ,$14 , $- , $- ,$0 ,$906 ,42
15,UT,DAVIS,"20,863","$140,574 ","$74,575 ", $- ,"$16,208 ", $- , $- ,"$1,464 ","$48,327 ","4,382"
15,UT,DUCHESNE,977,"$7,795 ","$2,990 ", $- ,$172 , $- , $- ,$25 ,"$4,607 ",379
15,UT,EMERY,724,"$2,722 ","$1,105 ", $- ,$45 , $- , $- ,$29 ,"$1,542 ",144
15,UT,GARFIELD,454,"$1,909 ","$1,018 ", $- ,$25 , $- , $- ,$1 ,$864 ,100
15,UT,GRAND,636,"$4,544 ","$1,949 ", $- ,$42 , $- , $- ,$35 ,"$2,518 ",218
15,UT,IRON,"2,838","$50,919 ","$9,338 ", $- ,"$35,430 ", $- , $- ,$110 ,"$6,042 ",709
15,UT,JUAB,646,"$4,946 ","$1,710 ", $- ,$148 , $- , $- ,$73 ,"$3,015 ",183
15,UT,KANE,666,"$3,798 ","$2,033 ", $- ,$57 , $- , $- ,$19 ,"$1,689 ",171
15,UT,MILLARD,871,"$3,244 ","$1,778 ", $- ,$113 , $- , $- ,$70 ,"$1,283 ",141
15,UT,MORGAN,632,"$3,655 ","$2,241 ", $- ,$300 , $- , $- ,$34 ,"$1,080 ",132
15,UT,PIUTE,128,$575 ,$419 , $- ,$13 , $- , $- ,$3 ,$141 ,27
15,UT,RICH,122,$711 ,$266 , $- ,$24 , $- , $- ,$16 ,$405 ,29
15,UT,SALT LAKE,"48,830","$490,988 ","$142,767 ","$3,463 ","$34,294 ", $- ,"$59,881 ","$4,588 ","$245,994 ","14,196"
15,UT,SAN JUAN,588,"$4,006 ","$1,355 ", $- ,$132 , $- , $- ,$31 ,"$2,489 ",188
15,UT,SANPETE,"1,779","$8,922 ","$4,218 ", $- ,$395 , $- , $- ,$123 ,"$4,187 ",344
15,UT,SEVIER,"1,545","$7,284 ","$3,851 ", $- ,$213 , $- , $- ,$116 ,"$3,104 ",317
15,UT,SUMMIT,"1,910","$7,913 ","$3,543 ", $- ,$666 , $- , $- ,$256 ,"$3,448 ",355
15,UT,TOOELE,"4,594","$30,010 ","$13,886 ", $- ,"$1,916 ", $- , $- ,$262 ,"$13,945 ","1,018"
15,UT,UINTAH,"2,068","$9,287 ","$3,389 ", $- ,$314 , $- , $- ,$64 ,"$5,519 ",511
15,UT,UTAH,"19,639","$101,585 ","$45,389 ", $- ,"$14,845 ", $- , $- ,"$1,888 ","$39,462 ","3,629"
15,UT,WASATCH,"1,008","$5,270 ","$2,223 ", $- ,$282 , $- , $- ,$167 ,"$2,598 ",235
15,UT,WASHINGTON,"11,580","$61,167 ","$35,585 ", $- ,"$5,146 ", $- , $- ,"$1,005 ","$19,431 ","2,813"
15,UT,WAYNE,202,$782 ,$455 , $- ,$78 , $- , $- , $- ,$249 ,41
15,UT,WEBER,"17,798","$113,273 ","$59,394 ", $- ,"$11,209 ", $- , $- ,"$1,120 ","$41,549 ","3,803"
,,,,,,,,,,,,
15,UT,UTAH (Totals),"150,904","$1,118,885 ","$440,335 ","$3,463 ","$127,276 ", $- ,"$59,881 ","$12,169 ","$475,761 ","36,004"
,,,,,,,,,,,,
15,UT,CONG. DIST (01),"46,302","$274,927 ","$137,923 ", $- ,"$27,958 ", $- , $- ,"$3,062 ","$105,983 ","9,792"
15,UT,CONG. DIST (02),"42,199","$430,902 ","$140,324 ","$3,463 ","$59,085 ", $- ,"$59,881 ","$3,529 ","$164,619 ","11,016"
15,UT,CONG. DIST (03),"31,172","$169,625 ","$74,485 ", $- ,"$19,036 ", $- , $- ,"$2,676 ","$73,428 ","6,097"
15,UT,CONG. DIST (04),"31,230","$243,431 ","$87,603 ", $- ,"$21,196 ", $- , $- ,"$2,901 ","$131,730 ","9,099"
,,,,,,,,,,,,
15,UT,UTAH (Totals),"150,904","$1,118,885 ","$440,335 ","$3,463 ","$127,276 ", $- ,"$59,881 ","$12,169 ","$475,761 ","36,004"
