,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ACCOMACK," 3,612 "," $15,480 "," $9,161 ", $- , $833 , $- , $- , $162 ," $5,323 ",667,,,,
ALBEMARLE," 7,153 "," $24,990 "," $13,753 ", $- ," $3,379 ", $- , $- , $543 ," $7,314 ",1026,,,,
ALLEGHANY," 1,719 "," $7,868 "," $2,228 ", $- , $107 , $- , $- , $61 ," $5,472 ",525,,,,
AMELIA," 1,162 "," $9,278 "," $3,808 ", $- , $343 , $- , $- , $77 ," $5,050 ",359,,,,
AMHERST," 2,759 "," $14,817 "," $7,247 ", $- , $803 , $- , $- , $71 ," $6,696 ",734,,,,
APPOMATTOX," 1,134 "," $7,476 "," $3,584 ", $- , $397 , $- , $- , $11 ," $3,484 ",391,,,,
ARLINGTON," 13,240 "," $71,622 "," $38,646 ", $- ," $20,855 ", $- , $- ," $1,502 "," $10,619 ",1343,,,,
AUGUSTA," 7,251 "," $26,179 "," $10,756 ", $- , $841 , $- , $- , $261 ," $14,321 ",1669,,,,
BATH, 349 ," $2,513 "," $1,263 ", $- , $139 , $- , $- , $39 ," $1,072 ",116,,,,
BEDFORD," 7,300 "," $45,497 "," $17,973 ", $- ," $1,939 ", $- , $- , $365 ," $25,220 ",1904,,,,
BLAND, 772 ," $4,200 "," $2,513 ", $- , $83 , $- , $- , $20 ," $1,585 ",212,,,,
BOTETOURT," 3,270 "," $23,784 "," $8,225 ", $- , $531 , $- , $- , $417 ," $14,611 ",950,,,,
BRUNSWICK," 1,671 "," $11,823 "," $4,734 ", $- , $343 , $- , $- , $144 ," $6,602 ",454,,,,
BUCHANAN," 1,189 "," $11,402 "," $7,955 ", $- , $283 , $- , $- , $109 ," $3,056 ",401,,,,
BUCKINGHAM," 1,327 "," $7,748 "," $3,265 ", $- , $200 , $- , $- , $44 ," $4,239 ",296,,,,
CAMPBELL," 4,591 "," $21,431 "," $8,735 ", $- , $744 , $- , $- , $133 ," $11,819 ",1363,,,,
CAROLINE," 3,500 "," $21,894 "," $10,315 ", $- ," $2,048 ", $- , $- , $71 ," $9,459 ",760,,,,
CARROLL," 2,409 "," $17,188 "," $6,282 ", $- , $451 , $- , $- , $49 ," $10,405 ",970,,,,
CHARLES CITY, 731 ," $5,724 "," $1,799 ", $- , $146 , $- , $- , $175 ," $3,604 ",219,,,,
CHARLOTTE, 984 ," $7,837 "," $4,193 ", $- , $239 , $- , $- , $23 ," $3,382 ",313,,,,
CHESTERFIELD," 31,148 "," $220,951 "," $106,008 ", $- ," $20,006 ", $- , $- ," $2,668 "," $92,269 ",7380,,,,
CLARKE," 1,429 "," $7,595 "," $3,186 ", $- , $578 , $- , $- , $82 ," $3,748 ",273,,,,
CRAIG, 420 ," $4,797 "," $1,831 ", $- , $33 , $- , $- , $5 ," $2,928 ",177,,,,
CULPEPER," 4,258 "," $20,082 "," $10,348 ", $159 ," $1,678 ", $- ," $1,351 ", $216 ," $6,330 ",591,,,,
CUMBERLAND, 718 ," $4,530 "," $1,400 ", $- , $96 , $- , $- , $3 ," $3,032 ",227,,,,
DICKENSON, 856 ," $10,489 "," $5,886 ", $- , $134 , $- , $- , $66 ," $4,403 ",407,,,,
DINWIDDIE," 2,962 "," $18,414 "," $6,150 ", $- , $699 , $- , $- , $29 ," $11,536 ",855,,,,
ESSEX, 960 ," $5,602 "," $3,182 ", $- , $169 , $- , $- , $99 ," $2,152 ",242,,,,
FAIRFAX," 75,041 "," $425,542 "," $257,493 ", $- ," $110,882 ", $- , $- ," $9,833 "," $47,334 ",6988,,,,
FAUQUIER," 7,675 "," $23,037 "," $14,068 ", $- ," $3,032 ", $- , $- , $217 ," $5,720 ",666,,,,
FLOYD, 990 ," $7,757 "," $2,885 ", $- , $171 , $- , $- , $27 ," $4,675 ",398,,,,
FLUVANNA," 3,187 "," $10,507 "," $5,477 ", $- , $878 , $- , $- , $86 ," $4,067 ",467,,,,
FRANKLIN," 4,894 "," $36,340 "," $15,393 ", $- ," $1,026 ", $- , $- , $260 ," $19,661 ",1620,,,,
FREDERICK," 8,040 "," $42,664 "," $18,155 ", $- ," $3,069 ", $- , $- , $330 ," $21,109 ",1792,,,,
GILES," 1,260 "," $9,534 "," $4,891 ", $- , $318 , $- , $- , $153 ," $4,172 ",391,,,,
GLOUCESTER," 5,112 "," $29,944 "," $18,965 ", $- ," $4,194 ", $- , $- , $221 ," $6,564 ",752,,,,
GOOCHLAND," 1,878 "," $8,858 "," $3,904 ", $- , $609 , $- , $- , $168 ," $4,177 ",342,,,,
GRAYSON," 1,304 "," $7,387 "," $3,245 ", $- , $113 , $- , $- , $22 ," $4,008 ",567,,,,
GREENE," 1,861 "," $8,290 "," $4,351 ", $- ," $1,054 ", $- , $- , $137 ," $2,747 ",321,,,,
GREENSVILLE," 1,305 "," $9,163 "," $4,223 ", $- , $335 , $- , $- , $23 ," $4,581 ",283,,,,
HALIFAX," 2,916 "," $23,691 "," $11,986 ", $- , $423 , $- , $- , $157 ," $11,125 ",967,,,,
HANOVER," 9,670 "," $37,820 "," $17,565 ", $- ," $3,113 ", $- , $- , $651 ," $16,491 ",1359,,,,
HENRICO," 21,220 "," $133,601 "," $54,519 ", $- ," $10,902 ", $- , $644 ," $1,822 "," $65,714 ",5141,,,,
HENRY," 4,673 "," $31,732 "," $9,221 ", $- , $838 , $- , $- , $202 ," $21,471 ",1785,,,,
HIGHLAND, 274 ," $1,524 ", $656 , $- , $44 , $- , $- , $10 , $814 ,65,,,,
ISLE OF WIGHT," 4,696 "," $27,592 "," $16,963 ", $- ," $4,797 ", $- , $- , $117 ," $5,715 ",682,,,,
JAMES CITY," 9,624 "," $67,290 "," $44,951 ", $- ," $11,326 ", $- , $- ," $1,037 "," $9,976 ",1227,,,,
KING AND QUEEN, 697 ," $3,973 "," $1,707 ", $- , $147 , $- , $- , $6 ," $2,113 ",145,,,,
KING GEORGE," 3,995 "," $19,733 "," $11,847 ", $- ," $3,294 ", $- , $- , $85 ," $4,507 ",533,,,,
KING WILLIAM," 1,384 "," $8,530 "," $3,850 ", $- , $634 , $- , $- , $97 ," $3,949 ",259,,,,
LANCASTER," 1,705 "," $7,259 "," $4,100 ", $- , $131 , $- , $- , $179 ," $2,849 ",260,,,,
LEE," 1,983 "," $16,121 "," $8,726 ", $- , $254 , $- , $- , $21 ," $7,119 ",627,,,,
LOUDOUN," 23,356 "," $93,373 "," $53,676 ", $- ," $22,964 ", $- , $- ," $1,610 "," $15,124 ",1857,,,,
LOUISA," 3,664 "," $16,734 "," $7,804 ", $- , $700 , $- , $- , $209 ," $8,021 ",624,,,,
LUNENBURG," 1,457 "," $10,502 "," $3,227 ", $- , $245 , $- , $- , $3 ," $7,026 ",390,,,,
MADISON," 1,177 "," $4,569 "," $2,691 ", $- , $267 , $- , $- , $89 ," $1,522 ",193,,,,
MATHEWS," 1,196 "," $5,492 "," $3,356 ", $- , $206 , $- , $- , $61 ," $1,869 ",165,,,,
MECKLENBURG," 3,057 "," $22,706 "," $11,387 ", $- , $803 , $- , $- , $178 ," $10,338 ",818,,,,
MIDDLESEX," 1,430 "," $7,567 "," $4,028 ", $- , $339 , $- , $- , $160 ," $3,040 ",263,,,,
MONTGOMERY," 5,674 "," $30,517 "," $13,128 ", $- ," $3,261 ", $- , $- , $321 ," $13,807 ",1182,,,,
NELSON," 1,409 "," $7,985 "," $4,624 ", $- , $543 , $- , $- , $111 ," $2,706 ",294,,,,
NEW KENT," 1,660 "," $15,037 "," $8,830 ", $- , $760 , $- , $- , $139 ," $5,307 ",446,,,,
NORTHAMPTON," 1,122 "," $5,432 "," $2,975 ", $- , $383 , $- , $- , $157 ," $1,917 ",205,,,,
NORTHUMBERLAND," 1,842 "," $6,419 "," $2,575 ", $- , $164 , $- , $- , $332 ," $3,349 ",318,,,,
NOTTOWAY," 1,582 "," $11,775 "," $5,511 ", $- , $422 , $- , $- , $178 ," $5,665 ",440,,,,
ORANGE," 3,861 "," $21,404 "," $13,130 ", $- ," $2,976 ", $- , $- , $412 ," $4,886 ",658,,,,
PAGE," 2,063 "," $10,643 "," $4,973 ", $- , $301 , $- , $- , $61 ," $5,309 ",565,,,,
PATRICK," 1,369 "," $11,963 "," $4,964 ", $- , $154 , $- , $- , $31 ," $6,815 ",602,,,,
PITTSYLVANIA," 5,242 "," $31,347 "," $12,317 ", $- , $890 , $- , $- , $152 ," $17,989 ",1992,,,,
POWHATAN," 3,037 "," $13,608 "," $5,964 ", $- , $887 , $- , $- , $129 ," $6,628 ",480,,,,
PRINCE EDWARD," 1,399 "," $13,078 "," $5,929 ", $- , $719 , $- , $- , $109 ," $6,322 ",490,,,,
PRINCE GEORGE," 5,452 "," $42,419 "," $20,624 ", $- ," $5,654 ", $- , $- , $79 ," $16,062 ",1484,,,,
PRINCE WILLIAM," 44,037 "," $307,236 "," $185,157 ", $526 ," $77,158 ", $- ," $5,114 "," $1,816 "," $37,465 ",5359,,,,
PULASKI," 3,168 "," $18,373 "," $8,006 ", $- , $531 , $- , $- , $120 ," $9,716 ",902,,,,
RAPPAHANNOCK, 700 ," $2,589 ", $919 , $- , $118 , $- , $- , $27 ," $1,525 ",113,,,,
RICHMOND, 986 ," $4,686 "," $2,304 ", $- , $145 , $- , $- , $24 ," $2,211 ",143,,,,
ROANOKE," 8,303 "," $69,049 "," $25,132 ", $- ," $2,383 ", $- , $- ," $1,211 "," $40,324 ",2732,,,,
ROCKBRIDGE," 1,830 "," $11,899 "," $3,520 ", $- , $196 , $- , $- , $64 ," $8,120 ",617,,,,
ROCKINGHAM," 5,366 "," $21,784 "," $10,236 ", $- ," $1,054 ", $- , $- , $357 ," $10,138 ",1502,,,,
